Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710422940000,0.3804,0.3816,0.3804,0.3804,94909,1710422999999,36165.4633,202,80113,1710428280000,0.3813
1710423000000,0.3804,0.3811,0.3804,0.3808,54079,1710423059999,20587.6059,140,16204,1710428280000,0.3813
1710423060000,0.3808,0.3814,0.3805,0.3811,32799,1710423119999,12497.3337,122,21746,1710428280000,0.3813
1710423120000,0.3812,0.3812,0.3804,0.3804,44636,1710423179999,17001.4534,93,35531,1710428280000,0.3813
1710423180000,0.3803,0.3804,0.3791,0.3795,153586,1710423239999,58313.0032,443,61047,1710428280000,0.3813
1710423240000,0.3796,0.3799,0.3792,0.3797,91567,1710423299999,34763.6398,243,66878,1710428280000,0.3813
1710423300000,0.3794,0.3795,0.3777,0.3778,192831,1710423359999,72966.9965,531,66915,1710428280000,0.3813
1710423360000,0.3779,0.3790,0.3767,0.3788,201186,1710423419999,75944.6847,656,100261,1710428280000,0.3813
1710423420000,0.3790,0.3799,0.3779,0.3782,135994,1710423479999,51528.6788,404,44881,1710428280000,0.3813
1710423480000,0.3782,0.3783,0.3768,0.3769,80434,1710423539999,30367.2834,282,30473,1710428280000,0.3813
1710423540000,0.3769,0.3770,0.3757,0.3760,153101,1710423599999,57603.7459,402,72464,1710428280000,0.3813
1710423600000,0.3759,0.3763,0.3747,0.3758,322565,1710423659999,121078.9761,547,122400,1710428280000,0.3813
1710423660000,0.3758,0.3785,0.3758,0.3783,163978,1710423719999,61811.4209,577,92726,1710428280000,0.3813
1710423720000,0.3783,0.3786,0.3772,0.3781,126561,1710423779999,47829.2277,431,58512,1710428280000,0.3813
1710423780000,0.3782,0.3787,0.3775,0.3777,47657,1710423839999,18020.0425,216,16543,1710428280000,0.3813
1710423840000,0.3778,0.3780,0.3776,0.3779,45806,1710423899999,17305.5916,161,21449,1710428280000,0.3813
1710423900000,0.3779,0.3788,0.3773,0.3773,215808,1710423959999,81611.7781,477,81570,1710428280000,0.3813
1710423960000,0.3773,0.3773,0.3753,0.3766,170847,1710424019999,64286.5944,483,88271,1710428280000,0.3813
1710424020000,0.3765,0.3777,0.3759,0.3761,124232,1710424079999,46799.8397,418,58479,1710428280000,0.3813
1710424080000,0.3761,0.3770,0.3750,0.3765,216529,1710424139999,81413.7116,560,77422,1710428280000,0.3813
1710424140000,0.3764,0.3765,0.3730,0.3741,273942,1710424199999,102585.8236,606,67624,1710428280000,0.3813
1710424200000,0.3744,0.3753,0.3731,0.3735,178726,1710424259999,66891.0415,592,86140,1710428280000,0.3813
1710424260000,0.3735,0.3746,0.3732,0.3735,124594,1710424319999,46563.4977,384,66918,1710428280000,0.3813
1710424320000,0.3733,0.3733,0.3704,0.3732,497912,1710424379999,185117.3097,992,155554,1710428280000,0.3813
1710424380000,0.3732,0.3740,0.3725,0.3730,189779,1710424439999,70841.7284,650,100747,1710428280000,0.3813
1710424440000,0.3731,0.3731,0.3714,0.3721,184307,1710424499999,68563.6824,546,88756,1710428280000,0.3813
1710424500000,0.3723,0.3731,0.3717,0.3719,199395,1710424559999,74247.7942,525,123681,1710428280000,0.3813
1710424560000,0.3719,0.3723,0.3691,0.3721,417730,1710424619999,154728.1757,1064,126948,1710428280000,0.3813
1710424620000,0.3724,0.3751,0.3723,0.3747,271765,1710424679999,101619.2397,624,196062,1710428280000,0.3813
1710424680000,0.3748,0.3764,0.3739,0.3750,293639,1710424739999,110152.8663,772,77565,1710428280000,0.3813
