Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710936960000,3.766000,3.778000,3.766000,3.772000,1952,1710937019999,7364.498000,111,992,1710942300000,3.797
1710937020000,3.771000,3.777000,3.769000,3.773000,960,1710937079999,3621.787000,72,495,1710942300000,3.797
1710937080000,3.771000,3.783000,3.769000,3.781000,2960,1710937139999,11170.039000,148,1696,1710942300000,3.797
1710937140000,3.779000,3.782000,3.770000,3.774000,1322,1710937199999,4991.573000,90,849,1710942300000,3.797
1710937200000,3.774000,3.776000,3.765000,3.766000,4766,1710937259999,17980.960000,150,3455,1710942300000,3.797
1710937260000,3.767000,3.779000,3.765000,3.779000,2686,1710937319999,10136.369000,135,1451,1710942300000,3.797
1710937320000,3.778000,3.792000,3.776000,3.791000,3316,1710937379999,12552.858000,143,3138,1710942300000,3.797
1710937380000,3.791000,3.797000,3.790000,3.790000,5690,1710937439999,21598.595000,167,2717,1710942300000,3.797
1710937440000,3.791000,3.798000,3.791000,3.796000,823,1710937499999,3123.180000,53,597,1710942300000,3.797
1710937500000,3.797000,3.805000,3.793000,3.803000,2606,1710937559999,9899.194000,165,1206,1710942300000,3.797
1710937560000,3.804000,3.805000,3.790000,3.795000,1609,1710937619999,6112.066000,122,1078,1710942300000,3.797
1710937620000,3.795000,3.796000,3.792000,3.793000,395,1710937679999,1498.239000,39,190,1710942300000,3.797
1710937680000,3.793000,3.793000,3.785000,3.786000,294,1710937739999,1113.723000,42,145,1710942300000,3.797
1710937740000,3.785000,3.789000,3.783000,3.784000,929,1710937799999,3517.361000,79,719,1710942300000,3.797
1710937800000,3.786000,3.791000,3.781000,3.784000,2957,1710937859999,11192.936000,172,2049,1710942300000,3.797
1710937860000,3.785000,3.792000,3.785000,3.789000,842,1710937919999,3189.906000,92,396,1710942300000,3.797
1710937920000,3.789000,3.801000,3.789000,3.794000,5532,1710937979999,20990.278000,178,900,1710942300000,3.797
1710937980000,3.795000,3.797000,3.789000,3.793000,5168,1710938039999,19600.731000,115,4415,1710942300000,3.797
1710938040000,3.793000,3.794000,3.789000,3.789000,602,1710938099999,2282.458000,79,223,1710942300000,3.797
1710938100000,3.789000,3.794000,3.788000,3.794000,810,1710938159999,3071.860000,100,205,1710942300000,3.797
1710938160000,3.793000,3.797000,3.788000,3.788000,993,1710938219999,3766.539000,79,298,1710942300000,3.797
1710938220000,3.786000,3.786000,3.777000,3.777000,646,1710938279999,2442.284000,78,312,1710942300000,3.797
1710938280000,3.777000,3.784000,3.774000,3.784000,2340,1710938339999,8843.029000,123,1936,1710942300000,3.797
1710938340000,3.783000,3.783000,3.778000,3.782000,648,1710938399999,2449.831000,77,297,1710942300000,3.797
1710938400000,3.782000,3.782000,3.775000,3.781000,3465,1710938459999,13091.783000,216,2176,1710942300000,3.797
1710938460000,3.780000,3.786000,3.779000,3.780000,1077,1710938519999,4072.040000,93,326,1710942300000,3.797
1710938520000,3.781000,3.793000,3.781000,3.793000,869,1710938579999,3289.041000,75,678,1710942300000,3.797
1710938580000,3.794000,3.799000,3.794000,3.797000,641,1710938639999,2433.386000,69,440,1710942300000,3.797
1710938640000,3.795000,3.799000,3.786000,3.788000,3310,1710938699999,12556.490000,138,1768,1710942300000,3.797
1710938700000,3.789000,3.792000,3.786000,3.788000,1445,1710938759999,5476.135000,153,556,1710942300000,3.797
1710938760000,3.788000,3.791000,3.781000,3.788000,908,1710938819999,3437.724000,104,536,1710942300000,3.797
1710938820000,3.787000,3.799000,3.784000,3.798000,1112,1710938879999,4211.508000,86,549,1710942300000,3.797
1710938880000,3.799000,3.801000,3.791000,3.791000,924,1710938939999,3508.285000,68,169,1710942300000,3.797
1710938940000,3.788000,3.792000,3.783000,3.784000,1134,1710938999999,4294.956000,79,586,1710942300000,3.797
1710939000000,3.784000,3.785000,3.776000,3.780000,1880,1710939059999,7106.861000,133,622,1710942300000,3.797
1710939060000,3.780000,3.780000,3.772000,3.773000,3956,1710939119999,14926.044000,93,680,1710942300000,3.797
1710939120000,3.774000,3.780000,3.772000,3.780000,2380,1710939179999,8985.596000,109,2019,1710942300000,3.797
1710939180000,3.780000,3.782000,3.775000,3.779000,1304,1710939239999,4926.444000,89,442,1710942300000,3.797
1710939240000,3.779000,3.786000,3.779000,3.784000,582,1710939299999,2201.818000,77,438,1710942300000,3.797
1710939300000,3.785000,3.791000,3.785000,3.788000,704,1710939359999,2667.073000,86,405,1710942300000,3.797
1710939360000,3.787000,3.788000,3.780000,3.783000,1445,1710939419999,5465.782000,85,285,1710942300000,3.797
1710939420000,3.781000,3.782000,3.777000,3.781000,565,1710939479999,2135.586000,58,286,1710942300000,3.797
1710939480000,3.781000,3.788000,3.780000,3.788000,675,1710939539999,2554.155000,49,518,1710942300000,3.797
1710939540000,3.789000,3.799000,3.788000,3.794000,1792,1710939599999,6797.890000,112,1183,1710942300000,3.797
1710939600000,3.796000,3.800000,3.789000,3.790000,1363,1710939659999,5174.644000,155,670,1710942300000,3.797
1710939660000,3.788000,3.795000,3.784000,3.784000,1287,1710939719999,4878.023000,123,662,1710942300000,3.797
1710939720000,3.785000,3.788000,3.781000,3.786000,1868,1710939779999,7070.733000,182,916,1710942300000,3.797
1710939780000,3.786000,3.786000,3.780000,3.784000,2745,1710939839999,10382.677000,166,1709,1710942300000,3.797
1710939840000,3.783000,3.785000,3.777000,3.780000,937,1710939899999,3543.156000,101,507,1710942300000,3.797
1710939900000,3.781000,3.783000,3.776000,3.776000,699,1710939959999,2641.830000,85,401,1710942300000,3.797
1710939960000,3.776000,3.780000,3.773000,3.779000,1043,1710940019999,3937.376000,96,740,1710942300000,3.797
1710940020000,3.778000,3.779000,3.770000,3.773000,1063,1710940079999,4010.896000,82,140,1710942300000,3.797
1710940080000,3.772000,3.777000,3.771000,3.771000,518,1710940139999,1955.159000,74,378,1710942300000,3.797
1710940140000,3.772000,3.776000,3.768000,3.772000,957,1710940199999,3610.517000,80,607,1710942300000,3.797
1710940200000,3.772000,3.781000,3.770000,3.779000,699,1710940259999,2639.210000,80,530,1710942300000,3.797
1710940260000,3.778000,3.779000,3.770000,3.772000,817,1710940319999,3083.124000,83,561,1710942300000,3.797
1710940320000,3.772000,3.775000,3.763000,3.772000,3697,1710940379999,13943.031000,173,2660,1710942300000,3.797
1710940380000,3.772000,3.781000,3.772000,3.781000,1159,1710940439999,4374.980000,117,442,1710942300000,3.797
1710940440000,3.781000,3.783000,3.777000,3.781000,854,1710940499999,3227.954000,75,440,1710942300000,3.797
1710940500000,3.781000,3.790000,3.780000,3.785000,1439,1710940559999,5446.687000,116,1168,1710942300000,3.797
1710940560000,3.787000,3.794000,3.784000,3.786000,752,1710940619999,2848.235000,101,530,1710942300000,3.797
1710940620000,3.786000,3.790000,3.784000,3.786000,325,1710940679999,1230.850000,50,177,1710942300000,3.797
1710940680000,3.787000,3.787000,3.777000,3.778000,303,1710940739999,1145.735000,47,168,1710942300000,3.797
1710940740000,3.778000,3.779000,3.775000,3.779000,1143,1710940799999,4317.223000,91,571,1710942300000,3.797
1710940800000,3.779000,3.780000,3.775000,3.779000,1513,1710940859999,5714.546000,96,717,1710942300000,3.797
1710940860000,3.777000,3.777000,3.767000,3.772000,1312,1710940919999,4946.260000,108,611,1710942300000,3.797
1710940920000,3.771000,3.778000,3.769000,3.777000,3025,1710940979999,11409.436000,102,1703,1710942300000,3.797
1710940980000,3.777000,3.777000,3.771000,3.772000,213,1710941039999,803.717000,40,81,1710942300000,3.797
1710941040000,3.771000,3.778000,3.770000,3.778000,256,1710941099999,965.854000,43,141,1710942300000,3.797
1710941100000,3.778000,3.786000,3.778000,3.786000,760,1710941159999,2875.131000,56,677,1710942300000,3.797
1710941160000,3.783000,3.783000,3.776000,3.781000,805,1710941219999,3042.341000,65,299,1710942300000,3.797
1710941220000,3.781000,3.783000,3.779000,3.782000,1106,1710941279999,4181.181000,79,310,1710942300000,3.797
1710941280000,3.781000,3.783000,3.775000,3.775000,632,1710941339999,2389.557000,66,177,1710942300000,3.797
1710941340000,3.774000,3.775000,3.771000,3.774000,381,1710941399999,1437.512000,42,230,1710942300000,3.797
1710941400000,3.774000,3.774000,3.770000,3.771000,541,1710941459999,2040.881000,47,222,1710942300000,3.797
1710941460000,3.771000,3.771000,3.760000,3.760000,3350,1710941519999,12615.269000,87,622,1710942300000,3.797
1710941520000,3.761000,3.762000,3.753000,3.754000,1065,1710941579999,4001.768000,82,406,1710942300000,3.797
1710941580000,3.755000,3.765000,3.754000,3.765000,1509,1710941639999,5671.993000,115,780,1710942300000,3.797
1710941640000,3.765000,3.778000,3.765000,3.773000,3170,1710941699999,11965.132000,139,2532,1710942300000,3.797
1710941700000,3.773000,3.774000,3.764000,3.767000,1029,1710941759999,3878.318000,75,553,1710942300000,3.797
1710941760000,3.767000,3.778000,3.767000,3.778000,1132,1710941819999,4268.252000,74,638,1710942300000,3.797
1710941820000,3.778000,3.788000,3.776000,3.787000,1120,1710941879999,4235.166000,108,607,1710942300000,3.797
1710941880000,3.788000,3.789000,3.786000,3.786000,461,1710941939999,1746.366000,28,229,1710942300000,3.797
1710941940000,3.785000,3.787000,3.779000,3.779000,438,1710941999999,1657.379000,33,294,1710942300000,3.797
1710942000000,3.777000,3.783000,3.773000,3.781000,357,1710942059999,1348.888000,54,172,1710942300000,3.797
1710942060000,3.781000,3.797000,3.781000,3.793000,766,1710942119999,2904.314000,76,516,1710942300000,3.797
1710942120000,3.793000,3.795000,3.790000,3.793000,1123,1710942179999,4258.646000,78,622,1710942300000,3.797
1710942180000,3.793000,3.794000,3.784000,3.787000,1235,1710942239999,4679.712000,106,216,1710942300000,3.797
1710942240000,3.786000,3.787000,3.781000,3.782000,501,1710942299999,1896.198000,54,180,1710942300000,3.797
1710942300000,3.780000,3.802000,3.776000,3.795000,7527,1710942359999,28540.914000,269,5544,1710942300000,3.797
1710942360000,3.795000,3.801000,3.786000,3.786000,7088,1710942419999,26907.582000,235,3446,1710942300000,3.797
