Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710366240000,11.795000,11.802000,11.789000,11.798000,884.7,1710366299999,10433.8268000,69,272.0,1710371640000,12.162
1710366300000,11.800000,11.804000,11.799000,11.802000,334.8,1710366359999,3951.1810000,44,164.9,1710371640000,12.162
1710366360000,11.800000,11.801000,11.792000,11.792000,2413.6,1710366419999,28474.2202000,55,431.1,1710371640000,12.162
1710366420000,11.792000,11.796000,11.792000,11.794000,173.5,1710366479999,2046.4284000,22,163.8,1710371640000,12.162
1710366480000,11.795000,11.801000,11.795000,11.801000,997.2,1710366539999,11767.9428000,8,997.2,1710371640000,12.162
1710366540000,11.801000,11.833000,11.801000,11.833000,2607.2,1710366599999,30804.9479000,129,2565.0,1710371640000,12.162
1710366600000,11.832000,11.840000,11.832000,11.840000,358.1,1710366659999,4237.7935000,40,343.1,1710371640000,12.162
1710366660000,11.841000,11.844000,11.834000,11.843000,334.5,1710366719999,3960.3573000,85,49.7,1710371640000,12.162
1710366720000,11.843000,11.874000,11.843000,11.869000,2179.7,1710366779999,25851.0038000,176,1720.4,1710371640000,12.162
1710366780000,11.868000,11.879000,11.867000,11.876000,372.3,1710366839999,4419.9677000,55,253.3,1710371640000,12.162
1710366840000,11.877000,11.877000,11.858000,11.861000,783.5,1710366899999,9297.1759000,146,184.7,1710371640000,12.162
1710366900000,11.861000,11.864000,11.830000,11.846000,2048.2,1710366959999,24259.3433000,433,546.8,1710371640000,12.162
1710366960000,11.846000,11.848000,11.822000,11.824000,2046.2,1710367019999,24215.6002000,153,75.3,1710371640000,12.162
1710367020000,11.826000,11.842000,11.826000,11.829000,504.6,1710367079999,5971.5165000,84,199.0,1710371640000,12.162
1710367080000,11.830000,11.845000,11.830000,11.845000,841.8,1710367139999,9966.5468000,121,519.9,1710371640000,12.162
1710367140000,11.845000,11.855000,11.845000,11.855000,355.0,1710367199999,4206.8146000,38,345.4,1710371640000,12.162
1710367200000,11.855000,11.876000,11.854000,11.866000,1173.2,1710367259999,13919.4884000,148,969.7,1710371640000,12.162
1710367260000,11.867000,11.873000,11.860000,11.862000,1723.7,1710367319999,20448.6428000,94,137.1,1710371640000,12.162
1710367320000,11.862000,11.862000,11.857000,11.859000,767.3,1710367379999,9099.6441000,93,396.4,1710371640000,12.162
1710367380000,11.859000,11.862000,11.857000,11.859000,331.2,1710367439999,3927.9723000,55,180.8,1710371640000,12.162
1710367440000,11.858000,11.860000,11.847000,11.853000,741.0,1710367499999,8782.3821000,93,294.6,1710371640000,12.162
1710367500000,11.855000,11.872000,11.846000,11.870000,1347.1,1710367559999,15968.2530000,179,777.9,1710371640000,12.162
1710367560000,11.872000,11.886000,11.866000,11.868000,1044.5,1710367619999,12405.1276000,200,654.7,1710371640000,12.162
1710367620000,11.868000,11.890000,11.867000,11.881000,1474.6,1710367679999,17515.8381000,154,1153.8,1710371640000,12.162
1710367680000,11.880000,11.882000,11.870000,11.872000,708.0,1710367739999,8408.0350000,117,447.5,1710371640000,12.162
1710367740000,11.875000,11.887000,11.875000,11.885000,265.7,1710367799999,3157.5853000,62,191.4,1710371640000,12.162
1710367800000,11.886000,11.891000,11.877000,11.877000,417.6,1710367859999,4963.9942000,77,121.9,1710371640000,12.162
1710367860000,11.880000,11.880000,11.860000,11.861000,389.0,1710367919999,4617.6864000,45,109.2,1710371640000,12.162
1710367920000,11.863000,11.865000,11.862000,11.865000,264.8,1710367979999,3141.5284000,34,155.3,1710371640000,12.162
1710367980000,11.868000,11.878000,11.868000,11.876000,294.7,1710368039999,3498.2328000,59,205.5,1710371640000,12.162
1710368040000,11.874000,11.900000,11.873000,11.881000,5777.2,1710368099999,68670.0428000,225,3947.3,1710371640000,12.162
1710368100000,11.882000,11.903000,11.878000,11.903000,746.7,1710368159999,8878.9302000,128,676.4,1710371640000,12.162
1710368160000,11.903000,11.906000,11.895000,11.906000,922.0,1710368219999,10972.0062000,105,726.6,1710371640000,12.162
1710368220000,11.903000,11.928000,11.902000,11.922000,4328.4,1710368279999,51561.5150000,315,3058.8,1710371640000,12.162
1710368280000,11.922000,11.954000,11.921000,11.953000,3757.3,1710368339999,44856.2621000,612,2216.3,1710371640000,12.162
1710368340000,11.953000,11.976000,11.948000,11.966000,4318.2,1710368399999,51665.8708000,381,2691.9,1710371640000,12.162
1710368400000,11.965000,11.983000,11.962000,11.978000,2375.2,1710368459999,28443.6585000,264,1333.9,1710371640000,12.162
1710368460000,11.978000,12.009000,11.977000,11.990000,11975.5,1710368519999,143673.4187000,656,5873.9,1710371640000,12.162
1710368520000,11.989000,12.011000,11.968000,11.977000,7337.1,1710368579999,87961.3542000,514,3176.6,1710371640000,12.162
1710368580000,11.976000,11.987000,11.968000,11.984000,1237.6,1710368639999,14824.4135000,109,830.6,1710371640000,12.162
1710368640000,11.984000,11.985000,11.971000,11.975000,1357.1,1710368699999,16256.1760000,112,304.0,1710371640000,12.162
1710368700000,11.970000,11.978000,11.966000,11.973000,767.9,1710368759999,9192.3034000,110,415.2,1710371640000,12.162
1710368760000,11.972000,11.974000,11.930000,11.934000,3691.3,1710368819999,44118.9032000,257,314.0,1710371640000,12.162
1710368820000,11.937000,11.939000,11.933000,11.937000,630.6,1710368879999,7526.8446000,74,210.4,1710371640000,12.162
1710368880000,11.936000,11.938000,11.935000,11.936000,387.2,1710368939999,4621.6709000,38,260.9,1710371640000,12.162
1710368940000,11.937000,11.941000,11.930000,11.939000,961.5,1710368999999,11476.5142000,109,521.8,1710371640000,12.162
1710369000000,11.937000,11.941000,11.920000,11.941000,3917.7,1710369059999,46734.4537000,202,3003.5,1710371640000,12.162
1710369060000,11.943000,11.953000,11.940000,11.945000,1207.7,1710369119999,14427.7905000,153,478.4,1710371640000,12.162
1710369120000,11.945000,11.957000,11.945000,11.947000,3549.1,1710369179999,42414.9292000,132,3097.5,1710371640000,12.162
1710369180000,11.947000,11.950000,11.920000,11.940000,2009.5,1710369239999,23989.9205000,226,520.3,1710371640000,12.162
1710369240000,11.940000,11.961000,11.940000,11.959000,1127.8,1710369299999,13480.4039000,80,870.8,1710371640000,12.162
1710369300000,11.958000,11.976000,11.952000,11.976000,1323.8,1710369359999,15834.8731000,145,916.1,1710371640000,12.162
1710369360000,11.978000,11.979000,11.948000,11.967000,4098.4,1710369419999,49031.8535000,356,810.5,1710371640000,12.162
1710369420000,11.968000,11.972000,11.946000,11.965000,1423.9,1710369479999,17029.3682000,185,461.3,1710371640000,12.162
1710369480000,11.967000,11.968000,11.951000,11.951000,673.3,1710369539999,8051.8865000,107,297.3,1710371640000,12.162
