Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711003140000,0.2218,0.2220,0.2216,0.2220,6880.8,1711003199999,1526.26060,24,4839.0,1711008480000,0.2236
1711003200000,0.2218,0.2218,0.2212,0.2213,22743.3,1711003259999,5035.75567,71,4847.6,1711008480000,0.2236
1711003260000,0.2212,0.2214,0.2209,0.2212,56256.4,1711003319999,12442.33797,133,41273.8,1711008480000,0.2236
1711003320000,0.2212,0.2212,0.2208,0.2208,8274.9,1711003379999,1828.86792,20,1782.9,1711008480000,0.2236
1711003380000,0.2208,0.2209,0.2208,0.2209,11458.3,1711003439999,2531.11500,18,6199.6,1711008480000,0.2236
1711003440000,0.2209,0.2209,0.2208,0.2209,8826.3,1711003499999,1949.44576,14,4644.4,1711008480000,0.2236
1711003500000,0.2210,0.2210,0.2205,0.2207,44258.8,1711003559999,9767.36886,89,14850.4,1711008480000,0.2236
1711003560000,0.2207,0.2215,0.2205,0.2212,28133.2,1711003619999,6209.08103,52,9574.7,1711008480000,0.2236
1711003620000,0.2212,0.2215,0.2212,0.2215,32391.9,1711003679999,7172.86623,57,19955.3,1711008480000,0.2236
1711003680000,0.2214,0.2214,0.2212,0.2214,53175.0,1711003739999,11769.92021,77,10871.1,1711008480000,0.2236
1711003740000,0.2215,0.2216,0.2212,0.2216,29708.4,1711003799999,6576.88542,57,6762.3,1711008480000,0.2236
1711003800000,0.2216,0.2219,0.2215,0.2218,17166.5,1711003859999,3806.84766,57,5294.9,1711008480000,0.2236
1711003860000,0.2218,0.2218,0.2211,0.2213,21266.7,1711003919999,4707.61846,41,5094.9,1711008480000,0.2236
1711003920000,0.2213,0.2218,0.2212,0.2218,14775.6,1711003979999,3274.46997,41,5024.0,1711008480000,0.2236
1711003980000,0.2218,0.2218,0.2214,0.2215,10156.3,1711004039999,2249.99703,35,4894.8,1711008480000,0.2236
1711004040000,0.2214,0.2214,0.2214,0.2214,863.7,1711004099999,191.22318,13,633.3,1711008480000,0.2236
1711004100000,0.2214,0.2215,0.2214,0.2215,13619.8,1711004159999,3016.40714,38,5804.2,1711008480000,0.2236
1711004160000,0.2214,0.2216,0.2214,0.2216,9419.9,1711004219999,2087.08322,35,6134.6,1711008480000,0.2236
1711004220000,0.2216,0.2217,0.2215,0.2215,37643.8,1711004279999,8340.41862,61,12227.0,1711008480000,0.2236
1711004280000,0.2216,0.2216,0.2209,0.2209,42133.6,1711004339999,9318.08813,51,1861.8,1711008480000,0.2236
1711004340000,0.2208,0.2211,0.2208,0.2210,2561.7,1711004399999,566.06239,17,966.9,1711008480000,0.2236
1711004400000,0.2209,0.2209,0.2204,0.2205,26359.8,1711004459999,5817.96800,73,15002.2,1711008480000,0.2236
1711004460000,0.2205,0.2207,0.2202,0.2207,33831.3,1711004519999,7458.84098,91,15137.9,1711008480000,0.2236
1711004520000,0.2207,0.2207,0.2205,0.2206,10259.4,1711004579999,2263.16884,35,1562.6,1711008480000,0.2236
1711004580000,0.2204,0.2207,0.2203,0.2206,40973.3,1711004639999,9034.02696,86,6250.7,1711008480000,0.2236
1711004640000,0.2205,0.2211,0.2205,0.2208,28540.2,1711004699999,6302.04349,78,21019.5,1711008480000,0.2236
1711004700000,0.2209,0.2211,0.2208,0.2211,31488.7,1711004759999,6958.62557,68,23648.9,1711008480000,0.2236
1711004760000,0.2212,0.2214,0.2212,0.2213,23997.6,1711004819999,5310.40133,67,9224.7,1711008480000,0.2236
1711004820000,0.2213,0.2216,0.2213,0.2215,7461.1,1711004879999,1652.55397,39,4094.3,1711008480000,0.2236
1711004880000,0.2215,0.2215,0.2210,0.2211,23444.9,1711004939999,5188.39780,63,5678.4,1711008480000,0.2236
1711004940000,0.2212,0.2216,0.2212,0.2216,10215.1,1711004999999,2261.76513,31,6419.7,1711008480000,0.2236
1711005000000,0.2217,0.2217,0.2212,0.2215,31602.2,1711005059999,7001.81668,78,21979.3,1711008480000,0.2236
1711005060000,0.2216,0.2218,0.2214,0.2215,12813.8,1711005119999,2839.47264,52,2712.9,1711008480000,0.2236
1711005120000,0.2214,0.2214,0.2211,0.2213,6986.6,1711005179999,1546.02889,26,2427.1,1711008480000,0.2236
1711005180000,0.2213,0.2213,0.2211,0.2213,14970.4,1711005239999,3312.80936,41,5260.7,1711008480000,0.2236
