Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711709280000,38.70,38.73,38.65,38.73,507.802,1711709339999,19646.78390,127,415.955,1711714680000,40.12
1711709340000,38.73,38.78,38.73,38.76,228.057,1711709399999,8838.67673,73,210.324,1711714680000,40.12
1711709400000,38.78,38.78,38.75,38.75,94.518,1711709459999,3664.56569,53,38.677,1711714680000,40.12
1711709460000,38.76,38.79,38.73,38.78,259.644,1711709519999,10063.82422,78,199.301,1711714680000,40.12
1711709520000,38.77,38.82,38.77,38.82,73.218,1711709579999,2841.31053,51,50.289,1711714680000,40.12
1711709580000,38.83,38.97,38.83,38.93,954.342,1711709639999,37117.87329,292,793.459,1711714680000,40.12
1711709640000,38.94,39.14,38.92,39.10,4779.651,1711709699999,186600.09740,913,3210.358,1711714680000,40.12
1711709700000,39.09,39.10,39.06,39.08,1076.882,1711709759999,42086.82703,294,621.598,1711714680000,40.12
1711709760000,39.07,39.11,39.03,39.11,770.318,1711709819999,30088.36339,209,349.910,1711714680000,40.12
1711709820000,39.10,39.16,39.06,39.14,1130.915,1711709879999,44230.37381,221,698.928,1711714680000,40.12
1711709880000,39.14,39.15,39.05,39.05,491.320,1711709939999,19212.80873,142,121.696,1711714680000,40.12
1711709940000,39.06,39.19,39.06,39.18,1157.315,1711709999999,45293.52606,519,1047.597,1711714680000,40.12
1711710000000,39.17,39.20,39.16,39.19,500.391,1711710059999,19605.84713,170,191.385,1711714680000,40.12
1711710060000,39.20,39.24,39.17,39.22,1339.921,1711710119999,52514.80317,275,236.246,1711714680000,40.12
1711710120000,39.21,39.22,39.18,39.20,276.562,1711710179999,10840.89913,130,150.488,1711714680000,40.12
1711710180000,39.22,39.22,39.17,39.18,170.022,1711710239999,6666.11432,74,130.382,1711714680000,40.12
1711710240000,39.18,39.19,39.12,39.14,367.134,1711710299999,14375.46730,167,100.515,1711714680000,40.12
1711710300000,39.13,39.15,39.09,39.11,1291.391,1711710359999,50520.64427,277,362.671,1711714680000,40.12
1711710360000,39.10,39.13,39.10,39.12,336.233,1711710419999,13150.77764,99,187.431,1711714680000,40.12
1711710420000,39.12,39.28,39.12,39.26,3871.655,1711710479999,151764.63495,392,2217.997,1711714680000,40.12
1711710480000,39.26,39.41,39.25,39.38,5365.321,1711710539999,211254.45032,650,2627.546,1711714680000,40.12
1711710540000,39.37,39.38,39.33,39.36,770.802,1711710599999,30339.77787,160,476.504,1711714680000,40.12
1711710600000,39.35,39.38,39.33,39.36,753.367,1711710659999,29647.88188,148,569.856,1711714680000,40.12
1711710660000,39.36,39.42,39.36,39.40,1342.282,1711710719999,52888.24302,287,991.571,1711714680000,40.12
1711710720000,39.40,39.68,39.40,39.62,4695.718,1711710779999,185744.88712,985,3437.935,1711714680000,40.12
1711710780000,39.62,39.93,39.62,39.92,8286.984,1711710839999,329800.94526,1680,5278.523,1711714680000,40.12
1711710840000,39.93,40.00,39.87,39.89,3825.415,1711710899999,152770.56363,993,1569.028,1711714680000,40.12
1711710900000,39.91,39.98,39.76,39.93,4344.418,1711710959999,173248.98084,875,2989.358,1711714680000,40.12
1711710960000,39.93,39.95,39.83,39.87,2184.003,1711711019999,87112.32423,394,711.676,1711714680000,40.12
1711711020000,39.87,39.92,39.82,39.83,1355.886,1711711079999,54045.08891,294,749.395,1711714680000,40.12
1711711080000,39.82,39.91,39.78,39.90,1076.640,1711711139999,42883.31194,257,759.153,1711714680000,40.12
1711711140000,39.90,39.91,39.86,39.86,602.445,1711711199999,24025.12364,131,172.725,1711714680000,40.12
1711711200000,39.87,39.99,39.86,39.98,1746.833,1711711259999,69730.02847,352,1062.659,1711714680000,40.12
1711711260000,39.98,40.00,39.92,39.93,980.300,1711711319999,39176.33531,195,296.293,1711714680000,40.12
1711711320000,39.94,39.98,39.94,39.97,421.430,1711711379999,16840.51184,313,281.006,1711714680000,40.12
1711711380000,39.95,39.96,39.90,39.94,651.444,1711711439999,26007.40779,139,182.321,1711714680000,40.12
