Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710839940000,1114.6,1114.6,1107.5,1110.6,8.084,1710839999999,8984.0870,178,3.286,1710845280000,1109.8
1710840000000,1111.5,1120.1,1110.5,1119.9,5.879,1710840059999,6553.0970,147,2.471,1710845280000,1109.8
1710840060000,1119.3,1120.5,1116.5,1119.5,6.550,1710840119999,7327.2911,163,3.348,1710845280000,1109.8
1710840120000,1119.9,1119.9,1115.5,1116.8,1.795,1710840179999,2005.4160,83,0.724,1710845280000,1109.8
1710840180000,1116.8,1119.8,1115.4,1119.7,2.756,1710840239999,3081.3436,90,1.825,1710845280000,1109.8
1710840240000,1120.1,1121.9,1117.8,1120.0,3.912,1710840299999,4381.8979,88,1.536,1710845280000,1109.8
1710840300000,1120.8,1122.7,1117.0,1117.8,3.854,1710840359999,4316.9914,88,1.022,1710845280000,1109.8
1710840360000,1117.5,1119.1,1115.6,1117.8,3.849,1710840419999,4301.7852,144,2.271,1710845280000,1109.8
1710840420000,1117.2,1117.2,1114.6,1115.1,1.757,1710840479999,1960.2282,74,0.512,1710845280000,1109.8
1710840480000,1114.8,1118.7,1114.8,1118.4,16.540,1710840539999,18462.4602,129,1.823,1710845280000,1109.8
1710840540000,1117.8,1119.1,1115.5,1116.3,0.730,1710840599999,815.3842,34,0.050,1710845280000,1109.8
1710840600000,1116.2,1119.0,1115.2,1119.0,3.863,1710840659999,4316.3811,98,2.015,1710845280000,1109.8
1710840660000,1117.6,1120.4,1116.3,1118.6,18.525,1710840719999,20708.1310,206,1.972,1710845280000,1109.8
1710840720000,1118.9,1122.4,1118.2,1122.4,2.171,1710840779999,2432.0510,53,1.100,1710845280000,1109.8
1710840780000,1122.3,1127.2,1122.2,1126.6,3.553,1710840839999,3994.6000,122,1.540,1710845280000,1109.8
1710840840000,1126.4,1126.5,1122.6,1124.8,5.086,1710840899999,5719.2118,147,2.697,1710845280000,1109.8
1710840900000,1124.4,1126.9,1123.7,1125.3,4.177,1710840959999,4699.2774,161,1.619,1710845280000,1109.8
1710840960000,1125.4,1125.5,1122.5,1123.9,6.063,1710841019999,6812.5893,84,0.794,1710845280000,1109.8
1710841020000,1123.3,1123.3,1116.9,1117.9,6.287,1710841079999,7031.6219,143,0.897,1710845280000,1109.8
1710841080000,1117.3,1119.1,1115.6,1116.4,3.771,1710841139999,4212.3915,108,1.137,1710845280000,1109.8
1710841140000,1116.5,1116.5,1111.9,1113.7,11.695,1710841199999,13025.3450,188,3.108,1710845280000,1109.8
1710841200000,1113.7,1114.9,1111.2,1112.7,3.741,1710841259999,4164.3272,96,1.271,1710845280000,1109.8
1710841260000,1113.4,1113.4,1111.0,1112.0,0.937,1710841319999,1042.0249,54,0.390,1710845280000,1109.8
1710841320000,1110.7,1115.3,1110.4,1112.7,1.470,1710841379999,1635.9548,60,0.631,1710845280000,1109.8
1710841380000,1113.9,1116.6,1113.5,1114.5,2.304,1710841439999,2569.8023,72,0.849,1710845280000,1109.8
1710841440000,1114.9,1117.7,1113.8,1117.2,2.031,1710841499999,2267.9337,41,0.697,1710845280000,1109.8
1710841500000,1116.0,1116.6,1113.6,1115.0,0.934,1710841559999,1041.0677,54,0.415,1710845280000,1109.8
1710841560000,1115.6,1121.0,1113.4,1120.1,3.360,1710841619999,3757.2323,92,1.892,1710845280000,1109.8
1710841620000,1120.0,1123.4,1119.5,1122.9,2.900,1710841679999,3252.7187,111,0.956,1710845280000,1109.8
1710841680000,1123.4,1125.0,1122.8,1123.8,2.586,1710841739999,2906.8937,79,0.974,1710845280000,1109.8
1710841740000,1124.4,1124.6,1122.1,1122.5,4.708,1710841799999,5288.3222,129,3.017,1710845280000,1109.8
1710841800000,1122.7,1125.3,1122.0,1125.1,1.427,1710841859999,1602.5716,80,0.513,1710845280000,1109.8
1710841860000,1124.9,1126.9,1124.0,1126.9,1.885,1710841919999,2120.6642,63,0.836,1710845280000,1109.8
1710841920000,1126.4,1126.9,1124.9,1126.7,5.276,1710841979999,5939.1932,123,2.913,1710845280000,1109.8
1710841980000,1126.9,1130.0,1126.7,1129.9,5.674,1710842039999,6399.1543,108,3.829,1710845280000,1109.8
1710842040000,1129.8,1131.7,1129.8,1131.7,7.777,1710842099999,8790.7389,86,5.211,1710845280000,1109.8
1710842100000,1131.9,1132.8,1130.9,1132.8,3.681,1710842159999,4165.8654,96,1.064,1710845280000,1109.8
1710842160000,1132.4,1134.1,1130.4,1131.6,3.334,1710842219999,3774.8015,130,1.218,1710845280000,1109.8
