Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710321480000,0.002268,0.002268,0.002266,0.002266,1551622,1710321539999,3516.896881,45,513530,1710326820000,0.002257
1710321540000,0.002265,0.002266,0.002263,0.002264,11518855,1710321599999,26075.695360,92,2367310,1710326820000,0.002257
1710321600000,0.002263,0.002263,0.002261,0.002262,1753835,1710321659999,3967.130015,51,625055,1710326820000,0.002257
1710321660000,0.002261,0.002261,0.002261,0.002261,4097235,1710321719999,9263.848335,31,243184,1710326820000,0.002257
1710321720000,0.002260,0.002260,0.002260,0.002260,1798035,1710321779999,4063.559100,14,31669,1710326820000,0.002257
1710321780000,0.002260,0.002260,0.002256,0.002256,22365129,1710321839999,50482.217184,151,404724,1710326820000,0.002257
1710321840000,0.002258,0.002259,0.002257,0.002259,2908155,1710321899999,6567.860869,50,1864349,1710326820000,0.002257
1710321900000,0.002259,0.002262,0.002259,0.002262,3131641,1710321959999,7079.760858,51,2530834,1710326820000,0.002257
1710321960000,0.002262,0.002263,0.002262,0.002262,2462347,1710322019999,5569.858145,50,2101018,1710326820000,0.002257
1710322020000,0.002263,0.002263,0.002262,0.002262,491843,1710322079999,1112.552363,7,3497,1710326820000,0.002257
1710322080000,0.002262,0.002262,0.002260,0.002260,3347577,1710322139999,7565.616531,17,9809,1710326820000,0.002257
1710322140000,0.002260,0.002261,0.002259,0.002259,793604,1710322199999,1793.177246,25,286612,1710326820000,0.002257
1710322200000,0.002260,0.002262,0.002260,0.002261,2715405,1710322259999,6139.242645,38,2473273,1710326820000,0.002257
1710322260000,0.002260,0.002260,0.002258,0.002258,5440025,1710322319999,12287.703874,57,1374546,1710326820000,0.002257
1710322320000,0.002259,0.002259,0.002257,0.002257,1150562,1710322379999,2598.239825,30,317465,1710326820000,0.002257
1710322380000,0.002257,0.002257,0.002253,0.002256,15253698,1710322439999,34389.042231,103,3239754,1710326820000,0.002257
1710322440000,0.002256,0.002258,0.002255,0.002258,833334,1710322499999,1880.711282,19,722530,1710326820000,0.002257
1710322500000,0.002258,0.002259,0.002258,0.002258,1250753,1710322559999,2824.213777,26,1168957,1710326820000,0.002257
1710322560000,0.002257,0.002257,0.002247,0.002252,58740593,1710322619999,132177.003864,250,2887469,1710326820000,0.002257
1710322620000,0.002252,0.002253,0.002250,0.002250,5050462,1710322679999,11370.543793,93,1130866,1710326820000,0.002257
1710322680000,0.002250,0.002252,0.002250,0.002252,4393582,1710322739999,9888.778798,54,4058215,1710326820000,0.002257
1710322740000,0.002252,0.002253,0.002252,0.002253,1168559,1710322799999,2632.133898,19,1168559,1710326820000,0.002257
1710322800000,0.002253,0.002253,0.002252,0.002253,2963687,1710322859999,6675.803115,45,787653,1710326820000,0.002257
1710322860000,0.002254,0.002255,0.002254,0.002254,520328,1710322919999,1172.917077,19,323023,1710326820000,0.002257
1710322920000,0.002253,0.002253,0.002252,0.002252,2117163,1710322979999,4769.830505,15,20000,1710326820000,0.002257
1710322980000,0.002252,0.002253,0.002251,0.002252,3000450,1710323039999,6757.856260,58,1388233,1710326820000,0.002257
1710323040000,0.002252,0.002253,0.002252,0.002252,550637,1710323099999,1240.150783,22,336295,1710326820000,0.002257
1710323100000,0.002252,0.002254,0.002252,0.002253,2899253,1710323159999,6532.765938,44,1436040,1710326820000,0.002257
1710323160000,0.002253,0.002253,0.002249,0.002249,3790565,1710323219999,8529.052902,44,0,1710326820000,0.002257
1710323220000,0.002248,0.002249,0.002245,0.002246,5215572,1710323279999,11719.668872,67,497328,1710326820000,0.002257
1710323280000,0.002245,0.002246,0.002241,0.002241,5359539,1710323339999,12025.007255,72,2202721,1710326820000,0.002257
1710323340000,0.002241,0.002244,0.002241,0.002243,4345049,1710323399999,9745.025831,56,2734309,1710326820000,0.002257
1710323400000,0.002243,0.002246,0.002243,0.002244,5338510,1710323459999,11983.280391,57,4381951,1710326820000,0.002257
1710323460000,0.002245,0.002245,0.002240,0.002242,5178059,1710323519999,11608.492687,81,1621606,1710326820000,0.002257
1710323520000,0.002242,0.002242,0.002240,0.002241,2343932,1710323579999,5253.613122,43,572875,1710326820000,0.002257
1710323580000,0.002241,0.002242,0.002241,0.002242,412037,1710323639999,923.702170,14,327253,1710326820000,0.002257
1710323640000,0.002241,0.002241,0.002239,0.002239,4159127,1710323699999,9315.952720,44,310089,1710326820000,0.002257
1710323700000,0.002238,0.002241,0.002238,0.002241,672789,1710323759999,1506.914632,17,665668,1710326820000,0.002257
1710323760000,0.002241,0.002243,0.002240,0.002242,4371872,1710323819999,9801.473759,52,3303179,1710326820000,0.002257
1710323820000,0.002243,0.002246,0.002243,0.002245,2511491,1710323879999,5636.723577,82,2088156,1710326820000,0.002257
1710323880000,0.002244,0.002244,0.002243,0.002244,1778358,1710323939999,3989.582628,23,106781,1710326820000,0.002257
1710323940000,0.002243,0.002245,0.002242,0.002242,3016529,1710323999999,6768.063475,32,1847148,1710326820000,0.002257
1710324000000,0.002242,0.002245,0.002242,0.002244,3661536,1710324059999,8216.060388,50,2620750,1710326820000,0.002257
1710324060000,0.002244,0.002244,0.002240,0.002240,7237671,1710324119999,16227.938926,66,1726223,1710326820000,0.002257
1710324120000,0.002240,0.002242,0.002236,0.002238,9982931,1710324179999,22352.570879,171,3922958,1710326820000,0.002257
1710324180000,0.002237,0.002238,0.002235,0.002236,4853207,1710324239999,10858.623570,65,2840047,1710326820000,0.002257
1710324240000,0.002236,0.002238,0.002235,0.002235,2992529,1710324299999,6692.148077,45,1161689,1710326820000,0.002257
1710324300000,0.002235,0.002236,0.002234,0.002235,3277588,1710324359999,7325.450534,72,1671312,1710326820000,0.002257
1710324360000,0.002235,0.002242,0.002235,0.002238,53299629,1710324419999,119306.457985,273,34583220,1710326820000,0.002257
1710324420000,0.002237,0.002238,0.002236,0.002236,4726543,1710324479999,10569.757776,47,963678,1710326820000,0.002257
1710324480000,0.002236,0.002239,0.002235,0.002239,13099782,1710324539999,29306.331262,68,11522398,1710326820000,0.002257
1710324540000,0.002239,0.002239,0.002235,0.002236,4059746,1710324599999,9077.444640,45,2639965,1710326820000,0.002257
1710324600000,0.002236,0.002240,0.002232,0.002238,38855695,1710324659999,86908.547848,248,22703738,1710326820000,0.002257
1710324660000,0.002239,0.002241,0.002237,0.002237,1627494,1710324719999,3644.577237,78,441875,1710326820000,0.002257
1710324720000,0.002238,0.002244,0.002238,0.002244,7336655,1710324779999,16439.275749,74,6642163,1710326820000,0.002257
1710324780000,0.002244,0.002246,0.002244,0.002246,5234451,1710324839999,11750.422130,45,4157669,1710326820000,0.002257
1710324840000,0.002247,0.002254,0.002247,0.002254,17844438,1710324899999,40185.311643,142,16956918,1710326820000,0.002257
1710324900000,0.002254,0.002255,0.002252,0.002252,8623953,1710324959999,19436.966863,108,3853574,1710326820000,0.002257
1710324960000,0.002252,0.002252,0.002250,0.002251,6285932,1710325019999,14147.366728,81,999393,1710326820000,0.002257
1710325020000,0.002250,0.002250,0.002245,0.002245,5369831,1710325079999,12072.095785,35,50510,1710326820000,0.002257
1710325080000,0.002245,0.002249,0.002245,0.002249,5631834,1710325139999,12655.927991,64,5220462,1710326820000,0.002257
1710325140000,0.002250,0.002254,0.002250,0.002254,3674928,1710325199999,8273.768791,72,2447033,1710326820000,0.002257
1710325200000,0.002254,0.002256,0.002253,0.002254,2201768,1710325259999,4964.008428,56,1066706,1710326820000,0.002257
1710325260000,0.002253,0.002253,0.002243,0.002246,13135028,1710325319999,29546.584044,115,1299601,1710326820000,0.002257
1710325320000,0.002245,0.002245,0.002242,0.002244,5527823,1710325379999,12401.162480,65,3078447,1710326820000,0.002257
1710325380000,0.002243,0.002245,0.002243,0.002244,5964831,1710325439999,13386.753181,60,3131567,1710326820000,0.002257
1710325440000,0.002245,0.002247,0.002245,0.002246,2635164,1710325499999,5918.392952,44,1687690,1710326820000,0.002257
1710325500000,0.002245,0.002245,0.002241,0.002245,3626247,1710325559999,8133.113416,56,1659348,1710326820000,0.002257
1710325560000,0.002244,0.002244,0.002240,0.002241,2509545,1710325619999,5627.483834,64,1166485,1710326820000,0.002257
1710325620000,0.002242,0.002244,0.002240,0.002240,5781470,1710325679999,12960.949390,103,4126223,1710326820000,0.002257
1710325680000,0.002240,0.002244,0.002240,0.002243,7812143,1710325739999,17518.008407,96,6905556,1710326820000,0.002257
1710325740000,0.002242,0.002245,0.002241,0.002244,3565222,1710325799999,7996.601146,48,2765902,1710326820000,0.002257
1710325800000,0.002245,0.002248,0.002245,0.002248,14101513,1710325859999,31670.967980,111,12046175,1710326820000,0.002257
1710325860000,0.002247,0.002250,0.002246,0.002249,4324853,1710325919999,9723.739987,62,2992864,1710326820000,0.002257
1710325920000,0.002249,0.002249,0.002243,0.002243,4273775,1710325979999,9597.099368,57,355409,1710326820000,0.002257
1710325980000,0.002243,0.002243,0.002243,0.002243,0,1710326039999,0,0,0,1710326820000,0.002257
1710326040000,0.002243,0.002246,0.002243,0.002243,4161375,1710326099999,9337.107223,96,2424071,1710326820000,0.002257
1710326100000,0.002244,0.002245,0.002243,0.002243,678595,1710326159999,1522.933584,25,483917,1710326820000,0.002257
1710326160000,0.002243,0.002243,0.002243,0.002243,31576,1710326219999,70.824968,2,0,1710326820000,0.002257
1710326220000,0.002244,0.002248,0.002244,0.002245,18019105,1710326279999,40480.717736,140,14786134,1710326820000,0.002257
1710326280000,0.002244,0.002244,0.002240,0.002242,3119351,1710326339999,6993.525565,64,882478,1710326820000,0.002257
1710326340000,0.002242,0.002243,0.002242,0.002243,249282,1710326399999,559.076214,18,110682,1710326820000,0.002257
1710326400000,0.002242,0.002246,0.002242,0.002246,954115,1710326459999,2139.980537,30,490025,1710326820000,0.002257
1710326460000,0.002246,0.002247,0.002244,0.002246,966882,1710326519999,2171.409614,40,360253,1710326820000,0.002257
1710326520000,0.002246,0.002246,0.002245,0.002245,1043868,1710326579999,2343.898007,28,24396,1710326820000,0.002257
1710326580000,0.002244,0.002244,0.002241,0.002242,4244117,1710326639999,9520.150754,84,1066148,1710326820000,0.002257
1710326640000,0.002243,0.002244,0.002243,0.002244,839208,1710326699999,1883.105584,27,779190,1710326820000,0.002257
1710326700000,0.002243,0.002244,0.002242,0.002243,3660005,1710326759999,8207.238732,64,698421,1710326820000,0.002257
1710326760000,0.002243,0.002245,0.002243,0.002245,1285609,1710326819999,2885.232699,47,1030050,1710326820000,0.002257
1710326820000,0.002245,0.002261,0.002245,0.002258,57245109,1710326879999,129022.552428,529,46478932,1710326820000,0.002257
1710326880000,0.002257,0.002269,0.002257,0.002267,43294430,1710326939999,97952.619667,487,30619718,1710326820000,0.002257
1710326940000,0.002267,0.002275,0.002267,0.002274,30458195,1710326999999,69210.043840,330,13929582,1710326820000,0.002257
1710327000000,0.002273,0.002283,0.002273,0.002276,48913256,1710327059999,111414.724016,529,30892337,1710326820000,0.002257
1710327060000,0.002277,0.002284,0.002273,0.002274,44978414,1710327119999,102494.624048,390,23555458,1710326820000,0.002257
1710327120000,0.002274,0.002279,0.002273,0.002273,32326243,1710327179999,73553.812949,301,18544896,1710326820000,0.002257
1710327180000,0.002272,0.002287,0.002272,0.002287,58736798,1710327239999,133918.326724,359,53976170,1710326820000,0.002257
1710327240000,0.002286,0.002290,0.002283,0.002287,51060662,1710327299999,116773.568272,263,21519509,1710326820000,0.002257
1710327300000,0.002288,0.002293,0.002287,0.002290,12476749,1710327359999,28562.522420,167,7540212,1710326820000,0.002257
1710327360000,0.002289,0.002296,0.002289,0.002294,30560987,1710327419999,70068.750807,288,12525248,1710326820000,0.002257
1710327420000,0.002294,0.002295,0.002274,0.002286,45623334,1710327479999,104066.154499,522,18946265,1710326820000,0.002257
1710327480000,0.002287,0.002289,0.002280,0.002280,27758967,1710327539999,63427.424985,227,4987431,1710326820000,0.002257
1710327540000,0.002279,0.002283,0.002277,0.002283,9633703,1710327599999,21962.806253,119,6772171,1710326820000,0.002257
1710327600000,0.002282,0.002283,0.002279,0.002280,11018290,1710327659999,25122.371875,124,4867295,1710326820000,0.002257
1710327660000,0.002280,0.002280,0.002276,0.002277,6821193,1710327719999,15541.843183,98,2806917,1710326820000,0.002257
1710327720000,0.002277,0.002292,0.002276,0.002290,20232090,1710327779999,46191.480356,291,14854172,1710326820000,0.002257
1710327780000,0.002290,0.002302,0.002288,0.002298,38604105,1710327839999,88627.113040,355,30793912,1710326820000,0.002257
1710327840000,0.002298,0.002304,0.002294,0.002301,42800050,1710327899999,98458.409442,465,31038342,1710326820000,0.002257
1710327900000,0.002301,0.002330,0.002300,0.002326,107615591,1710327959999,249072.969725,1039,71607832,1710326820000,0.002257
1710327960000,0.002325,0.002336,0.002319,0.002336,59489711,1710328019999,138463.030523,729,32029671,1710326820000,0.002257
1710328020000,0.002337,0.002337,0.002322,0.002327,75001628,1710328079999,174639.365579,735,32373817,1710326820000,0.002257
1710328080000,0.002327,0.002331,0.002325,0.002325,35781782,1710328139999,83307.569632,352,13224581,1710326820000,0.002257
1710328140000,0.002326,0.002326,0.002310,0.002316,81770585,1710328199999,189457.311355,706,24511395,1710326820000,0.002257
1710328200000,0.002316,0.002321,0.002312,0.002313,33829786,1710328259999,78326.034751,354,13000351,1710326820000,0.002257
1710328260000,0.002314,0.002328,0.002314,0.002315,41497136,1710328319999,96248.313381,553,19765849,1710326820000,0.002257
1710328320000,0.002315,0.002315,0.002310,0.002315,16915031,1710328379999,39117.167953,220,6383478,1710326820000,0.002257
1710328380000,0.002314,0.002315,0.002307,0.002310,10366055,1710328439999,23960.390887,176,2284238,1710326820000,0.002257
1710328440000,0.002311,0.002335,0.002311,0.002333,32114432,1710328499999,74683.680014,401,26935564,1710326820000,0.002257
1710328500000,0.002333,0.002337,0.002323,0.002323,54285380,1710328559999,126560.883265,415,10552180,1710326820000,0.002257
1710328560000,0.002324,0.002340,0.002318,0.002338,58898827,1710328619999,137201.487054,561,42761805,1710326820000,0.002257
1710328620000,0.002338,0.002340,0.002327,0.002330,56585677,1710328679999,132094.746238,514,20067126,1710326820000,0.002257
1710328680000,0.002331,0.002335,0.002323,0.002335,57894619,1710328739999,134856.320043,527,34987346,1710326820000,0.002257
1710328740000,0.002336,0.002339,0.002328,0.002338,25594385,1710328799999,59742.090293,386,17078336,1710326820000,0.002257
1710328800000,0.002336,0.002339,0.002327,0.002338,20302667,1710328859999,47356.375796,326,10836668,1710326820000,0.002257
1710328860000,0.002337,0.002341,0.002331,0.002334,32782686,1710328919999,76598.173354,435,10716151,1710326820000,0.002257
1710328920000,0.002335,0.002338,0.002333,0.002335,9002525,1710328979999,21021.808593,222,3039820,1710326820000,0.002257
1710328980000,0.002335,0.002341,0.002333,0.002333,24133606,1710329039999,56426.394509,253,5380500,1710326820000,0.002257
1710329040000,0.002334,0.002338,0.002329,0.002336,31476457,1710329099999,73443.479960,394,11965452,1710326820000,0.002257
1710329100000,0.002338,0.002338,0.002331,0.002333,23779197,1710329159999,55501.884578,303,9464214,1710326820000,0.002257
1710329160000,0.002332,0.002333,0.002320,0.002328,26119099,1710329219999,60739.414512,323,13453192,1710326820000,0.002257
1710329220000,0.002329,0.002330,0.002323,0.002324,7332209,1710329279999,17053.972562,169,2164035,1710326820000,0.002257
1710329280000,0.002324,0.002328,0.002318,0.002325,10078316,1710329339999,23402.322472,243,3364117,1710326820000,0.002257
