Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711909800000,0.01595,0.01595,0.01592,0.01593,255990,1711909859999,4078.97129,41,199683,1711915200000,0.01591
1711909860000,0.01593,0.01593,0.01592,0.01593,233811,1711909919999,3724.19226,29,181399,1711915200000,0.01591
1711909920000,0.01594,0.01594,0.01591,0.01593,334728,1711909979999,5329.95192,39,224306,1711915200000,0.01591
1711909980000,0.01592,0.01593,0.01589,0.01591,93181,1711910039999,1482.52029,20,3066,1711915200000,0.01591
1711910040000,0.01591,0.01591,0.01590,0.01590,145881,1711910099999,2319.53566,35,122525,1711915200000,0.01591
1711910100000,0.01589,0.01590,0.01589,0.01590,80719,1711910159999,1282.69326,16,6835,1711915200000,0.01591
1711910160000,0.01590,0.01590,0.01587,0.01588,143119,1711910219999,2274.46666,44,65918,1711915200000,0.01591
1711910220000,0.01589,0.01589,0.01588,0.01588,54331,1711910279999,862.93927,9,16299,1711915200000,0.01591
1711910280000,0.01589,0.01595,0.01589,0.01595,432753,1711910339999,6886.60073,66,320518,1711915200000,0.01591
1711910340000,0.01595,0.01595,0.01592,0.01593,164827,1711910399999,2626.36641,27,111487,1711915200000,0.01591
1711910400000,0.01594,0.01595,0.01594,0.01595,61357,1711910459999,978.05348,14,35888,1711915200000,0.01591
1711910460000,0.01595,0.01595,0.01590,0.01590,993262,1711910519999,15811.91065,76,29175,1711915200000,0.01591
1711910520000,0.01589,0.01590,0.01589,0.01590,163381,1711910579999,2596.97581,29,85172,1711915200000,0.01591
1711910580000,0.01591,0.01591,0.01591,0.01591,154093,1711910639999,2451.61963,11,154093,1711915200000,0.01591
1711910640000,0.01592,0.01592,0.01589,0.01591,549157,1711910699999,8733.48451,60,107343,1711915200000,0.01591
1711910700000,0.01591,0.01593,0.01591,0.01593,109214,1711910759999,1738.71720,30,89054,1711915200000,0.01591
1711910760000,0.01594,0.01594,0.01593,0.01593,116093,1711910819999,1849.50866,17,14717,1711915200000,0.01591
1711910820000,0.01592,0.01596,0.01592,0.01595,242795,1711910879999,3869.45867,40,171918,1711915200000,0.01591
1711910880000,0.01595,0.01595,0.01593,0.01594,193024,1711910939999,3076.80751,46,110056,1711915200000,0.01591
1711910940000,0.01594,0.01598,0.01594,0.01597,441161,1711910999999,7041.17809,40,436615,1711915200000,0.01591
1711911000000,0.01598,0.01598,0.01596,0.01597,354584,1711911059999,5662.50171,38,36500,1711915200000,0.01591
1711911060000,0.01597,0.01599,0.01594,0.01595,1156791,1711911119999,18464.73956,92,398098,1711915200000,0.01591
1711911120000,0.01594,0.01598,0.01594,0.01597,503550,1711911179999,8039.86656,33,434108,1711915200000,0.01591
1711911180000,0.01596,0.01597,0.01593,0.01593,419451,1711911239999,6685.50607,37,48468,1711915200000,0.01591
1711911240000,0.01592,0.01592,0.01591,0.01591,43640,1711911299999,694.74566,12,0,1711915200000,0.01591
1711911300000,0.01592,0.01592,0.01592,0.01592,490,1711911359999,7.80080,1,490,1711915200000,0.01591
1711911360000,0.01592,0.01593,0.01591,0.01591,341625,1711911419999,5438.00326,31,157630,1711915200000,0.01591
1711911420000,0.01591,0.01593,0.01590,0.01591,227095,1711911479999,3615.13328,34,59861,1711915200000,0.01591
1711911480000,0.01591,0.01591,0.01588,0.01588,182667,1711911539999,2902.23965,21,2721,1711915200000,0.01591
1711911540000,0.01588,0.01590,0.01588,0.01588,164148,1711911599999,2607.19344,30,145148,1711915200000,0.01591
1711911600000,0.01588,0.01591,0.01584,0.01589,2064197,1711911659999,32775.42255,178,1065138,1711915200000,0.01591
1711911660000,0.01589,0.01595,0.01589,0.01592,2085058,1711911719999,33190.75716,172,1659088,1711915200000,0.01591
1711911720000,0.01591,0.01592,0.01588,0.01589,604454,1711911779999,9609.67222,58,227636,1711915200000,0.01591
1711911780000,0.01589,0.01592,0.01588,0.01591,237168,1711911839999,3772.88921,39,193163,1711915200000,0.01591
1711911840000,0.01591,0.01591,0.01586,0.01587,104713,1711911899999,1663.52064,28,21696,1711915200000,0.01591
1711911900000,0.01587,0.01590,0.01586,0.01589,487824,1711911959999,7742.71182,53,295695,1711915200000,0.01591
1711911960000,0.01590,0.01593,0.01590,0.01592,269109,1711912019999,4281.64969,39,172062,1711915200000,0.01591
1711912020000,0.01593,0.01595,0.01593,0.01595,84983,1711912079999,1354.37365,19,82729,1711915200000,0.01591
1711912080000,0.01595,0.01597,0.01595,0.01595,155788,1711912139999,2485.60854,26,105658,1711915200000,0.01591
1711912140000,0.01596,0.01596,0.01596,0.01596,100948,1711912199999,1611.13008,12,100948,1711915200000,0.01591
1711912200000,0.01597,0.01599,0.01596,0.01596,397610,1711912259999,6350.74486,51,244116,1711915200000,0.01591
1711912260000,0.01596,0.01596,0.01594,0.01594,116834,1711912319999,1862.74947,19,29487,1711915200000,0.01591
1711912320000,0.01594,0.01595,0.01594,0.01595,28023,1711912379999,446.84709,17,11976,1711915200000,0.01591
1711912380000,0.01596,0.01596,0.01595,0.01595,3319,1711912439999,52.96029,4,2224,1711915200000,0.01591
1711912440000,0.01596,0.01598,0.01596,0.01596,215582,1711912499999,3441.95836,32,70090,1711915200000,0.01591
1711912500000,0.01597,0.01601,0.01597,0.01601,291244,1711912559999,4658.25985,45,240259,1711915200000,0.01591
1711912560000,0.01600,0.01602,0.01599,0.01602,721974,1711912619999,11558.96497,90,433340,1711915200000,0.01591
1711912620000,0.01601,0.01601,0.01598,0.01598,409960,1711912679999,6560.36338,38,105428,1711915200000,0.01591
1711912680000,0.01598,0.01600,0.01598,0.01600,172569,1711912739999,2758.92498,27,82248,1711915200000,0.01591
1711912740000,0.01601,0.01603,0.01600,0.01602,269040,1711912799999,4308.46480,54,229103,1711915200000,0.01591
1711912800000,0.01601,0.01601,0.01599,0.01600,145753,1711912859999,2331.33799,33,20090,1711915200000,0.01591
1711912860000,0.01600,0.01601,0.01600,0.01600,164311,1711912919999,2630.19900,23,43318,1711915200000,0.01591
1711912920000,0.01600,0.01602,0.01599,0.01602,227546,1711912979999,3641.12301,33,56037,1711915200000,0.01591
1711912980000,0.01603,0.01605,0.01601,0.01603,218583,1711913039999,3503.57908,44,159976,1711915200000,0.01591
