Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710677700000,0.2531680,0.2534250,0.2531170,0.2531380,16953,1710677759999,4293.7850460,96,6374,1710683100000,0.252895
1710677760000,0.2532560,0.2532560,0.2525790,0.2531700,22700,1710677819999,5739.1753440,142,8951,1710683100000,0.252895
1710677820000,0.2530020,0.2530020,0.2524750,0.2525960,18298,1710677879999,4623.1235400,73,10652,1710683100000,0.252895
1710677880000,0.2525130,0.2525130,0.2519810,0.2519810,24324,1710677939999,6133.9213850,120,14723,1710683100000,0.252895
1710677940000,0.2520620,0.2520620,0.2516770,0.2517420,27443,1710677999999,6911.5616200,93,7867,1710683100000,0.252895
1710678000000,0.2516780,0.2517040,0.2513550,0.2514770,41196,1710678059999,10362.3753550,113,7746,1710683100000,0.252895
1710678060000,0.2514280,0.2514280,0.2507000,0.2508020,102637,1710678119999,25765.3195010,274,39960,1710683100000,0.252895
1710678120000,0.2510790,0.2517370,0.2510790,0.2516450,42989,1710678179999,10807.3420440,122,25151,1710683100000,0.252895
1710678180000,0.2515450,0.2515450,0.2511850,0.2512090,17982,1710678239999,4519.3945060,81,7337,1710683100000,0.252895
1710678240000,0.2513130,0.2513710,0.2511000,0.2511310,38870,1710678299999,9763.5104590,164,19405,1710683100000,0.252895
1710678300000,0.2511310,0.2512180,0.2511000,0.2511180,59356,1710678359999,14905.0641530,156,18944,1710683100000,0.252895
1710678360000,0.2511180,0.2512090,0.2506130,0.2507010,72904,1710678419999,18297.8747780,155,18194,1710683100000,0.252895
1710678420000,0.2507360,0.2507360,0.2499000,0.2500530,93329,1710678479999,23345.7996690,245,20894,1710683100000,0.252895
1710678480000,0.2500780,0.2502130,0.2495380,0.2498840,55076,1710678539999,13768.1233470,203,32509,1710683100000,0.252895
1710678540000,0.2498870,0.2500780,0.2497760,0.2497760,17590,1710678599999,4395.9289560,55,5906,1710683100000,0.252895
1710678600000,0.2498600,0.2502420,0.2498340,0.2498340,24344,1710678659999,6085.6079340,113,11890,1710683100000,0.252895
1710678660000,0.2498340,0.2499780,0.2495260,0.2497270,12038,1710678719999,3006.3814900,76,6211,1710683100000,0.252895
1710678720000,0.2497980,0.2497980,0.2488990,0.2489700,23895,1710678779999,5955.0018840,135,5054,1710683100000,0.252895
1710678780000,0.2490030,0.2495370,0.2490030,0.2495370,24527,1710678839999,6111.6869870,98,19626,1710683100000,0.252895
1710678840000,0.2496260,0.2498270,0.2494660,0.2498270,10014,1710678899999,2499.0817150,67,4546,1710683100000,0.252895
1710678900000,0.2498270,0.2501410,0.2495350,0.2495770,25020,1710678959999,6250.2942610,114,10895,1710683100000,0.252895
1710678960000,0.2495480,0.2496930,0.2494160,0.2494160,3679,1710679019999,918.0364920,25,246,1710683100000,0.252895
1710679020000,0.2494240,0.2494240,0.2490910,0.2493010,8216,1710679079999,2047.8723530,52,6047,1710683100000,0.252895
1710679080000,0.2491670,0.2493690,0.2489420,0.2493690,16475,1710679139999,4103.6477310,52,3034,1710683100000,0.252895
1710679140000,0.2494020,0.2500480,0.2494020,0.2498660,34184,1710679199999,8542.1516380,120,18947,1710683100000,0.252895
1710679200000,0.2498990,0.2499410,0.2495100,0.2496300,14733,1710679259999,3680.3595740,53,4001,1710683100000,0.252895
1710679260000,0.2496100,0.2496300,0.2490410,0.2490410,7209,1710679319999,1798.4567280,27,444,1710683100000,0.252895
1710679320000,0.2490670,0.2495520,0.2490670,0.2493260,12321,1710679379999,3071.6774200,113,6271,1710683100000,0.252895
1710679380000,0.2493270,0.2495520,0.2492760,0.2493440,9719,1710679439999,2423.7745760,56,3383,1710683100000,0.252895
1710679440000,0.2493260,0.2493260,0.2482910,0.2485450,47028,1710679499999,11688.4813030,107,3753,1710683100000,0.252895
1710679500000,0.2485150,0.2485150,0.2480600,0.2481260,20967,1710679559999,5204.4147780,124,3086,1710683100000,0.252895
1710679560000,0.2481680,0.2484700,0.2478670,0.2478670,39294,1710679619999,9747.0878360,81,5506,1710683100000,0.252895
1710679620000,0.2478670,0.2479100,0.2476340,0.2477700,26105,1710679679999,6467.8137500,70,16444,1710683100000,0.252895
1710679680000,0.2477660,0.2481540,0.2477660,0.2480810,10468,1710679739999,2596.0402650,67,8971,1710683100000,0.252895
1710679740000,0.2478960,0.2479800,0.2473520,0.2476460,47319,1710679799999,11715.8541230,163,8515,1710683100000,0.252895
1710679800000,0.2476820,0.2476960,0.2470270,0.2473680,38753,1710679859999,9584.8202390,145,8456,1710683100000,0.252895
1710679860000,0.2474320,0.2476540,0.2470670,0.2470990,22638,1710679919999,5599.7246990,164,10416,1710683100000,0.252895
1710679920000,0.2471350,0.2471350,0.2462960,0.2465080,60308,1710679979999,14882.7633600,247,14512,1710683100000,0.252895
1710679980000,0.2463690,0.2466370,0.2457880,0.2461370,24850,1710680039999,6116.0739080,167,3532,1710683100000,0.252895
1710680040000,0.2461550,0.2466830,0.2460460,0.2462210,55615,1710680099999,13698.5828250,180,42954,1710683100000,0.252895
1710680100000,0.2462320,0.2468590,0.2461320,0.2465790,23975,1710680159999,5911.2849510,145,11844,1710683100000,0.252895
1710680160000,0.2466190,0.2466440,0.2452400,0.2457190,34365,1710680219999,8446.4970230,175,6535,1710683100000,0.252895
1710680220000,0.2456940,0.2464060,0.2455320,0.2464060,15576,1710680279999,3829.1110070,88,9785,1710683100000,0.252895
1710680280000,0.2464620,0.2469300,0.2461840,0.2468060,24426,1710680339999,6023.1431250,148,13902,1710683100000,0.252895
1710680340000,0.2469170,0.2471490,0.2468120,0.2469280,19811,1710680399999,4892.5724490,87,6598,1710683100000,0.252895
1710680400000,0.2470340,0.2480230,0.2469890,0.2477410,47780,1710680459999,11831.2528560,155,23824,1710683100000,0.252895
1710680460000,0.2478380,0.2491920,0.2477860,0.2487960,54251,1710680519999,13475.4988900,208,39938,1710683100000,0.252895
1710680520000,0.2489380,0.2500060,0.2484920,0.2496630,57172,1710680579999,14233.1339490,268,24515,1710683100000,0.252895
1710680580000,0.2496650,0.2502600,0.2488000,0.2489890,38351,1710680639999,9569.4914610,226,17449,1710683100000,0.252895
1710680640000,0.2489430,0.2491320,0.2485880,0.2487460,22440,1710680699999,5583.6404430,131,3405,1710683100000,0.252895
1710680700000,0.2487470,0.2498060,0.2486890,0.2495700,34602,1710680759999,8627.7783370,209,18867,1710683100000,0.252895
1710680760000,0.2496120,0.2498290,0.2492490,0.2494920,19972,1710680819999,4983.9885600,114,8741,1710683100000,0.252895
1710680820000,0.2493940,0.2498110,0.2493880,0.2496310,7054,1710680879999,1760.8469760,72,4702,1710683100000,0.252895
1710680880000,0.2497350,0.2498900,0.2497300,0.2498830,3274,1710680939999,817.8262620,64,1872,1710683100000,0.252895
1710680940000,0.2498280,0.2498930,0.2496250,0.2497480,12344,1710680999999,3082.8318200,75,2331,1710683100000,0.252895
1710681000000,0.2497870,0.2500860,0.2497680,0.2500860,10192,1710681059999,2546.7725530,47,8004,1710683100000,0.252895
1710681060000,0.2501200,0.2501760,0.2495270,0.2495270,13162,1710681119999,3290.0378320,71,655,1710683100000,0.252895
1710681120000,0.2494930,0.2496590,0.2488540,0.2488540,7546,1710681179999,1881.0234790,48,1976,1710683100000,0.252895
1710681180000,0.2488590,0.2492600,0.2488590,0.2492600,7980,1710681239999,1987.4621070,56,3672,1710683100000,0.252895
1710681240000,0.2492600,0.2496070,0.2491510,0.2495690,5464,1710681299999,1362.6146110,68,3845,1710683100000,0.252895
1710681300000,0.2495690,0.2504310,0.2493480,0.2504310,59218,1710681359999,14811.2184540,166,44797,1710683100000,0.252895
1710681360000,0.2503900,0.2512720,0.2498020,0.2512460,78708,1710681419999,19722.1538020,247,22880,1710683100000,0.252895
1710681420000,0.2511850,0.2514610,0.2508090,0.2509960,14749,1710681479999,3702.7843370,115,5394,1710683100000,0.252895
1710681480000,0.2507430,0.2509930,0.2504910,0.2504910,6742,1710681539999,1690.8168410,54,2580,1710683100000,0.252895
1710681540000,0.2504410,0.2507970,0.2503420,0.2504890,29420,1710681599999,7370.7911950,115,19274,1710683100000,0.252895
1710681600000,0.2505780,0.2505780,0.2502880,0.2504890,5661,1710681659999,1417.7220480,51,1975,1710683100000,0.252895
1710681660000,0.2504890,0.2505360,0.2500630,0.2500700,34170,1710681719999,8553.0510510,97,7419,1710683100000,0.252895
1710681720000,0.2501780,0.2506740,0.2501780,0.2506740,16036,1710681779999,4016.2306670,79,14443,1710683100000,0.252895
1710681780000,0.2502900,0.2504000,0.2495480,0.2495480,55042,1710681839999,13762.6331760,131,35163,1710683100000,0.252895
1710681840000,0.2495480,0.2498280,0.2492300,0.2498280,18411,1710681899999,4593.4119290,83,13421,1710683100000,0.252895
1710681900000,0.2499270,0.2502710,0.2495620,0.2496380,10301,1710681959999,2575.0762970,74,4343,1710683100000,0.252895
1710681960000,0.2496050,0.2496050,0.2487660,0.2488250,9753,1710682019999,2429.9911790,78,2805,1710683100000,0.252895
1710682020000,0.2487720,0.2492250,0.2485430,0.2491700,13154,1710682079999,3274.0188020,115,7736,1710683100000,0.252895
1710682080000,0.2491720,0.2493710,0.2488320,0.2491710,12243,1710682139999,3050.0514480,93,6622,1710683100000,0.252895
1710682140000,0.2491330,0.2494120,0.2490740,0.2493120,13816,1710682199999,3444.2861110,58,11060,1710683100000,0.252895
1710682200000,0.2492710,0.2496030,0.2491960,0.2496030,42592,1710682259999,10624.0084660,166,20150,1710683100000,0.252895
1710682260000,0.2495450,0.2496020,0.2491530,0.2491530,62086,1710682319999,15483.7900030,137,19773,1710683100000,0.252895
1710682320000,0.2492190,0.2503210,0.2492190,0.2501060,179194,1710682379999,44786.4030940,384,146145,1710683100000,0.252895
1710682380000,0.2502090,0.2510000,0.2501770,0.2508250,16847,1710682439999,4221.1969390,102,10564,1710683100000,0.252895
1710682440000,0.2507750,0.2509610,0.2506650,0.2507290,14060,1710682499999,3525.6912540,85,5767,1710683100000,0.252895
1710682500000,0.2506750,0.2507290,0.2504390,0.2505760,4094,1710682559999,1025.6980480,34,2960,1710683100000,0.252895
1710682560000,0.2506010,0.2509290,0.2505460,0.2505460,8638,1710682619999,2165.3750420,56,4143,1710683100000,0.252895
1710682620000,0.2505000,0.2505000,0.2499140,0.2500970,10226,1710682679999,2557.2185620,48,2554,1710683100000,0.252895
1710682680000,0.2500810,0.2502160,0.2499770,0.2500710,19661,1710682739999,4917.2497210,64,3975,1710683100000,0.252895
1710682740000,0.2500720,0.2505230,0.2500720,0.2504310,7642,1710682799999,1912.6018970,40,6226,1710683100000,0.252895
1710682800000,0.2504660,0.2505230,0.2501130,0.2502310,24342,1710682859999,6091.4000020,80,4351,1710683100000,0.252895
1710682860000,0.2502040,0.2504380,0.2501060,0.2504380,7957,1710682919999,1991.0958690,52,5408,1710683100000,0.252895
1710682920000,0.2504070,0.2504070,0.2500740,0.2500740,3204,1710682979999,801.6965760,34,2090,1710683100000,0.252895
1710682980000,0.2499550,0.2509050,0.2499550,0.2507990,17278,1710683039999,4329.4361990,52,14510,1710683100000,0.252895
1710683040000,0.2508210,0.2511740,0.2505210,0.2511740,66651,1710683099999,16721.0053090,147,45664,1710683100000,0.252895
1710683100000,0.2510920,0.2531100,0.2510920,0.2530660,212710,1710683159999,53676.7111910,537,148104,1710683100000,0.252895
1710683160000,0.2530020,0.2530530,0.2521940,0.2521940,73353,1710683219999,18543.1667220,275,27385,1710683100000,0.252895
1710683220000,0.2524120,0.2524370,0.2512410,0.2519280,99257,1710683279999,24979.2282020,288,29023,1710683100000,0.252895
1710683280000,0.2519210,0.2523720,0.2518100,0.2519690,34938,1710683339999,8805.2694330,114,25602,1710683100000,0.252895
1710683340000,0.2519840,0.2524470,0.2519430,0.2522840,18944,1710683399999,4775.8099910,64,14823,1710683100000,0.252895
1710683400000,0.2523440,0.2528350,0.2522410,0.2525190,19994,1710683459999,5050.2429110,76,9795,1710683100000,0.252895
1710683460000,0.2525200,0.2528410,0.2524480,0.2528350,8877,1710683519999,2242.6709030,79,3647,1710683100000,0.252895
1710683520000,0.2528350,0.2534560,0.2528350,0.2532900,22388,1710683579999,5668.6655620,168,14147,1710683100000,0.252895
1710683580000,0.2533050,0.2535060,0.2531720,0.2534870,17656,1710683639999,4473.8453580,51,10451,1710683100000,0.252895
1710683640000,0.2535260,0.2539710,0.2532380,0.2532380,43412,1710683699999,11012.6241680,159,24696,1710683100000,0.252895
1710683700000,0.2533530,0.2535470,0.2530880,0.2530880,12667,1710683759999,3208.3433140,85,3782,1710683100000,0.252895
1710683760000,0.2530780,0.2531810,0.2523870,0.2529440,28880,1710683819999,7301.3400260,161,14324,1710683100000,0.252895
1710683820000,0.2530760,0.2535460,0.2529470,0.2532320,23838,1710683879999,6036.9423550,131,15052,1710683100000,0.252895
1710683880000,0.2534290,0.2535830,0.2531120,0.2533470,25225,1710683939999,6389.2253950,69,22603,1710683100000,0.252895
