Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711556280000,0.186940,0.187880,0.186790,0.187830,19857088,1711556339999,3717685.728740,8687,12734042,1711561680000,0.18735
1711556340000,0.187830,0.188650,0.187650,0.188600,20465939,1711556399999,3849978.420580,8994,13728408,1711561680000,0.18735
1711556400000,0.188600,0.189990,0.188500,0.189930,34724547,1711556459999,6577151.214210,15297,21148285,1711561680000,0.18735
1711556460000,0.189930,0.190280,0.189310,0.189310,24582266,1711556519999,4668139.218290,10943,10132268,1711561680000,0.18735
1711556520000,0.189320,0.189680,0.188970,0.189010,15087615,1711556579999,2857066.957000,6800,6553956,1711561680000,0.18735
1711556580000,0.189020,0.189030,0.188250,0.188270,15553478,1711556639999,2933471.560040,6738,6927505,1711561680000,0.18735
1711556640000,0.188280,0.188610,0.187800,0.187800,13415720,1711556699999,2525392.101280,5041,5142053,1711561680000,0.18735
1711556700000,0.187800,0.187900,0.187340,0.187540,17983146,1711556759999,3373565.778660,7996,8726648,1711561680000,0.18735
1711556760000,0.187550,0.187590,0.186910,0.187040,16144266,1711556819999,3021953.531170,6385,6181862,1711561680000,0.18735
1711556820000,0.187030,0.189010,0.187000,0.188680,26328609,1711556879999,4949260.384630,14688,19342622,1711561680000,0.18735
1711556880000,0.188680,0.188860,0.187750,0.187970,15131448,1711556939999,2848785.683920,7569,5973057,1711561680000,0.18735
1711556940000,0.187960,0.188560,0.187890,0.187980,10673939,1711556999999,2009096.890040,5738,6329161,1711561680000,0.18735
1711557000000,0.187980,0.188770,0.187870,0.188430,9868392,1711557059999,1859522.779000,4996,5956568,1711561680000,0.18735
1711557060000,0.188440,0.189480,0.188300,0.189060,18703494,1711557119999,3534180.347710,9740,10071893,1711561680000,0.18735
1711557120000,0.189070,0.189350,0.188260,0.188320,10112944,1711557179999,1909800.388560,6467,3747658,1711561680000,0.18735
1711557180000,0.188320,0.188640,0.188170,0.188380,6640293,1711557239999,1250676.280410,2934,3810114,1711561680000,0.18735
1711557240000,0.188380,0.188800,0.188370,0.188700,6888073,1711557299999,1299305.004380,3640,3675460,1711561680000,0.18735
1711557300000,0.188700,0.188750,0.188360,0.188360,4000120,1711557359999,754029.965100,2366,1443776,1711561680000,0.18735
1711557360000,0.188370,0.188380,0.187860,0.187970,9817029,1711557419999,1846198.875960,4167,3431379,1711561680000,0.18735
1711557420000,0.187980,0.188070,0.187520,0.187790,8147861,1711557479999,1530135.709580,3655,4149316,1711561680000,0.18735
1711557480000,0.187790,0.188060,0.187650,0.187970,12528446,1711557539999,2354685.891050,3071,9177287,1711561680000,0.18735
1711557540000,0.187980,0.188330,0.187740,0.187900,11282326,1711557599999,2121469.900050,5375,4654140,1711561680000,0.18735
1711557600000,0.187900,0.187940,0.187220,0.187230,10898298,1711557659999,2043182.594710,5421,3319331,1711561680000,0.18735
1711557660000,0.187230,0.187370,0.187000,0.187040,6359273,1711557719999,1190402.302020,4148,2942804,1711561680000,0.18735
1711557720000,0.187040,0.187700,0.186730,0.187660,13694162,1711557779999,2563104.959410,6945,8575780,1711561680000,0.18735
1711557780000,0.187650,0.187650,0.187210,0.187490,5544759,1711557839999,1038719.100940,2260,2907573,1711561680000,0.18735
1711557840000,0.187490,0.187570,0.187260,0.187500,3917152,1711557899999,734088.715490,1682,2344164,1711561680000,0.18735
1711557900000,0.187490,0.187690,0.187340,0.187540,4337783,1711557959999,813465.607370,2160,2284538,1711561680000,0.18735
1711557960000,0.187530,0.187640,0.186850,0.186850,6396737,1711558019999,1197780.689470,4136,1984951,1711561680000,0.18735
1711558020000,0.186860,0.187480,0.186830,0.187420,5916189,1711558079999,1107467.059690,3467,3782824,1711561680000,0.18735
1711558080000,0.187430,0.187840,0.187310,0.187760,10036326,1711558139999,1883216.108720,4930,6308527,1711561680000,0.18735
1711558140000,0.187760,0.187840,0.187280,0.187290,3784007,1711558199999,709922.282020,2341,1277594,1711561680000,0.18735
1711558200000,0.187280,0.187280,0.186600,0.186690,13146416,1711558259999,2457034.825180,6626,6686353,1711561680000,0.18735
1711558260000,0.186690,0.186730,0.183590,0.184310,166885199,1711558319999,30855856.082200,56902,46085931,1711561680000,0.18735
1711558320000,0.184310,0.185370,0.184130,0.184920,38114414,1711558379999,7042809.691370,14173,24114623,1711561680000,0.18735
1711558380000,0.184930,0.185100,0.184200,0.184640,17199055,1711558439999,3175157.727970,6946,8759837,1711561680000,0.18735
1711558440000,0.184640,0.184990,0.184200,0.184830,19125514,1711558499999,3530903.056120,6642,9948452,1711561680000,0.18735
1711558500000,0.184830,0.185310,0.184680,0.184990,18994989,1711558559999,3514616.968880,5847,11948007,1711561680000,0.18735
1711558560000,0.184990,0.185310,0.184770,0.185140,8028021,1711558619999,1485860.622070,3044,4475229,1711561680000,0.18735
1711558620000,0.185150,0.185820,0.185150,0.185190,11545134,1711558679999,2141571.044280,5714,6201935,1711561680000,0.18735
1711558680000,0.185190,0.186010,0.185120,0.185720,9504635,1711558739999,1764532.964510,4839,5704742,1711561680000,0.18735
1711558740000,0.185710,0.186130,0.185650,0.185780,8638737,1711558799999,1606267.995760,4017,4810272,1711561680000,0.18735
1711558800000,0.185770,0.185950,0.185210,0.185260,10680905,1711558859999,1983061.706310,4619,4238890,1711561680000,0.18735
1711558860000,0.185260,0.185650,0.185250,0.185640,6886126,1711558919999,1276963.552940,2485,4118957,1711561680000,0.18735
1711558920000,0.185640,0.185690,0.185330,0.185460,6907094,1711558979999,1281198.960330,2241,4536923,1711561680000,0.18735
1711558980000,0.185450,0.185460,0.185010,0.185050,7943992,1711559039999,1471368.893040,3065,3575101,1711561680000,0.18735
1711559040000,0.185040,0.185050,0.184030,0.184170,21709075,1711559099999,4006151.845920,7722,9345490,1711561680000,0.18735
1711559100000,0.184160,0.185210,0.184050,0.184720,27954482,1711559159999,5161913.516950,8181,20548272,1711561680000,0.18735
1711559160000,0.184720,0.185000,0.184450,0.184900,6674141,1711559219999,1233026.485840,3019,3867311,1711561680000,0.18735
1711559220000,0.184890,0.184890,0.184400,0.184400,5887495,1711559279999,1087222.882990,2127,1865050,1711561680000,0.18735
1711559280000,0.184410,0.184950,0.184240,0.184910,7285497,1711559339999,1344355.343100,3207,4744482,1711561680000,0.18735
1711559340000,0.184910,0.184980,0.184570,0.184740,5652514,1711559399999,1044282.761040,2053,3630432,1711561680000,0.18735
1711559400000,0.184730,0.185020,0.184640,0.184930,5205918,1711559459999,962171.975860,2108,3234331,1711561680000,0.18735
1711559460000,0.184930,0.185200,0.184860,0.185120,9831835,1711559519999,1819541.841560,3292,6124371,1711561680000,0.18735
1711559520000,0.185120,0.185200,0.185000,0.185190,3864743,1711559579999,715434.906160,1412,2288469,1711561680000,0.18735
1711559580000,0.185190,0.186200,0.185170,0.186130,15867553,1711559639999,2948229.945530,7394,10976983,1711561680000,0.18735
1711559640000,0.186120,0.186570,0.186060,0.186400,14188555,1711559699999,2644093.637080,5623,7280555,1711561680000,0.18735
1711559700000,0.186400,0.186400,0.185930,0.186240,17050847,1711559759999,3173199.345190,6380,5480042,1711561680000,0.18735
1711559760000,0.186230,0.186270,0.185780,0.186080,6533998,1711559819999,1215694.180370,2642,3111306,1711561680000,0.18735
1711559820000,0.186070,0.186160,0.185670,0.185720,6177956,1711559879999,1148592.259740,3133,2215116,1711561680000,0.18735
1711559880000,0.185720,0.185840,0.185370,0.185440,6818429,1711559939999,1265165.261420,3054,3272607,1711561680000,0.18735
1711559940000,0.185450,0.186210,0.185280,0.186210,6023472,1711559999999,1118995.612280,4139,3962742,1711561680000,0.18735
1711560000000,0.186200,0.186390,0.185820,0.185930,6559310,1711560059999,1220791.709990,3857,2800208,1711561680000,0.18735
1711560060000,0.185930,0.186130,0.185740,0.185800,5151886,1711560119999,957801.158490,2087,2900482,1711561680000,0.18735
1711560120000,0.185800,0.186080,0.185730,0.185930,4511002,1711560179999,838695.121430,1678,3149643,1711561680000,0.18735
1711560180000,0.185930,0.185940,0.185190,0.185320,12432350,1711560239999,2305960.157350,4564,3909445,1711561680000,0.18735
1711560240000,0.185310,0.185700,0.185280,0.185430,5283137,1711560299999,979924.825240,1890,3426812,1711561680000,0.18735
1711560300000,0.185430,0.185470,0.185000,0.185200,5710951,1711560359999,1057545.511490,2773,2606478,1711561680000,0.18735
1711560360000,0.185200,0.185300,0.185000,0.185080,3616870,1711560419999,669565.902970,1679,1504561,1711561680000,0.18735
1711560420000,0.185070,0.185130,0.184700,0.185030,4935399,1711560479999,912531.219230,2641,2219914,1711561680000,0.18735
1711560480000,0.185040,0.185140,0.184530,0.184980,12656072,1711560539999,2339340.694100,4479,5473243,1711561680000,0.18735
1711560540000,0.184970,0.185150,0.184760,0.184880,4669728,1711560599999,863729.110290,1767,2478348,1711561680000,0.18735
1711560600000,0.184880,0.184990,0.184700,0.184880,8025512,1711560659999,1483590.359070,2360,5098969,1711561680000,0.18735
1711560660000,0.184880,0.185020,0.184640,0.184800,5986237,1711560719999,1106605.229470,2063,2146310,1711561680000,0.18735
1711560720000,0.184800,0.185940,0.184780,0.185810,16783633,1711560779999,3114314.822540,6096,12596879,1711561680000,0.18735
1711560780000,0.185800,0.185800,0.185270,0.185480,6282810,1711560839999,1165561.574690,3107,2777101,1711561680000,0.18735
1711560840000,0.185480,0.185750,0.185350,0.185630,5836077,1711560899999,1082824.050240,2301,3489273,1711561680000,0.18735
1711560900000,0.185650,0.185720,0.185280,0.185390,3059554,1711560959999,567487.046940,1681,1061267,1711561680000,0.18735
1711560960000,0.185390,0.185710,0.185240,0.185260,7974916,1711561019999,1479550.423220,2823,4636065,1711561680000,0.18735
1711561020000,0.185250,0.185320,0.184930,0.185010,6382671,1711561079999,1181278.007940,2481,3115315,1711561680000,0.18735
1711561080000,0.185010,0.185010,0.184430,0.184500,8083277,1711561139999,1492743.888260,3517,2299350,1711561680000,0.18735
1711561140000,0.184490,0.184660,0.184030,0.184570,13449665,1711561199999,2479318.631890,7323,6601923,1711561680000,0.18735
1711561200000,0.184580,0.185250,0.184570,0.185210,8681091,1711561259999,1605871.117570,4434,7045005,1711561680000,0.18735
1711561260000,0.185200,0.185400,0.185070,0.185250,5749424,1711561319999,1065272.171270,2534,3024313,1711561680000,0.18735
1711561320000,0.185260,0.185300,0.185220,0.185260,2499161,1711561379999,462947.262440,717,1077899,1711561680000,0.18735
1711561380000,0.185270,0.185500,0.185230,0.185270,4098969,1711561439999,759731.923720,1825,3018398,1711561680000,0.18735
1711561440000,0.185270,0.185460,0.185250,0.185380,1850563,1711561499999,342996.280010,889,1058546,1711561680000,0.18735
1711561500000,0.185390,0.185590,0.185220,0.185570,10212424,1711561559999,1892489.793140,1962,2223167,1711561680000,0.18735
1711561560000,0.185580,0.185770,0.185480,0.185760,4837184,1711561619999,897905.950340,2093,2558075,1711561680000,0.18735
1711561620000,0.185760,0.186370,0.185680,0.186360,13027116,1711561679999,2423448.972890,5792,7612994,1711561680000,0.18735
1711561680000,0.186360,0.187550,0.186360,0.187340,32723033,1711561739999,6115190.448800,17232,22516001,1711561680000,0.18735
1711561740000,0.187350,0.187450,0.186990,0.187150,11288114,1711561799999,2113171.804220,2949,3978455,1711561680000,0.18735
1711561800000,0.187150,0.187230,0.186640,0.186760,12291148,1711561859999,2298092.219780,4445,3153843,1711561680000,0.18735
1711561860000,0.186750,0.187200,0.186630,0.186800,9974825,1711561919999,1865200.540710,3128,5812938,1711561680000,0.18735
1711561920000,0.186810,0.186900,0.186630,0.186670,4849709,1711561979999,905605.413270,1996,1602648,1711561680000,0.18735
1711561980000,0.186680,0.186840,0.186620,0.186840,5141205,1711562039999,959943.715190,1308,1922200,1711561680000,0.18735
1711562040000,0.186840,0.187100,0.186400,0.186400,5514520,1711562099999,1030186.891190,4518,2162794,1711561680000,0.18735
1711562100000,0.186410,0.186650,0.186070,0.186650,8675369,1711562159999,1616228.017020,5364,4871900,1711561680000,0.18735
1711562160000,0.186650,0.186650,0.186020,0.186050,5255120,1711562219999,978894.230870,2903,1571245,1711561680000,0.18735
1711562220000,0.186060,0.186140,0.185490,0.185590,10843767,1711562279999,2014659.763380,5226,2306579,1711561680000,0.18735
1711562280000,0.185590,0.185840,0.185200,0.185840,13553554,1711562339999,2514461.109350,5312,8202075,1711561680000,0.18735
1711562340000,0.185840,0.186380,0.185700,0.185740,8904523,1711562399999,1656687.531150,6092,4466357,1711561680000,0.18735
1711562400000,0.185740,0.185850,0.185200,0.185540,9606022,1711562459999,1781345.290970,4566,3618913,1711561680000,0.18735
1711562460000,0.185550,0.186280,0.185550,0.186200,7663847,1711562519999,1424741.447290,5185,5316519,1711561680000,0.18735
1711562520000,0.186190,0.186500,0.185890,0.185930,12560509,1711562579999,2339733.473460,4923,6360839,1711561680000,0.18735
1711562580000,0.185930,0.187050,0.185780,0.186710,10621176,1711562639999,1982549.358040,7713,7166584,1711561680000,0.18735
1711562640000,0.186720,0.186740,0.185730,0.185760,6767927,1711562699999,1260269.169810,5846,2299993,1711561680000,0.18735
1711562700000,0.185760,0.185920,0.184860,0.185060,22120693,1711562759999,4097899.516930,7580,6091411,1711561680000,0.18735
1711562760000,0.185060,0.185200,0.184290,0.184880,24496110,1711562819999,4524266.325970,8866,15700518,1711561680000,0.18735
1711562820000,0.184890,0.185380,0.184430,0.185110,10583232,1711562879999,1956811.184970,4945,6260944,1711561680000,0.18735
1711562880000,0.185100,0.185100,0.184270,0.184310,14139774,1711562939999,2610209.050060,5437,4629320,1711561680000,0.18735
1711562940000,0.184320,0.184470,0.183540,0.183790,24753414,1711562999999,4552925.211340,11255,9619523,1711561680000,0.18735
1711563000000,0.183790,0.184000,0.183360,0.183610,14030298,1711563059999,2576936.160640,5562,6517682,1711561680000,0.18735
1711563060000,0.183600,0.183900,0.183240,0.183460,14784250,1711563119999,2713282.707230,6363,6566686,1711561680000,0.18735
1711563120000,0.183450,0.183660,0.182810,0.183140,16260836,1711563179999,2979021.091600,7756,7853398,1711561680000,0.18735
1711563180000,0.183140,0.183980,0.183130,0.183620,12377095,1711563239999,2273699.730150,4830,7817904,1711561680000,0.18735
1711563240000,0.183620,0.183620,0.182960,0.183370,9735536,1711563299999,1783805.952130,4384,3999628,1711561680000,0.18735
1711563300000,0.183370,0.184010,0.183130,0.183790,9818974,1711563359999,1803594.498850,4382,5887985,1711561680000,0.18735
1711563360000,0.183790,0.184050,0.183520,0.184040,7106899,1711563419999,1306171.900530,3200,3780836,1711561680000,0.18735
1711563420000,0.184040,0.184530,0.183780,0.183780,10582263,1711563479999,1949373.763330,5474,5561691,1711561680000,0.18735
1711563480000,0.183790,0.184400,0.183440,0.183440,7514243,1711563539999,1382148.595690,4337,3402243,1711561680000,0.18735
1711563540000,0.183460,0.183580,0.182710,0.182950,16119472,1711563599999,2950012.659660,6260,6849518,1711561680000,0.18735
