Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710929820000,9.102,9.112,9.096,9.104,9533.4,1710929879999,86805.5516,312,3289.8,1710935220000,9.185
1710929880000,9.103,9.105,9.077,9.084,25615.6,1710929939999,232734.6775,526,11482.6,1710935220000,9.185
1710929940000,9.084,9.099,9.082,9.084,15684.4,1710929999999,142574.3105,438,4730.6,1710935220000,9.185
1710930000000,9.084,9.097,9.082,9.097,21918.6,1710930059999,199245.7737,468,14193.6,1710935220000,9.185
1710930060000,9.097,9.099,9.080,9.096,15108.4,1710930119999,137371.3285,411,6198.9,1710935220000,9.185
1710930120000,9.098,9.121,9.097,9.116,20114.7,1710930179999,183272.5313,448,10993.9,1710935220000,9.185
1710930180000,9.117,9.117,9.104,9.115,8563.9,1710930239999,78040.5870,303,5251.5,1710935220000,9.185
1710930240000,9.116,9.123,9.108,9.116,12714.4,1710930299999,115916.3603,297,5396.8,1710935220000,9.185
1710930300000,9.116,9.146,9.113,9.143,24377.4,1710930359999,222670.7037,605,13785.9,1710935220000,9.185
1710930360000,9.143,9.160,9.140,9.160,16661.5,1710930419999,152413.6845,473,11372.0,1710935220000,9.185
1710930420000,9.159,9.167,9.156,9.157,17370.6,1710930479999,159123.9122,505,9329.4,1710935220000,9.185
1710930480000,9.157,9.167,9.153,9.154,24807.9,1710930539999,227261.6741,487,13272.2,1710935220000,9.185
1710930540000,9.154,9.161,9.151,9.157,13401.6,1710930599999,122705.0371,310,9178.0,1710935220000,9.185
1710930600000,9.157,9.161,9.143,9.152,17938.6,1710930659999,164165.8159,470,7355.9,1710935220000,9.185
1710930660000,9.154,9.154,9.140,9.140,17210.6,1710930719999,157361.5396,376,10012.7,1710935220000,9.185
1710930720000,9.141,9.161,9.139,9.152,18670.9,1710930779999,170855.9948,457,8500.6,1710935220000,9.185
1710930780000,9.150,9.151,9.134,9.145,19909.6,1710930839999,181987.4032,504,11918.9,1710935220000,9.185
1710930840000,9.144,9.153,9.140,9.149,14812.3,1710930899999,135493.9561,324,6587.1,1710935220000,9.185
1710930900000,9.148,9.155,9.140,9.155,8333.7,1710930959999,76217.0310,270,3480.8,1710935220000,9.185
1710930960000,9.154,9.154,9.133,9.133,12556.6,1710931019999,114745.7071,440,4295.2,1710935220000,9.185
1710931020000,9.133,9.133,9.120,9.123,14739.7,1710931079999,134474.9686,383,5845.2,1710935220000,9.185
1710931080000,9.124,9.131,9.118,9.120,10024.5,1710931139999,91450.8531,322,6396.5,1710935220000,9.185
1710931140000,9.121,9.125,9.118,9.119,11760.9,1710931199999,107270.4752,280,4474.8,1710935220000,9.185
1710931200000,9.120,9.122,9.089,9.099,20708.6,1710931259999,188480.6564,555,9662.6,1710935220000,9.185
