Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710818100000,0.29438,0.29468,0.29346,0.29368,103796,1710818159999,30526.02602,490,32829,1710823500000,0.296
1710818160000,0.29363,0.29430,0.29363,0.29421,26702,1710818219999,7850.64531,229,16720,1710823500000,0.296
1710818220000,0.29421,0.29478,0.29358,0.29475,38755,1710818279999,11404.69054,270,20650,1710823500000,0.296
1710818280000,0.29461,0.29595,0.29461,0.29584,38038,1710818339999,11235.06081,289,27599,1710823500000,0.296
1710818340000,0.29569,0.29575,0.29505,0.29520,20346,1710818399999,6009.10347,187,13285,1710823500000,0.296
1710818400000,0.29512,0.29525,0.29418,0.29423,48812,1710818459999,14382.65436,399,24436,1710823500000,0.296
1710818460000,0.29420,0.29420,0.29304,0.29386,104509,1710818519999,30677.10316,681,61739,1710823500000,0.296
1710818520000,0.29389,0.29433,0.29383,0.29421,28663,1710818579999,8429.76831,308,17503,1710823500000,0.296
1710818580000,0.29413,0.29449,0.29365,0.29376,20630,1710818639999,6065.45099,233,11194,1710823500000,0.296
1710818640000,0.29361,0.29376,0.29325,0.29349,29085,1710818699999,8536.54731,277,14826,1710823500000,0.296
1710818700000,0.29340,0.29368,0.29263,0.29286,88759,1710818759999,26015.51325,502,34232,1710823500000,0.296
1710818760000,0.29286,0.29306,0.29151,0.29166,276110,1710818819999,80659.02168,1030,76720,1710823500000,0.296
1710818820000,0.29162,0.29204,0.29138,0.29200,103704,1710818879999,30244.63362,597,49756,1710823500000,0.296
1710818880000,0.29205,0.29228,0.29100,0.29107,150104,1710818939999,43727.64552,648,56592,1710823500000,0.296
1710818940000,0.29117,0.29117,0.29048,0.29058,175885,1710818999999,51149.98613,567,78826,1710823500000,0.296
1710819000000,0.29055,0.29072,0.29000,0.29010,195145,1710819059999,56640.12638,719,48110,1710823500000,0.296
1710819060000,0.29013,0.29129,0.28946,0.29128,143179,1710819119999,41566.38740,802,80517,1710823500000,0.296
1710819120000,0.29126,0.29207,0.29097,0.29161,194733,1710819179999,56771.76327,976,68155,1710823500000,0.296
1710819180000,0.29169,0.29189,0.29090,0.29090,145369,1710819239999,42382.40743,856,50282,1710823500000,0.296
1710819240000,0.29100,0.29100,0.28928,0.28977,144919,1710819299999,42021.58086,715,38031,1710823500000,0.296
1710819300000,0.28979,0.29061,0.28937,0.28960,192844,1710819359999,55915.93226,907,97123,1710823500000,0.296
1710819360000,0.28957,0.29060,0.28942,0.28969,148051,1710819419999,42914.10577,820,72249,1710823500000,0.296
1710819420000,0.28973,0.29013,0.28905,0.28914,85058,1710819479999,24629.96977,606,42821,1710823500000,0.296
1710819480000,0.28913,0.28913,0.28807,0.28817,120416,1710819539999,34754.07455,622,46642,1710823500000,0.296
1710819540000,0.28820,0.28845,0.28760,0.28760,72292,1710819599999,20820.73398,449,17332,1710823500000,0.296
1710819600000,0.28762,0.28865,0.28709,0.28743,178753,1710819659999,51434.53898,671,115738,1710823500000,0.296
1710819660000,0.28743,0.28813,0.28667,0.28806,167780,1710819719999,48238.71602,734,105707,1710823500000,0.296
1710819720000,0.28801,0.28876,0.28708,0.28822,119867,1710819779999,34508.32393,704,50914,1710823500000,0.296
1710819780000,0.28834,0.28890,0.28684,0.28832,608539,1710819839999,175067.44105,992,154996,1710823500000,0.296
1710819840000,0.28843,0.28883,0.28779,0.28843,154751,1710819899999,44633.00860,742,58734,1710823500000,0.296
1710819900000,0.28844,0.28984,0.28841,0.28965,80012,1710819959999,23143.11436,427,56424,1710823500000,0.296
1710819960000,0.28972,0.29079,0.28960,0.29051,52628,1710820019999,15275.01135,409,29000,1710823500000,0.296
1710820020000,0.29040,0.29104,0.29005,0.29073,61078,1710820079999,17748.87492,465,24784,1710823500000,0.296
1710820080000,0.29071,0.29224,0.29071,0.29198,72309,1710820139999,21082.48434,483,45989,1710823500000,0.296
1710820140000,0.29197,0.29240,0.29193,0.29225,58514,1710820199999,17096.53367,383,24807,1710823500000,0.296
1710820200000,0.29223,0.29259,0.29185,0.29259,40029,1710820259999,11694.57435,317,17939,1710823500000,0.296
1710820260000,0.29256,0.29388,0.29239,0.29381,75943,1710820319999,22266.17251,502,48526,1710823500000,0.296
1710820320000,0.29378,0.29431,0.29356,0.29389,47964,1710820379999,14099.04117,366,23610,1710823500000,0.296
1710820380000,0.29397,0.29490,0.29391,0.29457,87964,1710820439999,25902.79193,477,54577,1710823500000,0.296
1710820440000,0.29467,0.29512,0.29457,0.29506,70312,1710820499999,20737.55583,311,44558,1710823500000,0.296
1710820500000,0.29492,0.29543,0.29453,0.29523,77433,1710820559999,22840.16932,458,29984,1710823500000,0.296
1710820560000,0.29515,0.29529,0.29451,0.29454,37922,1710820619999,11179.68309,254,14194,1710823500000,0.296
1710820620000,0.29452,0.29455,0.29411,0.29441,25181,1710820679999,7412.71220,212,10602,1710823500000,0.296
1710820680000,0.29441,0.29470,0.29427,0.29427,12720,1710820739999,3745.87320,137,6381,1710823500000,0.296
1710820740000,0.29429,0.29429,0.29343,0.29359,32381,1710820799999,9509.68319,265,14031,1710823500000,0.296
1710820800000,0.29353,0.29401,0.29317,0.29401,73551,1710820859999,21587.06108,469,41974,1710823500000,0.296
1710820860000,0.29401,0.29513,0.29401,0.29484,25666,1710820919999,7563.63949,239,9945,1710823500000,0.296
1710820920000,0.29478,0.29478,0.29384,0.29398,33429,1710820979999,9834.90181,294,19459,1710823500000,0.296
1710820980000,0.29389,0.29431,0.29370,0.29413,23005,1710821039999,6763.64026,176,17944,1710823500000,0.296
1710821040000,0.29411,0.29411,0.29293,0.29307,30675,1710821099999,9007.50073,197,17489,1710823500000,0.296
1710821100000,0.29305,0.29317,0.29232,0.29307,45268,1710821159999,13248.43168,327,29443,1710823500000,0.296
1710821160000,0.29314,0.29435,0.29314,0.29410,29848,1710821219999,8767.16814,294,9461,1710823500000,0.296
1710821220000,0.29420,0.29493,0.29403,0.29493,44694,1710821279999,13165.58219,231,33814,1710823500000,0.296
1710821280000,0.29489,0.29534,0.29472,0.29506,52975,1710821339999,15630.23453,210,38990,1710823500000,0.296
1710821340000,0.29498,0.29523,0.29459,0.29468,33154,1710821399999,9779.45457,177,7696,1710823500000,0.296
1710821400000,0.29471,0.29540,0.29448,0.29499,30564,1710821459999,9017.14665,183,20744,1710823500000,0.296
1710821460000,0.29498,0.29527,0.29476,0.29501,28835,1710821519999,8507.38576,187,21386,1710823500000,0.296
1710821520000,0.29498,0.29498,0.29420,0.29452,21210,1710821579999,6247.29998,172,9463,1710823500000,0.296
1710821580000,0.29451,0.29451,0.29394,0.29415,10390,1710821639999,3057.36878,107,5452,1710823500000,0.296
1710821640000,0.29423,0.29443,0.29378,0.29383,19919,1710821699999,5857.63084,164,11772,1710823500000,0.296
1710821700000,0.29392,0.29414,0.29283,0.29298,26644,1710821759999,7824.39593,197,9561,1710823500000,0.296
1710821760000,0.29292,0.29315,0.29187,0.29194,46778,1710821819999,13680.03183,345,29841,1710823500000,0.296
1710821820000,0.29194,0.29280,0.29189,0.29203,46945,1710821879999,13718.19261,379,25940,1710823500000,0.296
1710821880000,0.29196,0.29196,0.29116,0.29149,49017,1710821939999,14286.87183,329,16301,1710823500000,0.296
1710821940000,0.29155,0.29184,0.29088,0.29088,15198,1710821999999,4428.35608,196,8145,1710823500000,0.296
1710822000000,0.29102,0.29186,0.29099,0.29138,30877,1710822059999,8998.34881,277,17429,1710823500000,0.296
1710822060000,0.29143,0.29258,0.29074,0.29258,28738,1710822119999,8383.71110,213,16842,1710823500000,0.296
1710822120000,0.29258,0.29314,0.29214,0.29214,33661,1710822179999,9852.20516,289,11411,1710823500000,0.296
1710822180000,0.29213,0.29308,0.29196,0.29307,32063,1710822239999,9377.28295,198,24788,1710823500000,0.296
1710822240000,0.29303,0.29344,0.29286,0.29329,21026,1710822299999,6162.93654,210,6568,1710823500000,0.296
1710822300000,0.29326,0.29435,0.29311,0.29414,27446,1710822359999,8066.08889,241,15201,1710823500000,0.296
1710822360000,0.29413,0.29475,0.29411,0.29445,31988,1710822419999,9422.07135,247,18517,1710823500000,0.296
1710822420000,0.29438,0.29458,0.29397,0.29414,32286,1710822479999,9502.82544,180,28695,1710823500000,0.296
1710822480000,0.29422,0.29482,0.29409,0.29465,34262,1710822539999,10090.78039,179,25950,1710823500000,0.296
1710822540000,0.29459,0.29517,0.29459,0.29492,28011,1710822599999,8261.82944,210,9701,1710823500000,0.296
1710822600000,0.29505,0.29611,0.29505,0.29595,93226,1710822659999,27567.01784,418,64083,1710823500000,0.296
1710822660000,0.29592,0.29644,0.29588,0.29627,32370,1710822719999,9587.13639,224,20880,1710823500000,0.296
1710822720000,0.29635,0.29642,0.29611,0.29636,25071,1710822779999,7429.13408,111,18977,1710823500000,0.296
1710822780000,0.29633,0.29653,0.29615,0.29634,19024,1710822839999,5638.28340,119,10006,1710823500000,0.296
1710822840000,0.29642,0.29693,0.29633,0.29685,15383,1710822899999,4562.51285,112,12491,1710823500000,0.296
1710822900000,0.29690,0.29713,0.29624,0.29624,30801,1710822959999,9137.35582,190,8589,1710823500000,0.296
1710822960000,0.29615,0.29615,0.29445,0.29448,76163,1710823019999,22482.95234,554,22316,1710823500000,0.296
1710823020000,0.29443,0.29467,0.29403,0.29467,48326,1710823079999,14222.84612,320,28202,1710823500000,0.296
1710823080000,0.29479,0.29488,0.29319,0.29338,23626,1710823139999,6945.91313,256,9910,1710823500000,0.296
1710823140000,0.29339,0.29408,0.29329,0.29355,35962,1710823199999,10562.06919,306,21636,1710823500000,0.296
1710823200000,0.29352,0.29417,0.29320,0.29335,36534,1710823259999,10730.00033,335,20283,1710823500000,0.296
1710823260000,0.29334,0.29374,0.29271,0.29281,36088,1710823319999,10578.09552,286,16463,1710823500000,0.296
1710823320000,0.29278,0.29286,0.29199,0.29239,37799,1710823379999,11052.92081,307,23342,1710823500000,0.296
1710823380000,0.29236,0.29316,0.29202,0.29316,39678,1710823439999,11610.17748,289,14170,1710823500000,0.296
1710823440000,0.29312,0.29336,0.29259,0.29281,20271,1710823499999,5936.13742,169,11262,1710823500000,0.296
1710823500000,0.29275,0.29677,0.29241,0.29624,809050,1710823559999,238571.00592,1776,642395,1710823500000,0.296
1710823560000,0.29617,0.30021,0.29585,0.29954,857530,1710823619999,255764.86529,2624,481393,1710823500000,0.296
1710823620000,0.29952,0.29977,0.29656,0.29915,876328,1710823679999,261554.82160,2316,455608,1710823500000,0.296
1710823680000,0.29925,0.29988,0.29752,0.29767,445387,1710823739999,133048.73013,1337,222531,1710823500000,0.296
1710823740000,0.29778,0.29850,0.29703,0.29728,288806,1710823799999,85981.67782,774,132628,1710823500000,0.296
1710823800000,0.29731,0.29801,0.29641,0.29646,245599,1710823859999,73015.32124,729,119314,1710823500000,0.296
1710823860000,0.29643,0.29670,0.29519,0.29522,209030,1710823919999,61851.42606,968,81935,1710823500000,0.296
1710823920000,0.29521,0.30021,0.29506,0.29936,875729,1710823979999,260876.97831,2482,587210,1710823500000,0.296
1710823980000,0.29949,0.30089,0.29877,0.30036,349040,1710824039999,104632.17115,1010,151971,1710823500000,0.296
1710824040000,0.30036,0.30082,0.29951,0.29954,160071,1710824099999,48022.19751,548,82716,1710823500000,0.296
1710824100000,0.29958,0.29963,0.29778,0.29818,232675,1710824159999,69492.25015,866,83081,1710823500000,0.296
1710824160000,0.29823,0.29989,0.29820,0.29965,161912,1710824219999,48438.98770,688,103974,1710823500000,0.296
1710824220000,0.29955,0.29963,0.29806,0.29826,79720,1710824279999,23808.91865,336,43032,1710823500000,0.296
1710824280000,0.29822,0.29833,0.29768,0.29790,107238,1710824339999,31966.61218,430,81486,1710823500000,0.296
1710824340000,0.29788,0.29792,0.29688,0.29738,110277,1710824399999,32801.70549,453,35893,1710823500000,0.296
1710824400000,0.29737,0.29846,0.29730,0.29803,152159,1710824459999,45313.20799,633,87940,1710823500000,0.296
1710824460000,0.29808,0.29842,0.29746,0.29782,95824,1710824519999,28553.82418,569,34705,1710823500000,0.296
1710824520000,0.29785,0.29828,0.29737,0.29805,100607,1710824579999,29969.82323,364,38813,1710823500000,0.296
1710824580000,0.29809,0.29914,0.29809,0.29866,134997,1710824639999,40322.83319,460,67308,1710823500000,0.296
1710824640000,0.29866,0.29964,0.29848,0.29918,148431,1710824699999,44394.69849,560,62103,1710823500000,0.296
1710824700000,0.29918,0.30119,0.29918,0.30119,95312,1710824759999,28604.14900,510,67642,1710823500000,0.296
1710824760000,0.30120,0.30120,0.29888,0.29937,180164,1710824819999,54094.97474,738,61006,1710823500000,0.296
1710824820000,0.29934,0.29977,0.29910,0.29937,75021,1710824879999,22461.16630,347,48681,1710823500000,0.296
1710824880000,0.29929,0.29929,0.29774,0.29846,147732,1710824939999,44102.05212,601,49544,1710823500000,0.296
1710824940000,0.29842,0.29842,0.29709,0.29717,54941,1710824999999,16354.32085,383,20763,1710823500000,0.296
1710825000000,0.29710,0.29722,0.29626,0.29638,80894,1710825059999,23999.98572,479,31117,1710823500000,0.296
1710825060000,0.29636,0.29647,0.29560,0.29595,64295,1710825119999,19031.90980,379,37334,1710823500000,0.296
1710825120000,0.29586,0.29586,0.29517,0.29518,47336,1710825179999,13989.65389,447,27603,1710823500000,0.296
1710825180000,0.29520,0.29554,0.29489,0.29512,48967,1710825239999,14454.20816,394,27371,1710823500000,0.296
1710825240000,0.29516,0.29529,0.29476,0.29485,42915,1710825299999,12659.17600,264,26439,1710823500000,0.296
1710825300000,0.29487,0.29549,0.29388,0.29478,170582,1710825359999,50254.45024,674,92154,1710823500000,0.296
1710825360000,0.29480,0.29578,0.29439,0.29538,72122,1710825419999,21288.33625,489,23528,1710823500000,0.296
1710825420000,0.29540,0.29568,0.29514,0.29530,30511,1710825479999,9014.37795,262,8623,1710823500000,0.296
1710825480000,0.29536,0.29545,0.29478,0.29502,40784,1710825539999,12036.10784,324,19530,1710823500000,0.296
1710825540000,0.29493,0.29518,0.29415,0.29452,26802,1710825599999,7898.20920,275,11800,1710823500000,0.296
