Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711668720000,3.487,3.488,3.483,3.484,37607.5,1711668779999,131099.1382,302,29947.2,1711674120000,3.514
1711668780000,3.483,3.485,3.482,3.485,35013.1,1711668839999,121973.5594,634,19885.4,1711674120000,3.514
1711668840000,3.484,3.489,3.483,3.489,14644.2,1711668899999,51045.7358,202,11967.4,1711674120000,3.514
1711668900000,3.488,3.488,3.483,3.483,4933.5,1711668959999,17200.6962,87,1391.1,1711674120000,3.514
1711668960000,3.483,3.487,3.483,3.487,10630.8,1711669019999,37044.7773,170,9353.9,1711674120000,3.514
1711669020000,3.486,3.487,3.485,3.485,2694.3,1711669079999,9391.7172,82,1124.8,1711674120000,3.514
1711669080000,3.485,3.488,3.484,3.488,3284.7,1711669139999,11449.0809,38,3084.7,1711674120000,3.514
1711669140000,3.487,3.487,3.484,3.484,3487.4,1711669199999,12154.8769,60,1822.9,1711674120000,3.514
1711669200000,3.485,3.485,3.483,3.484,11176.2,1711669259999,38939.3107,155,8385.0,1711674120000,3.514
1711669260000,3.484,3.489,3.484,3.486,25518.1,1711669319999,88988.8153,239,23053.2,1711674120000,3.514
1711669320000,3.486,3.488,3.486,3.487,3552.4,1711669379999,12385.1065,73,1055.2,1711674120000,3.514
1711669380000,3.487,3.487,3.483,3.483,1918.8,1711669439999,6685.8990,45,171.5,1711674120000,3.514
1711669440000,3.483,3.487,3.482,3.486,4518.1,1711669499999,15738.0872,64,3192.6,1711674120000,3.514
1711669500000,3.485,3.489,3.484,3.487,4114.3,1711669559999,14346.3189,93,2126.0,1711674120000,3.514
1711669560000,3.486,3.486,3.482,3.485,7564.0,1711669619999,26350.5831,118,1839.8,1711674120000,3.514
1711669620000,3.484,3.485,3.482,3.485,5095.4,1711669679999,17748.6539,93,1719.7,1711674120000,3.514
1711669680000,3.485,3.485,3.481,3.482,18035.1,1711669739999,62795.2081,158,3203.1,1711674120000,3.514
1711669740000,3.481,3.482,3.481,3.482,4193.0,1711669799999,14595.8727,60,1176.2,1711674120000,3.514
1711669800000,3.482,3.482,3.479,3.480,4947.7,1711669859999,17220.0628,110,915.0,1711674120000,3.514
1711669860000,3.480,3.481,3.478,3.480,3712.4,1711669919999,12919.6939,97,1284.4,1711674120000,3.514
1711669920000,3.481,3.481,3.477,3.477,5817.9,1711669979999,20235.5001,89,1295.3,1711674120000,3.514
1711669980000,3.478,3.478,3.476,3.477,2976.2,1711670039999,10347.9444,65,1305.1,1711674120000,3.514
1711670040000,3.478,3.481,3.477,3.481,6862.6,1711670099999,23878.6778,79,6075.3,1711674120000,3.514
1711670100000,3.481,3.483,3.481,3.483,9134.3,1711670159999,31814.4466,110,4380.0,1711674120000,3.514
1711670160000,3.484,3.488,3.484,3.485,6045.8,1711670219999,21074.3425,120,4916.4,1711674120000,3.514
1711670220000,3.484,3.484,3.483,3.484,1860.2,1711670279999,6480.8865,47,381.7,1711674120000,3.514
1711670280000,3.483,3.483,3.482,3.483,1052.5,1711670339999,3665.3303,37,829.4,1711674120000,3.514
1711670340000,3.483,3.485,3.483,3.485,5235.1,1711670399999,18237.0438,80,4817.5,1711674120000,3.514
1711670400000,3.485,3.485,3.479,3.482,17499.5,1711670459999,60925.9656,216,5376.7,1711674120000,3.514
1711670460000,3.483,3.484,3.480,3.484,8983.0,1711670519999,31286.0339,134,6334.6,1711674120000,3.514
1711670520000,3.484,3.484,3.476,3.478,29818.7,1711670579999,103715.8261,236,6694.8,1711674120000,3.514
1711670580000,3.478,3.485,3.478,3.484,8721.6,1711670639999,30350.2486,139,8148.9,1711674120000,3.514
1711670640000,3.484,3.485,3.481,3.481,11338.3,1711670699999,39493.6023,122,719.6,1711674120000,3.514
1711670700000,3.482,3.482,3.479,3.480,9418.3,1711670759999,32769.2517,138,5358.3,1711674120000,3.514
1711670760000,3.481,3.488,3.481,3.488,7192.9,1711670819999,25052.2412,94,6517.4,1711674120000,3.514
1711670820000,3.487,3.487,3.484,3.485,19426.3,1711670879999,67708.7174,179,5497.4,1711674120000,3.514
1711670880000,3.484,3.489,3.484,3.488,11825.8,1711670939999,41222.3529,138,7282.0,1711674120000,3.514
1711670940000,3.488,3.491,3.488,3.490,34933.7,1711670999999,121882.3106,208,11580.7,1711674120000,3.514
1711671000000,3.489,3.489,3.486,3.487,9886.3,1711671059999,34472.8797,102,2805.8,1711674120000,3.514
1711671060000,3.486,3.492,3.485,3.492,23343.5,1711671119999,81443.2134,277,15330.5,1711674120000,3.514
1711671120000,3.491,3.495,3.490,3.494,18466.9,1711671179999,64499.5175,195,14032.0,1711674120000,3.514
1711671180000,3.494,3.499,3.494,3.498,41385.0,1711671239999,144716.2621,407,20843.1,1711674120000,3.514
1711671240000,3.497,3.498,3.496,3.498,9619.0,1711671299999,33640.1880,116,6631.1,1711674120000,3.514
1711671300000,3.498,3.498,3.491,3.491,20645.4,1711671359999,72154.9171,224,6525.6,1711674120000,3.514
1711671360000,3.491,3.497,3.488,3.496,22575.0,1711671419999,78815.2627,214,9058.8,1711674120000,3.514
1711671420000,3.496,3.496,3.494,3.495,15569.5,1711671479999,54412.8763,177,8560.5,1711674120000,3.514
1711671480000,3.494,3.495,3.490,3.495,10420.3,1711671539999,36387.4629,132,6107.2,1711674120000,3.514
1711671540000,3.494,3.499,3.494,3.496,20886.0,1711671599999,73038.5936,216,16080.0,1711674120000,3.514
1711671600000,3.495,3.496,3.492,3.494,11371.8,1711671659999,39733.5254,168,3686.3,1711674120000,3.514
1711671660000,3.493,3.495,3.491,3.491,8576.0,1711671719999,29955.3112,144,4921.4,1711674120000,3.514
1711671720000,3.491,3.494,3.489,3.492,15415.6,1711671779999,53823.4128,144,5776.3,1711674120000,3.514
1711671780000,3.492,3.494,3.492,3.494,9908.1,1711671839999,34607.6101,97,4048.4,1711674120000,3.514
1711671840000,3.494,3.500,3.494,3.500,12065.8,1711671899999,42213.4971,181,6581.2,1711674120000,3.514
1711671900000,3.499,3.501,3.496,3.496,11565.0,1711671959999,40466.9573,152,2097.2,1711674120000,3.514
1711671960000,3.496,3.497,3.494,3.494,14136.1,1711672019999,49411.2385,124,11181.1,1711674120000,3.514
1711672020000,3.494,3.494,3.492,3.492,8479.6,1711672079999,29616.7506,147,2666.9,1711674120000,3.514
1711672080000,3.492,3.494,3.489,3.494,6433.9,1711672139999,22459.8972,150,3852.9,1711674120000,3.514
1711672140000,3.494,3.495,3.493,3.495,3629.0,1711672199999,12681.3773,75,2217.2,1711674120000,3.514
1711672200000,3.495,3.495,3.492,3.492,7403.8,1711672259999,25868.6024,118,1601.2,1711674120000,3.514
1711672260000,3.493,3.493,3.490,3.490,6730.4,1711672319999,23499.4146,179,2293.9,1711674120000,3.514
1711672320000,3.491,3.492,3.485,3.486,8564.8,1711672379999,29869.5804,180,4788.6,1711674120000,3.514
1711672380000,3.486,3.487,3.485,3.486,3188.5,1711672439999,11112.6509,99,2345.9,1711674120000,3.514
1711672440000,3.486,3.487,3.485,3.486,2942.3,1711672499999,10256.7643,69,1101.4,1711674120000,3.514
1711672500000,3.486,3.487,3.482,3.483,9085.4,1711672559999,31657.4847,165,2270.3,1711674120000,3.514
1711672560000,3.484,3.487,3.483,3.485,4732.4,1711672619999,16489.2883,105,2529.9,1711674120000,3.514
1711672620000,3.485,3.486,3.483,3.484,4132.5,1711672679999,14397.8259,104,2418.7,1711674120000,3.514
1711672680000,3.484,3.484,3.480,3.480,8385.1,1711672739999,29195.1588,134,2495.9,1711674120000,3.514
1711672740000,3.482,3.487,3.482,3.487,10614.9,1711672799999,36984.2739,129,8716.1,1711674120000,3.514
1711672800000,3.486,3.487,3.484,3.485,6781.7,1711672859999,23638.2227,148,2014.3,1711674120000,3.514
1711672860000,3.485,3.485,3.481,3.484,9340.6,1711672919999,32534.6882,185,4378.1,1711674120000,3.514
1711672920000,3.482,3.482,3.479,3.481,5360.2,1711672979999,18658.2585,95,1689.9,1711674120000,3.514
1711672980000,3.481,3.487,3.481,3.486,6134.3,1711673039999,21369.3899,99,5462.4,1711674120000,3.514
1711673040000,3.485,3.485,3.482,3.484,16808.2,1711673099999,58544.7332,162,2655.6,1711674120000,3.514
1711673100000,3.484,3.485,3.484,3.484,3968.3,1711673159999,13828.8549,54,975.3,1711674120000,3.514
1711673160000,3.485,3.487,3.484,3.487,3131.9,1711673219999,10917.5014,75,2799.2,1711674120000,3.514
1711673220000,3.486,3.486,3.484,3.484,2698.8,1711673279999,9404.6568,41,972.9,1711674120000,3.514
1711673280000,3.485,3.486,3.485,3.485,2327.4,1711673339999,8111.0207,47,1535.4,1711674120000,3.514
1711673340000,3.484,3.487,3.484,3.487,1323.0,1711673399999,4611.9665,47,1246.9,1711674120000,3.514
1711673400000,3.487,3.488,3.486,3.488,4711.8,1711673459999,16430.9387,69,2221.6,1711674120000,3.514
