Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711701120000,6.259000,6.264000,6.242000,6.252000,24040.6,1711701179999,150326.0423000,616,3875.9,1711706460000,6.273
1711701180000,6.253000,6.263000,6.253000,6.261000,4021.7,1711701239999,25172.2548000,133,3017.7,1711706460000,6.273
1711701240000,6.259000,6.278000,6.259000,6.278000,2174.7,1711701299999,13630.3336000,124,1660.9,1711706460000,6.273
1711701300000,6.278000,6.288000,6.270000,6.272000,6734.7,1711701359999,42277.7490000,241,3693.5,1711706460000,6.273
1711701360000,6.274000,6.285000,6.274000,6.283000,3479.1,1711701419999,21850.0818000,161,2275.0,1711706460000,6.273
1711701420000,6.283000,6.290000,6.283000,6.287000,2443.4,1711701479999,15361.9570000,164,1821.0,1711706460000,6.273
1711701480000,6.288000,6.290000,6.273000,6.274000,6465.6,1711701539999,40615.6891000,265,1361.5,1711706460000,6.273
1711701540000,6.274000,6.275000,6.267000,6.275000,5892.0,1711701599999,36952.7372000,248,2382.9,1711706460000,6.273
1711701600000,6.275000,6.290000,6.274000,6.279000,8568.4,1711701659999,53831.3460000,327,5692.4,1711706460000,6.273
1711701660000,6.281000,6.283000,6.276000,6.281000,2857.2,1711701719999,17940.6771000,151,1651.0,1711706460000,6.273
1711701720000,6.280000,6.293000,6.279000,6.288000,6114.2,1711701779999,38447.9558000,268,4893.1,1711706460000,6.273
1711701780000,6.289000,6.294000,6.288000,6.293000,1967.5,1711701839999,12378.9370000,135,1002.8,1711706460000,6.273
1711701840000,6.294000,6.299000,6.293000,6.298000,8640.1,1711701899999,54408.9855000,304,4944.9,1711706460000,6.273
1711701900000,6.297000,6.300000,6.278000,6.282000,11183.6,1711701959999,70369.9573000,379,4556.6,1711706460000,6.273
1711701960000,6.282000,6.293000,6.280000,6.291000,6255.2,1711702019999,39319.8369000,225,4024.7,1711706460000,6.273
1711702020000,6.292000,6.304000,6.291000,6.302000,4142.6,1711702079999,26093.7303000,243,2268.9,1711706460000,6.273
1711702080000,6.301000,6.304000,6.278000,6.279000,9997.4,1711702139999,62904.4311000,323,1843.5,1711706460000,6.273
1711702140000,6.279000,6.283000,6.276000,6.282000,3388.9,1711702199999,21284.1545000,179,1418.4,1711706460000,6.273
1711702200000,6.282000,6.285000,6.279000,6.283000,7256.0,1711702259999,45581.4290000,290,3359.7,1711706460000,6.273
