Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711817940000,1.0478000,1.0482000,1.0475000,1.0478000,2339,1711817999999,2451.0484000,36,1396,1711823280000,1.0582
1711818000000,1.0478000,1.0482000,1.0469000,1.0473000,5782,1711818059999,6057.8272000,90,2364,1711823280000,1.0582
1711818060000,1.0473000,1.0479000,1.0468000,1.0475000,5070,1711818119999,5309.5543000,101,1767,1711823280000,1.0582
1711818120000,1.0472000,1.0481000,1.0464000,1.0477000,8204,1711818179999,8592.7326000,115,3702,1711823280000,1.0582
1711818180000,1.0477000,1.0483000,1.0476000,1.0476000,4249,1711818239999,4452.7224000,82,1370,1711823280000,1.0582
1711818240000,1.0476000,1.0476000,1.0450000,1.0452000,10505,1711818299999,10987.9488000,129,1023,1711823280000,1.0582
1711818300000,1.0453000,1.0462000,1.0448000,1.0458000,4845,1711818359999,5065.4310000,90,3090,1711823280000,1.0582
1711818360000,1.0459000,1.0465000,1.0457000,1.0465000,3929,1711818419999,4110.2711000,78,2394,1711823280000,1.0582
1711818420000,1.0465000,1.0466000,1.0452000,1.0452000,3996,1711818479999,4179.9083000,80,526,1711823280000,1.0582
1711818480000,1.0452000,1.0463000,1.0449000,1.0456000,5767,1711818539999,6031.0852000,70,3723,1711823280000,1.0582
1711818540000,1.0457000,1.0457000,1.0427000,1.0444000,37972,1711818599999,39628.8779000,239,8644,1711823280000,1.0582
1711818600000,1.0445000,1.0448000,1.0434000,1.0439000,7002,1711818659999,7310.4616000,89,4797,1711823280000,1.0582
1711818660000,1.0437000,1.0437000,1.0428000,1.0433000,9038,1711818719999,9428.1014000,133,5130,1711823280000,1.0582
1711818720000,1.0431000,1.0431000,1.0420000,1.0423000,13782,1711818779999,14366.0087000,87,1887,1711823280000,1.0582
1711818780000,1.0422000,1.0423000,1.0418000,1.0418000,3340,1711818839999,3480.3624000,50,1009,1711823280000,1.0582
1711818840000,1.0418000,1.0421000,1.0415000,1.0416000,4411,1711818899999,4596.1335000,59,2107,1711823280000,1.0582
1711818900000,1.0419000,1.0423000,1.0412000,1.0423000,10782,1711818959999,11234.5199000,137,5936,1711823280000,1.0582
1711818960000,1.0424000,1.0441000,1.0423000,1.0435000,11080,1711819019999,11560.8788000,128,7598,1711823280000,1.0582
1711819020000,1.0437000,1.0442000,1.0431000,1.0436000,1827,1711819079999,1906.7405000,61,713,1711823280000,1.0582
1711819080000,1.0435000,1.0437000,1.0427000,1.0429000,4124,1711819139999,4302.2463000,88,1795,1711823280000,1.0582
1711819140000,1.0429000,1.0434000,1.0425000,1.0425000,6451,1711819199999,6728.8183000,56,377,1711823280000,1.0582
1711819200000,1.0423000,1.0425000,1.0418000,1.0425000,6437,1711819259999,6708.8033000,61,3843,1711823280000,1.0582
1711819260000,1.0425000,1.0442000,1.0425000,1.0441000,9159,1711819319999,9556.4501000,110,8049,1711823280000,1.0582
1711819320000,1.0440000,1.0454000,1.0434000,1.0449000,12733,1711819379999,13304.9660000,114,11423,1711823280000,1.0582
1711819380000,1.0450000,1.0463000,1.0448000,1.0457000,6871,1711819439999,7184.5838000,101,5951,1711823280000,1.0582
1711819440000,1.0456000,1.0456000,1.0443000,1.0444000,1202,1711819499999,1256.1952000,38,294,1711823280000,1.0582
1711819500000,1.0445000,1.0446000,1.0435000,1.0436000,6142,1711819559999,6412.1955000,114,1490,1711823280000,1.0582
1711819560000,1.0437000,1.0444000,1.0435000,1.0442000,3717,1711819619999,3880.1764000,68,2783,1711823280000,1.0582
1711819620000,1.0442000,1.0442000,1.0435000,1.0438000,3551,1711819679999,3706.6693000,50,1540,1711823280000,1.0582
1711819680000,1.0437000,1.0450000,1.0437000,1.0450000,3463,1711819739999,3616.6509000,54,3021,1711823280000,1.0582
1711819740000,1.0449000,1.0455000,1.0441000,1.0453000,2125,1711819799999,2219.8234000,59,750,1711823280000,1.0582
1711819800000,1.0453000,1.0477000,1.0452000,1.0468000,22146,1711819859999,23185.1032000,171,19765,1711823280000,1.0582
1711819860000,1.0466000,1.0466000,1.0452000,1.0456000,13137,1711819919999,13740.2838000,130,4456,1711823280000,1.0582
1711819920000,1.0457000,1.0472000,1.0452000,1.0472000,16302,1711819979999,17054.6858000,180,9485,1711823280000,1.0582
1711819980000,1.0471000,1.0479000,1.0461000,1.0477000,7430,1711820039999,7780.1727000,106,4609,1711823280000,1.0582
1711820040000,1.0476000,1.0477000,1.0463000,1.0463000,2503,1711820099999,2621.0142000,55,948,1711823280000,1.0582
1711820100000,1.0462000,1.0473000,1.0459000,1.0473000,1841,1711820159999,1927.1757000,60,1196,1711823280000,1.0582
1711820160000,1.0473000,1.0475000,1.0458000,1.0459000,2101,1711820219999,2199.3665000,50,275,1711823280000,1.0582
1711820220000,1.0462000,1.0472000,1.0461000,1.0472000,6562,1711820279999,6866.8944000,55,2536,1711823280000,1.0582
1711820280000,1.0474000,1.0479000,1.0473000,1.0478000,1272,1711820339999,1332.6240000,29,932,1711823280000,1.0582
1711820340000,1.0478000,1.0479000,1.0465000,1.0465000,2930,1711820399999,3068.4201000,60,860,1711823280000,1.0582
1711820400000,1.0469000,1.0474000,1.0464000,1.0464000,5211,1711820459999,5456.2088000,71,1582,1711823280000,1.0582
1711820460000,1.0468000,1.0468000,1.0457000,1.0457000,1899,1711820519999,1986.6915000,63,408,1711823280000,1.0582
1711820520000,1.0457000,1.0471000,1.0457000,1.0471000,1476,1711820579999,1544.5309000,35,1470,1711823280000,1.0582
1711820580000,1.0471000,1.0474000,1.0470000,1.0473000,1697,1711820639999,1777.0195000,36,961,1711823280000,1.0582
1711820640000,1.0474000,1.0480000,1.0471000,1.0478000,2586,1711820699999,2709.6471000,47,1702,1711823280000,1.0582
1711820700000,1.0478000,1.0482000,1.0471000,1.0477000,3365,1711820759999,3525.9508000,69,827,1711823280000,1.0582
1711820760000,1.0469000,1.0474000,1.0463000,1.0463000,1784,1711820819999,1867.7423000,61,868,1711823280000,1.0582
1711820820000,1.0464000,1.0470000,1.0463000,1.0464000,887,1711820879999,928.2423000,32,711,1711823280000,1.0582
1711820880000,1.0465000,1.0468000,1.0463000,1.0464000,2250,1711820939999,2354.8114000,57,1068,1711823280000,1.0582
1711820940000,1.0463000,1.0473000,1.0463000,1.0463000,1908,1711820999999,1997.1348000,45,1459,1711823280000,1.0582
1711821000000,1.0463000,1.0479000,1.0460000,1.0473000,3770,1711821059999,3947.8741000,80,2489,1711823280000,1.0582
1711821060000,1.0478000,1.0478000,1.0460000,1.0463000,3620,1711821119999,3789.8130000,85,763,1711823280000,1.0582
1711821120000,1.0464000,1.0468000,1.0460000,1.0462000,929,1711821179999,972.1096000,47,722,1711823280000,1.0582
1711821180000,1.0461000,1.0463000,1.0459000,1.0462000,1094,1711821239999,1144.4774000,32,827,1711823280000,1.0582
1711821240000,1.0464000,1.0467000,1.0464000,1.0467000,645,1711821299999,675.0454000,24,469,1711823280000,1.0582
1711821300000,1.0471000,1.0484000,1.0470000,1.0480000,1994,1711821359999,2089.4238000,41,1265,1711823280000,1.0582
1711821360000,1.0479000,1.0483000,1.0479000,1.0482000,1800,1711821419999,1886.6193000,43,1175,1711823280000,1.0582
1711821420000,1.0482000,1.0484000,1.0478000,1.0484000,1195,1711821479999,1252.3231000,26,946,1711823280000,1.0582
1711821480000,1.0480000,1.0483000,1.0477000,1.0477000,1728,1711821539999,1810.6472000,17,1399,1711823280000,1.0582
1711821540000,1.0479000,1.0479000,1.0475000,1.0477000,823,1711821599999,862.2653000,26,607,1711823280000,1.0582
1711821600000,1.0477000,1.0477000,1.0466000,1.0470000,3205,1711821659999,3356.7112000,47,681,1711823280000,1.0582
1711821660000,1.0469000,1.0471000,1.0463000,1.0466000,4487,1711821719999,4696.3566000,98,1723,1711823280000,1.0582
1711821720000,1.0465000,1.0483000,1.0465000,1.0482000,3671,1711821779999,3846.9118000,72,1773,1711823280000,1.0582
1711821780000,1.0481000,1.0483000,1.0474000,1.0477000,4477,1711821839999,4691.2211000,94,2443,1711823280000,1.0582
1711821840000,1.0475000,1.0482000,1.0473000,1.0478000,1760,1711821899999,1844.2658000,52,1265,1711823280000,1.0582
1711821900000,1.0480000,1.0480000,1.0470000,1.0471000,5396,1711821959999,5653.0013000,66,612,1711823280000,1.0582
1711821960000,1.0471000,1.0473000,1.0466000,1.0473000,1592,1711822019999,1667.0588000,54,561,1711823280000,1.0582
1711822020000,1.0472000,1.0472000,1.0451000,1.0452000,2177,1711822079999,2277.6267000,43,344,1711823280000,1.0582
1711822080000,1.0452000,1.0459000,1.0450000,1.0453000,3535,1711822139999,3695.5478000,69,2828,1711823280000,1.0582
1711822140000,1.0453000,1.0453000,1.0439000,1.0439000,2420,1711822199999,2527.4849000,41,1239,1711823280000,1.0582
1711822200000,1.0439000,1.0441000,1.0425000,1.0426000,2248,1711822259999,2345.3708000,43,607,1711823280000,1.0582
1711822260000,1.0426000,1.0437000,1.0425000,1.0435000,2981,1711822319999,3109.5372000,64,2212,1711823280000,1.0582
1711822320000,1.0436000,1.0443000,1.0432000,1.0439000,3684,1711822379999,3845.4655000,51,2383,1711823280000,1.0582
1711822380000,1.0436000,1.0444000,1.0434000,1.0436000,2092,1711822439999,2183.6896000,37,579,1711823280000,1.0582
1711822440000,1.0435000,1.0435000,1.0431000,1.0434000,2461,1711822499999,2567.6952000,26,358,1711823280000,1.0582
1711822500000,1.0435000,1.0438000,1.0431000,1.0437000,2887,1711822559999,3012.4076000,46,1076,1711823280000,1.0582
1711822560000,1.0440000,1.0452000,1.0437000,1.0441000,4273,1711822619999,4462.2778000,87,1721,1711823280000,1.0582
1711822620000,1.0441000,1.0449000,1.0441000,1.0445000,1235,1711822679999,1289.7739000,35,392,1711823280000,1.0582
1711822680000,1.0445000,1.0445000,1.0431000,1.0436000,3202,1711822739999,3341.9849000,64,1329,1711823280000,1.0582
1711822740000,1.0437000,1.0442000,1.0435000,1.0438000,1704,1711822799999,1778.6183000,58,502,1711823280000,1.0582
1711822800000,1.0438000,1.0455000,1.0438000,1.0453000,6114,1711822859999,6388.6638000,125,1784,1711823280000,1.0582
1711822860000,1.0454000,1.0465000,1.0454000,1.0463000,2223,1711822919999,2324.6876000,61,1731,1711823280000,1.0582
1711822920000,1.0462000,1.0472000,1.0457000,1.0469000,6311,1711822979999,6605.8332000,73,5302,1711823280000,1.0582
1711822980000,1.0469000,1.0475000,1.0467000,1.0474000,1540,1711823039999,1612.3258000,40,1179,1711823280000,1.0582
1711823040000,1.0473000,1.0479000,1.0473000,1.0474000,1835,1711823099999,1922.1884000,44,1196,1711823280000,1.0582
1711823100000,1.0474000,1.0478000,1.0471000,1.0471000,3550,1711823159999,3717.9816000,48,540,1711823280000,1.0582
1711823160000,1.0471000,1.0486000,1.0471000,1.0482000,6279,1711823219999,6580.2611000,65,5337,1711823280000,1.0582
1711823220000,1.0482000,1.0486000,1.0479000,1.0481000,692,1711823279999,725.3386000,24,142,1711823280000,1.0582
1711823280000,1.0482000,1.0614000,1.0482000,1.0560000,1248432,1711823339999,1317485.4151000,3832,651393,1711823280000,1.0582
1711823340000,1.0560000,1.0569000,1.0538000,1.0546000,171511,1711823399999,180923.7191000,795,113182,1711823280000,1.0582
1711823400000,1.0546000,1.0550000,1.0534000,1.0539000,67799,1711823459999,71471.6322000,304,36111,1711823280000,1.0582
1711823460000,1.0538000,1.0539000,1.0528000,1.0535000,32474,1711823519999,34210.8425000,216,16320,1711823280000,1.0582
1711823520000,1.0533000,1.0542000,1.0520000,1.0532000,42639,1711823579999,44904.1312000,240,23003,1711823280000,1.0582
1711823580000,1.0530000,1.0532000,1.0524000,1.0530000,22981,1711823639999,24193.2135000,120,21296,1711823280000,1.0582
1711823640000,1.0529000,1.0530000,1.0520000,1.0522000,9342,1711823699999,9831.0205000,116,2916,1711823280000,1.0582
1711823700000,1.0522000,1.0522000,1.0505000,1.0509000,30247,1711823759999,31795.6366000,92,1267,1711823280000,1.0582
1711823760000,1.0509000,1.0509000,1.0499000,1.0503000,12634,1711823819999,13266.7784000,78,9845,1711823280000,1.0582
1711823820000,1.0503000,1.0506000,1.0500000,1.0500000,2710,1711823879999,2846.3824000,54,918,1711823280000,1.0582
1711823880000,1.0502000,1.0516000,1.0502000,1.0505000,20062,1711823939999,21084.1351000,130,12674,1711823280000,1.0582
1711823940000,1.0503000,1.0503000,1.0489000,1.0500000,4258,1711823999999,4468.6606000,71,2912,1711823280000,1.0582
1711824000000,1.0500000,1.0503000,1.0496000,1.0497000,4499,1711824059999,4723.7223000,65,2793,1711823280000,1.0582
1711824060000,1.0498000,1.0501000,1.0495000,1.0498000,3428,1711824119999,3598.6849000,69,2269,1711823280000,1.0582
1711824120000,1.0497000,1.0497000,1.0493000,1.0496000,1201,1711824179999,1260.3819000,47,397,1711823280000,1.0582
1711824180000,1.0495000,1.0495000,1.0488000,1.0492000,9999,1711824239999,10488.8491000,68,2332,1711823280000,1.0582
