Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710412920000,74.860,75.000,74.770,74.790,781.7,1710412979999,58536.7430,314,221.7,1710418320000,74.49
1710412980000,74.790,74.890,74.670,74.880,571.1,1710413039999,42710.4430,240,414.0,1710418320000,74.49
1710413040000,74.880,74.950,74.800,74.910,501.5,1710413099999,37538.6100,207,173.9,1710418320000,74.49
1710413100000,74.920,74.930,74.810,74.820,329.8,1710413159999,24696.0660,186,140.8,1710418320000,74.49
1710413160000,74.830,74.860,74.640,74.860,1726.2,1710413219999,128968.7530,455,391.2,1710418320000,74.49
1710413220000,74.860,74.890,74.550,74.620,893.3,1710413279999,66776.2270,420,342.7,1710418320000,74.49
1710413280000,74.630,74.760,74.630,74.700,390.3,1710413339999,29156.5590,238,191.5,1710418320000,74.49
1710413340000,74.700,74.720,74.430,74.540,1239.7,1710413399999,92403.8040,495,664.2,1710418320000,74.49
1710413400000,74.540,74.550,74.220,74.220,511.2,1710413459999,38016.2340,259,101.5,1710418320000,74.49
1710413460000,74.230,74.660,74.230,74.660,575.0,1710413519999,42809.3730,341,306.9,1710418320000,74.49
1710413520000,74.680,74.790,74.620,74.700,416.4,1710413579999,31109.6510,259,193.2,1710418320000,74.49
1710413580000,74.700,74.700,74.500,74.500,382.2,1710413639999,28519.6320,218,110.9,1710418320000,74.49
1710413640000,74.500,74.500,74.280,74.280,352.0,1710413699999,26195.5510,255,139.4,1710418320000,74.49
1710413700000,74.280,74.400,74.120,74.160,570.8,1710413759999,42368.0900,323,198.0,1710418320000,74.49
1710413760000,74.160,74.250,74.060,74.110,1261.9,1710413819999,93547.6400,445,565.0,1710418320000,74.49
1710413820000,74.110,74.240,74.070,74.080,1428.4,1710413879999,105931.4900,509,1100.7,1710418320000,74.49
1710413880000,74.070,74.220,74.020,74.190,533.1,1710413939999,39534.6960,259,356.7,1710418320000,74.49
1710413940000,74.180,74.210,74.150,74.200,180.8,1710413999999,13413.6520,128,87.4,1710418320000,74.49
1710414000000,74.200,74.400,74.190,74.280,407.2,1710414059999,30250.8150,250,199.1,1710418320000,74.49
1710414060000,74.280,74.300,74.200,74.230,1025.0,1710414119999,76067.2280,145,38.0,1710418320000,74.49
1710414120000,74.210,74.280,74.090,74.280,1026.1,1710414179999,76101.3540,426,494.3,1710418320000,74.49
1710414180000,74.280,74.570,74.280,74.530,976.2,1710414239999,72702.3100,421,530.1,1710418320000,74.49
1710414240000,74.540,74.670,74.140,74.170,1291.8,1710414299999,96227.5530,503,692.7,1710418320000,74.49
1710414300000,74.160,74.160,73.780,73.880,1720.4,1710414359999,127167.6470,749,475.0,1710418320000,74.49
1710414360000,73.880,73.900,73.620,73.680,1669.8,1710414419999,123132.1030,734,593.3,1710418320000,74.49
1710414420000,73.690,73.770,73.410,73.410,2509.5,1710414479999,184645.9880,1052,716.6,1710418320000,74.49
1710414480000,73.420,73.620,73.340,73.540,1627.6,1710414539999,119605.2150,917,915.5,1710418320000,74.49
1710414540000,73.540,73.620,73.430,73.460,1919.5,1710414599999,141157.9880,672,1178.9,1710418320000,74.49
1710414600000,73.460,73.730,73.380,73.460,1839.4,1710414659999,135239.3490,691,802.3,1710418320000,74.49
1710414660000,73.460,73.600,73.340,73.350,1047.2,1710414719999,76930.9250,519,479.0,1710418320000,74.49
1710414720000,73.360,73.430,73.080,73.130,1779.0,1710414779999,130242.5970,862,579.3,1710418320000,74.49
1710414780000,73.160,73.160,72.860,72.940,3019.0,1710414839999,220346.9740,1001,896.4,1710418320000,74.49
1710414840000,72.960,73.030,72.840,72.900,1166.7,1710414899999,85088.7680,577,569.4,1710418320000,74.49
1710414900000,72.920,72.980,72.570,72.590,2774.8,1710414959999,201854.1400,1115,913.4,1710418320000,74.49
1710414960000,72.590,73.150,72.540,73.120,2234.3,1710415019999,162763.5080,934,1541.1,1710418320000,74.49
1710415020000,73.120,73.360,73.070,73.310,1616.7,1710415079999,118372.0670,664,1177.4,1710418320000,74.49
1710415080000,73.320,73.420,73.290,73.410,871.2,1710415139999,63909.4230,401,572.9,1710418320000,74.49
1710415140000,73.390,73.440,73.350,73.390,862.2,1710415199999,63278.5780,367,237.7,1710418320000,74.49
1710415200000,73.380,73.410,73.280,73.390,1564.4,1710415259999,114775.0290,488,712.5,1710418320000,74.49
1710415260000,73.400,73.490,73.280,73.280,857.6,1710415319999,62950.9410,302,233.0,1710418320000,74.49
1710415320000,73.290,73.450,73.290,73.400,1122.2,1710415379999,82351.0090,381,781.8,1710418320000,74.49
1710415380000,73.400,73.560,73.400,73.560,484.8,1710415439999,35630.0450,230,300.7,1710418320000,74.49
1710415440000,73.550,73.550,73.230,73.240,618.8,1710415499999,45401.7440,318,175.2,1710418320000,74.49
1710415500000,73.250,73.260,73.000,73.050,906.2,1710415559999,66241.5010,440,457.2,1710418320000,74.49
1710415560000,73.050,73.370,73.030,73.370,658.1,1710415619999,48194.7100,321,509.4,1710418320000,74.49
1710415620000,73.370,73.580,73.360,73.550,479.2,1710415679999,35222.0610,221,240.4,1710418320000,74.49
1710415680000,73.550,73.550,73.330,73.350,254.1,1710415739999,18650.1560,144,74.3,1710418320000,74.49
1710415740000,73.350,73.430,73.290,73.430,654.3,1710415799999,47983.2930,267,177.3,1710418320000,74.49
1710415800000,73.420,73.510,73.310,73.310,488.8,1710415859999,35885.9310,338,216.6,1710418320000,74.49
1710415860000,73.310,73.310,73.040,73.060,990.1,1710415919999,72402.2770,411,557.1,1710418320000,74.49
