Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712173560000,1.1080000,1.1130000,1.1040000,1.1120000,798266,1712173619999,885072.5630000,2267,471554,1712178900000,1.121
1712173620000,1.1120000,1.1150000,1.1040000,1.1140000,806058,1712173679999,894276.5710000,2593,399449,1712178900000,1.121
1712173680000,1.1140000,1.1190000,1.1130000,1.1160000,407282,1712173739999,454626.1280000,1518,225095,1712178900000,1.121
1712173740000,1.1170000,1.1180000,1.1100000,1.1160000,479835,1712173799999,534287.7450000,1568,208679,1712178900000,1.121
1712173800000,1.1160000,1.1190000,1.1020000,1.1030000,523912,1712173859999,582186.2580000,2149,160228,1712178900000,1.121
1712173860000,1.1020000,1.1070000,1.0970000,1.1040000,1083949,1712173919999,1194298.0250000,3355,493674,1712178900000,1.121
1712173920000,1.1040000,1.1190000,1.1030000,1.1130000,887259,1712173979999,987386.2800000,3161,543380,1712178900000,1.121
1712173980000,1.1120000,1.1190000,1.1110000,1.1150000,463608,1712174039999,516712.2660000,1853,211207,1712178900000,1.121
1712174040000,1.1150000,1.1220000,1.1110000,1.1170000,969567,1712174099999,1083337.2440000,2936,475245,1712178900000,1.121
1712174100000,1.1160000,1.1220000,1.1120000,1.1200000,644547,1712174159999,719893.4770000,2126,369573,1712178900000,1.121
1712174160000,1.1210000,1.1250000,1.1160000,1.1230000,821108,1712174219999,920571.9170000,2842,465073,1712178900000,1.121
1712174220000,1.1230000,1.1250000,1.1190000,1.1220000,303488,1712174279999,340341.3050000,1021,181172,1712178900000,1.121
1712174280000,1.1220000,1.1220000,1.1120000,1.1140000,389356,1712174339999,434399.2970000,1518,182322,1712178900000,1.121
1712174340000,1.1140000,1.1150000,1.1040000,1.1080000,963358,1712174399999,1067990.9370000,2403,371617,1712178900000,1.121
1712174400000,1.1070000,1.1080000,1.0840000,1.0860000,4016299,1712174459999,4399274.6660000,9174,1290392,1712178900000,1.121
1712174460000,1.0870000,1.0900000,1.0700000,1.0750000,4168398,1712174519999,4503572.6710000,10093,1850230,1712178900000,1.121
1712174520000,1.0750000,1.0880000,1.0660000,1.0790000,3977067,1712174579999,4279524.1780000,9572,1935188,1712178900000,1.121
1712174580000,1.0790000,1.0870000,1.0770000,1.0820000,1073013,1712174639999,1161578.5770000,2390,684413,1712178900000,1.121
1712174640000,1.0820000,1.0840000,1.0700000,1.0750000,974347,1712174699999,1049226.0750000,2798,416528,1712178900000,1.121
1712174700000,1.0750000,1.0800000,1.0640000,1.0690000,1933086,1712174759999,2069545.3400000,4797,815484,1712178900000,1.121
1712174760000,1.0700000,1.0800000,1.0670000,1.0740000,1386074,1712174819999,1488030.4180000,4147,816227,1712178900000,1.121
1712174820000,1.0730000,1.0820000,1.0670000,1.0740000,1285354,1712174879999,1383511.6090000,3435,639505,1712178900000,1.121
1712174880000,1.0730000,1.0750000,1.0660000,1.0700000,664469,1712174939999,710789.0180000,2096,306220,1712178900000,1.121
1712174940000,1.0700000,1.0790000,1.0700000,1.0750000,656847,1712174999999,706441.7070000,1995,392318,1712178900000,1.121
1712175000000,1.0740000,1.0820000,1.0660000,1.0820000,1345385,1712175059999,1447485.2110000,3570,816991,1712178900000,1.121
1712175060000,1.0820000,1.0860000,1.0670000,1.0720000,1137166,1712175119999,1223435.3670000,3817,508242,1712178900000,1.121
1712175120000,1.0720000,1.0730000,1.0660000,1.0680000,1122273,1712175179999,1199130.8400000,2717,457308,1712178900000,1.121
1712175180000,1.0670000,1.0680000,1.0570000,1.0620000,2274680,1712175239999,2414601.9000000,5435,969997,1712178900000,1.121
1712175240000,1.0620000,1.0700000,1.0560000,1.0590000,1262659,1712175299999,1340653.6910000,3420,645940,1712178900000,1.121
1712175300000,1.0580000,1.0680000,1.0570000,1.0630000,1384460,1712175359999,1472350.3630000,2937,810121,1712178900000,1.121
1712175360000,1.0630000,1.0690000,1.0580000,1.0620000,771947,1712175419999,820930.3360000,2369,336601,1712178900000,1.121
1712175420000,1.0630000,1.0630000,1.0580000,1.0620000,649487,1712175479999,688813.0360000,1521,311760,1712178900000,1.121
1712175480000,1.0620000,1.0670000,1.0620000,1.0660000,544709,1712175539999,579970.9020000,1659,325548,1712178900000,1.121
1712175540000,1.0660000,1.0790000,1.0650000,1.0740000,1842412,1712175599999,1975857.2070000,5161,1193302,1712178900000,1.121
1712175600000,1.0730000,1.0740000,1.0650000,1.0690000,561870,1712175659999,600070.7890000,1990,270059,1712178900000,1.121
1712175660000,1.0690000,1.0690000,1.0520000,1.0570000,1552934,1712175719999,1641618.9700000,4414,526038,1712178900000,1.121
1712175720000,1.0560000,1.0690000,1.0560000,1.0660000,965922,1712175779999,1027732.0710000,3193,597489,1712178900000,1.121
1712175780000,1.0660000,1.0730000,1.0660000,1.0720000,721055,1712175839999,771437.8600000,1894,381814,1712178900000,1.121
1712175840000,1.0720000,1.0740000,1.0680000,1.0710000,735429,1712175899999,787908.2830000,2088,371004,1712178900000,1.121
1712175900000,1.0700000,1.0810000,1.0700000,1.0760000,1043555,1712175959999,1122970.5700000,3103,607689,1712178900000,1.121
1712175960000,1.0760000,1.0870000,1.0750000,1.0860000,984103,1712176019999,1063805.6640000,2841,672558,1712178900000,1.121
1712176020000,1.0850000,1.0910000,1.0750000,1.0800000,1224048,1712176079999,1326353.7620000,3817,544827,1712178900000,1.121
1712176080000,1.0800000,1.0830000,1.0750000,1.0760000,593405,1712176139999,640343.0910000,2260,263601,1712178900000,1.121
1712176140000,1.0750000,1.0850000,1.0750000,1.0850000,694541,1712176199999,750772.4020000,2434,381184,1712178900000,1.121
1712176200000,1.0840000,1.0860000,1.0780000,1.0820000,1097635,1712176259999,1187617.5930000,2848,535949,1712178900000,1.121
1712176260000,1.0820000,1.0900000,1.0780000,1.0850000,1568604,1712176319999,1700266.6450000,4060,872839,1712178900000,1.121
1712176320000,1.0840000,1.0880000,1.0640000,1.0690000,1547244,1712176379999,1662776.1460000,4762,637005,1712178900000,1.121
1712176380000,1.0700000,1.0700000,1.0550000,1.0590000,1145609,1712176439999,1219200.2260000,3057,328880,1712178900000,1.121
1712176440000,1.0590000,1.0650000,1.0560000,1.0650000,837572,1712176499999,889137.9860000,2098,483698,1712178900000,1.121
1712176500000,1.0650000,1.0650000,1.0540000,1.0600000,1011488,1712176559999,1069641.9370000,2853,405962,1712178900000,1.121
1712176560000,1.0600000,1.0670000,1.0560000,1.0660000,712386,1712176619999,756509.1600000,2338,445042,1712178900000,1.121
1712176620000,1.0650000,1.0680000,1.0540000,1.0570000,1098079,1712176679999,1164548.6660000,2848,434507,1712178900000,1.121
1712176680000,1.0570000,1.0610000,1.0540000,1.0570000,1043141,1712176739999,1102432.9670000,2125,500612,1712178900000,1.121
1712176740000,1.0580000,1.0690000,1.0500000,1.0520000,2805708,1712176799999,2965271.3670000,5801,1103805,1712178900000,1.121
1712176800000,1.0520000,1.0600000,1.0500000,1.0560000,1761338,1712176859999,1855556.3200000,3663,848890,1712178900000,1.121
1712176860000,1.0570000,1.0580000,1.0450000,1.0490000,2447596,1712176919999,2568462.9830000,4606,993383,1712178900000,1.121
1712176920000,1.0490000,1.0580000,1.0450000,1.0500000,1596048,1712176979999,1676626.9030000,4779,833104,1712178900000,1.121
1712176980000,1.0500000,1.0640000,1.0480000,1.0610000,1987336,1712177039999,2102163.5560000,3962,1112048,1712178900000,1.121
1712177040000,1.0610000,1.0670000,1.0600000,1.0640000,1149580,1712177099999,1223378.7920000,2544,530962,1712178900000,1.121
1712177100000,1.0640000,1.0810000,1.0630000,1.0690000,1841847,1712177159999,1974634.4280000,5518,1042552,1712178900000,1.121
1712177160000,1.0690000,1.0890000,1.0680000,1.0770000,2242463,1712177219999,2424856.2310000,5995,1283775,1712178900000,1.121
1712177220000,1.0770000,1.0860000,1.0700000,1.0800000,1008047,1712177279999,1087034.1870000,3124,474544,1712178900000,1.121
1712177280000,1.0810000,1.0830000,1.0750000,1.0780000,628801,1712177339999,678852.5410000,1863,243048,1712178900000,1.121
1712177340000,1.0780000,1.0850000,1.0780000,1.0790000,557461,1712177399999,602793.1920000,1842,283885,1712178900000,1.121
1712177400000,1.0790000,1.0830000,1.0770000,1.0820000,373963,1712177459999,403793.5250000,1234,168460,1712178900000,1.121
1712177460000,1.0820000,1.0820000,1.0700000,1.0730000,739546,1712177519999,794817.2460000,2538,238854,1712178900000,1.121
