Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710263580000,0.62890,0.63150,0.62890,0.62950,102426,1710263639999,64529.34770,573,53449,1710268980000,0.6422
1710263640000,0.62930,0.63060,0.62610,0.62690,147730,1710263699999,92809.19840,707,52582,1710268980000,0.6422
1710263700000,0.62690,0.62870,0.62520,0.62680,169938,1710263759999,106472.50330,972,80125,1710268980000,0.6422
1710263760000,0.62700,0.62850,0.62510,0.62750,98273,1710263819999,61577.41650,736,52724,1710268980000,0.6422
1710263820000,0.62740,0.62740,0.62220,0.62220,227490,1710263879999,142106.16460,977,87470,1710268980000,0.6422
1710263880000,0.62210,0.62460,0.61480,0.62180,766056,1710263939999,474521.30230,2211,258317,1710268980000,0.6422
1710263940000,0.62180,0.62310,0.61910,0.62020,265758,1710263999999,165047.01750,1226,125280,1710268980000,0.6422
1710264000000,0.62010,0.62280,0.61500,0.61570,519020,1710264059999,320738.60380,1812,264266,1710268980000,0.6422
1710264060000,0.61540,0.61560,0.60570,0.61070,1875612,1710264119999,1146745.64520,4532,600582,1710268980000,0.6422
1710264120000,0.61080,0.61290,0.59210,0.60410,1279933,1710264179999,773166.58710,3822,434132,1710268980000,0.6422
1710264180000,0.60400,0.61600,0.60200,0.61480,621846,1710264239999,378829.46160,2872,354764,1710268980000,0.6422
1710264240000,0.61450,0.61740,0.61450,0.61510,350181,1710264299999,215744.58670,1604,190847,1710268980000,0.6422
1710264300000,0.61490,0.61660,0.61220,0.61620,261506,1710264359999,160745.68870,1792,128774,1710268980000,0.6422
1710264360000,0.61610,0.61850,0.61480,0.61610,214919,1710264419999,132550.96730,1512,102634,1710268980000,0.6422
1710264420000,0.61610,0.61870,0.61500,0.61820,213021,1710264479999,131526.07430,1037,135671,1710268980000,0.6422
1710264480000,0.61810,0.61820,0.61350,0.61790,229668,1710264539999,141526.61770,951,133508,1710268980000,0.6422
1710264540000,0.61800,0.61880,0.61500,0.61510,101288,1710264599999,62451.49960,690,48103,1710268980000,0.6422
1710264600000,0.61510,0.61960,0.61510,0.61940,103661,1710264659999,63954.68610,761,59774,1710268980000,0.6422
1710264660000,0.61950,0.62170,0.61830,0.61980,167393,1710264719999,103765.51180,738,65306,1710268980000,0.6422
1710264720000,0.62000,0.62330,0.61990,0.62310,198214,1710264779999,123227.02160,1144,128895,1710268980000,0.6422
1710264780000,0.62310,0.62780,0.62310,0.62680,278787,1710264839999,174200.16110,1178,156590,1710268980000,0.6422
1710264840000,0.62670,0.62880,0.62620,0.62820,247305,1710264899999,155286.13870,1281,141358,1710268980000,0.6422
