Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710422280000,1.173,1.174,1.172,1.173,124861.4,1710422339999,146435.6269,236,63871.8,1710427620000,1.149
1710422340000,1.173,1.173,1.171,1.172,23449.7,1710422399999,27483.5979,101,20194.9,1710427620000,1.149
1710422400000,1.172,1.172,1.170,1.170,78845.6,1710422459999,92273.8923,115,1323.9,1710427620000,1.149
1710422460000,1.171,1.172,1.167,1.167,108188.9,1710422519999,126540.2129,298,44885.9,1710427620000,1.149
1710422520000,1.167,1.168,1.164,1.165,291225.2,1710422579999,339561.7077,606,128537.9,1710427620000,1.149
1710422580000,1.166,1.168,1.165,1.167,192295.9,1710422639999,224310.9010,415,131707.5,1710427620000,1.149
1710422640000,1.166,1.168,1.164,1.164,125399.8,1710422699999,146220.7999,251,60764.7,1710427620000,1.149
1710422700000,1.165,1.168,1.165,1.167,156364.5,1710422759999,182371.8209,315,94838.6,1710427620000,1.149
1710422760000,1.167,1.169,1.165,1.168,125547.2,1710422819999,146541.6574,229,95193.8,1710427620000,1.149
1710422820000,1.168,1.169,1.165,1.165,86667.8,1710422879999,101171.7698,270,30915.1,1710427620000,1.149
1710422880000,1.165,1.166,1.164,1.166,133479.7,1710422939999,155511.7743,289,85322.3,1710427620000,1.149
1710422940000,1.165,1.169,1.165,1.166,167015.0,1710422999999,194976.6597,358,69854.0,1710427620000,1.149
1710423000000,1.166,1.168,1.166,1.167,86901.9,1710423059999,101395.6806,174,50245.1,1710427620000,1.149
1710423060000,1.167,1.169,1.166,1.169,130647.0,1710423119999,152556.4013,301,67965.0,1710427620000,1.149
1710423120000,1.169,1.170,1.166,1.166,148173.1,1710423179999,173139.0213,301,65398.8,1710427620000,1.149
1710423180000,1.167,1.167,1.163,1.164,308955.5,1710423239999,359740.2921,634,154768.4,1710427620000,1.149
1710423240000,1.164,1.165,1.162,1.163,305842.8,1710423299999,355808.2578,475,165012.2,1710427620000,1.149
1710423300000,1.163,1.164,1.157,1.158,744662.3,1710423359999,863843.1245,1541,290609.5,1710427620000,1.149
1710423360000,1.158,1.160,1.152,1.159,1121077.8,1710423419999,1295921.8438,2194,621232.9,1710427620000,1.149
1710423420000,1.159,1.161,1.157,1.158,356594.9,1710423479999,413428.8260,610,152311.7,1710427620000,1.149
1710423480000,1.157,1.158,1.153,1.154,208329.5,1710423539999,240687.8321,462,82684.6,1710427620000,1.149
1710423540000,1.153,1.153,1.148,1.150,660553.9,1710423599999,759642.5137,2017,176142.6,1710427620000,1.149
1710423600000,1.150,1.151,1.144,1.147,1163387.7,1710423659999,1334328.9003,1807,512670.6,1710427620000,1.149
