Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710796320000,31.109,31.122,31.100,31.115,2061.70,1710796379999,64139.99973,281,1265.47,1710801720000,31.5
1710796380000,31.114,31.121,31.097,31.111,1846.08,1710796439999,57424.70389,237,1142.71,1710801720000,31.5
1710796440000,31.109,31.124,31.104,31.112,1647.16,1710796499999,51245.21800,199,828.11,1710801720000,31.5
1710796500000,31.112,31.170,31.112,31.170,1465.20,1710796559999,45623.82075,240,1013.87,1710801720000,31.5
1710796560000,31.169,31.180,31.142,31.161,2595.73,1710796619999,80891.94425,320,796.17,1710801720000,31.5
1710796620000,31.160,31.163,31.149,31.149,1398.46,1710796679999,43569.04359,170,644.11,1710801720000,31.5
1710796680000,31.149,31.164,31.143,31.150,2489.99,1710796739999,77567.30930,180,1161.24,1710801720000,31.5
1710796740000,31.151,31.165,31.141,31.141,1149.64,1710796799999,35809.58793,154,660.99,1710801720000,31.5
1710796800000,31.140,31.161,31.140,31.144,1237.58,1710796859999,38550.53259,135,739.99,1710801720000,31.5
1710796860000,31.143,31.143,31.124,31.128,909.28,1710796919999,28305.30032,142,119.48,1710801720000,31.5
1710796920000,31.128,31.133,31.113,31.125,932.69,1710796979999,29027.24274,175,507.68,1710801720000,31.5
1710796980000,31.124,31.167,31.121,31.164,2616.24,1710797039999,81477.63583,261,1461.18,1710801720000,31.5
1710797040000,31.163,31.205,31.160,31.169,6831.33,1710797099999,213024.45206,436,4341.68,1710801720000,31.5
1710797100000,31.168,31.186,31.156,31.156,4687.32,1710797159999,146094.94888,301,657.59,1710801720000,31.5
1710797160000,31.155,31.206,31.151,31.199,1671.20,1710797219999,52103.82410,174,1333.90,1710801720000,31.5
1710797220000,31.199,31.224,31.193,31.222,2597.72,1710797279999,81061.14070,232,2007.48,1710801720000,31.5
1710797280000,31.222,31.245,31.218,31.242,4402.02,1710797339999,137479.36856,816,1114.41,1710801720000,31.5
1710797340000,31.241,31.243,31.225,31.237,2836.55,1710797399999,88599.37434,242,949.06,1710801720000,31.5
1710797400000,31.237,31.237,31.199,31.224,2814.96,1710797459999,87859.56558,253,1267.65,1710801720000,31.5
1710797460000,31.224,31.257,31.223,31.257,3289.57,1710797519999,102753.85109,269,2352.46,1710801720000,31.5
1710797520000,31.258,31.299,31.256,31.291,4199.53,1710797579999,131369.89782,508,2542.07,1710801720000,31.5
1710797580000,31.291,31.291,31.205,31.209,5716.23,1710797639999,178643.85868,471,1497.43,1710801720000,31.5
1710797640000,31.208,31.213,31.165,31.209,5237.22,1710797699999,163365.45849,532,2512.79,1710801720000,31.5
1710797700000,31.209,31.285,31.209,31.285,2451.72,1710797759999,76609.92934,406,1304.22,1710801720000,31.5
1710797760000,31.285,31.288,31.265,31.267,1864.32,1710797819999,58303.52440,315,583.03,1710801720000,31.5
1710797820000,31.267,31.267,31.218,31.243,2363.04,1710797879999,73810.34492,305,931.10,1710801720000,31.5
1710797880000,31.243,31.279,31.243,31.247,1254.83,1710797939999,39226.04485,256,635.97,1710801720000,31.5
1710797940000,31.247,31.249,31.192,31.198,3902.15,1710797999999,121830.30224,332,694.31,1710801720000,31.5
1710798000000,31.198,31.220,31.179,31.186,1731.69,1710798059999,54017.93169,297,535.11,1710801720000,31.5
1710798060000,31.186,31.221,31.179,31.221,1461.40,1710798119999,45593.63689,214,692.47,1710801720000,31.5
1710798120000,31.221,31.221,31.201,31.201,874.70,1710798179999,27304.64235,164,50.65,1710801720000,31.5
1710798180000,31.200,31.201,31.178,31.179,604.57,1710798239999,18856.65434,123,43.12,1710801720000,31.5
1710798240000,31.179,31.183,31.166,31.179,1684.23,1710798299999,52505.45735,202,1241.73,1710801720000,31.5
1710798300000,31.179,31.182,31.172,31.182,694.45,1710798359999,21648.84140,125,432.24,1710801720000,31.5
1710798360000,31.182,31.182,31.178,31.179,557.57,1710798419999,17385.28367,95,67.97,1710801720000,31.5
1710798420000,31.178,31.185,31.168,31.185,1341.29,1710798479999,41815.81377,205,541.29,1710801720000,31.5
1710798480000,31.186,31.204,31.177,31.204,1794.59,1710798539999,55968.37291,302,886.42,1710801720000,31.5
1710798540000,31.204,31.208,31.204,31.208,383.76,1710798599999,11976.12590,100,226.19,1710801720000,31.5
1710798600000,31.207,31.208,31.192,31.195,1134.65,1710798659999,35404.99806,178,57.78,1710801720000,31.5
1710798660000,31.195,31.195,31.194,31.195,80.19,1710798719999,2501.45781,51,10.95,1710801720000,31.5
1710798720000,31.195,31.217,31.194,31.215,1447.74,1710798779999,45179.30785,198,1053.65,1710801720000,31.5
1710798780000,31.215,31.215,31.191,31.193,1130.85,1710798839999,35285.27698,148,399.34,1710801720000,31.5
1710798840000,31.193,31.193,31.181,31.183,1156.15,1710798899999,36055.66844,160,490.14,1710801720000,31.5
1710798900000,31.183,31.183,31.118,31.118,1741.71,1710798959999,54275.56399,240,391.02,1710801720000,31.5
1710798960000,31.119,31.149,31.119,31.149,2301.53,1710799019999,71650.26109,272,1679.54,1710801720000,31.5
1710799020000,31.149,31.154,31.127,31.137,1443.00,1710799079999,44936.05261,203,231.16,1710801720000,31.5
1710799080000,31.138,31.149,31.128,31.148,1038.24,1710799139999,32330.85718,140,321.04,1710801720000,31.5
1710799140000,31.148,31.148,31.137,31.138,654.40,1710799199999,20381.24299,88,122.27,1710801720000,31.5
1710799200000,31.137,31.164,31.111,31.159,4387.91,1710799259999,136618.92360,415,2850.36,1710801720000,31.5
1710799260000,31.157,31.159,31.105,31.111,2699.85,1710799319999,84047.55177,358,1062.59,1710801720000,31.5
1710799320000,31.112,31.156,31.112,31.122,2836.19,1710799379999,88300.02189,370,1284.24,1710801720000,31.5
1710799380000,31.121,31.141,31.101,31.123,2648.97,1710799439999,82438.18659,315,1571.36,1710801720000,31.5
1710799440000,31.126,31.134,31.098,31.112,3865.30,1710799499999,120283.08441,360,1583.84,1710801720000,31.5
1710799500000,31.118,31.154,31.097,31.152,4745.12,1710799559999,147699.98890,502,3093.45,1710801720000,31.5
1710799560000,31.151,31.151,31.113,31.146,3827.73,1710799619999,119177.85650,379,1413.08,1710801720000,31.5
1710799620000,31.147,31.174,31.132,31.153,3108.90,1710799679999,96868.91036,321,1166.27,1710801720000,31.5
1710799680000,31.153,31.178,31.134,31.160,2448.45,1710799739999,76284.28260,310,1209.63,1710801720000,31.5
1710799740000,31.158,31.193,31.152,31.184,2067.87,1710799799999,64473.99312,264,1216.15,1710801720000,31.5
1710799800000,31.185,31.198,31.172,31.198,1944.81,1710799859999,60645.39716,201,1456.75,1710801720000,31.5
1710799860000,31.200,31.216,31.165,31.168,2916.64,1710799919999,90988.89981,319,1058.17,1710801720000,31.5
1710799920000,31.169,31.226,31.169,31.226,2151.29,1710799979999,67100.64918,200,1430.20,1710801720000,31.5
1710799980000,31.226,31.229,31.202,31.206,1364.66,1710800039999,42602.20206,193,457.23,1710801720000,31.5
1710800040000,31.209,31.211,31.193,31.196,2118.82,1710800099999,66106.00900,251,383.14,1710801720000,31.5
1710800100000,31.195,31.253,31.191,31.249,2584.21,1710800159999,80695.08139,324,1777.42,1710801720000,31.5
1710800160000,31.248,31.259,31.175,31.175,3263.02,1710800219999,101882.22883,362,652.04,1710801720000,31.5
1710800220000,31.175,31.175,31.087,31.116,9263.49,1710800279999,288318.46692,911,2807.82,1710801720000,31.5
1710800280000,31.115,31.140,31.073,31.091,6454.13,1710800339999,200707.07763,588,2460.83,1710801720000,31.5
1710800340000,31.087,31.146,31.087,31.146,3792.27,1710800399999,117999.53491,446,2510.26,1710801720000,31.5
1710800400000,31.146,31.162,31.092,31.143,4430.44,1710800459999,137895.80713,469,1816.22,1710801720000,31.5
1710800460000,31.143,31.143,31.108,31.131,2951.36,1710800519999,91849.67074,413,1313.46,1710801720000,31.5
1710800520000,31.130,31.131,31.090,31.093,1631.23,1710800579999,50755.45436,232,665.14,1710801720000,31.5
1710800580000,31.093,31.119,31.037,31.038,4628.53,1710800639999,143834.71234,539,1648.70,1710801720000,31.5
1710800640000,31.038,31.053,31.026,31.038,1811.57,1710800699999,56224.74630,323,911.77,1710801720000,31.5
1710800700000,31.040,31.042,31.005,31.035,4316.00,1710800759999,133893.03218,496,1909.18,1710801720000,31.5
1710800760000,31.035,31.076,31.035,31.044,5388.27,1710800819999,167323.21397,397,3920.18,1710801720000,31.5
1710800820000,31.044,31.051,30.986,31.001,2885.20,1710800879999,89479.99410,404,1272.27,1710801720000,31.5
1710800880000,31.001,31.024,30.988,31.024,1651.44,1710800939999,51210.38993,245,740.34,1710801720000,31.5
1710800940000,31.025,31.033,31.015,31.032,1563.28,1710800999999,48496.04533,229,535.24,1710801720000,31.5
1710801000000,31.030,31.106,31.017,31.089,4636.29,1710801059999,143991.93571,451,3382.00,1710801720000,31.5
1710801060000,31.090,31.121,31.082,31.116,4753.00,1710801119999,147814.23289,396,2849.43,1710801720000,31.5
1710801120000,31.114,31.124,31.086,31.097,5806.88,1710801179999,180613.81373,468,2028.16,1710801720000,31.5
1710801180000,31.097,31.110,31.078,31.098,6921.77,1710801239999,215246.00489,423,3681.12,1710801720000,31.5
1710801240000,31.099,31.128,31.091,31.128,4663.76,1710801299999,145079.29828,417,2005.28,1710801720000,31.5
1710801300000,31.128,31.152,31.107,31.107,3868.12,1710801359999,120435.11168,353,2251.36,1710801720000,31.5
1710801360000,31.106,31.128,31.057,31.110,5647.82,1710801419999,175622.42506,610,2833.40,1710801720000,31.5
1710801420000,31.110,31.110,31.039,31.041,5997.53,1710801479999,186397.37280,499,2597.97,1710801720000,31.5
1710801480000,31.041,31.071,31.028,31.057,6709.33,1710801539999,208348.59238,514,5073.16,1710801720000,31.5
1710801540000,31.061,31.128,31.050,31.122,3742.89,1710801599999,116383.16767,378,1970.64,1710801720000,31.5
1710801600000,31.122,31.253,31.115,31.194,39162.44,1710801659999,1222122.19385,1885,22602.19,1710801720000,31.5
