Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711075380000,2.4706000,2.4746000,2.4699000,2.4734000,11320,1711075439999,27993.9647000,255,5999,1711080720000,2.5201
1711075440000,2.4734000,2.4757000,2.4729000,2.4730000,21011,1711075499999,51989.6709000,288,9156,1711080720000,2.5201
1711075500000,2.4729000,2.4779000,2.4726000,2.4749000,29811,1711075559999,73792.7851000,542,19715,1711080720000,2.5201
1711075560000,2.4750000,2.4773000,2.4720000,2.4721000,18584,1711075619999,45996.7226000,352,5332,1711080720000,2.5201
1711075620000,2.4719000,2.4736000,2.4697000,2.4730000,14219,1711075679999,35136.9814000,279,7072,1711080720000,2.5201
1711075680000,2.4730000,2.4731000,2.4676000,2.4679000,16237,1711075739999,40117.0622000,307,3634,1711080720000,2.5201
1711075740000,2.4680000,2.4725000,2.4676000,2.4725000,12501,1711075799999,30872.1278000,282,6138,1711080720000,2.5201
1711075800000,2.4720000,2.4721000,2.4674000,2.4674000,14604,1711075859999,36069.4978000,277,3611,1711080720000,2.5201
1711075860000,2.4674000,2.4696000,2.4658000,2.4668000,33240,1711075919999,82025.4258000,416,11835,1711080720000,2.5201
1711075920000,2.4668000,2.4751000,2.4654000,2.4751000,52389,1711075979999,129425.6950000,658,46554,1711080720000,2.5201
1711075980000,2.4751000,2.4770000,2.4736000,2.4750000,49831,1711076039999,123337.7373000,513,34488,1711080720000,2.5201
1711076040000,2.4750000,2.4750000,2.4699000,2.4724000,17299,1711076099999,42773.3958000,314,7502,1711080720000,2.5201
1711076100000,2.4725000,2.4791000,2.4725000,2.4789000,17080,1711076159999,42305.2345000,295,10432,1711080720000,2.5201
1711076160000,2.4792000,2.4810000,2.4783000,2.4797000,29944,1711076219999,74250.3565000,417,14244,1711080720000,2.5201
1711076220000,2.4799000,2.4829000,2.4796000,2.4818000,32873,1711076279999,81579.3637000,1005,12842,1711080720000,2.5201
1711076280000,2.4818000,2.4850000,2.4809000,2.4848000,25688,1711076339999,63775.0610000,1306,12265,1711080720000,2.5201
1711076340000,2.4849000,2.4874000,2.4848000,2.4851000,22345,1711076399999,55548.0993000,459,15104,1711080720000,2.5201
1711076400000,2.4852000,2.4900000,2.4852000,2.4896000,26843,1711076459999,66781.0731000,544,15744,1711080720000,2.5201
1711076460000,2.4896000,2.4923000,2.4881000,2.4899000,40975,1711076519999,102018.5580000,559,19523,1711080720000,2.5201
1711076520000,2.4899000,2.4909000,2.4881000,2.4888000,39572,1711076579999,98516.5703000,536,19564,1711080720000,2.5201
