Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712137320000,8.755,8.760,8.752,8.753,9513.9,1712137379999,83304.9917,241,5576.6,1712142720000,8.689
1712137380000,8.752,8.753,8.741,8.746,44491.4,1712137439999,389093.8508,459,25366.4,1712142720000,8.689
1712137440000,8.745,8.749,8.742,8.747,10069.9,1712137499999,88062.2214,207,8102.2,1712142720000,8.689
1712137500000,8.747,8.747,8.725,8.733,35357.7,1712137559999,308701.6992,546,7035.6,1712142720000,8.689
1712137560000,8.733,8.738,8.728,8.733,34319.3,1712137619999,299760.7869,404,14482.9,1712142720000,8.689
1712137620000,8.733,8.794,8.722,8.786,156227.7,1712137679999,1368366.7705,2745,114083.5,1712142720000,8.689
1712137680000,8.786,8.795,8.778,8.780,122442.4,1712137739999,1076064.0283,1738,51634.5,1712142720000,8.689
1712137740000,8.779,8.784,8.774,8.780,38650.2,1712137799999,339282.9676,612,26287.9,1712142720000,8.689
1712137800000,8.779,8.783,8.769,8.783,33580.3,1712137859999,294717.4548,593,19058.6,1712142720000,8.689
1712137860000,8.782,8.795,8.782,8.793,45833.8,1712137919999,402853.1493,672,28897.4,1712142720000,8.689
1712137920000,8.793,8.796,8.786,8.789,25898.6,1712137979999,227678.3982,552,17942.2,1712142720000,8.689
1712137980000,8.790,8.793,8.785,8.787,20095.4,1712138039999,176627.1327,323,3729.5,1712142720000,8.689
1712138040000,8.787,8.794,8.781,8.789,19021.8,1712138099999,167147.5357,361,10176.9,1712142720000,8.689
1712138100000,8.790,8.790,8.775,8.775,16723.5,1712138159999,146815.1856,343,8421.6,1712142720000,8.689
1712138160000,8.775,8.775,8.765,8.774,13851.3,1712138219999,121485.8885,395,5603.7,1712142720000,8.689
1712138220000,8.774,8.781,8.774,8.777,9406.4,1712138279999,82552.0563,250,6018.2,1712142720000,8.689
1712138280000,8.778,8.778,8.764,8.769,12780.7,1712138339999,112071.2695,340,5314.0,1712142720000,8.689
1712138340000,8.769,8.776,8.764,8.768,15707.4,1712138399999,137719.7865,370,6482.3,1712142720000,8.689
1712138400000,8.768,8.771,8.753,8.755,17293.5,1712138459999,151535.1934,540,10039.4,1712142720000,8.689
1712138460000,8.754,8.754,8.746,8.747,14464.5,1712138519999,126552.0485,440,6484.6,1712142720000,8.689
1712138520000,8.747,8.751,8.735,8.746,39242.5,1712138579999,343011.3418,993,17611.6,1712142720000,8.689
1712138580000,8.746,8.746,8.728,8.729,37626.7,1712138639999,328725.1901,731,7848.6,1712142720000,8.689
1712138640000,8.729,8.729,8.723,8.724,41336.8,1712138699999,360682.8602,623,13652.7,1712142720000,8.689
1712138700000,8.723,8.726,8.716,8.724,70586.0,1712138759999,615531.6743,797,24431.5,1712142720000,8.689
1712138760000,8.724,8.730,8.718,8.730,27990.3,1712138819999,244197.7490,437,22897.2,1712142720000,8.689
1712138820000,8.729,8.730,8.721,8.721,17809.6,1712138879999,155404.8279,319,4744.0,1712142720000,8.689
1712138880000,8.722,8.727,8.719,8.721,48962.6,1712138939999,427147.6510,563,26054.0,1712142720000,8.689
1712138940000,8.722,8.723,8.712,8.721,13496.5,1712138999999,117645.6997,470,6798.6,1712142720000,8.689
1712139000000,8.721,8.726,8.710,8.716,29023.0,1712139059999,253015.7204,900,17089.4,1712142720000,8.689
1712139060000,8.717,8.727,8.715,8.726,6197.7,1712139119999,54043.6185,302,4103.0,1712142720000,8.689
1712139120000,8.725,8.725,8.716,8.722,15771.8,1712139179999,137537.1953,316,13314.2,1712142720000,8.689
1712139180000,8.721,8.728,8.719,8.725,25881.0,1712139239999,225757.6703,501,10135.4,1712142720000,8.689
1712139240000,8.725,8.728,8.722,8.722,14172.9,1712139299999,123665.2997,392,6389.2,1712142720000,8.689
1712139300000,8.723,8.729,8.717,8.728,24179.0,1712139359999,210917.0038,437,11435.1,1712142720000,8.689
1712139360000,8.727,8.736,8.725,8.731,29938.3,1712139419999,261349.5400,400,18591.3,1712142720000,8.689
1712139420000,8.731,8.731,8.718,8.731,8821.8,1712139479999,76966.0811,285,6055.1,1712142720000,8.689
1712139480000,8.730,8.730,8.720,8.726,10724.2,1712139539999,93563.5697,283,5462.2,1712142720000,8.689
1712139540000,8.726,8.736,8.726,8.731,23992.6,1712139599999,209500.0713,382,10510.2,1712142720000,8.689
1712139600000,8.730,8.730,8.726,8.726,9192.3,1712139659999,80232.2215,220,2552.7,1712142720000,8.689
1712139660000,8.727,8.727,8.718,8.725,19111.4,1712139719999,166703.3714,379,10239.0,1712142720000,8.689
1712139720000,8.725,8.727,8.710,8.713,29265.5,1712139779999,255098.6454,403,6382.5,1712142720000,8.689
1712139780000,8.713,8.721,8.713,8.719,14997.5,1712139839999,130730.7027,253,11675.0,1712142720000,8.689
1712139840000,8.719,8.722,8.715,8.721,5801.7,1712139899999,50582.8714,147,1779.6,1712142720000,8.689
1712139900000,8.721,8.721,8.713,8.721,13244.9,1712139959999,115466.1147,282,3591.2,1712142720000,8.689
1712139960000,8.721,8.730,8.712,8.714,20303.9,1712140019999,177081.1901,376,6844.0,1712142720000,8.689
1712140020000,8.714,8.717,8.706,8.710,18055.1,1712140079999,157265.2897,596,8607.6,1712142720000,8.689
1712140080000,8.710,8.716,8.708,8.709,17902.7,1712140139999,155962.0328,353,7892.0,1712142720000,8.689
1712140140000,8.708,8.709,8.697,8.704,54787.0,1712140199999,476765.4669,653,24689.0,1712142720000,8.689
1712140200000,8.705,8.712,8.701,8.706,33284.9,1712140259999,289809.1853,436,22917.4,1712142720000,8.689
1712140260000,8.707,8.710,8.685,8.691,72580.5,1712140319999,631082.0556,1052,16058.6,1712142720000,8.689
1712140320000,8.691,8.703,8.691,8.695,26785.2,1712140379999,232967.6773,445,18830.4,1712142720000,8.689
1712140380000,8.694,8.706,8.693,8.705,22706.5,1712140439999,197514.1726,479,15273.8,1712142720000,8.689
1712140440000,8.704,8.704,8.681,8.686,56336.6,1712140499999,489444.6232,839,19431.0,1712142720000,8.689
1712140500000,8.686,8.694,8.683,8.691,20357.7,1712140559999,176862.2363,395,13752.8,1712142720000,8.689
1712140560000,8.692,8.704,8.691,8.698,14878.3,1712140619999,129428.0665,308,9930.1,1712142720000,8.689
1712140620000,8.698,8.708,8.695,8.699,25658.0,1712140679999,223298.5691,381,11109.2,1712142720000,8.689
1712140680000,8.700,8.706,8.700,8.706,17573.1,1712140739999,152945.5799,294,8603.2,1712142720000,8.689
1712140740000,8.705,8.709,8.704,8.707,10878.5,1712140799999,94709.8916,215,4075.7,1712142720000,8.689
1712140800000,8.708,8.711,8.703,8.709,16598.5,1712140859999,144537.3870,349,8138.6,1712142720000,8.689
1712140860000,8.709,8.710,8.674,8.687,110587.3,1712140919999,961115.0158,1307,30089.0,1712142720000,8.689
1712140920000,8.687,8.687,8.655,8.663,109092.8,1712140979999,945720.0676,1670,38449.8,1712142720000,8.689
1712140980000,8.663,8.671,8.661,8.666,49575.8,1712141039999,429673.6114,2254,25535.7,1712142720000,8.689
1712141040000,8.667,8.678,8.667,8.677,15813.7,1712141099999,137168.6164,269,6444.0,1712142720000,8.689
1712141100000,8.677,8.678,8.661,8.664,30955.0,1712141159999,268355.3433,416,9771.4,1712142720000,8.689
1712141160000,8.665,8.671,8.653,8.655,51460.2,1712141219999,445818.9468,674,22398.2,1712142720000,8.689
1712141220000,8.656,8.662,8.651,8.654,28989.5,1712141279999,250982.9651,416,16096.8,1712142720000,8.689
