Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711730760000,0.1382,0.1383,0.1375,0.1375,94645,1711730819999,13057.0480,69,2455,1711736100000,0.1376
1711730820000,0.1376,0.1379,0.1375,0.1378,84078,1711730879999,11580.3622,72,41211,1711736100000,0.1376
1711730880000,0.1377,0.1379,0.1377,0.1378,68758,1711730939999,9474.2288,72,24448,1711736100000,0.1376
1711730940000,0.1377,0.1377,0.1376,0.1376,66346,1711730999999,9135.2503,45,758,1711736100000,0.1376
1711731000000,0.1375,0.1375,0.1372,0.1372,105410,1711731059999,14485.2452,60,41664,1711736100000,0.1376
1711731060000,0.1372,0.1372,0.1369,0.1369,165036,1711731119999,22611.7041,99,18616,1711736100000,0.1376
1711731120000,0.1370,0.1371,0.1368,0.1369,46177,1711731179999,6325.1687,80,28198,1711736100000,0.1376
1711731180000,0.1370,0.1372,0.1369,0.1371,48342,1711731239999,6624.2034,50,13489,1711736100000,0.1376
1711731240000,0.1371,0.1371,0.1366,0.1366,551515,1711731299999,75435.8430,145,27700,1711736100000,0.1376
1711731300000,0.1366,0.1367,0.1364,0.1364,183015,1711731359999,24988.5211,80,29450,1711736100000,0.1376
1711731360000,0.1364,0.1366,0.1364,0.1364,75831,1711731419999,10350.1026,62,29636,1711736100000,0.1376
1711731420000,0.1364,0.1365,0.1364,0.1364,16467,1711731479999,2246.5541,27,10681,1711736100000,0.1376
1711731480000,0.1364,0.1364,0.1361,0.1362,117039,1711731539999,15949.2746,65,36997,1711736100000,0.1376
1711731540000,0.1363,0.1365,0.1361,0.1364,270320,1711731599999,36851.7221,126,161815,1711736100000,0.1376
1711731600000,0.1365,0.1365,0.1362,0.1363,202369,1711731659999,27589.6527,104,106988,1711736100000,0.1376
1711731660000,0.1364,0.1367,0.1362,0.1363,193196,1711731719999,26369.5051,124,74693,1711736100000,0.1376
1711731720000,0.1364,0.1364,0.1361,0.1362,176700,1711731779999,24078.3104,86,45228,1711736100000,0.1376
1711731780000,0.1362,0.1366,0.1362,0.1365,60773,1711731839999,8292.3313,41,59344,1711736100000,0.1376
1711731840000,0.1365,0.1366,0.1365,0.1365,5675,1711731899999,774.6726,8,351,1711736100000,0.1376
1711731900000,0.1365,0.1372,0.1365,0.1372,133793,1711731959999,18306.4928,106,90959,1711736100000,0.1376
1711731960000,0.1372,0.1374,0.1372,0.1373,43512,1711732019999,5977.0151,49,22145,1711736100000,0.1376
1711732020000,0.1373,0.1373,0.1368,0.1368,231703,1711732079999,31736.1222,115,52568,1711736100000,0.1376
1711732080000,0.1367,0.1371,0.1367,0.1371,73854,1711732139999,10116.2075,53,46312,1711736100000,0.1376
1711732140000,0.1371,0.1372,0.1370,0.1372,88600,1711732199999,12147.2017,57,34752,1711736100000,0.1376
1711732200000,0.1372,0.1372,0.1369,0.1369,31771,1711732259999,4355.4166,34,10161,1711736100000,0.1376
1711732260000,0.1369,0.1371,0.1368,0.1370,220150,1711732319999,30143.6998,109,51014,1711736100000,0.1376
1711732320000,0.1370,0.1370,0.1368,0.1368,74766,1711732379999,10236.6635,47,12062,1711736100000,0.1376
1711732380000,0.1368,0.1368,0.1366,0.1366,139296,1711732439999,19046.0209,69,37107,1711736100000,0.1376
1711732440000,0.1366,0.1367,0.1366,0.1366,2064,1711732499999,281.9510,16,86,1711736100000,0.1376
1711732500000,0.1366,0.1370,0.1366,0.1368,143009,1711732559999,19566.9510,90,106063,1711736100000,0.1376
1711732560000,0.1367,0.1368,0.1366,0.1367,93953,1711732619999,12843.6830,65,17636,1711736100000,0.1376
