Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710844260000,1.163,1.167,1.162,1.167,60555.3,1710844319999,70496.2134,237,39224.8,1710849660000,1.205
1710844320000,1.168,1.168,1.166,1.166,37817.7,1710844379999,44131.1553,177,12749.6,1710849660000,1.205
1710844380000,1.166,1.166,1.163,1.166,44146.5,1710844439999,51432.7376,232,20444.8,1710849660000,1.205
1710844440000,1.166,1.170,1.165,1.167,34246.1,1710844499999,39995.3145,167,25176.8,1710849660000,1.205
1710844500000,1.168,1.172,1.165,1.172,42978.6,1710844559999,50246.3729,230,23716.9,1710849660000,1.205
1710844560000,1.173,1.173,1.168,1.168,25504.7,1710844619999,29837.1883,153,9985.5,1710849660000,1.205
1710844620000,1.168,1.170,1.168,1.169,11671.7,1710844679999,13643.6744,93,5185.8,1710849660000,1.205
1710844680000,1.170,1.172,1.167,1.167,25021.3,1710844739999,29272.0900,112,13678.8,1710849660000,1.205
1710844740000,1.168,1.168,1.162,1.164,26738.4,1710844799999,31158.0160,117,9610.1,1710849660000,1.205
1710844800000,1.164,1.165,1.163,1.163,16184.3,1710844859999,18839.7014,119,8285.0,1710849660000,1.205
1710844860000,1.163,1.167,1.162,1.167,32386.0,1710844919999,37728.5779,176,25813.0,1710849660000,1.205
1710844920000,1.166,1.167,1.163,1.166,30228.1,1710844979999,35227.3639,148,7425.5,1710849660000,1.205
1710844980000,1.166,1.167,1.166,1.166,10009.5,1710845039999,11674.0758,77,7785.1,1710849660000,1.205
1710845040000,1.166,1.166,1.164,1.166,5931.5,1710845099999,6911.0848,66,2715.4,1710849660000,1.205
1710845100000,1.167,1.168,1.163,1.163,31859.7,1710845159999,37100.1392,152,9266.8,1710849660000,1.205
1710845160000,1.163,1.165,1.162,1.164,26523.2,1710845219999,30862.8618,152,13000.0,1710849660000,1.205
1710845220000,1.163,1.164,1.159,1.159,31080.6,1710845279999,36107.6522,183,7210.2,1710849660000,1.205
1710845280000,1.159,1.169,1.156,1.169,143404.7,1710845339999,166545.9563,485,74909.6,1710849660000,1.205
1710845340000,1.170,1.177,1.170,1.176,83609.4,1710845399999,98091.3189,497,57574.7,1710849660000,1.205
1710845400000,1.177,1.178,1.172,1.178,115870.5,1710845459999,136233.7461,438,54364.9,1710849660000,1.205
1710845460000,1.177,1.181,1.176,1.178,98332.1,1710845519999,115864.8907,332,48207.8,1710849660000,1.205
1710845520000,1.178,1.181,1.178,1.180,36774.7,1710845579999,43407.5857,218,20238.5,1710849660000,1.205
1710845580000,1.181,1.183,1.180,1.182,65312.1,1710845639999,77172.0971,248,29481.4,1710849660000,1.205
1710845640000,1.182,1.182,1.176,1.176,35852.3,1710845699999,42259.1403,137,9878.6,1710849660000,1.205
1710845700000,1.176,1.178,1.170,1.170,52191.2,1710845759999,61226.3772,268,16504.8,1710849660000,1.205
1710845760000,1.171,1.174,1.170,1.174,47357.1,1710845819999,55489.0969,223,31821.8,1710849660000,1.205
1710845820000,1.175,1.177,1.174,1.177,46321.1,1710845879999,54466.0912,170,21478.9,1710849660000,1.205
1710845880000,1.178,1.178,1.173,1.174,11426.6,1710845939999,13419.6512,82,7576.5,1710849660000,1.205
1710845940000,1.174,1.175,1.172,1.173,9725.2,1710845999999,11415.2700,94,5468.9,1710849660000,1.205
1710846000000,1.174,1.179,1.173,1.177,64694.1,1710846059999,76107.5219,258,42534.9,1710849660000,1.205
1710846060000,1.177,1.177,1.170,1.171,25590.3,1710846119999,30007.0877,166,11381.1,1710849660000,1.205
1710846120000,1.171,1.175,1.170,1.170,47473.1,1710846179999,55642.7592,217,30690.3,1710849660000,1.205
1710846180000,1.171,1.174,1.167,1.169,21440.5,1710846239999,25105.4452,181,9874.9,1710849660000,1.205
1710846240000,1.168,1.168,1.164,1.166,37683.4,1710846299999,43934.5364,272,10100.5,1710849660000,1.205
1710846300000,1.166,1.169,1.164,1.167,82391.6,1710846359999,96072.6127,272,54068.4,1710849660000,1.205
1710846360000,1.166,1.170,1.165,1.167,49820.1,1710846419999,58164.6376,203,27915.3,1710849660000,1.205
1710846420000,1.166,1.167,1.162,1.162,37922.5,1710846479999,44129.3903,189,10188.2,1710849660000,1.205
1710846480000,1.162,1.163,1.161,1.161,40977.7,1710846539999,47615.4393,144,9054.8,1710849660000,1.205
1710846540000,1.161,1.162,1.160,1.160,25557.0,1710846599999,29667.0987,219,14724.9,1710849660000,1.205
1710846600000,1.160,1.160,1.156,1.157,45025.7,1710846659999,52154.9982,239,19321.1,1710849660000,1.205
1710846660000,1.158,1.160,1.156,1.158,79687.8,1710846719999,92293.4542,325,47722.3,1710849660000,1.205
1710846720000,1.158,1.161,1.158,1.160,62604.4,1710846779999,72601.5023,217,48758.5,1710849660000,1.205
1710846780000,1.160,1.160,1.156,1.157,22413.8,1710846839999,25958.6993,130,6920.2,1710849660000,1.205
1710846840000,1.157,1.159,1.156,1.158,57763.3,1710846899999,66896.9366,201,31895.8,1710849660000,1.205
1710846900000,1.157,1.160,1.156,1.160,22927.7,1710846959999,26537.5924,145,11681.9,1710849660000,1.205
1710846960000,1.160,1.163,1.159,1.159,82167.5,1710847019999,95397.0663,287,32382.2,1710849660000,1.205
1710847020000,1.159,1.162,1.157,1.161,24766.9,1710847079999,28714.5081,98,20737.9,1710849660000,1.205
1710847080000,1.161,1.163,1.161,1.162,26676.2,1710847139999,30999.4683,82,11763.4,1710849660000,1.205
1710847140000,1.162,1.165,1.161,1.165,29822.0,1710847199999,34674.9342,149,20458.5,1710849660000,1.205
1710847200000,1.165,1.167,1.159,1.160,67368.3,1710847259999,78418.8045,172,37270.6,1710849660000,1.205
1710847260000,1.160,1.161,1.158,1.161,29971.9,1710847319999,34733.9618,134,16807.0,1710849660000,1.205
1710847320000,1.161,1.162,1.159,1.160,79422.7,1710847379999,92187.5069,219,29216.1,1710849660000,1.205
1710847380000,1.160,1.161,1.159,1.159,49275.4,1710847439999,57135.6720,140,13928.2,1710849660000,1.205
1710847440000,1.159,1.160,1.159,1.159,13636.3,1710847499999,15807.1369,101,5629.1,1710849660000,1.205
1710847500000,1.159,1.160,1.159,1.159,7776.3,1710847559999,9017.8949,82,2006.0,1710849660000,1.205
1710847560000,1.159,1.160,1.156,1.157,37590.3,1710847619999,43527.1407,126,6297.9,1710849660000,1.205
1710847620000,1.157,1.160,1.157,1.157,64940.9,1710847679999,75240.1504,162,50183.0,1710849660000,1.205
1710847680000,1.157,1.161,1.156,1.158,39670.2,1710847739999,45942.4637,174,13510.9,1710849660000,1.205
1710847740000,1.159,1.161,1.159,1.160,42921.6,1710847799999,49794.9072,172,18537.4,1710849660000,1.205
1710847800000,1.160,1.167,1.160,1.167,63300.2,1710847859999,73631.9895,221,44650.7,1710849660000,1.205
1710847860000,1.166,1.173,1.166,1.173,57943.0,1710847919999,67735.3803,324,32899.5,1710849660000,1.205
1710847920000,1.172,1.173,1.169,1.170,31991.5,1710847979999,37476.6183,274,17397.7,1710849660000,1.205
1710847980000,1.170,1.173,1.170,1.173,29141.2,1710848039999,34154.7867,103,19794.5,1710849660000,1.205
1710848040000,1.173,1.178,1.173,1.178,52085.5,1710848099999,61254.0393,255,33741.5,1710849660000,1.205
1710848100000,1.178,1.180,1.177,1.178,33952.5,1710848159999,40002.8857,121,16684.7,1710849660000,1.205
