Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710464460000,641.40000,643.15000,640.93000,642.98000,18.72,1710464519999,12018.1985000,139,10.97,1710469860000,643.19
1710464520000,642.90000,643.60000,642.41000,643.11000,11.90,1710464579999,7652.6265000,163,3.24,1710469860000,643.19
1710464580000,643.27000,645.28000,643.27000,644.56000,18.54,1710464639999,11940.2481000,203,13.53,1710469860000,643.19
1710464640000,644.55000,648.29000,644.04000,648.06000,45.98,1710464699999,29721.3528000,230,28.03,1710469860000,643.19
1710464700000,648.12000,648.35000,646.24000,646.75000,15.72,1710464759999,10174.2950000,152,6.94,1710469860000,643.19
1710464760000,646.92000,647.20000,645.39000,645.63000,13.35,1710464819999,8627.5740000,186,6.01,1710469860000,643.19
1710464820000,645.82000,647.22000,645.82000,646.72000,8.06,1710464879999,5211.1185000,127,4.74,1710469860000,643.19
1710464880000,646.72000,646.72000,645.94000,646.31000,2.01,1710464939999,1299.2476000,52,0.35,1710469860000,643.19
1710464940000,646.31000,646.31000,644.15000,644.31000,13.21,1710464999999,8517.0351000,131,3.66,1710469860000,643.19
1710465000000,644.61000,644.99000,643.39000,643.53000,20.25,1710465059999,13038.2578000,120,4.85,1710469860000,643.19
1710465060000,643.44000,643.62000,642.93000,643.49000,1.70,1710465119999,1093.7097000,31,0.88,1710469860000,643.19
1710465120000,643.17000,644.87000,642.86000,644.87000,2.09,1710465179999,1345.3693000,25,1.46,1710469860000,643.19
1710465180000,644.64000,644.81000,644.50000,644.51000,0.97,1710465239999,625.3337000,17,0.85,1710469860000,643.19
1710465240000,644.63000,645.18000,644.32000,644.34000,4.10,1710465299999,2643.0215000,21,1.24,1710469860000,643.19
1710465300000,644.57000,644.57000,642.76000,644.18000,17.29,1710465359999,11125.9373000,130,0.53,1710469860000,643.19
1710465360000,644.32000,644.79000,642.92000,642.92000,8.97,1710465419999,5778.5191000,92,4.94,1710469860000,643.19
1710465420000,642.92000,643.04000,641.55000,642.58000,14.14,1710465479999,9085.7407000,142,3.53,1710469860000,643.19
1710465480000,642.97000,643.58000,641.73000,641.85000,5.24,1710465539999,3368.1507000,76,0.63,1710469860000,643.19
1710465540000,641.79000,641.85000,641.01000,641.63000,7.40,1710465599999,4746.1799000,63,0.13,1710469860000,643.19
1710465600000,641.66000,641.82000,641.51000,641.51000,0.76,1710465659999,487.6642000,9,0.13,1710469860000,643.19
1710465660000,641.33000,641.68000,641.13000,641.63000,1.96,1710465719999,1257.1668000,44,1.53,1710469860000,643.19
1710465720000,641.67000,642.05000,640.82000,641.00000,10.92,1710465779999,7006.6227000,76,5.98,1710469860000,643.19
1710465780000,641.00000,641.72000,639.70000,641.41000,17.25,1710465839999,11050.6800000,151,0.79,1710469860000,643.19
