Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710535980000,8.116000,8.123000,8.107000,8.122000,917.0,1710536039999,7442.9347000,105,543.9,1710541380000,8.313
1710536040000,8.119000,8.125000,8.112000,8.121000,520.5,1710536099999,4226.5042000,68,376.5,1710541380000,8.313
1710536100000,8.121000,8.129000,8.110000,8.129000,511.2,1710536159999,4149.4205000,105,257.1,1710541380000,8.313
1710536160000,8.129000,8.133000,8.121000,8.133000,1496.5,1710536219999,12163.1469000,161,852.3,1710541380000,8.313
1710536220000,8.131000,8.140000,8.121000,8.123000,2250.6,1710536279999,18302.1698000,209,1117.5,1710541380000,8.313
1710536280000,8.124000,8.127000,8.112000,8.115000,1408.4,1710536339999,11434.5177000,147,753.3,1710541380000,8.313
1710536340000,8.117000,8.139000,8.117000,8.129000,1415.3,1710536399999,11502.4959000,92,1145.3,1710541380000,8.313
1710536400000,8.129000,8.141000,8.122000,8.141000,1895.4,1710536459999,15407.5471000,158,1105.5,1710541380000,8.313
1710536460000,8.141000,8.148000,8.141000,8.147000,1695.2,1710536519999,13805.0574000,126,620.7,1710541380000,8.313
1710536520000,8.147000,8.169000,8.146000,8.162000,1314.6,1710536579999,10725.8242000,111,505.8,1710541380000,8.313
1710536580000,8.167000,8.171000,8.159000,8.171000,787.6,1710536639999,6430.4803000,73,548.5,1710541380000,8.313
1710536640000,8.171000,8.186000,8.171000,8.182000,3332.7,1710536699999,27276.5647000,101,2789.7,1710541380000,8.313
1710536700000,8.181000,8.183000,8.177000,8.179000,942.1,1710536759999,7707.1452000,70,454.2,1710541380000,8.313
1710536760000,8.180000,8.183000,8.165000,8.174000,3823.4,1710536819999,31259.9319000,167,1471.8,1710541380000,8.313
1710536820000,8.172000,8.178000,8.167000,8.168000,2448.8,1710536879999,20010.2764000,143,1689.8,1710541380000,8.313
1710536880000,8.169000,8.170000,8.163000,8.166000,2358.3,1710536939999,19257.9312000,121,1679.8,1710541380000,8.313
1710536940000,8.165000,8.190000,8.165000,8.185000,1074.2,1710536999999,8787.0151000,94,458.4,1710541380000,8.313
1710537000000,8.185000,8.190000,8.176000,8.187000,2943.3,1710537059999,24080.5115000,173,779.3,1710541380000,8.313
1710537060000,8.189000,8.199000,8.189000,8.190000,912.5,1710537119999,7476.7633000,97,546.8,1710541380000,8.313
1710537120000,8.190000,8.190000,8.180000,8.180000,1992.4,1710537179999,16305.3865000,179,1128.7,1710541380000,8.313
1710537180000,8.180000,8.180000,8.152000,8.152000,3930.9,1710537239999,32096.9364000,271,1880.7,1710541380000,8.313
1710537240000,8.152000,8.176000,8.152000,8.176000,3388.3,1710537299999,27640.5791000,189,2856.8,1710541380000,8.313
1710537300000,8.176000,8.178000,8.156000,8.165000,2768.5,1710537359999,22606.1346000,198,546.3,1710541380000,8.313
1710537360000,8.166000,8.199000,8.166000,8.195000,2730.0,1710537419999,22319.8371000,122,2612.8,1710541380000,8.313
1710537420000,8.194000,8.197000,8.191000,8.193000,656.2,1710537479999,5376.7514000,88,234.7,1710541380000,8.313
1710537480000,8.193000,8.197000,8.191000,8.195000,430.6,1710537539999,3527.9428000,56,275.2,1710541380000,8.313
1710537540000,8.195000,8.203000,8.195000,8.201000,278.9,1710537599999,2287.2559000,58,70.1,1710541380000,8.313
1710537600000,8.201000,8.212000,8.200000,8.202000,1279.1,1710537659999,10499.2699000,106,563.9,1710541380000,8.313
1710537660000,8.201000,8.206000,8.194000,8.206000,1108.2,1710537719999,9085.7496000,78,768.7,1710541380000,8.313
1710537720000,8.206000,8.212000,8.206000,8.212000,299.1,1710537779999,2455.6293000,34,112.7,1710541380000,8.313
1710537780000,8.209000,8.209000,8.199000,8.199000,366.6,1710537839999,3007.2163000,43,36.5,1710541380000,8.313
1710537840000,8.199000,8.207000,8.199000,8.207000,763.9,1710537899999,6266.7687000,71,683.2,1710541380000,8.313
1710537900000,8.208000,8.215000,8.203000,8.204000,1182.4,1710537959999,9707.5970000,134,431.2,1710541380000,8.313
1710537960000,8.204000,8.205000,8.194000,8.199000,1710.2,1710538019999,14024.1834000,118,554.3,1710541380000,8.313
1710538020000,8.198000,8.199000,8.197000,8.197000,340.3,1710538079999,2790.0696000,28,259.5,1710541380000,8.313
1710538080000,8.197000,8.198000,8.179000,8.186000,1820.0,1710538139999,14901.4214000,118,728.5,1710541380000,8.313
1710538140000,8.182000,8.187000,8.181000,8.187000,206.8,1710538199999,1692.2154000,47,93.4,1710541380000,8.313
1710538200000,8.185000,8.194000,8.171000,8.194000,1028.7,1710538259999,8417.0226000,105,872.7,1710541380000,8.313
1710538260000,8.193000,8.215000,8.193000,8.205000,874.5,1710538319999,7179.5805000,100,419.0,1710541380000,8.313
1710538320000,8.205000,8.214000,8.205000,8.212000,346.7,1710538379999,2847.1010000,53,9.9,1710541380000,8.313
1710538380000,8.213000,8.213000,8.209000,8.213000,272.2,1710538439999,2235.1090000,29,184.6,1710541380000,8.313
1710538440000,8.213000,8.227000,8.213000,8.225000,3340.0,1710538499999,27451.7517000,85,3248.3,1710541380000,8.313
1710538500000,8.223000,8.225000,8.220000,8.223000,427.2,1710538559999,3512.8695000,46,294.5,1710541380000,8.313
1710538560000,8.224000,8.227000,8.222000,8.227000,188.8,1710538619999,1552.5501000,25,122.1,1710541380000,8.313
1710538620000,8.227000,8.227000,8.221000,8.226000,1917.1,1710538679999,15767.6701000,109,60.8,1710541380000,8.313
1710538680000,8.226000,8.228000,8.226000,8.227000,617.2,1710538739999,5077.4443000,35,166.9,1710541380000,8.313
1710538740000,8.227000,8.228000,8.223000,8.223000,526.7,1710538799999,4332.2699000,50,212.3,1710541380000,8.313
1710538800000,8.224000,8.224000,8.211000,8.211000,358.8,1710538859999,2947.9171000,45,11.6,1710541380000,8.313
1710538860000,8.211000,8.213000,8.210000,8.213000,254.1,1710538919999,2086.6397000,30,229.7,1710541380000,8.313
1710538920000,8.214000,8.214000,8.213000,8.213000,125.7,1710538979999,1032.4194000,21,65.8,1710541380000,8.313
1710538980000,8.216000,8.216000,8.216000,8.216000,70.0,1710539039999,575.1200000,15,0,1710541380000,8.313
1710539040000,8.216000,8.216000,8.210000,8.213000,728.2,1710539099999,5981.4816000,71,203.6,1710541380000,8.313
1710539100000,8.212000,8.213000,8.208000,8.208000,429.1,1710539159999,3523.8547000,31,48.2,1710541380000,8.313
1710539160000,8.207000,8.207000,8.204000,8.204000,220.2,1710539219999,1806.9415000,15,0,1710541380000,8.313
1710539220000,8.203000,8.204000,8.203000,8.204000,34.5,1710539279999,283.0323000,8,28.8,1710541380000,8.313
1710539280000,8.204000,8.208000,8.204000,8.208000,194.3,1710539339999,1594.0424000,16,193.0,1710541380000,8.313
1710539340000,8.208000,8.215000,8.208000,8.215000,137.8,1710539399999,1131.1899000,26,108.9,1710541380000,8.313
1710539400000,8.215000,8.215000,8.212000,8.212000,285.9,1710539459999,2348.1467000,29,110.3,1710541380000,8.313
1710539460000,8.212000,8.212000,8.205000,8.205000,301.7,1710539519999,2477.0819000,19,0,1710541380000,8.313
1710539520000,8.203000,8.203000,8.199000,8.199000,314.2,1710539579999,2576.5074000,27,173.6,1710541380000,8.313
1710539580000,8.200000,8.218000,8.200000,8.218000,290.5,1710539639999,2384.3079000,42,247.8,1710541380000,8.313
1710539640000,8.220000,8.241000,8.220000,8.241000,400.2,1710539699999,3294.3343000,73,266.0,1710541380000,8.313
