Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711309980000,0.06162,0.06173,0.06162,0.06165,954860,1711310039999,58866.06210,206,794806,1711315320000,0.06323
1711310040000,0.06165,0.06170,0.06163,0.06167,957269,1711310099999,59027.62290,165,663284,1711315320000,0.06323
1711310100000,0.06167,0.06169,0.06162,0.06166,1361045,1711310159999,83913.56864,268,555801,1711315320000,0.06323
1711310160000,0.06166,0.06168,0.06162,0.06163,920311,1711310219999,56740.70736,177,289526,1711315320000,0.06323
1711310220000,0.06162,0.06163,0.06153,0.06154,1553495,1711310279999,95659.69888,284,487924,1711315320000,0.06323
1711310280000,0.06153,0.06158,0.06153,0.06156,900070,1711310339999,55396.43861,187,296540,1711315320000,0.06323
1711310340000,0.06157,0.06160,0.06154,0.06156,1344495,1711310399999,82781.50531,233,383345,1711315320000,0.06323
1711310400000,0.06156,0.06166,0.06149,0.06149,1955064,1711310459999,120378.00131,441,904341,1711315320000,0.06323
1711310460000,0.06151,0.06152,0.06142,0.06152,1538193,1711310519999,94561.74536,354,506040,1711315320000,0.06323
1711310520000,0.06153,0.06159,0.06144,0.06145,1631527,1711310579999,100299.91972,383,273584,1711315320000,0.06323
1711310580000,0.06145,0.06149,0.06142,0.06147,1749735,1711310639999,107527.12328,357,972270,1711315320000,0.06323
1711310640000,0.06148,0.06151,0.06144,0.06148,743860,1711310699999,45725.04431,182,418317,1711315320000,0.06323
1711310700000,0.06148,0.06149,0.06134,0.06141,3225975,1711310759999,198069.85512,503,1336147,1711315320000,0.06323
1711310760000,0.06141,0.06142,0.06133,0.06136,2809913,1711310819999,172398.41003,497,679841,1711315320000,0.06323
1711310820000,0.06135,0.06141,0.06131,0.06139,1786213,1711310879999,109583.07673,291,1193203,1711315320000,0.06323
1711310880000,0.06138,0.06147,0.06134,0.06142,1248409,1711310939999,76638.40416,283,779722,1711315320000,0.06323
1711310940000,0.06141,0.06149,0.06141,0.06143,940986,1711310999999,57821.87218,197,496964,1711315320000,0.06323
1711311000000,0.06142,0.06167,0.06141,0.06165,4951590,1711311059999,304708.03486,672,4039698,1711315320000,0.06323
1711311060000,0.06165,0.06174,0.06163,0.06166,2420456,1711311119999,149290.15355,567,942905,1711315320000,0.06323
1711311120000,0.06167,0.06173,0.06164,0.06168,2187949,1711311179999,134971.51295,427,806115,1711315320000,0.06323
1711311180000,0.06169,0.06176,0.06168,0.06172,1287062,1711311239999,79444.76240,286,635301,1711315320000,0.06323
1711311240000,0.06171,0.06174,0.06170,0.06172,1087695,1711311299999,67134.23159,240,768358,1711315320000,0.06323
1711311300000,0.06172,0.06184,0.06172,0.06184,1834626,1711311359999,113357.26589,508,1224074,1711315320000,0.06323
1711311360000,0.06184,0.06194,0.06184,0.06191,1858299,1711311419999,115044.50973,677,1022740,1711315320000,0.06323
1711311420000,0.06191,0.06193,0.06183,0.06187,1550406,1711311479999,95937.53187,340,683246,1711315320000,0.06323
1711311480000,0.06186,0.06187,0.06182,0.06186,1466288,1711311539999,90672.11987,331,585414,1711315320000,0.06323
1711311540000,0.06186,0.06187,0.06183,0.06183,857758,1711311599999,53050.11618,189,474726,1711315320000,0.06323
1711311600000,0.06183,0.06193,0.06183,0.06192,839026,1711311659999,51921.87841,247,597602,1711315320000,0.06323
1711311660000,0.06193,0.06204,0.06193,0.06203,6326529,1711311719999,392159.69704,1650,2905175,1711315320000,0.06323
1711311720000,0.06203,0.06214,0.06201,0.06211,4303501,1711311779999,267127.94766,850,2646204,1711315320000,0.06323
1711311780000,0.06211,0.06226,0.06209,0.06224,5793681,1711311839999,360204.45668,1292,3624174,1711315320000,0.06323
1711311840000,0.06224,0.06225,0.06210,0.06216,6780029,1711311899999,421513.82744,741,1959000,1711315320000,0.06323
1711311900000,0.06216,0.06216,0.06205,0.06207,3512789,1711311959999,218193.29661,518,969472,1711315320000,0.06323
1711311960000,0.06206,0.06215,0.06199,0.06210,4175948,1711312019999,259183.83492,628,1973505,1711315320000,0.06323
1711312020000,0.06210,0.06221,0.06210,0.06221,2659913,1711312079999,165314.61706,429,2162895,1711315320000,0.06323
