Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710930480000,5.918000,5.933000,5.917000,5.926000,4622.6,1710930539999,27398.8419000,159,3760.2,1710935820000,6.081
1710930540000,5.925000,5.931000,5.923000,5.929000,4651.9,1710930599999,27576.5127000,95,3299.0,1710935820000,6.081
1710930600000,5.929000,5.933000,5.922000,5.923000,3259.4,1710930659999,19318.2987000,180,1122.9,1710935820000,6.081
1710930660000,5.924000,5.926000,5.920000,5.923000,1726.0,1710930719999,10222.6872000,98,1354.1,1710935820000,6.081
1710930720000,5.923000,5.937000,5.923000,5.934000,2114.6,1710930779999,12534.5720000,130,1696.7,1710935820000,6.081
1710930780000,5.931000,5.931000,5.920000,5.921000,1478.4,1710930839999,8756.1499000,91,730.5,1710935820000,6.081
1710930840000,5.922000,5.929000,5.920000,5.927000,634.6,1710930899999,3758.9370000,45,413.8,1710935820000,6.081
1710930900000,5.927000,5.931000,5.922000,5.931000,1567.5,1710930959999,9287.8627000,70,587.1,1710935820000,6.081
1710930960000,5.934000,5.934000,5.917000,5.919000,1457.5,1710931019999,8632.9088000,65,561.0,1710935820000,6.081
1710931020000,5.919000,5.919000,5.910000,5.911000,6683.8,1710931079999,39531.3128000,99,1227.4,1710935820000,6.081
1710931080000,5.912000,5.914000,5.907000,5.912000,3354.9,1710931139999,19833.9332000,117,2893.6,1710935820000,6.081
1710931140000,5.912000,5.913000,5.908000,5.910000,511.3,1710931199999,3022.3086000,39,216.9,1710935820000,6.081
1710931200000,5.910000,5.911000,5.890000,5.894000,4373.6,1710931259999,25798.7557000,148,1807.4,1710935820000,6.081
1710931260000,5.894000,5.899000,5.888000,5.890000,1633.7,1710931319999,9625.2649000,84,844.4,1710935820000,6.081
1710931320000,5.889000,5.893000,5.888000,5.891000,940.7,1710931379999,5540.6407000,44,378.4,1710935820000,6.081
1710931380000,5.891000,5.891000,5.886000,5.887000,1627.3,1710931439999,9581.6090000,60,1219.1,1710935820000,6.081
1710931440000,5.886000,5.892000,5.885000,5.891000,1789.4,1710931499999,10534.7206000,75,1230.4,1710935820000,6.081
1710931500000,5.892000,5.917000,5.886000,5.909000,12869.1,1710931559999,75970.7479000,389,8925.9,1710935820000,6.081
1710931560000,5.911000,5.915000,5.907000,5.911000,1406.7,1710931619999,8313.6340000,86,689.2,1710935820000,6.081
1710931620000,5.912000,5.915000,5.910000,5.910000,1285.3,1710931679999,7600.6903000,66,1045.9,1710935820000,6.081
1710931680000,5.910000,5.910000,5.898000,5.899000,1883.7,1710931739999,11124.2498000,61,868.9,1710935820000,6.081
1710931740000,5.899000,5.901000,5.893000,5.901000,5544.3,1710931799999,32684.3112000,143,1115.3,1710935820000,6.081
1710931800000,5.901000,5.905000,5.895000,5.903000,1109.4,1710931859999,6545.4535000,72,672.3,1710935820000,6.081
1710931860000,5.901000,5.901000,5.892000,5.892000,1343.7,1710931919999,7922.9573000,57,306.0,1710935820000,6.081
1710931920000,5.892000,5.902000,5.890000,5.901000,8410.9,1710931979999,49607.4752000,124,7245.0,1710935820000,6.081
1710931980000,5.901000,5.913000,5.901000,5.913000,2959.5,1710932039999,17478.3230000,103,1377.8,1710935820000,6.081
1710932040000,5.914000,5.953000,5.914000,5.946000,20311.6,1710932099999,120553.7296000,721,12481.9,1710935820000,6.081
1710932100000,5.945000,5.969000,5.941000,5.951000,27336.7,1710932159999,162710.9527000,808,16004.3,1710935820000,6.081
1710932160000,5.950000,5.951000,5.932000,5.935000,10000.2,1710932219999,59421.6458000,289,5603.5,1710935820000,6.081
1710932220000,5.935000,5.937000,5.926000,5.926000,9090.2,1710932279999,53912.9013000,271,3876.4,1710935820000,6.081
1710932280000,5.927000,5.931000,5.926000,5.928000,2935.6,1710932339999,17404.4477000,106,2019.2,1710935820000,6.081
1710932340000,5.928000,5.930000,5.922000,5.924000,2892.2,1710932399999,17140.6097000,113,539.0,1710935820000,6.081
1710932400000,5.925000,5.925000,5.908000,5.911000,11300.0,1710932459999,66851.0203000,376,3874.8,1710935820000,6.081
1710932460000,5.912000,5.920000,5.911000,5.915000,2291.6,1710932519999,13552.3983000,94,1206.3,1710935820000,6.081
1710932520000,5.915000,5.927000,5.915000,5.926000,3027.1,1710932579999,17926.6898000,109,2555.5,1710935820000,6.081
1710932580000,5.926000,5.934000,5.923000,5.923000,2812.4,1710932639999,16676.4088000,88,910.4,1710935820000,6.081
1710932640000,5.921000,5.931000,5.919000,5.928000,4420.6,1710932699999,26184.5117000,148,2373.9,1710935820000,6.081
1710932700000,5.928000,5.938000,5.928000,5.933000,5037.2,1710932759999,29887.4880000,168,2256.2,1710935820000,6.081
1710932760000,5.932000,5.937000,5.931000,5.932000,3330.2,1710932819999,19763.5871000,125,1867.0,1710935820000,6.081
1710932820000,5.933000,5.950000,5.933000,5.949000,2647.1,1710932879999,15714.9219000,98,2521.3,1710935820000,6.081
