Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710312000000,0.6745000,0.6756000,0.6736000,0.6752000,23175,1710312059999,15628.4304000,230,14297,1710317340000,0.7057
1710312060000,0.6751000,0.6751000,0.6736000,0.6740000,14741,1710312119999,9936.2276000,121,6827,1710317340000,0.7057
1710312120000,0.6738000,0.6738000,0.6715000,0.6719000,30761,1710312179999,20686.8802000,235,10021,1710317340000,0.7057
1710312180000,0.6718000,0.6736000,0.6713000,0.6720000,34363,1710312239999,23101.7458000,258,19916,1710317340000,0.7057
1710312240000,0.6718000,0.6729000,0.6710000,0.6713000,33322,1710312299999,22387.1003000,212,9401,1710317340000,0.7057
1710312300000,0.6714000,0.6723000,0.6710000,0.6720000,26350,1710312359999,17697.3778000,190,19200,1710317340000,0.7057
1710312360000,0.6718000,0.6721000,0.6707000,0.6708000,10494,1710312419999,7045.0723000,79,3170,1710317340000,0.7057
1710312420000,0.6707000,0.6723000,0.6694000,0.6723000,29283,1710312479999,19631.7890000,230,10893,1710317340000,0.7057
1710312480000,0.6724000,0.6734000,0.6724000,0.6732000,18338,1710312539999,12339.7198000,87,10104,1710317340000,0.7057
1710312540000,0.6731000,0.6743000,0.6729000,0.6743000,16221,1710312599999,10923.5931000,126,10516,1710317340000,0.7057
1710312600000,0.6743000,0.6758000,0.6739000,0.6741000,34526,1710312659999,23296.6181000,254,20506,1710317340000,0.7057
1710312660000,0.6741000,0.6766000,0.6733000,0.6759000,55440,1710312719999,37421.8896000,349,32616,1710317340000,0.7057
1710312720000,0.6758000,0.6762000,0.6743000,0.6743000,15655,1710312779999,10576.1516000,184,10150,1710317340000,0.7057
1710312780000,0.6743000,0.6751000,0.6736000,0.6742000,19803,1710312839999,13351.8778000,139,11349,1710317340000,0.7057
1710312840000,0.6741000,0.6748000,0.6738000,0.6748000,9561,1710312899999,6446.8121000,82,8260,1710317340000,0.7057
1710312900000,0.6748000,0.6757000,0.6748000,0.6757000,6478,1710312959999,4373.9224000,80,4113,1710317340000,0.7057
1710312960000,0.6756000,0.6757000,0.6750000,0.6753000,12518,1710313019999,8453.2027000,105,6724,1710317340000,0.7057
1710313020000,0.6752000,0.6755000,0.6745000,0.6750000,24244,1710313079999,16367.7458000,109,7758,1710317340000,0.7057
1710313080000,0.6750000,0.6786000,0.6750000,0.6783000,53638,1710313139999,36323.9097000,403,35302,1710317340000,0.7057
1710313140000,0.6783000,0.6791000,0.6770000,0.6779000,37513,1710313199999,25443.2713000,221,24213,1710317340000,0.7057
1710313200000,0.6778000,0.6781000,0.6760000,0.6760000,29525,1710313259999,20005.1655000,223,12558,1710317340000,0.7057
1710313260000,0.6761000,0.6771000,0.6759000,0.6768000,27703,1710313319999,18740.0672000,233,21229,1710317340000,0.7057
1710313320000,0.6768000,0.6772000,0.6761000,0.6761000,27443,1710313379999,18573.5097000,159,10591,1710317340000,0.7057
1710313380000,0.6761000,0.6762000,0.6754000,0.6761000,40124,1710313439999,27118.7784000,262,18054,1710317340000,0.7057
1710313440000,0.6761000,0.6777000,0.6750000,0.6772000,23308,1710313499999,15759.0122000,224,15804,1710317340000,0.7057
1710313500000,0.6770000,0.6791000,0.6768000,0.6777000,22779,1710313559999,15450.8574000,190,13832,1710317340000,0.7057
1710313560000,0.6776000,0.6795000,0.6773000,0.6790000,19582,1710313619999,13282.0852000,240,11170,1710317340000,0.7057
1710313620000,0.6789000,0.6801000,0.6784000,0.6794000,30794,1710313679999,20914.7080000,272,22466,1710317340000,0.7057
1710313680000,0.6793000,0.6805000,0.6765000,0.6775000,81302,1710313739999,55193.0472000,450,45993,1710317340000,0.7057
1710313740000,0.6774000,0.6823000,0.6772000,0.6823000,219250,1710313799999,149267.7863000,748,163554,1710317340000,0.7057
1710313800000,0.6823000,0.6867000,0.6797000,0.6861000,356629,1710313859999,243858.3927000,1527,228335,1710317340000,0.7057
1710313860000,0.6862000,0.6876000,0.6832000,0.6844000,152551,1710313919999,104549.7707000,764,66476,1710317340000,0.7057
1710313920000,0.6843000,0.6859000,0.6843000,0.6858000,53442,1710313979999,36618.5270000,306,41218,1710317340000,0.7057
1710313980000,0.6859000,0.6871000,0.6840000,0.6863000,81236,1710314039999,55699.8439000,450,40428,1710317340000,0.7057
1710314040000,0.6864000,0.6886000,0.6857000,0.6881000,92760,1710314099999,63721.6347000,449,69920,1710317340000,0.7057
1710314100000,0.6880000,0.6888000,0.6860000,0.6861000,91511,1710314159999,62913.8282000,543,55948,1710317340000,0.7057
1710314160000,0.6860000,0.6895000,0.6860000,0.6885000,50375,1710314219999,34660.8063000,329,27260,1710317340000,0.7057
1710314220000,0.6887000,0.6894000,0.6877000,0.6888000,37270,1710314279999,25662.6895000,290,15933,1710317340000,0.7057
1710314280000,0.6890000,0.6895000,0.6881000,0.6895000,36640,1710314339999,25227.4615000,266,18373,1710317340000,0.7057
