Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711924680000,0.37120,0.37140,0.37090,0.37110,140508,1711924739999,52150.12240,194,60064,1711930080000,0.3749
1711924740000,0.37110,0.37120,0.37090,0.37110,166844,1711924799999,61901.31490,197,60840,1711930080000,0.3749
1711924800000,0.37110,0.37170,0.37110,0.37120,189633,1711924859999,70430.91240,276,112876,1711930080000,0.3749
1711924860000,0.37110,0.37110,0.37070,0.37070,82150,1711924919999,30468.03520,199,16018,1711930080000,0.3749
1711924920000,0.37080,0.37130,0.37070,0.37120,312710,1711924979999,116028.57980,290,209216,1711930080000,0.3749
1711924980000,0.37120,0.37130,0.37090,0.37090,43851,1711925039999,16273.52090,140,9726,1711930080000,0.3749
1711925040000,0.37090,0.37100,0.37070,0.37080,112737,1711925099999,41807.97980,217,40047,1711930080000,0.3749
1711925100000,0.37090,0.37130,0.37090,0.37110,125359,1711925159999,46522.41870,215,79424,1711930080000,0.3749
1711925160000,0.37110,0.37150,0.37100,0.37130,131117,1711925219999,48680.84730,245,53110,1711930080000,0.3749
1711925220000,0.37130,0.37150,0.37090,0.37100,122098,1711925279999,45304.47990,208,39768,1711930080000,0.3749
1711925280000,0.37090,0.37090,0.37050,0.37070,160625,1711925339999,59542.69100,273,76222,1711930080000,0.3749
1711925340000,0.37070,0.37120,0.37070,0.37110,160980,1711925399999,59731.69810,214,123692,1711930080000,0.3749
1711925400000,0.37110,0.37180,0.37090,0.37150,126316,1711925459999,46910.00610,255,84624,1711930080000,0.3749
1711925460000,0.37160,0.37170,0.37100,0.37110,79763,1711925519999,29613.94910,186,26301,1711930080000,0.3749
1711925520000,0.37110,0.37160,0.37100,0.37160,365521,1711925579999,135677.96570,391,152123,1711930080000,0.3749
1711925580000,0.37160,0.37180,0.37160,0.37170,84088,1711925639999,31255.93140,117,38633,1711930080000,0.3749
1711925640000,0.37170,0.37180,0.37120,0.37170,69461,1711925699999,25807.50630,191,45325,1711930080000,0.3749
1711925700000,0.37180,0.37210,0.37180,0.37200,114058,1711925759999,42420.42000,214,69035,1711930080000,0.3749
1711925760000,0.37200,0.37220,0.37180,0.37190,63261,1711925819999,23534.03970,176,26015,1711930080000,0.3749
1711925820000,0.37190,0.37220,0.37170,0.37200,172126,1711925879999,64012.12220,202,77322,1711930080000,0.3749
1711925880000,0.37190,0.37200,0.37160,0.37170,152830,1711925939999,56831.44220,200,60784,1711930080000,0.3749
1711925940000,0.37170,0.37220,0.37170,0.37220,85512,1711925999999,31805.40140,181,51433,1711930080000,0.3749
1711926000000,0.37220,0.37230,0.37180,0.37180,171095,1711926059999,63645.63120,322,44826,1711930080000,0.3749
