Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711046640000,45.290000,45.370000,45.230000,45.310000,2617.63,1711046699999,118606.41190000,525,1731.89,1711052040000,46.39
1711046700000,45.300000,45.480000,45.280000,45.360000,873.44,1711046759999,39639.25470000,311,396.10,1711052040000,46.39
1711046760000,45.350000,45.500000,45.330000,45.490000,311.91,1711046819999,14172.10070000,208,195.63,1711052040000,46.39
1711046820000,45.490000,45.550000,45.480000,45.540000,580.05,1711046879999,26402.17030000,149,375.71,1711052040000,46.39
1711046880000,45.550000,45.680000,45.540000,45.610000,1058.55,1711046939999,48289.19720000,283,389.60,1711052040000,46.39
1711046940000,45.610000,45.650000,45.560000,45.630000,699.38,1711046999999,31893.42790000,205,169.23,1711052040000,46.39
1711047000000,45.600000,45.630000,45.450000,45.480000,354.91,1711047059999,16164.12340000,156,79.01,1711052040000,46.39
1711047060000,45.420000,45.590000,45.400000,45.570000,246.17,1711047119999,11192.44580000,149,186.87,1711052040000,46.39
1711047120000,45.570000,45.670000,45.560000,45.640000,244.54,1711047179999,11153.18320000,137,168.46,1711052040000,46.39
1711047180000,45.630000,45.640000,45.540000,45.610000,363.51,1711047239999,16574.53130000,131,124.71,1711052040000,46.39
1711047240000,45.620000,45.650000,45.620000,45.650000,206.15,1711047299999,9408.79860000,75,136.34,1711052040000,46.39
1711047300000,45.670000,45.710000,45.620000,45.690000,297.10,1711047359999,13568.32400000,125,122.67,1711052040000,46.39
1711047360000,45.670000,45.700000,45.630000,45.670000,170.12,1711047419999,7767.25300000,92,133.64,1711052040000,46.39
1711047420000,45.660000,45.660000,45.550000,45.590000,127.91,1711047479999,5831.82080000,80,35.47,1711052040000,46.39
1711047480000,45.600000,45.610000,45.540000,45.580000,154.96,1711047539999,7060.22620000,82,50.17,1711052040000,46.39
1711047540000,45.580000,45.580000,45.460000,45.490000,467.43,1711047599999,21283.90510000,153,44.79,1711052040000,46.39
1711047600000,45.500000,45.540000,45.450000,45.460000,576.27,1711047659999,26211.43450000,169,346.59,1711052040000,46.39
1711047660000,45.460000,45.730000,45.450000,45.730000,727.19,1711047719999,33160.60890000,241,553.46,1711052040000,46.39
1711047720000,45.730000,45.730000,45.670000,45.690000,180.01,1711047779999,8225.77450000,131,46.96,1711052040000,46.39
1711047780000,45.710000,45.720000,45.570000,45.600000,269.47,1711047839999,12300.45890000,136,93.78,1711052040000,46.39
1711047840000,45.600000,45.610000,45.540000,45.590000,134.26,1711047899999,6119.75580000,104,66.69,1711052040000,46.39
1711047900000,45.590000,45.690000,45.590000,45.630000,338.89,1711047959999,15464.07970000,117,268.83,1711052040000,46.39
1711047960000,45.630000,45.670000,45.620000,45.640000,204.85,1711048019999,9348.54100000,136,93.63,1711052040000,46.39
1711048020000,45.640000,45.650000,45.580000,45.580000,412.83,1711048079999,18828.56550000,145,212.64,1711052040000,46.39
1711048080000,45.570000,45.640000,45.550000,45.600000,102.19,1711048139999,4659.26000000,110,34.35,1711052040000,46.39
1711048140000,45.600000,45.680000,45.570000,45.660000,457.08,1711048199999,20838.38660000,101,197.36,1711052040000,46.39
