Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710698520000,0.41881,0.41911,0.41818,0.41846,133413,1710698579999,55834.45181,448,75492,1710703860000,0.41925
1710698580000,0.41841,0.41928,0.41825,0.41921,162592,1710698639999,68095.86638,493,137129,1710703860000,0.41925
1710698640000,0.41917,0.42000,0.41907,0.41927,172439,1710698699999,72333.11881,603,109898,1710703860000,0.41925
1710698700000,0.41918,0.41946,0.41871,0.41892,169664,1710698759999,71099.00446,497,66500,1710703860000,0.41925
1710698760000,0.41894,0.41943,0.41859,0.41915,133939,1710698819999,56121.60721,376,49731,1710703860000,0.41925
1710698820000,0.41915,0.41989,0.41874,0.41979,87788,1710698879999,36818.74729,309,52142,1710703860000,0.41925
1710698880000,0.41982,0.42080,0.41958,0.42075,271694,1710698939999,114153.22267,709,122306,1710703860000,0.41925
1710698940000,0.42076,0.42123,0.42038,0.42122,183281,1710698999999,77122.31231,526,127056,1710703860000,0.41925
1710699000000,0.42123,0.42197,0.42112,0.42184,259671,1710699059999,109454.88127,706,121902,1710703860000,0.41925
1710699060000,0.42187,0.42228,0.42127,0.42127,322673,1710699119999,136071.35146,588,145858,1710703860000,0.41925
1710699120000,0.42126,0.42169,0.42044,0.42135,443821,1710699179999,186823.00647,747,281838,1710703860000,0.41925
1710699180000,0.42137,0.42156,0.42005,0.42105,542426,1710699239999,228240.03118,699,437302,1710703860000,0.41925
1710699240000,0.42097,0.42180,0.42082,0.42088,886655,1710699299999,373548.27662,811,178917,1710703860000,0.41925
1710699300000,0.42089,0.42211,0.42073,0.42083,257393,1710699359999,108447.48832,663,163046,1710703860000,0.41925
1710699360000,0.42084,0.42240,0.42037,0.42047,451013,1710699419999,190001.80822,796,114497,1710703860000,0.41925
1710699420000,0.42047,0.42053,0.41972,0.42022,390385,1710699479999,164035.46746,531,178785,1710703860000,0.41925
1710699480000,0.42020,0.42086,0.42001,0.42041,165808,1710699539999,69715.08383,399,94228,1710703860000,0.41925
1710699540000,0.42034,0.42034,0.41913,0.41951,132299,1710699599999,55514.76299,373,59771,1710703860000,0.41925
1710699600000,0.41961,0.41985,0.41775,0.41812,235434,1710699659999,98490.83257,566,113988,1710703860000,0.41925
1710699660000,0.41812,0.41831,0.41739,0.41760,223009,1710699719999,93167.31664,634,105863,1710703860000,0.41925
1710699720000,0.41758,0.41758,0.41621,0.41686,400177,1710699779999,166769.55992,927,151116,1710703860000,0.41925
1710699780000,0.41691,0.41739,0.41616,0.41683,235971,1710699839999,98330.52057,534,103278,1710703860000,0.41925
1710699840000,0.41686,0.41721,0.41629,0.41675,267788,1710699899999,111549.43733,619,129886,1710703860000,0.41925
1710699900000,0.41677,0.41680,0.41594,0.41625,150216,1710699959999,62533.63838,486,21008,1710703860000,0.41925
1710699960000,0.41623,0.41623,0.41433,0.41466,995112,1710700019999,413012.26019,1854,305384,1710703860000,0.41925
1710700020000,0.41466,0.41500,0.41376,0.41466,501811,1710700079999,208043.07675,933,308640,1710703860000,0.41925
1710700080000,0.41466,0.41586,0.41466,0.41535,240894,1710700139999,99997.96629,433,185307,1710703860000,0.41925
1710700140000,0.41535,0.41573,0.41520,0.41558,94661,1710700199999,39329.78855,311,60406,1710703860000,0.41925
1710700200000,0.41555,0.41580,0.41488,0.41556,191863,1710700259999,79715.52806,526,103433,1710703860000,0.41925
1710700260000,0.41557,0.41639,0.41543,0.41636,128510,1710700319999,53452.99399,415,84928,1710703860000,0.41925
1710700320000,0.41638,0.41654,0.41583,0.41620,143483,1710700379999,59716.15800,397,84141,1710703860000,0.41925
1710700380000,0.41620,0.41656,0.41595,0.41632,87290,1710700439999,36334.93808,271,37380,1710703860000,0.41925
1710700440000,0.41626,0.41671,0.41571,0.41653,441169,1710700499999,183668.09053,701,306016,1710703860000,0.41925
1710700500000,0.41654,0.41769,0.41588,0.41769,522394,1710700559999,217686.43334,934,296573,1710703860000,0.41925
1710700560000,0.41769,0.41864,0.41723,0.41864,299679,1710700619999,125201.99123,694,119910,1710703860000,0.41925
1710700620000,0.41862,0.41893,0.41790,0.41814,146127,1710700679999,61149.96239,444,56309,1710703860000,0.41925
1710700680000,0.41812,0.41814,0.41743,0.41756,95651,1710700739999,39966.08925,391,29934,1710703860000,0.41925
1710700740000,0.41755,0.41804,0.41755,0.41777,61406,1710700799999,25657.96923,244,42914,1710703860000,0.41925
1710700800000,0.41787,0.41796,0.41712,0.41740,127455,1710700859999,53205.94568,367,26854,1710703860000,0.41925
1710700860000,0.41746,0.41829,0.41746,0.41807,123782,1710700919999,51735.69525,260,48181,1710703860000,0.41925
1710700920000,0.41807,0.41807,0.41746,0.41747,97948,1710700979999,40915.28349,282,46276,1710703860000,0.41925
1710700980000,0.41753,0.41756,0.41697,0.41725,80123,1710701039999,33434.94507,247,24057,1710703860000,0.41925
1710701040000,0.41730,0.41763,0.41710,0.41723,70812,1710701099999,29554.74474,261,29468,1710703860000,0.41925
1710701100000,0.41721,0.41771,0.41701,0.41765,110338,1710701159999,46042.80275,308,66279,1710703860000,0.41925
1710701160000,0.41767,0.41801,0.41730,0.41791,121352,1710701219999,50676.81818,250,36217,1710703860000,0.41925
1710701220000,0.41791,0.41802,0.41763,0.41768,121183,1710701279999,50635.43436,310,40744,1710703860000,0.41925
1710701280000,0.41770,0.41796,0.41620,0.41796,334794,1710701339999,139572.66395,598,109127,1710703860000,0.41925
1710701340000,0.41799,0.41799,0.41654,0.41655,153967,1710701399999,64226.90975,413,27632,1710703860000,0.41925
1710701400000,0.41660,0.41661,0.41580,0.41580,134123,1710701459999,55838.15771,435,36389,1710703860000,0.41925
1710701460000,0.41579,0.41607,0.41515,0.41595,148928,1710701519999,61879.89437,440,56026,1710703860000,0.41925
1710701520000,0.41596,0.41643,0.41564,0.41633,116164,1710701579999,48317.65278,399,51265,1710703860000,0.41925
1710701580000,0.41635,0.41655,0.41601,0.41625,67180,1710701639999,27968.88776,249,44234,1710703860000,0.41925
1710701640000,0.41623,0.41658,0.41587,0.41595,104373,1710701699999,43442.92994,242,62178,1710703860000,0.41925
1710701700000,0.41593,0.41620,0.41515,0.41573,114182,1710701759999,47466.99712,422,38087,1710703860000,0.41925
1710701760000,0.41576,0.41588,0.41541,0.41584,43417,1710701819999,18048.59131,178,13975,1710703860000,0.41925
1710701820000,0.41583,0.41631,0.41565,0.41598,61327,1710701879999,25507.88253,228,30481,1710703860000,0.41925
1710701880000,0.41598,0.41624,0.41559,0.41598,47128,1710701939999,19599.35898,240,20742,1710703860000,0.41925
1710701940000,0.41605,0.41653,0.41601,0.41627,53373,1710701999999,22217.16335,193,32947,1710703860000,0.41925
1710702000000,0.41626,0.41640,0.41588,0.41601,46614,1710702059999,19394.62548,318,23408,1710703860000,0.41925
1710702060000,0.41598,0.41652,0.41567,0.41652,163122,1710702119999,67857.66413,454,60673,1710703860000,0.41925
1710702120000,0.41653,0.41706,0.41645,0.41653,73301,1710702179999,30547.58002,265,36176,1710703860000,0.41925
1710702180000,0.41652,0.41676,0.41607,0.41607,85455,1710702239999,35584.15248,222,42006,1710703860000,0.41925
1710702240000,0.41601,0.41624,0.41548,0.41622,146836,1710702299999,61044.58972,375,70511,1710703860000,0.41925
1710702300000,0.41620,0.41634,0.41547,0.41585,113906,1710702359999,47350.11368,328,45658,1710703860000,0.41925
1710702360000,0.41591,0.41597,0.41515,0.41542,69891,1710702419999,29034.87371,262,28315,1710703860000,0.41925
1710702420000,0.41537,0.41545,0.41499,0.41511,43953,1710702479999,18248.04836,220,21173,1710703860000,0.41925
1710702480000,0.41511,0.41564,0.41479,0.41541,68538,1710702539999,28455.18358,309,35936,1710703860000,0.41925
1710702540000,0.41550,0.41576,0.41523,0.41544,36265,1710702599999,15068.03565,202,22418,1710703860000,0.41925
1710702600000,0.41542,0.41592,0.41536,0.41586,74953,1710702659999,31148.07826,276,45402,1710703860000,0.41925
1710702660000,0.41586,0.41646,0.41568,0.41636,125987,1710702719999,52406.23596,403,53203,1710703860000,0.41925
1710702720000,0.41637,0.41729,0.41635,0.41728,95531,1710702779999,39817.11937,330,67104,1710703860000,0.41925
1710702780000,0.41717,0.41717,0.41653,0.41694,65676,1710702839999,27375.50099,264,27260,1710703860000,0.41925
1710702840000,0.41694,0.41743,0.41651,0.41695,79198,1710702899999,33022.40512,275,32858,1710703860000,0.41925
1710702900000,0.41694,0.41722,0.41642,0.41688,197687,1710702959999,82386.80756,440,150458,1710703860000,0.41925
1710702960000,0.41695,0.41772,0.41668,0.41761,113215,1710703019999,47241.56953,287,77263,1710703860000,0.41925
1710703020000,0.41758,0.41815,0.41744,0.41782,82232,1710703079999,34357.81958,202,43143,1710703860000,0.41925
1710703080000,0.41786,0.41796,0.41749,0.41770,44827,1710703139999,18725.08632,166,31822,1710703860000,0.41925
1710703140000,0.41773,0.41786,0.41748,0.41783,77265,1710703199999,32270.22880,210,54124,1710703860000,0.41925
1710703200000,0.41786,0.41800,0.41772,0.41794,38670,1710703259999,16157.52854,140,25998,1710703860000,0.41925
1710703260000,0.41794,0.41808,0.41742,0.41743,70761,1710703319999,29561.38633,240,25453,1710703860000,0.41925
1710703320000,0.41743,0.41783,0.41713,0.41767,95609,1710703379999,39913.52717,202,57948,1710703860000,0.41925
1710703380000,0.41771,0.41825,0.41771,0.41797,66449,1710703439999,27777.59094,258,43520,1710703860000,0.41925
1710703440000,0.41799,0.41809,0.41735,0.41755,56387,1710703499999,23550.65168,214,17742,1710703860000,0.41925
1710703500000,0.41736,0.41751,0.41690,0.41725,72037,1710703559999,30047.14941,252,28571,1710703860000,0.41925
1710703560000,0.41729,0.41742,0.41638,0.41638,122822,1710703619999,51211.03227,260,15010,1710703860000,0.41925
1710703620000,0.41639,0.41699,0.41639,0.41648,97314,1710703679999,40545.93895,248,44130,1710703860000,0.41925
1710703680000,0.41648,0.41655,0.41610,0.41636,281663,1710703739999,117237.50766,320,67632,1710703860000,0.41925
1710703740000,0.41637,0.41657,0.41633,0.41648,15043,1710703799999,6264.60992,91,11376,1710703860000,0.41925
1710703800000,0.41650,0.41716,0.41642,0.41705,53881,1710703859999,22453.10139,148,20447,1710703860000,0.41925
1710703860000,0.41709,0.41927,0.41709,0.41909,758682,1710703919999,317441.35967,1472,510331,1710703860000,0.41925
1710703920000,0.41910,0.41967,0.41895,0.41900,169212,1710703979999,70948.19220,501,102548,1710703860000,0.41925
1710703980000,0.41899,0.42080,0.41889,0.41988,555989,1710704039999,233572.53500,1305,332785,1710703860000,0.41925
1710704040000,0.41988,0.42066,0.41988,0.42062,99349,1710704099999,41749.51967,327,63409,1710703860000,0.41925
1710704100000,0.42062,0.42243,0.42062,0.42223,547123,1710704159999,230707.71305,1155,394913,1710703860000,0.41925
1710704160000,0.42228,0.42300,0.42202,0.42230,316758,1710704219999,133806.78649,823,170355,1710703860000,0.41925
1710704220000,0.42231,0.42260,0.42180,0.42214,193475,1710704279999,81669.10442,390,77913,1710703860000,0.41925
1710704280000,0.42209,0.42224,0.42152,0.42193,147967,1710704339999,62430.01191,393,51897,1710703860000,0.41925
1710704340000,0.42201,0.42293,0.42195,0.42267,218919,1710704399999,92475.20357,440,166655,1710703860000,0.41925
1710704400000,0.42264,0.42264,0.42161,0.42185,187230,1710704459999,79016.60378,405,61122,1710703860000,0.41925
1710704460000,0.42185,0.42206,0.42157,0.42184,94379,1710704519999,39801.78409,252,69289,1710703860000,0.41925
1710704520000,0.42179,0.42233,0.42156,0.42158,183619,1710704579999,77446.27490,278,96043,1710703860000,0.41925
1710704580000,0.42159,0.42165,0.42111,0.42145,120875,1710704639999,50932.50161,245,76267,1710703860000,0.41925
1710704640000,0.42142,0.42255,0.42134,0.42255,81555,1710704699999,34404.20522,243,63964,1710703860000,0.41925
1710704700000,0.42249,0.42271,0.42219,0.42249,91848,1710704759999,38804.05569,264,41622,1710703860000,0.41925
1710704760000,0.42247,0.42287,0.42232,0.42278,126807,1710704819999,53582.50488,381,59248,1710703860000,0.41925
1710704820000,0.42279,0.42422,0.42279,0.42395,572144,1710704879999,242328.64647,1228,478155,1710703860000,0.41925
1710704880000,0.42395,0.42421,0.42276,0.42323,463652,1710704939999,196443.85925,628,266450,1710703860000,0.41925
1710704940000,0.42321,0.42321,0.42261,0.42271,87676,1710704999999,37070.51054,261,46645,1710703860000,0.41925
1710705000000,0.42271,0.42284,0.42244,0.42257,69184,1710705059999,29236.15752,252,34903,1710703860000,0.41925
1710705060000,0.42263,0.42271,0.42195,0.42206,153775,1710705119999,64947.06774,394,48195,1710703860000,0.41925
1710705120000,0.42213,0.42398,0.42169,0.42370,288848,1710705179999,122080.58106,565,166611,1710703860000,0.41925
1710705180000,0.42369,0.42371,0.42284,0.42351,222928,1710705239999,94347.32222,508,112513,1710703860000,0.41925
1710705240000,0.42352,0.42445,0.42331,0.42432,256910,1710705299999,108920.29090,683,179754,1710703860000,0.41925
1710705300000,0.42433,0.42441,0.42401,0.42435,167165,1710705359999,70905.80712,491,81286,1710703860000,0.41925
1710705360000,0.42437,0.42521,0.42437,0.42513,240301,1710705419999,102085.72454,1023,178072,1710703860000,0.41925
1710705420000,0.42520,0.42545,0.42490,0.42520,325534,1710705479999,138417.39279,830,147998,1710703860000,0.41925
1710705480000,0.42520,0.42536,0.42446,0.42495,380178,1710705539999,161562.21577,548,66515,1710703860000,0.41925
1710705540000,0.42503,0.42514,0.42448,0.42486,83366,1710705599999,35416.34945,360,53524,1710703860000,0.41925
1710705600000,0.42486,0.42549,0.42410,0.42437,190718,1710705659999,81042.86979,642,100469,1710703860000,0.41925
1710705660000,0.42440,0.42466,0.42413,0.42456,120487,1710705719999,51134.12042,406,46991,1710703860000,0.41925
1710705720000,0.42462,0.42560,0.42457,0.42522,436134,1710705779999,185452.17897,678,269866,1710703860000,0.41925
1710705780000,0.42523,0.42605,0.42511,0.42534,350274,1710705839999,149115.50170,830,236239,1710703860000,0.41925
1710705840000,0.42533,0.42632,0.42532,0.42599,233069,1710705899999,99239.58088,534,160575,1710703860000,0.41925
1710705900000,0.42595,0.42641,0.42581,0.42581,258688,1710705959999,110238.83562,692,95074,1710703860000,0.41925
1710705960000,0.42579,0.42589,0.42539,0.42564,185343,1710706019999,78901.35996,418,114473,1710703860000,0.41925
1710706020000,0.42564,0.42659,0.42564,0.42638,184077,1710706079999,78468.16649,452,106336,1710703860000,0.41925
1710706080000,0.42639,0.42663,0.42604,0.42648,202648,1710706139999,86415.63216,498,114028,1710703860000,0.41925
1710706140000,0.42658,0.42716,0.42651,0.42701,304005,1710706199999,129764.75539,804,176498,1710703860000,0.41925
1710706200000,0.42701,0.42719,0.42635,0.42679,186599,1710706259999,79641.86050,429,88156,1710703860000,0.41925
1710706260000,0.42685,0.42741,0.42673,0.42717,208584,1710706319999,89090.10222,522,118668,1710703860000,0.41925
1710706320000,0.42716,0.42766,0.42694,0.42761,132318,1710706379999,56548.42647,362,84883,1710703860000,0.41925
1710706380000,0.42755,0.42763,0.42722,0.42763,186928,1710706439999,79913.88401,306,131342,1710703860000,0.41925
