Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710290280000,2.363,2.363,2.361,2.363,2807.2,1710290339999,6630.4243,37,2040.7,1710295680000,2.434
1710290340000,2.364,2.367,2.364,2.364,3390.5,1710290399999,8021.3385,68,2808.3,1710295680000,2.434
1710290400000,2.366,2.369,2.363,2.369,6794.6,1710290459999,16068.6174,158,2305.8,1710295680000,2.434
1710290460000,2.369,2.374,2.367,2.371,7592.2,1710290519999,17996.7434,201,3061.9,1710295680000,2.434
1710290520000,2.372,2.376,2.371,2.375,2562.7,1710290579999,6081.8772,81,2018.3,1710295680000,2.434
1710290580000,2.374,2.378,2.374,2.377,4293.3,1710290639999,10201.7725,87,3746.2,1710295680000,2.434
1710290640000,2.376,2.379,2.375,2.377,6983.3,1710290699999,16593.7147,123,1946.7,1710295680000,2.434
1710290700000,2.377,2.384,2.375,2.383,9068.4,1710290759999,21578.2887,141,7661.7,1710295680000,2.434
1710290760000,2.383,2.385,2.381,2.384,4751.3,1710290819999,11322.5885,154,1374.8,1710295680000,2.434
1710290820000,2.385,2.387,2.384,2.385,4544.0,1710290879999,10838.2133,96,2483.3,1710295680000,2.434
1710290880000,2.386,2.388,2.386,2.386,3209.6,1710290939999,7659.1561,66,725.2,1710295680000,2.434
1710290940000,2.386,2.392,2.384,2.388,20289.9,1710290999999,48464.5534,234,8363.2,1710295680000,2.434
1710291000000,2.388,2.389,2.387,2.388,1211.5,1710291059999,2893.4619,58,1012.0,1710295680000,2.434
1710291060000,2.388,2.388,2.379,2.379,8022.6,1710291119999,19119.8420,149,1340.9,1710295680000,2.434
1710291120000,2.379,2.380,2.375,2.376,3854.0,1710291179999,9162.6213,85,893.5,1710295680000,2.434
1710291180000,2.375,2.376,2.371,2.371,7115.6,1710291239999,16881.7375,84,5590.8,1710295680000,2.434
1710291240000,2.371,2.378,2.369,2.378,9839.6,1710291299999,23343.0779,83,8883.0,1710295680000,2.434
1710291300000,2.378,2.382,2.378,2.382,1787.2,1710291359999,4254.5709,36,1465.8,1710295680000,2.434
1710291360000,2.382,2.388,2.382,2.385,11573.0,1710291419999,27601.3623,163,7418.0,1710295680000,2.434
1710291420000,2.385,2.428,2.382,2.427,168014.8,1710291479999,404062.8098,1976,122775.2,1710295680000,2.434
1710291480000,2.427,2.438,2.416,2.419,103846.5,1710291539999,252294.1062,1377,56882.5,1710295680000,2.434
1710291540000,2.418,2.423,2.410,2.412,29023.6,1710291599999,70132.2592,428,18992.2,1710295680000,2.434
1710291600000,2.412,2.417,2.404,2.404,38003.4,1710291659999,91584.9722,579,19676.0,1710295680000,2.434
1710291660000,2.404,2.421,2.401,2.419,31432.5,1710291719999,75709.7930,408,19917.4,1710295680000,2.434
1710291720000,2.419,2.427,2.418,2.427,11023.5,1710291779999,26693.4721,180,7178.4,1710295680000,2.434
1710291780000,2.427,2.439,2.425,2.430,28705.9,1710291839999,69773.7893,384,13667.6,1710295680000,2.434
1710291840000,2.430,2.433,2.426,2.429,18358.9,1710291899999,44601.1101,232,9696.2,1710295680000,2.434
1710291900000,2.429,2.429,2.419,2.419,12558.5,1710291959999,30421.5731,177,4765.4,1710295680000,2.434
1710291960000,2.419,2.424,2.418,2.420,7251.3,1710292019999,17554.4366,172,4707.8,1710295680000,2.434
1710292020000,2.419,2.421,2.419,2.419,6071.4,1710292079999,14688.8190,78,3712.3,1710295680000,2.434
1710292080000,2.418,2.418,2.407,2.407,12241.2,1710292139999,29538.2283,213,2619.4,1710295680000,2.434
1710292140000,2.408,2.408,2.396,2.396,7969.3,1710292199999,19142.4891,173,1464.6,1710295680000,2.434
1710292200000,2.396,2.407,2.395,2.407,8581.6,1710292259999,20583.5758,137,7051.5,1710295680000,2.434
1710292260000,2.407,2.413,2.407,2.409,4659.6,1710292319999,11232.2568,91,1633.4,1710295680000,2.434
1710292320000,2.410,2.412,2.409,2.412,2594.2,1710292379999,6254.2261,77,1068.1,1710295680000,2.434
1710292380000,2.412,2.412,2.409,2.411,5179.7,1710292439999,12487.8936,66,501.8,1710295680000,2.434
1710292440000,2.411,2.411,2.407,2.408,1199.8,1710292499999,2890.1247,35,570.5,1710295680000,2.434
1710292500000,2.409,2.409,2.399,2.403,8605.0,1710292559999,20679.5647,148,3488.1,1710295680000,2.434
1710292560000,2.404,2.407,2.404,2.405,2486.8,1710292619999,5981.5463,82,1193.7,1710295680000,2.434
1710292620000,2.405,2.407,2.404,2.406,2375.2,1710292679999,5714.0383,58,497.6,1710295680000,2.434
1710292680000,2.406,2.413,2.406,2.410,7499.6,1710292739999,18072.7244,103,6473.5,1710295680000,2.434
1710292740000,2.410,2.410,2.407,2.407,7092.8,1710292799999,17080.1749,72,644.3,1710295680000,2.434
1710292800000,2.407,2.415,2.407,2.413,10693.0,1710292859999,25788.1484,189,7651.8,1710295680000,2.434
1710292860000,2.412,2.415,2.411,2.415,3742.1,1710292919999,9027.4134,74,2794.9,1710295680000,2.434
1710292920000,2.416,2.416,2.410,2.411,6352.6,1710292979999,15332.9636,94,1765.1,1710295680000,2.434
1710292980000,2.411,2.413,2.411,2.412,7089.3,1710293039999,17094.6967,87,6214.1,1710295680000,2.434
1710293040000,2.412,2.412,2.403,2.406,17802.1,1710293099999,42822.4148,167,1087.1,1710295680000,2.434
1710293100000,2.408,2.411,2.408,2.411,2597.3,1710293159999,6258.2801,76,1461.9,1710295680000,2.434
1710293160000,2.411,2.415,2.408,2.415,7320.5,1710293219999,17650.3173,142,2719.3,1710295680000,2.434
1710293220000,2.415,2.423,2.415,2.421,5904.2,1710293279999,14281.8139,129,5037.0,1710295680000,2.434
1710293280000,2.422,2.436,2.421,2.430,29352.1,1710293339999,71340.4765,355,22872.0,1710295680000,2.434
1710293340000,2.430,2.432,2.428,2.430,4887.0,1710293399999,11877.7252,118,2268.0,1710295680000,2.434
1710293400000,2.429,2.440,2.429,2.436,27855.4,1710293459999,67819.9403,381,11362.4,1710295680000,2.434
1710293460000,2.437,2.441,2.436,2.437,7877.4,1710293519999,19205.7134,192,2305.2,1710295680000,2.434
1710293520000,2.437,2.449,2.436,2.448,14536.0,1710293579999,35501.1961,405,8710.1,1710295680000,2.434
1710293580000,2.448,2.448,2.421,2.426,95035.0,1710293639999,231223.8551,1209,20115.3,1710295680000,2.434
1710293640000,2.426,2.426,2.409,2.423,64319.1,1710293699999,155422.2587,881,19460.3,1710295680000,2.434
1710293700000,2.423,2.430,2.422,2.429,4827.1,1710293759999,11703.7064,108,1598.1,1710295680000,2.434
1710293760000,2.429,2.433,2.428,2.433,3698.5,1710293819999,8988.0198,125,1853.7,1710295680000,2.434
1710293820000,2.434,2.434,2.429,2.430,3618.6,1710293879999,8796.8385,78,1407.6,1710295680000,2.434
1710293880000,2.431,2.432,2.427,2.429,1136.7,1710293939999,2761.2730,51,257.4,1710295680000,2.434
1710293940000,2.430,2.436,2.430,2.432,4858.6,1710293999999,11820.4217,130,2874.8,1710295680000,2.434
1710294000000,2.431,2.436,2.429,2.436,5403.4,1710294059999,13141.3760,90,3862.1,1710295680000,2.434
1710294060000,2.437,2.440,2.427,2.429,17098.2,1710294119999,41589.7323,301,4039.5,1710295680000,2.434
1710294120000,2.429,2.429,2.411,2.415,14585.7,1710294179999,35288.6005,373,3847.2,1710295680000,2.434
1710294180000,2.416,2.420,2.416,2.418,2738.2,1710294239999,6621.4826,54,1253.0,1710295680000,2.434
1710294240000,2.417,2.418,2.413,2.415,9554.5,1710294299999,23074.4882,156,953.8,1710295680000,2.434
1710294300000,2.414,2.416,2.410,2.416,8208.4,1710294359999,19801.0667,109,1953.7,1710295680000,2.434
1710294360000,2.417,2.419,2.415,2.415,2707.3,1710294419999,6542.7517,83,805.2,1710295680000,2.434
1710294420000,2.415,2.421,2.415,2.417,10382.9,1710294479999,25116.2152,112,5056.2,1710295680000,2.434
1710294480000,2.418,2.420,2.417,2.420,1972.8,1710294539999,4772.8405,34,1744.5,1710295680000,2.434
1710294540000,2.420,2.423,2.417,2.417,5264.6,1710294599999,12744.2855,104,2224.5,1710295680000,2.434
1710294600000,2.417,2.419,2.416,2.418,3758.2,1710294659999,9086.3806,64,1806.6,1710295680000,2.434
1710294660000,2.418,2.418,2.413,2.415,4215.1,1710294719999,10178.6497,89,1196.3,1710295680000,2.434
1710294720000,2.415,2.416,2.415,2.416,2331.7,1710294779999,5631.1277,40,1907.6,1710295680000,2.434
1710294780000,2.415,2.418,2.415,2.418,1384.9,1710294839999,3345.8977,37,892.9,1710295680000,2.434
1710294840000,2.418,2.421,2.418,2.421,704.1,1710294899999,1703.8308,19,704.1,1710295680000,2.434
1710294900000,2.420,2.423,2.420,2.421,2040.2,1710294959999,4939.8431,60,773.7,1710295680000,2.434
