Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710719340000,0.11651,0.11660,0.11651,0.11660,95134,1710719399999,11088.25805,112,58829,1710724740000,0.11453
1710719400000,0.11659,0.11667,0.11659,0.11660,178066,1710719459999,20769.46357,120,55249,1710724740000,0.11453
1710719460000,0.11660,0.11666,0.11658,0.11666,74441,1710719519999,8680.72407,74,49994,1710724740000,0.11453
1710719520000,0.11667,0.11670,0.11665,0.11667,112629,1710719579999,13140.69121,92,31187,1710724740000,0.11453
1710719580000,0.11667,0.11680,0.11665,0.11679,198102,1710719639999,23130.83594,128,152329,1710724740000,0.11453
1710719640000,0.11679,0.11695,0.11679,0.11694,274380,1710719699999,32063.28990,201,197697,1710724740000,0.11453
1710719700000,0.11693,0.11695,0.11681,0.11691,400630,1710719759999,46825.36225,293,36568,1710724740000,0.11453
1710719760000,0.11690,0.11690,0.11664,0.11665,154769,1710719819999,18072.78658,139,23283,1710724740000,0.11453
1710719820000,0.11665,0.11665,0.11652,0.11656,163125,1710719879999,19015.03210,96,80575,1710724740000,0.11453
1710719880000,0.11656,0.11661,0.11656,0.11661,74999,1710719939999,8743.48894,122,68057,1710724740000,0.11453
1710719940000,0.11660,0.11661,0.11653,0.11655,66878,1710719999999,7796.05893,62,18017,1710724740000,0.11453
1710720000000,0.11655,0.11659,0.11646,0.11651,498319,1710720059999,58079.87282,278,227286,1710724740000,0.11453
1710720060000,0.11652,0.11653,0.11618,0.11622,161989,1710720119999,18843.12637,208,50808,1710724740000,0.11453
1710720120000,0.11622,0.11623,0.11602,0.11603,144035,1710720179999,16731.43238,151,87125,1710724740000,0.11453
1710720180000,0.11604,0.11604,0.11590,0.11591,233626,1710720239999,27089.18340,264,113184,1710724740000,0.11453
1710720240000,0.11590,0.11599,0.11583,0.11596,191626,1710720299999,22211.47138,197,89489,1710724740000,0.11453
1710720300000,0.11597,0.11604,0.11572,0.11580,296167,1710720359999,34331.12509,230,79685,1710724740000,0.11453
1710720360000,0.11580,0.11582,0.11568,0.11571,189194,1710720419999,21898.82578,200,52112,1710724740000,0.11453
1710720420000,0.11571,0.11575,0.11569,0.11569,176207,1710720479999,20390.58169,179,100856,1710724740000,0.11453
1710720480000,0.11569,0.11569,0.11522,0.11540,684602,1710720539999,79051.15410,510,281945,1710724740000,0.11453
1710720540000,0.11536,0.11541,0.11523,0.11528,432745,1710720599999,49900.96261,549,216640,1710724740000,0.11453
1710720600000,0.11527,0.11533,0.11512,0.11512,493686,1710720659999,56887.49118,471,193602,1710724740000,0.11453
1710720660000,0.11512,0.11534,0.11500,0.11534,602996,1710720719999,69431.32358,490,273077,1710724740000,0.11453
1710720720000,0.11534,0.11538,0.11514,0.11524,636282,1710720779999,73342.11411,399,152026,1710724740000,0.11453
1710720780000,0.11524,0.11535,0.11513,0.11535,385192,1710720839999,44397.75105,328,165431,1710724740000,0.11453
1710720840000,0.11535,0.11535,0.11487,0.11497,284498,1710720899999,32750.75489,318,67393,1710724740000,0.11453
1710720900000,0.11495,0.11524,0.11487,0.11522,571452,1710720959999,65757.70295,456,343670,1710724740000,0.11453
1710720960000,0.11520,0.11545,0.11514,0.11536,267270,1710721019999,30823.63127,270,128588,1710724740000,0.11453
1710721020000,0.11536,0.11554,0.11534,0.11552,244975,1710721079999,28271.73765,259,86431,1710724740000,0.11453
1710721080000,0.11551,0.11558,0.11542,0.11548,219975,1710721139999,25410.76412,399,108992,1710724740000,0.11453
1710721140000,0.11548,0.11573,0.11539,0.11561,329148,1710721199999,38046.39821,292,190169,1710724740000,0.11453
1710721200000,0.11561,0.11588,0.11561,0.11583,244266,1710721259999,28272.88971,318,174019,1710724740000,0.11453
1710721260000,0.11582,0.11589,0.11569,0.11589,449765,1710721319999,52063.77787,265,140718,1710724740000,0.11453
1710721320000,0.11589,0.11591,0.11577,0.11580,195992,1710721379999,22704.69794,150,52289,1710724740000,0.11453
1710721380000,0.11580,0.11584,0.11575,0.11580,111760,1710721439999,12941.55535,116,77734,1710724740000,0.11453
1710721440000,0.11581,0.11585,0.11576,0.11578,77519,1710721499999,8976.94051,85,32654,1710724740000,0.11453
1710721500000,0.11577,0.11577,0.11551,0.11552,375953,1710721559999,43465.31888,258,69849,1710724740000,0.11453
1710721560000,0.11552,0.11553,0.11525,0.11525,115206,1710721619999,13293.60074,117,15507,1710724740000,0.11453
1710721620000,0.11527,0.11541,0.11527,0.11541,182962,1710721679999,21104.61422,142,120138,1710724740000,0.11453
1710721680000,0.11542,0.11543,0.11526,0.11543,193529,1710721739999,22325.06980,160,82453,1710724740000,0.11453
1710721740000,0.11543,0.11543,0.11522,0.11530,574540,1710721799999,66208.71750,182,447527,1710724740000,0.11453
1710721800000,0.11529,0.11532,0.11521,0.11530,124972,1710721859999,14405.94552,132,74513,1710724740000,0.11453
1710721860000,0.11530,0.11530,0.11510,0.11522,275833,1710721919999,31776.68601,190,114015,1710724740000,0.11453
1710721920000,0.11522,0.11522,0.11514,0.11518,238133,1710721979999,27427.36828,182,123644,1710724740000,0.11453
1710721980000,0.11517,0.11518,0.11493,0.11496,262792,1710722039999,30237.76929,263,68980,1710724740000,0.11453
1710722040000,0.11496,0.11503,0.11494,0.11499,217761,1710722099999,25038.31025,212,108151,1710724740000,0.11453
1710722100000,0.11498,0.11498,0.11447,0.11451,695114,1710722159999,79697.79827,607,281871,1710724740000,0.11453
1710722160000,0.11450,0.11458,0.11422,0.11435,761848,1710722219999,87149.36714,707,311505,1710724740000,0.11453
1710722220000,0.11436,0.11463,0.11431,0.11431,576583,1710722279999,65990.95025,406,358066,1710724740000,0.11453
1710722280000,0.11433,0.11439,0.11419,0.11422,933953,1710722339999,106741.74349,1124,685995,1710724740000,0.11453
1710722340000,0.11421,0.11421,0.11403,0.11413,527844,1710722399999,60226.75722,478,256209,1710724740000,0.11453
1710722400000,0.11412,0.11418,0.11391,0.11418,635479,1710722459999,72475.42154,942,309135,1710724740000,0.11453
1710722460000,0.11418,0.11444,0.11418,0.11444,450402,1710722519999,51489.10787,355,296943,1710724740000,0.11453
1710722520000,0.11443,0.11456,0.11422,0.11454,366911,1710722579999,41962.06827,289,177063,1710724740000,0.11453
1710722580000,0.11452,0.11452,0.11426,0.11426,134531,1710722639999,15390.75263,153,21760,1710724740000,0.11453
1710722640000,0.11425,0.11429,0.11421,0.11427,139276,1710722699999,15913.57262,167,69697,1710724740000,0.11453
1710722700000,0.11427,0.11428,0.11387,0.11397,261934,1710722759999,29878.43617,299,118645,1710724740000,0.11453
1710722760000,0.11398,0.11421,0.11395,0.11412,629095,1710722819999,71753.71671,1025,383781,1710724740000,0.11453
1710722820000,0.11412,0.11416,0.11384,0.11393,901986,1710722879999,102784.85180,603,487876,1710724740000,0.11453
1710722880000,0.11392,0.11392,0.11362,0.11381,314164,1710722939999,35735.34617,384,190440,1710724740000,0.11453
1710722940000,0.11381,0.11393,0.11367,0.11389,297886,1710722999999,33901.94323,230,99713,1710724740000,0.11453
