Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710265620000,0.4945000,0.4956000,0.4940000,0.4946000,31080,1710265679999,15378.8918000,235,13577,1710270960000,0.5088
1710265680000,0.4944000,0.4968000,0.4944000,0.4964000,20255,1710265739999,10040.2864000,184,13614,1710270960000,0.5088
1710265740000,0.4965000,0.4978000,0.4963000,0.4970000,30181,1710265799999,15001.2381000,263,11563,1710270960000,0.5088
1710265800000,0.4970000,0.4978000,0.4970000,0.4973000,86722,1710265859999,43127.0777000,269,30858,1710270960000,0.5088
1710265860000,0.4975000,0.4977000,0.4955000,0.4959000,78469,1710265919999,38966.7312000,206,11837,1710270960000,0.5088
1710265920000,0.4958000,0.4976000,0.4958000,0.4971000,34346,1710265979999,17052.1783000,160,14746,1710270960000,0.5088
1710265980000,0.4971000,0.5000000,0.4971000,0.4994000,66141,1710266039999,32999.1514000,280,14529,1710270960000,0.5088
1710266040000,0.4996000,0.4998000,0.4983000,0.4988000,21252,1710266099999,10603.8995000,201,14585,1710270960000,0.5088
1710266100000,0.4988000,0.4988000,0.4971000,0.4983000,34376,1710266159999,17109.5937000,176,22507,1710270960000,0.5088
1710266160000,0.4982000,0.4999000,0.4973000,0.4995000,112077,1710266219999,55909.9616000,428,61169,1710270960000,0.5088
1710266220000,0.4995000,0.5003000,0.4983000,0.4992000,79987,1710266279999,39938.4849000,396,43198,1710270960000,0.5088
1710266280000,0.4991000,0.4996000,0.4981000,0.4982000,26889,1710266339999,13412.7776000,199,10864,1710270960000,0.5088
1710266340000,0.4983000,0.4994000,0.4971000,0.4994000,34829,1710266399999,17346.1528000,221,15764,1710270960000,0.5088
1710266400000,0.4994000,0.5008000,0.4988000,0.4988000,83074,1710266459999,41525.9906000,450,47226,1710270960000,0.5088
1710266460000,0.4987000,0.4987000,0.4962000,0.4971000,63047,1710266519999,31345.6605000,415,35434,1710270960000,0.5088
1710266520000,0.4967000,0.4988000,0.4963000,0.4986000,21794,1710266579999,10844.9405000,228,10763,1710270960000,0.5088
1710266580000,0.4987000,0.5012000,0.4987000,0.5008000,25255,1710266639999,12634.7623000,238,14133,1710270960000,0.5088
1710266640000,0.5008000,0.5010000,0.4984000,0.4985000,22562,1710266699999,11266.8177000,213,8055,1710270960000,0.5088
1710266700000,0.4983000,0.4986000,0.4965000,0.4970000,30622,1710266759999,15239.7310000,324,13955,1710270960000,0.5088
1710266760000,0.4972000,0.4988000,0.4968000,0.4985000,29953,1710266819999,14910.8623000,211,21880,1710270960000,0.5088
1710266820000,0.4984000,0.4992000,0.4981000,0.4991000,21376,1710266879999,10658.6208000,139,10208,1710270960000,0.5088
1710266880000,0.4992000,0.5004000,0.4988000,0.5001000,27074,1710266939999,13521.8120000,217,11053,1710270960000,0.5088
1710266940000,0.5002000,0.5028000,0.5002000,0.5003000,88603,1710266999999,44438.6892000,389,17167,1710270960000,0.5088
1710267000000,0.5006000,0.5015000,0.5003000,0.5003000,26314,1710267059999,13181.5662000,165,13926,1710270960000,0.5088
1710267060000,0.5002000,0.5030000,0.5001000,0.5010000,54061,1710267119999,27106.0920000,416,32000,1710270960000,0.5088
1710267120000,0.5010000,0.5037000,0.5010000,0.5018000,46400,1710267179999,23318.2406000,359,35033,1710270960000,0.5088
1710267180000,0.5020000,0.5026000,0.5010000,0.5012000,13000,1710267239999,6520.4600000,145,8757,1710270960000,0.5088
1710267240000,0.5012000,0.5024000,0.5010000,0.5014000,36468,1710267299999,18295.9316000,272,24600,1710270960000,0.5088
1710267300000,0.5014000,0.5027000,0.5005000,0.5017000,35434,1710267359999,17782.9735000,288,20281,1710270960000,0.5088
1710267360000,0.5018000,0.5036000,0.5014000,0.5034000,28348,1710267419999,14235.9763000,233,18038,1710270960000,0.5088
