Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711141380000,1.0273000,1.0277000,1.0252000,1.0252000,19281,1711141439999,19791.5416000,176,5879,1711146780000,1.0219
1711141440000,1.0253000,1.0270000,1.0252000,1.0267000,51241,1711141499999,52559.8806000,232,31571,1711146780000,1.0219
1711141500000,1.0266000,1.0277000,1.0261000,1.0277000,21737,1711141559999,22318.4863000,205,12030,1711146780000,1.0219
1711141560000,1.0276000,1.0276000,1.0259000,1.0259000,21305,1711141619999,21875.2395000,190,6951,1711146780000,1.0219
1711141620000,1.0260000,1.0272000,1.0257000,1.0261000,23277,1711141679999,23891.3420000,209,10924,1711146780000,1.0219
1711141680000,1.0261000,1.0261000,1.0227000,1.0230000,84833,1711141739999,86854.1823000,327,14635,1711146780000,1.0219
1711141740000,1.0231000,1.0238000,1.0207000,1.0221000,87305,1711141799999,89240.2942000,516,32504,1711146780000,1.0219
1711141800000,1.0222000,1.0258000,1.0221000,1.0254000,66108,1711141859999,67704.7092000,366,38764,1711146780000,1.0219
1711141860000,1.0255000,1.0259000,1.0242000,1.0244000,37113,1711141919999,38050.9400000,243,9812,1711146780000,1.0219
1711141920000,1.0244000,1.0258000,1.0239000,1.0239000,81004,1711141979999,83057.5566000,251,53126,1711146780000,1.0219
1711141980000,1.0243000,1.0246000,1.0210000,1.0217000,56711,1711142039999,57992.3464000,271,14847,1711146780000,1.0219
1711142040000,1.0218000,1.0221000,1.0184000,1.0197000,80946,1711142099999,82553.2368000,337,11729,1711146780000,1.0219
1711142100000,1.0197000,1.0218000,1.0189000,1.0207000,82297,1711142159999,83977.2853000,444,35861,1711146780000,1.0219
1711142160000,1.0205000,1.0238000,1.0205000,1.0234000,48320,1711142219999,49409.4766000,301,29022,1711146780000,1.0219
1711142220000,1.0231000,1.0237000,1.0210000,1.0215000,71799,1711142279999,73378.8957000,332,18653,1711146780000,1.0219
1711142280000,1.0215000,1.0236000,1.0215000,1.0224000,31660,1711142339999,32377.6277000,211,15180,1711146780000,1.0219
1711142340000,1.0224000,1.0231000,1.0216000,1.0221000,19527,1711142399999,19961.3328000,158,7014,1711146780000,1.0219
1711142400000,1.0222000,1.0222000,1.0120000,1.0126000,165728,1711142459999,168537.0948000,822,23828,1711146780000,1.0219
1711142460000,1.0127000,1.0204000,1.0126000,1.0201000,148650,1711142519999,151139.8854000,594,91641,1711146780000,1.0219
1711142520000,1.0202000,1.0226000,1.0202000,1.0223000,73573,1711142579999,75193.1641000,298,28215,1711146780000,1.0219
1711142580000,1.0225000,1.0226000,1.0203000,1.0203000,56470,1711142639999,57700.6393000,317,17215,1711146780000,1.0219
1711142640000,1.0202000,1.0223000,1.0198000,1.0223000,46316,1711142699999,47280.6431000,212,40340,1711146780000,1.0219
1711142700000,1.0223000,1.0223000,1.0179000,1.0182000,59446,1711142759999,60642.1665000,295,11492,1711146780000,1.0219
1711142760000,1.0182000,1.0182000,1.0148000,1.0158000,96546,1711142819999,98130.2847000,491,18747,1711146780000,1.0219
1711142820000,1.0159000,1.0178000,1.0157000,1.0177000,116275,1711142879999,118236.4673000,471,91550,1711146780000,1.0219
1711142880000,1.0178000,1.0182000,1.0171000,1.0181000,33019,1711142939999,33604.9788000,212,15623,1711146780000,1.0219
1711142940000,1.0179000,1.0184000,1.0175000,1.0176000,25497,1711142999999,25953.9681000,146,7440,1711146780000,1.0219
1711143000000,1.0173000,1.0176000,1.0158000,1.0169000,41934,1711143059999,42634.4370000,206,22442,1711146780000,1.0219
