Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712117760000,2.496500,2.497700,2.491500,2.491500,18321.2,1712117819999,45714.7378600,386,5824.8,1712123100000,2.415
1712117820000,2.491200,2.492800,2.490400,2.492500,12995.9,1712117879999,32385.0109700,279,7827.2,1712123100000,2.415
1712117880000,2.492500,2.498300,2.492400,2.496900,14902.0,1712117939999,37195.4842400,375,7697.6,1712123100000,2.415
1712117940000,2.496900,2.497600,2.491000,2.491800,11775.8,1712117999999,29369.3371700,319,4581.9,1712123100000,2.415
1712118000000,2.491800,2.497100,2.491300,2.495400,25389.6,1712118059999,63315.7204400,538,7667.7,1712123100000,2.415
1712118060000,2.495400,2.496700,2.490900,2.490900,11129.9,1712118119999,27771.9362900,268,4881.7,1712123100000,2.415
1712118120000,2.490900,2.491100,2.477300,2.482900,26921.5,1712118179999,66857.4102500,559,10105.9,1712123100000,2.415
1712118180000,2.482400,2.490100,2.480200,2.489900,16718.3,1712118239999,41531.4620000,455,12985.2,1712123100000,2.415
1712118240000,2.490000,2.490600,2.485400,2.485700,11570.2,1712118299999,28782.8806800,277,5080.0,1712123100000,2.415
1712118300000,2.485500,2.494100,2.482500,2.492200,16094.1,1712118359999,40051.2905200,523,11611.8,1712123100000,2.415
1712118360000,2.491900,2.492900,2.486100,2.486800,9263.1,1712118419999,23069.1329700,269,4030.8,1712123100000,2.415
1712118420000,2.486900,2.486900,2.476900,2.478600,16189.2,1712118479999,40194.0241700,350,3525.8,1712123100000,2.415
1712118480000,2.478700,2.481300,2.477200,2.479200,9535.4,1712118539999,23637.6020500,300,3674.0,1712123100000,2.415
1712118540000,2.479700,2.480600,2.476500,2.477800,8757.7,1712118599999,21705.7742300,299,4853.3,1712123100000,2.415
1712118600000,2.478400,2.481600,2.471700,2.477600,33101.0,1712118659999,81955.9706400,750,19178.1,1712123100000,2.415
1712118660000,2.476600,2.479700,2.469900,2.474400,20200.2,1712118719999,50005.9765400,535,11632.0,1712123100000,2.415
1712118720000,2.473800,2.473800,2.459700,2.462400,21069.1,1712118779999,51959.3930800,549,5062.5,1712123100000,2.415
1712118780000,2.462500,2.469900,2.460200,2.462800,10165.8,1712118839999,25054.6572700,358,6109.0,1712123100000,2.415
1712118840000,2.464400,2.464800,2.456800,2.459200,10365.6,1712118899999,25507.3359900,286,3373.3,1712123100000,2.415
1712118900000,2.459000,2.463500,2.455900,2.461900,15936.7,1712118959999,39190.4763800,454,4805.1,1712123100000,2.415
1712118960000,2.461800,2.466300,2.461800,2.465000,11078.8,1712119019999,27302.3633500,351,5846.8,1712123100000,2.415
1712119020000,2.465700,2.468500,2.455100,2.457800,16540.4,1712119079999,40716.8871300,365,4780.6,1712123100000,2.415
1712119080000,2.457900,2.460800,2.454200,2.454400,20222.0,1712119139999,49701.0040200,419,9325.7,1712123100000,2.415
1712119140000,2.454000,2.459600,2.453700,2.458900,8342.4,1712119199999,20493.4134100,248,4264.6,1712123100000,2.415
1712119200000,2.458500,2.462900,2.449700,2.452000,14852.5,1712119259999,36476.1669000,401,7119.4,1712123100000,2.415
1712119260000,2.451600,2.452000,2.446800,2.449300,26214.9,1712119319999,64208.5232200,295,10833.3,1712123100000,2.415
1712119320000,2.449300,2.452500,2.446100,2.447100,11066.1,1712119379999,27109.0332700,288,5191.1,1712123100000,2.415
1712119380000,2.447600,2.453500,2.447600,2.452900,16944.6,1712119439999,41534.6207600,494,13789.7,1712123100000,2.415
1712119440000,2.453200,2.453200,2.447100,2.447900,8562.0,1712119499999,20977.5700700,185,1244.7,1712123100000,2.415
1712119500000,2.447800,2.454400,2.447300,2.454400,27813.3,1712119559999,68160.0104400,596,18933.4,1712123100000,2.415
1712119560000,2.453800,2.462300,2.453800,2.460100,16652.1,1712119619999,40925.0281400,371,12441.6,1712123100000,2.415
1712119620000,2.460100,2.460800,2.453900,2.454700,23921.2,1712119679999,58797.6557100,291,6935.0,1712123100000,2.415
1712119680000,2.454700,2.460000,2.453700,2.454000,9199.0,1712119739999,22594.3933700,210,6213.1,1712123100000,2.415
1712119740000,2.454000,2.456700,2.445800,2.453100,30017.2,1712119799999,73576.2909400,416,8001.3,1712123100000,2.415
1712119800000,2.453300,2.458300,2.447900,2.458300,28204.4,1712119859999,69198.8645400,544,21115.6,1712123100000,2.415
1712119860000,2.458300,2.462900,2.451300,2.453000,31580.0,1712119919999,77595.6942700,497,10783.4,1712123100000,2.415
1712119920000,2.453100,2.457100,2.448300,2.451600,10710.5,1712119979999,26272.1012000,262,4843.3,1712123100000,2.415
1712119980000,2.451500,2.456400,2.449200,2.454800,11475.9,1712120039999,28155.1235800,283,4170.0,1712123100000,2.415
1712120040000,2.454000,2.458300,2.453200,2.455300,5714.9,1712120099999,14039.3890800,201,4673.8,1712123100000,2.415
1712120100000,2.455200,2.460000,2.453600,2.457800,7456.1,1712120159999,18322.4728400,209,4514.5,1712123100000,2.415
1712120160000,2.457600,2.463600,2.457600,2.461900,9480.0,1712120219999,23333.3933900,274,6011.2,1712123100000,2.415
1712120220000,2.462100,2.464300,2.450900,2.457700,51080.2,1712120279999,125485.4259300,708,13511.7,1712123100000,2.415
1712120280000,2.457400,2.458700,2.455800,2.457900,6680.1,1712120339999,16414.6643500,144,3158.7,1712123100000,2.415
1712120340000,2.456800,2.459400,2.454600,2.457000,8587.0,1712120399999,21096.0770400,233,6511.9,1712123100000,2.415
1712120400000,2.457000,2.458500,2.447900,2.448800,22617.3,1712120459999,55512.1620900,456,5201.8,1712123100000,2.415
1712120460000,2.449000,2.450900,2.442900,2.445500,17465.9,1712120519999,42740.4439900,416,7362.0,1712123100000,2.415
1712120520000,2.445500,2.449200,2.444200,2.444600,9211.8,1712120579999,22534.6234600,263,4300.2,1712123100000,2.415
1712120580000,2.444700,2.448100,2.440000,2.441700,12663.0,1712120639999,30946.0221200,340,6932.2,1712123100000,2.415
1712120640000,2.441800,2.447300,2.441600,2.444500,11448.0,1712120699999,27988.1370100,332,8285.4,1712123100000,2.415
1712120700000,2.445100,2.449100,2.440000,2.441300,17736.5,1712120759999,43363.6676900,302,10217.3,1712123100000,2.415
1712120760000,2.440800,2.441800,2.436500,2.440400,16387.6,1712120819999,39965.2703100,287,6989.9,1712123100000,2.415
1712120820000,2.440400,2.442900,2.436800,2.437500,14527.7,1712120879999,35433.6675600,271,7738.9,1712123100000,2.415
1712120880000,2.437300,2.437300,2.432100,2.435900,13125.5,1712120939999,31967.7114900,268,5088.5,1712123100000,2.415
1712120940000,2.437000,2.441900,2.435000,2.435700,8636.0,1712120999999,21063.6953200,267,5032.6,1712123100000,2.415
1712121000000,2.435700,2.435700,2.418100,2.426500,94725.5,1712121059999,229820.4784400,786,15266.7,1712123100000,2.415
1712121060000,2.426700,2.432300,2.426400,2.429000,20168.1,1712121119999,48985.4038800,411,14243.9,1712123100000,2.415
1712121120000,2.428900,2.430000,2.423700,2.424400,29541.0,1712121179999,71715.9838900,447,14498.0,1712123100000,2.415
1712121180000,2.424600,2.426600,2.417700,2.421600,21226.8,1712121239999,51404.8461500,461,9385.7,1712123100000,2.415
1712121240000,2.420800,2.425000,2.417600,2.419600,18845.6,1712121299999,45624.6921200,361,10609.4,1712123100000,2.415
1712121300000,2.419800,2.421800,2.405400,2.405400,71581.3,1712121359999,172801.6664500,1090,15208.7,1712123100000,2.415
1712121360000,2.406100,2.419200,2.406100,2.418700,33742.4,1712121419999,81431.9594200,725,28801.1,1712123100000,2.415
1712121420000,2.418800,2.419400,2.411200,2.414200,34591.3,1712121479999,83588.7578500,473,8778.8,1712123100000,2.415
1712121480000,2.414200,2.415700,2.410100,2.411900,12195.6,1712121539999,29424.8465200,313,6559.6,1712123100000,2.415
1712121540000,2.412800,2.414200,2.409800,2.413200,10289.1,1712121599999,24819.8832300,329,7933.3,1712123100000,2.415
1712121600000,2.413100,2.413100,2.381900,2.389100,196142.4,1712121659999,469031.1835500,2244,51124.7,1712123100000,2.415
1712121660000,2.389700,2.392800,2.380700,2.386300,66228.1,1712121719999,158081.2806800,1011,29103.3,1712123100000,2.415
1712121720000,2.387000,2.387700,2.380400,2.381500,27803.5,1712121779999,66309.4726200,518,11396.5,1712123100000,2.415
1712121780000,2.381000,2.381800,2.348500,2.360400,262235.0,1712121839999,619301.9287300,3745,70170.7,1712123100000,2.415
1712121840000,2.361300,2.368800,2.359600,2.366600,37789.1,1712121899999,89347.1240100,584,24161.4,1712123100000,2.415
1712121900000,2.366700,2.382800,2.366100,2.372800,71571.5,1712121959999,169974.3272100,1081,53887.5,1712123100000,2.415
1712121960000,2.372600,2.374300,2.367000,2.369900,18641.7,1712122019999,44191.5197000,441,7611.6,1712123100000,2.415
1712122020000,2.370100,2.376300,2.368000,2.376000,18713.2,1712122079999,44376.9713200,443,8115.3,1712123100000,2.415
1712122080000,2.375700,2.382700,2.372600,2.382700,35686.7,1712122139999,84858.6855900,794,20131.0,1712123100000,2.415
1712122140000,2.382500,2.383300,2.378300,2.380700,20921.1,1712122199999,49822.3052200,354,6710.9,1712123100000,2.415
1712122200000,2.380100,2.385600,2.377000,2.383500,30655.0,1712122259999,73033.9634500,600,14578.1,1712123100000,2.415
1712122260000,2.383200,2.391800,2.382600,2.388800,42384.4,1712122319999,101227.8692200,515,32245.2,1712123100000,2.415
1712122320000,2.389400,2.389700,2.379800,2.385500,23164.3,1712122379999,55240.5538700,374,16212.5,1712123100000,2.415
1712122380000,2.385600,2.387900,2.380600,2.383200,13689.1,1712122439999,32651.0122300,264,8180.5,1712123100000,2.415
1712122440000,2.383200,2.388200,2.381300,2.382400,9297.8,1712122499999,22175.2989200,252,3262.3,1712123100000,2.415
1712122500000,2.382000,2.385600,2.378800,2.383800,17896.0,1712122559999,42642.6823500,445,10473.2,1712123100000,2.415
1712122560000,2.383700,2.390000,2.383600,2.388900,19919.4,1712122619999,47548.8000900,335,14606.6,1712123100000,2.415
1712122620000,2.388800,2.389000,2.385200,2.386300,11046.6,1712122679999,26377.5246500,153,4144.5,1712123100000,2.415
1712122680000,2.386400,2.387900,2.383400,2.387700,8076.1,1712122739999,19270.5685800,194,3496.5,1712123100000,2.415
1712122740000,2.387900,2.388100,2.384500,2.387000,14016.2,1712122799999,33460.4206100,246,5440.9,1712123100000,2.415
1712122800000,2.387000,2.388100,2.380800,2.384200,7195.7,1712122859999,17155.4081500,209,3154.4,1712123100000,2.415
1712122860000,2.384100,2.387900,2.382000,2.386400,8187.0,1712122919999,19531.7067300,261,2932.7,1712123100000,2.415
1712122920000,2.386400,2.388400,2.386200,2.388400,8346.5,1712122979999,19930.0629300,136,5174.4,1712123100000,2.415
1712122980000,2.388300,2.390000,2.386300,2.387300,11974.1,1712123039999,28598.5192900,183,8130.9,1712123100000,2.415
1712123040000,2.387600,2.399200,2.387600,2.398500,34118.4,1712123099999,81679.0917700,548,28756.5,1712123100000,2.415
1712123100000,2.398900,2.416600,2.398700,2.415900,75592.3,1712123159999,182111.4620500,1384,32755.5,1712123100000,2.415
1712123160000,2.415900,2.422200,2.412600,2.414700,33168.9,1712123219999,80143.2187700,805,15687.4,1712123100000,2.415
1712123220000,2.414000,2.415300,2.410800,2.414500,15190.0,1712123279999,36656.6913100,353,8508.2,1712123100000,2.415
1712123280000,2.414500,2.420200,2.411800,2.418100,35172.4,1712123339999,85028.7640000,602,24129.4,1712123100000,2.415
1712123340000,2.418100,2.421400,2.416600,2.418700,7289.3,1712123399999,17633.5067000,228,2349.7,1712123100000,2.415
1712123400000,2.418700,2.423800,2.416800,2.419300,18980.0,1712123459999,45928.7843700,415,9935.6,1712123100000,2.415
1712123460000,2.419700,2.431000,2.418400,2.426300,38037.8,1712123519999,92265.7099600,659,28591.3,1712123100000,2.415
1712123520000,2.426200,2.434500,2.425300,2.434000,35456.3,1712123579999,86129.9013700,732,22031.1,1712123100000,2.415
1712123580000,2.433700,2.436400,2.431600,2.434200,14165.5,1712123639999,34481.7452600,333,5953.7,1712123100000,2.415
1712123640000,2.434100,2.437700,2.427100,2.427700,57403.8,1712123699999,139573.3962000,691,8629.5,1712123100000,2.415
1712123700000,2.427900,2.430300,2.427900,2.428800,10500.0,1712123759999,25503.9411700,235,4794.0,1712123100000,2.415
1712123760000,2.429100,2.429100,2.425400,2.426400,16115.3,1712123819999,39111.2096800,250,3689.9,1712123100000,2.415
1712123820000,2.426600,2.427000,2.420700,2.422100,15583.2,1712123879999,37767.4392400,293,3298.2,1712123100000,2.415
1712123880000,2.421300,2.423900,2.415900,2.423900,19684.4,1712123939999,47635.1061700,276,13298.7,1712123100000,2.415
1712123940000,2.423700,2.426800,2.423100,2.426700,7305.1,1712123999999,17719.1361700,172,3185.2,1712123100000,2.415
1712124000000,2.426700,2.426700,2.406400,2.407600,78287.9,1712124059999,189228.1416700,1100,34238.7,1712123100000,2.415
1712124060000,2.407200,2.416900,2.407200,2.416900,17136.6,1712124119999,41353.1578800,387,6019.1,1712123100000,2.415
1712124120000,2.416700,2.421800,2.415400,2.418000,19095.0,1712124179999,46176.9281300,316,13912.1,1712123100000,2.415
1712124180000,2.416400,2.418700,2.415200,2.416700,7810.8,1712124239999,18884.7036600,206,3314.9,1712123100000,2.415
1712124240000,2.416200,2.418500,2.413200,2.417900,13570.2,1712124299999,32785.9291100,385,6711.6,1712123100000,2.415
1712124300000,2.417400,2.428900,2.415500,2.428900,39569.5,1712124359999,95805.1528100,484,35682.8,1712123100000,2.415
1712124360000,2.429200,2.436700,2.425000,2.425000,24818.1,1712124419999,60366.9803200,422,7923.7,1712123100000,2.415
1712124420000,2.425100,2.430300,2.425100,2.428600,17008.1,1712124479999,41297.8353100,254,11788.2,1712123100000,2.415
1712124480000,2.428600,2.436300,2.427700,2.434600,17089.5,1712124539999,41559.0029200,323,10677.6,1712123100000,2.415
1712124540000,2.434400,2.438700,2.434300,2.437000,20134.6,1712124599999,49069.5142500,265,14710.6,1712123100000,2.415
1712124600000,2.437200,2.438700,2.434000,2.436200,26159.8,1712124659999,63750.4153900,406,15731.4,1712123100000,2.415
1712124660000,2.435400,2.438700,2.435200,2.435200,15134.3,1712124719999,36876.8795300,216,4150.4,1712123100000,2.415
1712124720000,2.435100,2.441300,2.430400,2.436100,50012.6,1712124779999,121908.8330900,526,31900.7,1712123100000,2.415
1712124780000,2.436100,2.438700,2.433800,2.438300,10634.6,1712124839999,25910.7596400,208,4356.1,1712123100000,2.415
1712124840000,2.438100,2.439500,2.432900,2.439500,16357.7,1712124899999,39855.0699300,436,8903.6,1712123100000,2.415
1712124900000,2.439200,2.449100,2.438100,2.447700,37256.0,1712124959999,91031.9511100,833,21212.1,1712123100000,2.415
1712124960000,2.447800,2.458100,2.447800,2.453200,30778.8,1712125019999,75519.8298100,610,16414.4,1712123100000,2.415
1712125020000,2.453800,2.457300,2.452500,2.453000,18747.7,1712125079999,46016.4061300,357,8648.8,1712123100000,2.415
1712125080000,2.452700,2.454600,2.448600,2.449400,19110.3,1712125139999,46840.4378500,344,9743.1,1712123100000,2.415
1712125140000,2.449700,2.450700,2.446200,2.446200,13164.4,1712125199999,32231.7354600,333,4879.7,1712123100000,2.415
1712125200000,2.446100,2.446100,2.440000,2.442700,22504.4,1712125259999,54967.6783500,465,8566.5,1712123100000,2.415
1712125260000,2.443000,2.444400,2.437900,2.440500,34499.0,1712125319999,84209.3391900,473,6272.8,1712123100000,2.415
1712125320000,2.440400,2.446900,2.437000,2.440300,27878.5,1712125379999,68060.9611900,500,14669.8,1712123100000,2.415
1712125380000,2.440500,2.446000,2.439700,2.446000,9356.2,1712125439999,22853.4311300,276,4945.5,1712123100000,2.415
1712125440000,2.446100,2.448500,2.442800,2.442800,9885.9,1712125499999,24182.7487400,203,5981.4,1712123100000,2.415
1712125500000,2.442400,2.442400,2.432800,2.437100,13757.6,1712125559999,33535.9636600,409,5783.1,1712123100000,2.415
1712125560000,2.437200,2.437200,2.424500,2.427500,24194.0,1712125619999,58782.0151300,337,3283.4,1712123100000,2.415
1712125620000,2.427500,2.428400,2.423800,2.428000,8852.9,1712125679999,21484.3590300,229,3513.5,1712123100000,2.415
1712125680000,2.428100,2.431900,2.427200,2.428800,6420.7,1712125739999,15601.0007100,185,4520.2,1712123100000,2.415
1712125740000,2.429000,2.432800,2.428000,2.429200,5143.6,1712125799999,12501.9891700,162,2958.3,1712123100000,2.415
1712125800000,2.429400,2.429900,2.425400,2.428000,14517.6,1712125859999,35241.5522000,254,8588.9,1712123100000,2.415
1712125860000,2.427600,2.429200,2.425300,2.425600,9139.6,1712125919999,22187.9756100,204,5814.6,1712123100000,2.415
1712125920000,2.425800,2.425800,2.412700,2.412700,25708.4,1712125979999,62166.7230700,552,4039.2,1712123100000,2.415
1712125980000,2.414500,2.418000,2.413000,2.416800,6787.3,1712126039999,16396.0295300,259,3703.7,1712123100000,2.415
1712126040000,2.416800,2.421400,2.416800,2.421400,6454.6,1712126099999,15615.7891700,172,5430.3,1712123100000,2.415
1712126100000,2.421500,2.422600,2.418300,2.421800,7028.5,1712126159999,17017.6505600,215,5564.4,1712123100000,2.415
1712126160000,2.421800,2.424900,2.412700,2.414000,11177.9,1712126219999,27043.5677200,384,6282.7,1712123100000,2.415
1712126220000,2.414000,2.418800,2.413800,2.417100,8514.8,1712126279999,20571.6473300,277,5360.4,1712123100000,2.415
1712126280000,2.417100,2.424800,2.417100,2.420300,13079.8,1712126339999,31684.5155400,369,8495.1,1712123100000,2.415
1712126340000,2.420000,2.426400,2.419900,2.422600,11419.4,1712126399999,27671.1422100,316,8470.7,1712123100000,2.415
1712126400000,2.422400,2.426200,2.420200,2.422900,9357.0,1712126459999,22667.7773100,292,3265.5,1712123100000,2.415
1712126460000,2.422800,2.424200,2.419900,2.420600,6135.3,1712126519999,14862.0388100,161,3602.1,1712123100000,2.415
1712126520000,2.420500,2.424800,2.420500,2.421900,11018.6,1712126579999,26699.4391300,183,4809.7,1712123100000,2.415
1712126580000,2.421900,2.427600,2.421900,2.427000,8738.3,1712126639999,21190.9807100,211,7552.8,1712123100000,2.415
1712126640000,2.426900,2.435400,2.426900,2.435300,21099.7,1712126699999,51308.0239100,371,18494.7,1712123100000,2.415
1712126700000,2.435400,2.438500,2.433300,2.436700,17056.1,1712126759999,41547.9548500,291,9397.2,1712123100000,2.415
1712126760000,2.437000,2.439100,2.431900,2.431900,10555.9,1712126819999,25723.5750100,211,6508.5,1712123100000,2.415
1712126820000,2.431700,2.431700,2.424700,2.425800,10205.4,1712126879999,24784.7401200,228,6528.2,1712123100000,2.415
1712126880000,2.425700,2.429400,2.423200,2.429400,4830.9,1712126939999,11719.4548200,162,2896.4,1712123100000,2.415
1712126940000,2.429400,2.434900,2.427500,2.429000,7077.6,1712126999999,17206.0015400,251,4774.4,1712123100000,2.415
1712127000000,2.429400,2.436700,2.429400,2.431400,12518.5,1712127059999,30452.3239700,310,4518.1,1712123100000,2.415
1712127060000,2.431500,2.436000,2.431500,2.431800,7366.8,1712127119999,17929.8783900,202,4790.0,1712123100000,2.415
1712127120000,2.431700,2.439000,2.431700,2.435400,10129.8,1712127179999,24666.7776800,293,6584.7,1712123100000,2.415
1712127180000,2.435400,2.439000,2.435400,2.438600,17087.5,1712127239999,41665.2535000,254,14470.8,1712123100000,2.415
1712127240000,2.438600,2.447000,2.436700,2.436700,56965.3,1712127299999,139057.5132500,610,27366.4,1712123100000,2.415
1712127300000,2.436700,2.439200,2.434800,2.435600,13514.3,1712127359999,32927.2040200,313,8101.5,1712123100000,2.415
1712127360000,2.435900,2.444300,2.435900,2.443100,15191.7,1712127419999,37082.6050600,360,12763.4,1712123100000,2.415
1712127420000,2.443100,2.451800,2.443100,2.451800,10655.5,1712127479999,26079.4215600,272,9088.6,1712123100000,2.415
1712127480000,2.451900,2.457000,2.451900,2.455200,16299.9,1712127539999,40017.0987500,366,12808.7,1712123100000,2.415
1712127540000,2.455100,2.461700,2.455100,2.459300,14684.4,1712127599999,36112.3782400,313,11082.8,1712123100000,2.415
1712127600000,2.459200,2.463500,2.440000,2.446200,57774.4,1712127659999,141570.9567200,1455,21978.2,1712123100000,2.415
1712127660000,2.446200,2.449800,2.444400,2.446800,16379.6,1712127719999,40081.6699800,394,8603.1,1712123100000,2.415
1712127720000,2.446800,2.450000,2.442300,2.449100,15464.4,1712127779999,37836.6816300,449,7861.6,1712123100000,2.415
1712127780000,2.449000,2.455400,2.445200,2.455400,16390.9,1712127839999,40164.6010800,346,10177.5,1712123100000,2.415
1712127840000,2.454600,2.457000,2.452600,2.453400,13182.1,1712127899999,32360.4822500,300,5306.0,1712123100000,2.415
1712127900000,2.453400,2.459400,2.453400,2.459100,15791.5,1712127959999,38799.0791100,388,10036.8,1712123100000,2.415
1712127960000,2.459100,2.466300,2.459100,2.464500,24738.0,1712128019999,60917.8697200,564,14913.0,1712123100000,2.415
1712128020000,2.464700,2.473700,2.460600,2.465900,76929.4,1712128079999,189784.8159600,1173,31849.1,1712123100000,2.415
1712128080000,2.466000,2.472900,2.465400,2.472800,20231.8,1712128139999,49971.4730300,423,12144.2,1712123100000,2.415
1712128140000,2.472700,2.479000,2.472600,2.473400,29488.0,1712128199999,72984.5072200,528,19140.0,1712123100000,2.415
1712128200000,2.473300,2.473500,2.467500,2.470600,20908.0,1712128259999,51656.6314600,439,9923.9,1712123100000,2.415
1712128260000,2.470200,2.483100,2.468500,2.480700,46074.0,1712128319999,114119.9104500,666,32736.6,1712123100000,2.415
1712128320000,2.480200,2.517500,2.480100,2.512300,175798.8,1712128379999,439630.1599200,2080,123857.0,1712123100000,2.415
1712128380000,2.512300,2.546900,2.510100,2.528300,192972.3,1712128439999,488309.3245500,2882,94429.1,1712123100000,2.415
1712128440000,2.529000,2.532600,2.524400,2.532100,57371.6,1712128499999,145089.5389600,834,25929.8,1712123100000,2.415
1712128500000,2.532200,2.555300,2.532200,2.547200,155059.5,1712128559999,394694.6909800,2435,111761.9,1712123100000,2.415
1712128560000,2.548000,2.561400,2.543900,2.559600,68871.0,1712128619999,176024.3526200,1365,28800.6,1712123100000,2.415
1712128620000,2.559800,2.562200,2.552800,2.554700,79980.8,1712128679999,204578.6968000,809,37319.8,1712123100000,2.415
1712128680000,2.554700,2.566600,2.553900,2.566100,32864.9,1712128739999,84091.5487000,734,15287.6,1712123100000,2.415
1712128740000,2.566200,2.575800,2.548400,2.556100,89053.9,1712128799999,228410.2938500,1291,22208.1,1712123100000,2.415
1712128800000,2.555800,2.560000,2.551700,2.552400,46084.7,1712128859999,117692.0420800,742,21689.6,1712123100000,2.415
