Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711663440000,1.630400,1.632100,1.629500,1.631000,7620.1,1711663499999,12427.7203600,143,2838.7,1711668840000,1.6542
1711663500000,1.631100,1.631100,1.627900,1.628200,4309.9,1711663559999,7023.0534400,106,773.9,1711668840000,1.6542
1711663560000,1.628300,1.630800,1.628300,1.630400,4764.7,1711663619999,7763.6594200,131,3882.1,1711668840000,1.6542
1711663620000,1.630000,1.630100,1.626000,1.626200,13702.5,1711663679999,22309.6694700,269,4583.0,1711668840000,1.6542
1711663680000,1.626600,1.626700,1.622600,1.626300,33116.2,1711663739999,53789.7050900,399,10336.4,1711668840000,1.6542
1711663740000,1.626200,1.628400,1.625500,1.627100,20237.2,1711663799999,32937.5192200,187,5211.3,1711668840000,1.6542
1711663800000,1.627000,1.628700,1.625700,1.626800,17217.8,1711663859999,28014.3643800,204,11769.2,1711668840000,1.6542
1711663860000,1.626600,1.626600,1.621800,1.625400,38454.5,1711663919999,62455.1368600,498,13924.8,1711668840000,1.6542
1711663920000,1.625400,1.634700,1.625400,1.633900,53039.3,1711663979999,86469.3523400,667,48347.4,1711668840000,1.6542
1711663980000,1.633500,1.637000,1.632500,1.635700,19517.2,1711664039999,31909.1521000,350,15332.7,1711668840000,1.6542
1711664040000,1.635500,1.638400,1.635400,1.638100,12360.4,1711664099999,20233.5878900,207,9500.3,1711668840000,1.6542
1711664100000,1.638200,1.642400,1.636800,1.641300,66874.5,1711664159999,109716.7059600,747,27447.0,1711668840000,1.6542
1711664160000,1.641100,1.642100,1.639300,1.642100,16541.0,1711664219999,27144.7772100,281,7465.4,1711668840000,1.6542
1711664220000,1.642100,1.643200,1.641000,1.641000,13418.6,1711664279999,22034.6314700,180,7249.0,1711668840000,1.6542
1711664280000,1.641200,1.641400,1.639400,1.640100,11114.4,1711664339999,18231.0486800,202,4533.7,1711668840000,1.6542
1711664340000,1.640100,1.641700,1.639100,1.639500,19566.2,1711664399999,32101.4565900,291,16056.8,1711668840000,1.6542
