Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710325020000,0.004441,0.004450,0.004438,0.004442,9001779,1710325079999,39995.776102,325,5134698,1710330420000,0.005066
1710325080000,0.004442,0.004448,0.004434,0.004438,12627034,1710325139999,56066.465521,339,3780646,1710330420000,0.005066
1710325140000,0.004438,0.004455,0.004427,0.004443,11045095,1710325199999,49028.361641,413,6264770,1710330420000,0.005066
1710325200000,0.004445,0.004447,0.004438,0.004445,7151990,1710325259999,31770.810008,243,2177273,1710330420000,0.005066
1710325260000,0.004443,0.004462,0.004440,0.004459,16739798,1710325319999,74521.388512,493,10618506,1710330420000,0.005066
1710325320000,0.004459,0.004465,0.004453,0.004453,10351363,1710325379999,46172.306961,413,5514854,1710330420000,0.005066
1710325380000,0.004454,0.004484,0.004454,0.004481,50314217,1710325439999,224931.011798,1224,35862549,1710330420000,0.005066
1710325440000,0.004481,0.004494,0.004475,0.004490,27289784,1710325499999,122392.758911,888,15419016,1710330420000,0.005066
1710325500000,0.004491,0.004506,0.004485,0.004493,34678721,1710325559999,155870.962517,1310,18380004,1710330420000,0.005066
1710325560000,0.004493,0.004509,0.004488,0.004506,14542511,1710325619999,65432.214176,560,9802464,1710330420000,0.005066
1710325620000,0.004505,0.004538,0.004505,0.004524,80814142,1710325679999,365774.730197,2059,32213412,1710330420000,0.005066
1710325680000,0.004524,0.004525,0.004511,0.004522,37456977,1710325739999,169231.934382,1157,19761994,1710330420000,0.005066
1710325740000,0.004522,0.004523,0.004481,0.004492,44044068,1710325799999,197960.019672,1146,12430056,1710330420000,0.005066
1710325800000,0.004489,0.004495,0.004473,0.004486,36477127,1710325859999,163545.840672,872,17167798,1710330420000,0.005066
1710325860000,0.004487,0.004500,0.004476,0.004480,13717069,1710325919999,61538.300360,527,4180929,1710330420000,0.005066
1710325920000,0.004480,0.004484,0.004473,0.004481,14437331,1710325979999,64664.570209,478,8183631,1710330420000,0.005066
1710325980000,0.004480,0.004488,0.004474,0.004488,9020731,1710326039999,40427.596560,320,5845538,1710330420000,0.005066
1710326040000,0.004489,0.004490,0.004473,0.004478,12329050,1710326099999,55264.868087,369,4195595,1710330420000,0.005066
1710326100000,0.004479,0.004488,0.004477,0.004486,9578644,1710326159999,42945.186595,255,5384577,1710330420000,0.005066
1710326160000,0.004486,0.004489,0.004478,0.004482,8830023,1710326219999,39593.227602,248,5045921,1710330420000,0.005066
1710326220000,0.004481,0.004481,0.004435,0.004438,64688765,1710326279999,288134.257750,1466,18173435,1710330420000,0.005066
1710326280000,0.004438,0.004445,0.004425,0.004429,36270948,1710326339999,160846.536610,892,12159749,1710330420000,0.005066
1710326340000,0.004429,0.004472,0.004429,0.004461,45373203,1710326399999,202245.371751,1000,26181243,1710330420000,0.005066
1710326400000,0.004460,0.004468,0.004457,0.004465,8259790,1710326459999,36861.207136,334,3664505,1710330420000,0.005066
1710326460000,0.004466,0.004468,0.004461,0.004466,6472889,1710326519999,28903.401890,218,2014328,1710330420000,0.005066
1710326520000,0.004466,0.004487,0.004464,0.004467,50209582,1710326579999,224610.765368,804,27366309,1710330420000,0.005066
1710326580000,0.004467,0.004488,0.004466,0.004478,30511422,1710326639999,136655.822308,606,20441785,1710330420000,0.005066
1710326640000,0.004478,0.004486,0.004473,0.004476,11910512,1710326699999,53340.940345,279,6281558,1710330420000,0.005066
1710326700000,0.004475,0.004516,0.004474,0.004509,20336744,1710326759999,91444.357337,703,14759330,1710330420000,0.005066
1710326760000,0.004511,0.004561,0.004508,0.004550,79433368,1710326819999,360227.545511,2213,42219094,1710330420000,0.005066
1710326820000,0.004549,0.004694,0.004548,0.004694,437057925,1710326879999,2023558.984480,8810,266634152,1710330420000,0.005066
1710326880000,0.004694,0.004750,0.004666,0.004745,282872616,1710326939999,1333780.909601,6347,160852447,1710330420000,0.005066
1710326940000,0.004745,0.004839,0.004733,0.004839,234483325,1710326999999,1120375.618888,6475,131070569,1710330420000,0.005066
1710327000000,0.004839,0.004852,0.004777,0.004815,360276851,1710327059999,1731287.904980,6680,162521059,1710330420000,0.005066
1710327060000,0.004815,0.004816,0.004707,0.004713,233897408,1710327119999,1112156.280858,5655,95478137,1710330420000,0.005066
1710327120000,0.004711,0.004711,0.004655,0.004671,235375516,1710327179999,1101786.520358,4515,129308549,1710330420000,0.005066
1710327180000,0.004670,0.004759,0.004668,0.004722,227483572,1710327239999,1074595.766341,4902,129746533,1710330420000,0.005066
1710327240000,0.004728,0.004784,0.004710,0.004777,170571319,1710327299999,811607.876974,3999,87101227,1710330420000,0.005066
1710327300000,0.004777,0.004798,0.004740,0.004748,175888837,1710327359999,839850.276995,4461,82883528,1710330420000,0.005066
1710327360000,0.004748,0.004760,0.004705,0.004731,138619311,1710327419999,656169.900030,3480,57510476,1710330420000,0.005066
1710327420000,0.004731,0.004732,0.004663,0.004672,110483343,1710327479999,518267.616862,2900,50925144,1710330420000,0.005066
1710327480000,0.004674,0.004727,0.004669,0.004717,104255279,1710327539999,489812.933511,2701,60712116,1710330420000,0.005066
1710327540000,0.004716,0.004725,0.004691,0.004725,71079552,1710327599999,334561.224415,1930,35547202,1710330420000,0.005066
