Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711315500000,14.615000,14.621000,14.577000,14.594000,11445,1711315559999,167050.678000,789,2812,1711320840000,15.107
1711315560000,14.594000,14.600000,14.582000,14.585000,4964,1711315619999,72444.571000,237,1819,1711320840000,15.107
1711315620000,14.587000,14.649000,14.582000,14.649000,7027,1711315679999,102727.684000,420,4758,1711320840000,15.107
1711315680000,14.648000,14.674000,14.647000,14.668000,5309,1711315739999,77845.308000,344,4060,1711320840000,15.107
1711315740000,14.667000,14.668000,14.634000,14.667000,4945,1711315799999,72467.840000,253,1922,1711320840000,15.107
1711315800000,14.665000,14.671000,14.662000,14.667000,3720,1711315859999,54560.073000,214,2182,1711320840000,15.107
1711315860000,14.669000,14.682000,14.656000,14.667000,5412,1711315919999,79391.222000,256,2377,1711320840000,15.107
1711315920000,14.667000,14.676000,14.659000,14.676000,2993,1711315979999,43895.669000,191,1271,1711320840000,15.107
1711315980000,14.675000,14.681000,14.672000,14.678000,2163,1711316039999,31743.143000,157,1203,1711320840000,15.107
1711316040000,14.676000,14.680000,14.661000,14.662000,3712,1711316099999,54461.053000,200,1070,1711320840000,15.107
1711316100000,14.662000,14.689000,14.631000,14.689000,7144,1711316159999,104662.173000,378,3973,1711320840000,15.107
1711316160000,14.689000,14.690000,14.679000,14.685000,3889,1711316219999,57112.182000,225,1787,1711320840000,15.107
1711316220000,14.685000,14.694000,14.670000,14.672000,6440,1711316279999,94586.338000,250,1858,1711320840000,15.107
1711316280000,14.669000,14.669000,14.650000,14.650000,3203,1711316339999,46956.880000,186,1724,1711320840000,15.107
1711316340000,14.649000,14.653000,14.634000,14.643000,5800,1711316399999,84913.714000,229,1250,1711320840000,15.107
1711316400000,14.643000,14.670000,14.643000,14.670000,2748,1711316459999,40281.289000,208,2287,1711320840000,15.107
1711316460000,14.669000,14.670000,14.669000,14.669000,594,1711316519999,8713.681000,68,295,1711320840000,15.107
1711316520000,14.670000,14.670000,14.653000,14.653000,2912,1711316579999,42697.905000,180,495,1711320840000,15.107
1711316580000,14.653000,14.653000,14.643000,14.644000,440,1711316639999,6445.070000,77,109,1711320840000,15.107
1711316640000,14.644000,14.644000,14.600000,14.603000,3175,1711316699999,46405.761000,219,383,1711320840000,15.107
1711316700000,14.602000,14.602000,14.590000,14.593000,2308,1711316759999,33686.962000,141,893,1711320840000,15.107
