Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711578660000,0.3484,0.3485,0.3483,0.3484,15535,1711578719999,5412.3589,43,9227,1711584000000,0.3567
1711578720000,0.3484,0.3484,0.3481,0.3483,27532,1711578779999,9588.5233,73,15487,1711584000000,0.3567
1711578780000,0.3482,0.3485,0.3481,0.3485,13413,1711578839999,4671.3713,49,8031,1711584000000,0.3567
1711578840000,0.3484,0.3486,0.3484,0.3486,5305,1711578899999,1849.1989,19,1353,1711584000000,0.3567
1711578900000,0.3486,0.3490,0.3486,0.3489,23223,1711578959999,8101.2148,72,15297,1711584000000,0.3567
1711578960000,0.3488,0.3489,0.3487,0.3488,19272,1711579019999,6722.7637,60,2346,1711584000000,0.3567
1711579020000,0.3488,0.3491,0.3488,0.3488,42897,1711579079999,14965.4432,89,21800,1711584000000,0.3567
1711579080000,0.3488,0.3488,0.3488,0.3488,6364,1711579139999,2219.7632,11,0,1711584000000,0.3567
1711579140000,0.3487,0.3489,0.3487,0.3488,34733,1711579199999,12116.4326,88,24159,1711584000000,0.3567
1711579200000,0.3488,0.3488,0.3485,0.3486,29193,1711579259999,10179.0998,69,9400,1711584000000,0.3567
1711579260000,0.3487,0.3491,0.3486,0.3486,23018,1711579319999,8028.9227,104,7432,1711584000000,0.3567
1711579320000,0.3487,0.3487,0.3485,0.3485,29574,1711579379999,10310.4115,43,4346,1711584000000,0.3567
1711579380000,0.3486,0.3488,0.3486,0.3488,4810,1711579439999,1677.4582,26,2256,1711584000000,0.3567
1711579440000,0.3488,0.3488,0.3485,0.3486,21190,1711579499999,7388.8451,68,2997,1711584000000,0.3567
1711579500000,0.3486,0.3486,0.3483,0.3485,28720,1711579559999,10006.6499,74,13483,1711584000000,0.3567
1711579560000,0.3485,0.3486,0.3484,0.3484,7635,1711579619999,2660.4769,31,2557,1711584000000,0.3567
1711579620000,0.3483,0.3486,0.3483,0.3486,5181,1711579679999,1805.3645,26,4932,1711584000000,0.3567
1711579680000,0.3485,0.3485,0.3484,0.3485,5393,1711579739999,1879.4516,22,1295,1711584000000,0.3567
1711579740000,0.3486,0.3488,0.3486,0.3487,21419,1711579799999,7468.3038,51,17844,1711584000000,0.3567
1711579800000,0.3486,0.3486,0.3482,0.3483,10600,1711579859999,3692.9865,37,3540,1711584000000,0.3567
1711579860000,0.3483,0.3484,0.3482,0.3482,17961,1711579919999,6255.9241,52,5171,1711584000000,0.3567
1711579920000,0.3483,0.3486,0.3483,0.3485,15710,1711579979999,5474.2048,39,9356,1711584000000,0.3567
1711579980000,0.3485,0.3486,0.3484,0.3486,8687,1711580039999,3027.6534,20,4255,1711584000000,0.3567
1711580040000,0.3485,0.3486,0.3483,0.3483,66380,1711580099999,23128.5592,151,33848,1711584000000,0.3567
1711580100000,0.3483,0.3485,0.3483,0.3484,11650,1711580159999,4059.3307,39,2738,1711584000000,0.3567
1711580160000,0.3484,0.3485,0.3484,0.3485,11105,1711580219999,3869.6042,33,2359,1711584000000,0.3567
