Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710713400000,1.7314000,1.7325000,1.7255000,1.7270000,131704,1710713459999,227808.3859000,995,53313,1710718740000,1.7299
1710713460000,1.7270000,1.7312000,1.7268000,1.7295000,92834,1710713519999,160501.3793000,765,49391,1710718740000,1.7299
1710713520000,1.7297000,1.7306000,1.7270000,1.7271000,55800,1710713579999,96466.9526000,604,27221,1710718740000,1.7299
1710713580000,1.7271000,1.7276000,1.7261000,1.7268000,24034,1710713639999,41503.2855000,339,14043,1710718740000,1.7299
1710713640000,1.7269000,1.7275000,1.7255000,1.7267000,28041,1710713699999,48419.2485000,366,15363,1710718740000,1.7299
1710713700000,1.7267000,1.7304000,1.7267000,1.7289000,63314,1710713759999,109426.6934000,585,43135,1710718740000,1.7299
1710713760000,1.7290000,1.7300000,1.7276000,1.7293000,36682,1710713819999,63415.7989000,404,16204,1710718740000,1.7299
1710713820000,1.7292000,1.7322000,1.7292000,1.7317000,41759,1710713879999,72292.8160000,321,30656,1710718740000,1.7299
1710713880000,1.7318000,1.7349000,1.7295000,1.7306000,63300,1710713939999,109666.1667000,491,32306,1710718740000,1.7299
1710713940000,1.7307000,1.7322000,1.7296000,1.7297000,24072,1710713999999,41669.9821000,420,10824,1710718740000,1.7299
1710714000000,1.7297000,1.7304000,1.7268000,1.7282000,33996,1710714059999,58760.4036000,314,15546,1710718740000,1.7299
1710714060000,1.7282000,1.7290000,1.7269000,1.7279000,34697,1710714119999,59958.1511000,368,16800,1710718740000,1.7299
1710714120000,1.7279000,1.7303000,1.7271000,1.7292000,29113,1710714179999,50327.9767000,327,19631,1710718740000,1.7299
1710714180000,1.7293000,1.7312000,1.7293000,1.7301000,9660,1710714239999,16717.3753000,202,7353,1710718740000,1.7299
1710714240000,1.7301000,1.7307000,1.7295000,1.7304000,13194,1710714299999,22828.0172000,226,7300,1710718740000,1.7299
1710714300000,1.7305000,1.7316000,1.7293000,1.7299000,26550,1710714359999,45941.8350000,394,18071,1710718740000,1.7299
1710714360000,1.7299000,1.7313000,1.7284000,1.7290000,27122,1710714419999,46925.1639000,215,14766,1710718740000,1.7299
1710714420000,1.7291000,1.7294000,1.7275000,1.7282000,15663,1710714479999,27075.6558000,261,8157,1710718740000,1.7299
1710714480000,1.7282000,1.7290000,1.7274000,1.7284000,13041,1710714539999,22536.7919000,213,6907,1710718740000,1.7299
1710714540000,1.7284000,1.7289000,1.7272000,1.7273000,9662,1710714599999,16694.7071000,196,2093,1710718740000,1.7299
1710714600000,1.7275000,1.7287000,1.7266000,1.7266000,29117,1710714659999,50305.3201000,273,19826,1710718740000,1.7299
1710714660000,1.7268000,1.7289000,1.7266000,1.7288000,31361,1710714719999,54176.2313000,357,19357,1710718740000,1.7299
1710714720000,1.7288000,1.7300000,1.7276000,1.7299000,22382,1710714779999,38692.3446000,269,13907,1710718740000,1.7299
1710714780000,1.7298000,1.7298000,1.7284000,1.7294000,19147,1710714839999,33108.3331000,232,12163,1710718740000,1.7299
1710714840000,1.7293000,1.7297000,1.7280000,1.7283000,18857,1710714899999,32603.5625000,334,10318,1710718740000,1.7299
1710714900000,1.7284000,1.7290000,1.7269000,1.7281000,37888,1710714959999,65470.9830000,434,17832,1710718740000,1.7299
1710714960000,1.7282000,1.7310000,1.7279000,1.7310000,31348,1710715019999,54218.8528000,355,15875,1710718740000,1.7299
1710715020000,1.7308000,1.7330000,1.7302000,1.7325000,23460,1710715079999,40628.0825000,248,16091,1710718740000,1.7299
1710715080000,1.7327000,1.7330000,1.7306000,1.7312000,29037,1710715139999,50283.4287000,284,17848,1710718740000,1.7299
1710715140000,1.7313000,1.7342000,1.7312000,1.7341000,23885,1710715199999,41380.8681000,250,20640,1710718740000,1.7299
1710715200000,1.7340000,1.7341000,1.7307000,1.7307000,25607,1710715259999,44364.3839000,301,8427,1710718740000,1.7299
1710715260000,1.7308000,1.7309000,1.7272000,1.7278000,44125,1710715319999,76267.3119000,361,18262,1710718740000,1.7299
1710715320000,1.7278000,1.7278000,1.7250000,1.7258000,31762,1710715379999,54832.9599000,385,13194,1710718740000,1.7299
1710715380000,1.7260000,1.7260000,1.7202000,1.7224000,82954,1710715439999,142908.2491000,657,12370,1710718740000,1.7299
1710715440000,1.7225000,1.7227000,1.7201000,1.7206000,42455,1710715499999,73061.8947000,379,19151,1710718740000,1.7299
1710715500000,1.7207000,1.7207000,1.7160000,1.7182000,42537,1710715559999,73068.9893000,523,10633,1710718740000,1.7299
1710715560000,1.7183000,1.7188000,1.7161000,1.7172000,48596,1710715619999,83465.1960000,426,26870,1710718740000,1.7299
