Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711031460000,2.9236,2.9275,2.9216,2.9275,14083,1711031519999,41184.0883,225,9511,1711036800000,2.9208
1711031520000,2.9266,2.9298,2.9228,2.9235,9237,1711031579999,27020.3471,194,4107,1711036800000,2.9208
1711031580000,2.9233,2.9239,2.9210,2.9210,8899,1711031639999,26008.5608,191,4096,1711036800000,2.9208
1711031640000,2.9210,2.9225,2.9173,2.9176,14802,1711031699999,43219.9596,268,5870,1711036800000,2.9208
1711031700000,2.9174,2.9176,2.9130,2.9142,36634,1711031759999,106791.0370,506,12135,1711036800000,2.9208
1711031760000,2.9140,2.9144,2.9094,2.9144,22009,1711031819999,64074.3413,381,6353,1711036800000,2.9208
1711031820000,2.9140,2.9177,2.9140,2.9173,5418,1711031879999,15801.0601,187,4062,1711036800000,2.9208
1711031880000,2.9172,2.9175,2.9115,2.9116,14001,1711031939999,40798.0989,174,2401,1711036800000,2.9208
1711031940000,2.9116,2.9158,2.9093,2.9146,6560,1711031999999,19101.5623,169,3177,1711036800000,2.9208
1711032000000,2.9145,2.9160,2.9105,2.9105,5392,1711032059999,15711.2270,140,3027,1711036800000,2.9208
1711032060000,2.9107,2.9128,2.9083,2.9117,6146,1711032119999,17887.3559,181,3340,1711036800000,2.9208
1711032120000,2.9120,2.9126,2.9090,2.9121,3601,1711032179999,10482.6349,131,2505,1711036800000,2.9208
1711032180000,2.9122,2.9148,2.9119,2.9132,4334,1711032239999,12625.3401,116,3179,1711036800000,2.9208
1711032240000,2.9136,2.9145,2.9121,2.9129,3955,1711032299999,11522.8895,98,1367,1711036800000,2.9208
1711032300000,2.9124,2.9136,2.9059,2.9059,7338,1711032359999,21354.1228,160,2950,1711036800000,2.9208
1711032360000,2.9053,2.9054,2.9031,2.9050,14482,1711032419999,42062.9779,253,7761,1711036800000,2.9208
1711032420000,2.9052,2.9061,2.9016,2.9017,5241,1711032479999,15218.7371,124,1356,1711036800000,2.9208
1711032480000,2.9015,2.9057,2.9007,2.9052,6066,1711032539999,17609.3773,148,3992,1711036800000,2.9208
1711032540000,2.9050,2.9053,2.9002,2.9003,7715,1711032599999,22396.7420,153,3508,1711036800000,2.9208
1711032600000,2.9006,2.9021,2.8989,2.9008,9107,1711032659999,26414.9179,183,4608,1711036800000,2.9208
1711032660000,2.9010,2.9022,2.8983,2.9022,10900,1711032719999,31603.3431,245,3162,1711036800000,2.9208
1711032720000,2.9022,2.9038,2.9008,2.9034,4022,1711032779999,11674.4491,117,2714,1711036800000,2.9208
1711032780000,2.9034,2.9037,2.9003,2.9033,6702,1711032839999,19449.3931,81,3655,1711036800000,2.9208
1711032840000,2.9030,2.9076,2.9029,2.9071,6385,1711032899999,18549.7779,78,3874,1711036800000,2.9208
1711032900000,2.9072,2.9129,2.9072,2.9093,6288,1711032959999,18297.1208,157,4356,1711036800000,2.9208
1711032960000,2.9090,2.9090,2.9031,2.9042,4643,1711033019999,13488.8477,116,1445,1711036800000,2.9208
1711033020000,2.9042,2.9107,2.9042,2.9104,2706,1711033079999,7868.0911,79,2471,1711036800000,2.9208
1711033080000,2.9108,2.9108,2.9056,2.9085,3587,1711033139999,10427.9966,107,403,1711036800000,2.9208
1711033140000,2.9088,2.9111,2.9082,2.9082,5047,1711033199999,14686.1553,60,1407,1711036800000,2.9208
1711033200000,2.9079,2.9148,2.9073,2.9128,7933,1711033259999,23099.7875,218,6852,1711036800000,2.9208
1711033260000,2.9127,2.9140,2.9073,2.9105,7592,1711033319999,22097.4401,179,2944,1711036800000,2.9208
1711033320000,2.9106,2.9112,2.9035,2.9042,10345,1711033379999,30055.9592,241,2771,1711036800000,2.9208
1711033380000,2.9040,2.9042,2.8996,2.9018,9650,1711033439999,27999.7398,257,5706,1711036800000,2.9208
1711033440000,2.9017,2.9022,2.8997,2.9022,12860,1711033499999,37304.3619,211,9188,1711036800000,2.9208
1711033500000,2.9021,2.9039,2.8952,2.8953,13482,1711033559999,39110.2696,277,4487,1711036800000,2.9208
1711033560000,2.8954,2.9059,2.8900,2.9059,27356,1711033619999,79180.0427,508,15556,1711036800000,2.9208
1711033620000,2.9064,2.9082,2.9030,2.9050,6472,1711033679999,18805.4359,207,3402,1711036800000,2.9208
1711033680000,2.9050,2.9050,2.8975,2.8984,11797,1711033739999,34214.8036,333,3567,1711036800000,2.9208
1711033740000,2.8992,2.9034,2.8956,2.9033,25742,1711033799999,74615.9020,323,14271,1711036800000,2.9208
1711033800000,2.9035,2.9062,2.8956,2.8967,12701,1711033859999,36846.5216,313,5141,1711036800000,2.9208
1711033860000,2.8965,2.8966,2.8874,2.8903,10441,1711033919999,30182.7173,273,4597,1711036800000,2.9208
1711033920000,2.8899,2.8905,2.8837,2.8852,25389,1711033979999,73292.8202,789,4844,1711036800000,2.9208
1711033980000,2.8852,2.8919,2.8807,2.8892,34040,1711034039999,98213.6739,677,15885,1711036800000,2.9208
1711034040000,2.8896,2.8966,2.8834,2.8917,25200,1711034099999,72772.9371,343,5563,1711036800000,2.9208
1711034100000,2.8916,2.8944,2.8846,2.8913,15487,1711034159999,44765.0548,381,9245,1711036800000,2.9208
1711034160000,2.8916,2.8974,2.8877,2.8956,13153,1711034219999,38035.3481,274,8098,1711036800000,2.9208
1711034220000,2.8960,2.9014,2.8951,2.8951,5679,1711034279999,16458.1689,217,2339,1711036800000,2.9208
1711034280000,2.8955,2.9021,2.8935,2.8985,14715,1711034339999,42628.0288,318,7270,1711036800000,2.9208
1711034340000,2.8985,2.9052,2.8983,2.9034,15520,1711034399999,45041.4633,321,8652,1711036800000,2.9208
1711034400000,2.9032,2.9052,2.9002,2.9033,9159,1711034459999,26585.6344,215,6465,1711036800000,2.9208
1711034460000,2.9031,2.9091,2.9025,2.9082,6129,1711034519999,17814.0859,187,5232,1711036800000,2.9208
1711034520000,2.9085,2.9102,2.8990,2.9003,12517,1711034579999,36385.6376,212,6850,1711036800000,2.9208
1711034580000,2.9002,2.9014,2.8949,2.8974,6212,1711034639999,18002.5012,160,1070,1711036800000,2.9208
1711034640000,2.8979,2.9060,2.8977,2.9048,5283,1711034699999,15336.6101,162,3758,1711036800000,2.9208
1711034700000,2.9056,2.9078,2.9015,2.9015,9546,1711034759999,27736.2361,169,4224,1711036800000,2.9208
1711034760000,2.9022,2.9057,2.8982,2.9040,18542,1711034819999,53803.7350,301,12270,1711036800000,2.9208
1711034820000,2.9044,2.9080,2.9023,2.9034,12123,1711034879999,35232.8675,182,4431,1711036800000,2.9208
