Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710921420000,37.128000,37.154000,37.083000,37.089000,2877.8,1710921479999,106812.8330000,709,1337.4,1710926820000,36.931
1710921480000,37.092000,37.133000,37.039000,37.127000,3467.7,1710921539999,128578.1353000,628,1024.4,1710926820000,36.931
1710921540000,37.128000,37.167000,37.075000,37.145000,2422.9,1710921599999,89959.4291000,571,1487.3,1710926820000,36.931
1710921600000,37.141000,37.151000,37.027000,37.057000,2799.4,1710921659999,103828.5280000,829,1248.9,1710926820000,36.931
1710921660000,37.055000,37.056000,36.996000,37.009000,2873.0,1710921719999,106365.0245000,624,987.4,1710926820000,36.931
1710921720000,37.009000,37.019000,36.952000,37.014000,3828.6,1710921779999,141598.4956000,842,1708.6,1710926820000,36.931
1710921780000,37.017000,37.111000,36.939000,36.940000,4478.4,1710921839999,165871.3137000,1026,2219.5,1710926820000,36.931
1710921840000,36.941000,36.943000,36.846000,36.906000,3587.0,1710921899999,132333.2826000,808,1072.1,1710926820000,36.931
1710921900000,36.906000,36.911000,36.830000,36.867000,3752.5,1710921959999,138377.4065000,793,953.3,1710926820000,36.931
1710921960000,36.867000,36.931000,36.840000,36.896000,2381.2,1710922019999,87833.0421000,480,971.2,1710926820000,36.931
1710922020000,36.900000,37.032000,36.900000,37.023000,2308.5,1710922079999,85321.1706000,571,1411.2,1710926820000,36.931
1710922080000,37.024000,37.056000,37.018000,37.040000,2201.3,1710922139999,81522.8593000,455,909.1,1710926820000,36.931
1710922140000,37.040000,37.072000,36.999000,37.026000,2749.7,1710922199999,101848.5020000,561,1334.0,1710926820000,36.931
1710922200000,37.025000,37.078000,36.997000,37.065000,3866.4,1710922259999,143195.6417000,658,2673.3,1710926820000,36.931
1710922260000,37.067000,37.253000,37.067000,37.239000,3540.0,1710922319999,131535.7421000,781,2456.8,1710926820000,36.931
1710922320000,37.235000,37.238000,37.127000,37.139000,2858.1,1710922379999,106215.6184000,605,1248.9,1710926820000,36.931
1710922380000,37.139000,37.139000,37.000000,37.009000,3689.8,1710922439999,136804.0863000,689,890.7,1710926820000,36.931
1710922440000,37.006000,37.100000,36.961000,37.082000,2580.6,1710922499999,95502.5728000,457,1698.1,1710926820000,36.931
1710922500000,37.081000,37.094000,36.938000,36.953000,2968.8,1710922559999,109866.8361000,546,769.1,1710926820000,36.931
1710922560000,36.950000,36.954000,36.853000,36.903000,6854.8,1710922619999,252968.2326000,1132,2689.5,1710926820000,36.931
1710922620000,36.904000,37.031000,36.888000,36.966000,2083.0,1710922679999,76992.8332000,582,1112.6,1710926820000,36.931
1710922680000,36.957000,36.959000,36.892000,36.936000,3989.9,1710922739999,147314.3703000,626,2366.9,1710926820000,36.931
1710922740000,36.937000,36.978000,36.906000,36.948000,1779.4,1710922799999,65745.7422000,406,465.5,1710926820000,36.931
1710922800000,36.947000,36.961000,36.900000,36.900000,3229.5,1710922859999,119278.6263000,491,1970.0,1710926820000,36.931
1710922860000,36.901000,36.932000,36.823000,36.854000,4759.4,1710922919999,175484.5811000,1205,1704.7,1710926820000,36.931
1710922920000,36.859000,36.960000,36.859000,36.944000,2697.5,1710922979999,99575.6009000,482,1426.7,1710926820000,36.931
1710922980000,36.942000,36.953000,36.879000,36.910000,1931.4,1710923039999,71309.0034000,497,994.6,1710926820000,36.931
1710923040000,36.910000,36.924000,36.837000,36.887000,1228.6,1710923099999,45299.3377000,562,642.6,1710926820000,36.931
1710923100000,36.887000,36.944000,36.853000,36.912000,2749.7,1710923159999,101450.4514000,441,1282.3,1710926820000,36.931
1710923160000,36.911000,36.957000,36.895000,36.899000,1638.6,1710923219999,60506.0574000,321,890.5,1710926820000,36.931
1710923220000,36.900000,36.992000,36.898000,36.965000,1920.3,1710923279999,70935.2465000,401,1165.4,1710926820000,36.931
1710923280000,36.962000,37.000000,36.936000,36.969000,4135.0,1710923339999,152945.1084000,492,2153.2,1710926820000,36.931
1710923340000,36.970000,36.982000,36.936000,36.950000,1493.9,1710923399999,55216.7473000,352,818.3,1710926820000,36.931
1710923400000,36.950000,36.992000,36.903000,36.921000,2523.3,1710923459999,93224.9484000,497,1454.2,1710926820000,36.931
1710923460000,36.914000,36.984000,36.886000,36.978000,4523.7,1710923519999,167082.0861000,636,1932.2,1710926820000,36.931
1710923520000,36.978000,36.978000,36.887000,36.964000,3620.4,1710923579999,133690.9616000,545,1185.4,1710926820000,36.931
1710923580000,36.968000,37.002000,36.932000,36.986000,1919.4,1710923639999,70954.2658000,378,1191.5,1710926820000,36.931
