Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710339060000,0.013920,0.013976,0.013920,0.013959,2708919,1710339119999,37817.817280,327,2351309,1710344400000,0.014154
1710339120000,0.013964,0.013964,0.013949,0.013955,634655,1710339179999,8857.065662,160,275635,1710344400000,0.014154
1710339180000,0.013955,0.013958,0.013927,0.013933,1803075,1710339239999,25148.526912,211,258796,1710344400000,0.014154
1710339240000,0.013931,0.013941,0.013918,0.013929,910425,1710339299999,12681.915426,137,438028,1710344400000,0.014154
1710339300000,0.013928,0.013964,0.013917,0.013950,2666198,1710339359999,37177.182036,274,2126509,1710344400000,0.014154
1710339360000,0.013950,0.013969,0.013950,0.013960,912458,1710339419999,12739.927246,149,539888,1710344400000,0.014154
1710339420000,0.013962,0.013965,0.013946,0.013946,1455614,1710339479999,20312.412984,183,142646,1710344400000,0.014154
1710339480000,0.013947,0.013947,0.013921,0.013921,1547211,1710339539999,21555.300216,125,365747,1710344400000,0.014154
1710339540000,0.013917,0.013936,0.013902,0.013934,1282835,1710339599999,17855.050022,287,969719,1710344400000,0.014154
1710339600000,0.013936,0.013945,0.013928,0.013941,1705534,1710339659999,23772.303644,170,883675,1710344400000,0.014154
1710339660000,0.013942,0.013945,0.013927,0.013930,1244556,1710339719999,17345.632088,102,721503,1710344400000,0.014154
1710339720000,0.013927,0.013927,0.013878,0.013895,2871185,1710339779999,39907.311871,305,962693,1710344400000,0.014154
1710339780000,0.013894,0.013910,0.013878,0.013900,1587138,1710339839999,22054.694747,248,989251,1710344400000,0.014154
1710339840000,0.013902,0.013922,0.013901,0.013922,333667,1710339899999,4641.506091,73,213645,1710344400000,0.014154
1710339900000,0.013923,0.013926,0.013891,0.013895,1242234,1710339959999,17273.970759,185,385184,1710344400000,0.014154
1710339960000,0.013896,0.013918,0.013860,0.013878,2920111,1710340019999,40542.813702,423,1752818,1710344400000,0.014154
