Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710502320000,0.3411,0.3425,0.3410,0.3424,356311.5,1710502379999,121757.31446,559,225220.5,1710507720000,0.3469
1710502380000,0.3424,0.3425,0.3419,0.3420,74153.1,1710502439999,25378.42590,178,22842.9,1710507720000,0.3469
1710502440000,0.3419,0.3438,0.3416,0.3438,169251.6,1710502499999,57967.92452,367,116853.9,1710507720000,0.3469
1710502500000,0.3438,0.3451,0.3437,0.3445,531731.4,1710502559999,183200.44948,716,330935.2,1710507720000,0.3469
1710502560000,0.3446,0.3448,0.3436,0.3448,207008.6,1710502619999,71284.24692,352,124180.5,1710507720000,0.3469
1710502620000,0.3448,0.3460,0.3446,0.3457,218691.0,1710502679999,75532.03397,329,122788.6,1710507720000,0.3469
1710502680000,0.3457,0.3473,0.3457,0.3471,264955.2,1710502739999,91812.66713,483,154798.5,1710507720000,0.3469
1710502740000,0.3470,0.3470,0.3461,0.3469,111313.0,1710502799999,38587.76940,309,64543.9,1710507720000,0.3469
1710502800000,0.3470,0.3476,0.3466,0.3472,132476.7,1710502859999,46004.26009,229,98872.4,1710507720000,0.3469
1710502860000,0.3472,0.3472,0.3456,0.3462,134793.4,1710502919999,46658.60765,227,39630.0,1710507720000,0.3469
1710502920000,0.3462,0.3464,0.3456,0.3464,104695.5,1710502979999,36226.75861,193,44539.7,1710507720000,0.3469
1710502980000,0.3464,0.3470,0.3462,0.3463,26031.1,1710503039999,9020.18219,78,9515.2,1710507720000,0.3469
1710503040000,0.3461,0.3464,0.3452,0.3455,67522.0,1710503099999,23341.89781,128,32104.3,1710507720000,0.3469
1710503100000,0.3455,0.3464,0.3453,0.3464,82266.6,1710503159999,28445.86910,166,44137.2,1710507720000,0.3469
1710503160000,0.3464,0.3473,0.3464,0.3470,117293.5,1710503219999,40679.66691,267,66680.4,1710507720000,0.3469
1710503220000,0.3470,0.3473,0.3463,0.3469,84005.6,1710503279999,29134.68269,190,37072.7,1710507720000,0.3469
1710503280000,0.3469,0.3477,0.3468,0.3470,69117.0,1710503339999,24006.43343,151,38800.6,1710507720000,0.3469
1710503340000,0.3469,0.3470,0.3459,0.3462,71707.5,1710503399999,24828.80599,173,27109.7,1710507720000,0.3469
1710503400000,0.3461,0.3463,0.3457,0.3463,63531.3,1710503459999,21969.30946,122,30488.8,1710507720000,0.3469
1710503460000,0.3461,0.3465,0.3461,0.3465,33997.7,1710503519999,11775.33533,103,19827.8,1710507720000,0.3469
1710503520000,0.3465,0.3470,0.3465,0.3469,79530.0,1710503579999,27579.65426,123,58295.2,1710507720000,0.3469
1710503580000,0.3469,0.3476,0.3463,0.3467,54769.5,1710503639999,19008.74030,192,35490.6,1710507720000,0.3469
1710503640000,0.3467,0.3471,0.3466,0.3469,41132.2,1710503699999,14264.76327,130,34496.4,1710507720000,0.3469
1710503700000,0.3468,0.3474,0.3467,0.3473,116153.1,1710503759999,40327.06640,250,108163.5,1710507720000,0.3469
1710503760000,0.3472,0.3483,0.3468,0.3482,133583.6,1710503819999,46420.48870,246,109200.5,1710507720000,0.3469
1710503820000,0.3482,0.3489,0.3479,0.3486,132322.7,1710503879999,46110.63446,295,105633.1,1710507720000,0.3469
1710503880000,0.3486,0.3487,0.3472,0.3473,107261.4,1710503939999,37318.20761,203,41635.3,1710507720000,0.3469
1710503940000,0.3473,0.3475,0.3466,0.3471,77818.3,1710503999999,27004.10763,201,23410.5,1710507720000,0.3469
1710504000000,0.3472,0.3475,0.3454,0.3463,364026.8,1710504059999,126018.48079,514,90145.3,1710507720000,0.3469
1710504060000,0.3464,0.3472,0.3462,0.3467,107859.4,1710504119999,37417.08513,253,86965.4,1710507720000,0.3469
1710504120000,0.3466,0.3491,0.3465,0.3488,199901.2,1710504179999,69633.13683,321,167881.8,1710507720000,0.3469
1710504180000,0.3487,0.3490,0.3481,0.3483,116833.2,1710504239999,40715.19754,287,56804.5,1710507720000,0.3469
1710504240000,0.3484,0.3486,0.3475,0.3475,81736.8,1710504299999,28452.60577,142,19562.4,1710507720000,0.3469
1710504300000,0.3475,0.3480,0.3464,0.3469,216549.0,1710504359999,75208.61954,281,91972.0,1710507720000,0.3469
1710504360000,0.3469,0.3471,0.3465,0.3469,108996.2,1710504419999,37803.51996,217,65343.0,1710507720000,0.3469
1710504420000,0.3469,0.3469,0.3458,0.3461,86493.6,1710504479999,29941.39962,161,49343.8,1710507720000,0.3469
1710504480000,0.3460,0.3460,0.3453,0.3457,90799.4,1710504539999,31383.46755,203,47284.3,1710507720000,0.3469
1710504540000,0.3457,0.3469,0.3457,0.3465,55151.0,1710504599999,19101.29210,150,40891.8,1710507720000,0.3469
1710504600000,0.3464,0.3469,0.3461,0.3465,84531.0,1710504659999,29286.68251,179,52673.7,1710507720000,0.3469
1710504660000,0.3464,0.3471,0.3461,0.3469,195855.2,1710504719999,67883.64616,344,116494.0,1710507720000,0.3469
1710504720000,0.3469,0.3477,0.3468,0.3472,135092.7,1710504779999,46918.10232,253,71364.7,1710507720000,0.3469
1710504780000,0.3471,0.3471,0.3451,0.3455,357381.7,1710504839999,123720.79801,426,65888.0,1710507720000,0.3469
