Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711009860000,0.020387,0.020539,0.020368,0.020488,11611242,1711009919999,237468.135473,1700,5865526,1711015200000,0.020974
1711009920000,0.020492,0.020577,0.020487,0.020548,6383645,1711009979999,131067.300519,1050,3815953,1711015200000,0.020974
1711009980000,0.020547,0.020571,0.020478,0.020481,6560812,1711010039999,134649.053321,1154,2617145,1711015200000,0.020974
1711010040000,0.020476,0.020621,0.020437,0.020611,8898507,1711010099999,182759.441124,1427,5164952,1711015200000,0.020974
1711010100000,0.020610,0.020701,0.020607,0.020658,8078107,1711010159999,166860.601993,1358,4673101,1711015200000,0.020974
1711010160000,0.020656,0.020689,0.020582,0.020613,11153791,1711010219999,230131.038702,1649,5138248,1711015200000,0.020974
1711010220000,0.020613,0.020695,0.020594,0.020676,5210987,1711010279999,107557.569006,858,3421691,1711015200000,0.020974
1711010280000,0.020676,0.020738,0.020659,0.020696,10159386,1711010339999,210277.123937,1866,4726665,1711015200000,0.020974
1711010340000,0.020695,0.020739,0.020651,0.020714,10399824,1711010399999,215226.248356,1548,5428991,1711015200000,0.020974
1711010400000,0.020715,0.020773,0.020620,0.020730,14554376,1711010459999,301374.077308,2191,8888044,1711015200000,0.020974
1711010460000,0.020730,0.020874,0.020710,0.020862,10129757,1711010519999,210841.445562,1596,5736462,1711015200000,0.020974
1711010520000,0.020864,0.021058,0.020843,0.021038,15857813,1711010579999,332242.403127,2436,10050460,1711015200000,0.020974
1711010580000,0.021036,0.021039,0.020819,0.020890,27248535,1711010639999,570646.390786,3986,10391725,1711015200000,0.020974
1711010640000,0.020889,0.020931,0.020753,0.020771,10281894,1711010699999,214389.296824,1688,4259573,1711015200000,0.020974
1711010700000,0.020770,0.020830,0.020697,0.020720,10924701,1711010759999,226754.014368,1674,3983792,1711015200000,0.020974
1711010760000,0.020720,0.021000,0.020673,0.020969,17829705,1711010819999,371639.976765,2662,10735570,1711015200000,0.020974
1711010820000,0.020971,0.021034,0.020726,0.020768,24720234,1711010879999,516397.039162,3037,10039010,1711015200000,0.020974
1711010880000,0.020768,0.020778,0.020693,0.020739,7425755,1711010939999,153994.791942,1624,2894874,1711015200000,0.020974
1711010940000,0.020733,0.020742,0.020582,0.020626,10174025,1711010999999,210044.866130,1654,3616181,1711015200000,0.020974
1711011000000,0.020625,0.020730,0.020619,0.020670,6478339,1711011059999,133910.541269,1277,3134383,1711015200000,0.020974
1711011060000,0.020673,0.020771,0.020647,0.020754,7351424,1711011119999,152193.371954,1212,3993627,1711015200000,0.020974
1711011120000,0.020759,0.020820,0.020696,0.020820,14155201,1711011179999,293837.291067,1619,7784768,1711015200000,0.020974
1711011180000,0.020822,0.020949,0.020822,0.020907,11527120,1711011239999,240813.267256,1880,7520258,1711015200000,0.020974
1711011240000,0.020906,0.020920,0.020799,0.020812,5905823,1711011299999,123144.119305,1160,2141566,1711015200000,0.020974
1711011300000,0.020813,0.020849,0.020754,0.020772,5761999,1711011359999,119815.584865,1110,2487982,1711015200000,0.020974
1711011360000,0.020774,0.020780,0.020718,0.020733,8142534,1711011419999,168954.564754,1160,2938139,1711015200000,0.020974
1711011420000,0.020733,0.020753,0.020645,0.020654,5559330,1711011479999,115004.406823,1027,1812605,1711015200000,0.020974
1711011480000,0.020655,0.020698,0.020606,0.020680,8525500,1711011539999,176042.993227,1183,4229022,1711015200000,0.020974
1711011540000,0.020682,0.020758,0.020664,0.020744,4648483,1711011599999,96312.676902,676,2888326,1711015200000,0.020974
1711011600000,0.020742,0.020745,0.020623,0.020633,7668454,1711011659999,158640.001846,1238,2871342,1711015200000,0.020974
1711011660000,0.020634,0.020754,0.020633,0.020722,5639152,1711011719999,116759.397026,993,2559216,1711015200000,0.020974
1711011720000,0.020719,0.020740,0.020617,0.020619,7489519,1711011779999,154902.623288,964,2166391,1711015200000,0.020974
1711011780000,0.020623,0.020636,0.020527,0.020598,11325755,1711011839999,233018.337043,1582,4748268,1711015200000,0.020974
1711011840000,0.020599,0.020652,0.020495,0.020509,7177080,1711011899999,147643.307558,1190,2960431,1711015200000,0.020974
1711011900000,0.020509,0.020544,0.020442,0.020473,10201443,1711011959999,208980.926539,1193,2706057,1711015200000,0.020974
1711011960000,0.020473,0.020495,0.020431,0.020449,10431998,1711012019999,213528.349488,1138,4170853,1711015200000,0.020974
1711012020000,0.020451,0.020477,0.020443,0.020472,5288661,1711012079999,108194.941556,642,1841271,1711015200000,0.020974
1711012080000,0.020472,0.020511,0.020397,0.020406,14673756,1711012139999,300105.205735,1525,5132499,1711015200000,0.020974
1711012140000,0.020407,0.020612,0.020407,0.020600,8746195,1711012199999,179417.728187,1082,5318350,1711015200000,0.020974
1711012200000,0.020601,0.020686,0.020565,0.020677,11029234,1711012259999,227680.746965,1272,8354649,1711015200000,0.020974
1711012260000,0.020675,0.020747,0.020648,0.020732,9439849,1711012319999,195512.633442,1302,4146835,1711015200000,0.020974
1711012320000,0.020732,0.020758,0.020586,0.020645,10566960,1711012379999,218304.047059,1700,3574924,1711015200000,0.020974
1711012380000,0.020645,0.020670,0.020587,0.020596,5921014,1711012439999,122157.182214,838,2187048,1711015200000,0.020974
1711012440000,0.020590,0.020617,0.020510,0.020531,6745875,1711012499999,138716.874692,975,2349209,1711015200000,0.020974
1711012500000,0.020531,0.020547,0.020478,0.020512,4702208,1711012559999,96475.949966,641,1899987,1711015200000,0.020974
1711012560000,0.020512,0.020512,0.020350,0.020382,13213757,1711012619999,269699.808020,1407,4156766,1711015200000,0.020974
1711012620000,0.020382,0.020523,0.020382,0.020485,9948661,1711012679999,203813.612175,1328,6993919,1711015200000,0.020974
1711012680000,0.020486,0.020578,0.020483,0.020568,6253662,1711012739999,128389.051743,796,4365767,1711015200000,0.020974
1711012740000,0.020570,0.020656,0.020552,0.020642,6196796,1711012799999,127715.999735,862,3367200,1711015200000,0.020974
1711012800000,0.020642,0.020646,0.020593,0.020593,3494268,1711012859999,72059.754374,720,1374224,1711015200000,0.020974
1711012860000,0.020592,0.020597,0.020421,0.020451,10167241,1711012919999,208599.876145,1234,3975413,1711015200000,0.020974
1711012920000,0.020451,0.020477,0.020422,0.020445,5114379,1711012979999,104591.334661,721,2634610,1711015200000,0.020974
1711012980000,0.020446,0.020486,0.020431,0.020461,2918736,1711013039999,59697.937394,463,1286775,1711015200000,0.020974
1711013040000,0.020461,0.020490,0.020435,0.020480,2236254,1711013099999,45779.600359,386,1026046,1711015200000,0.020974
