Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710734340000,1.0789000,1.0815000,1.0755000,1.0807000,192710,1710734399999,207884.8136000,1326,109015,1710739740000,1.0985
1710734400000,1.0807000,1.0942000,1.0770000,1.0916000,679411,1710734459999,737980.9360000,4367,436651,1710739740000,1.0985
1710734460000,1.0916000,1.0936000,1.0779000,1.0804000,685544,1710734519999,744260.7994000,3925,421052,1710739740000,1.0985
1710734520000,1.0804000,1.0832000,1.0738000,1.0758000,332664,1710734579999,358499.9826000,2612,135155,1710739740000,1.0985
1710734580000,1.0754000,1.0834000,1.0737000,1.0780000,452080,1710734639999,487383.9181000,2896,206549,1710739740000,1.0985
1710734640000,1.0778000,1.0787000,1.0695000,1.0719000,300478,1710734699999,322439.4927000,1982,120325,1710739740000,1.0985
1710734700000,1.0718000,1.0747000,1.0667000,1.0716000,432072,1710734759999,462789.0729000,2768,178776,1710739740000,1.0985
1710734760000,1.0719000,1.0748000,1.0679000,1.0693000,299344,1710734819999,320619.6857000,1777,183020,1710739740000,1.0985
1710734820000,1.0699000,1.0730000,1.0672000,1.0694000,265953,1710734879999,284342.0409000,1887,130798,1710739740000,1.0985
1710734880000,1.0693000,1.0722000,1.0636000,1.0642000,257655,1710734939999,275189.8514000,1867,128554,1710739740000,1.0985
1710734940000,1.0642000,1.0700000,1.0635000,1.0636000,280756,1710734999999,299359.0116000,1848,116301,1710739740000,1.0985
1710735000000,1.0635000,1.0754000,1.0621000,1.0739000,522032,1710735059999,556571.8526000,2209,251969,1710739740000,1.0985
1710735060000,1.0739000,1.0739000,1.0618000,1.0629000,330641,1710735119999,352366.8318000,2298,187402,1710739740000,1.0985
1710735120000,1.0630000,1.0645000,1.0605000,1.0636000,282805,1710735179999,300502.0498000,1715,126174,1710739740000,1.0985
1710735180000,1.0634000,1.0724000,1.0631000,1.0713000,272809,1710735239999,291319.3422000,2052,178722,1710739740000,1.0985
1710735240000,1.0712000,1.0751000,1.0652000,1.0663000,293822,1710735299999,314595.6674000,1956,141075,1710739740000,1.0985
1710735300000,1.0662000,1.0798000,1.0614000,1.0782000,358846,1710735359999,383540.2615000,2450,196504,1710739740000,1.0985
1710735360000,1.0783000,1.0788000,1.0667000,1.0731000,351293,1710735419999,376205.3504000,2452,208973,1710739740000,1.0985
1710735420000,1.0733000,1.0741000,1.0641000,1.0663000,163098,1710735479999,174276.6191000,1571,70692,1710739740000,1.0985
1710735480000,1.0664000,1.0723000,1.0651000,1.0706000,174327,1710735539999,186127.9318000,1468,104921,1710739740000,1.0985
1710735540000,1.0705000,1.0730000,1.0661000,1.0730000,156230,1710735599999,167147.9183000,1331,101072,1710739740000,1.0985
1710735600000,1.0730000,1.0752000,1.0638000,1.0678000,271487,1710735659999,290252.5194000,1961,133000,1710739740000,1.0985
1710735660000,1.0680000,1.0693000,1.0641000,1.0648000,190660,1710735719999,203320.0815000,1576,105524,1710739740000,1.0985
1710735720000,1.0648000,1.0648000,1.0532000,1.0565000,589130,1710735779999,623763.8829000,3428,266561,1710739740000,1.0985
1710735780000,1.0564000,1.0576000,1.0527000,1.0570000,240123,1710735839999,253330.0747000,1816,109022,1710739740000,1.0985
1710735840000,1.0570000,1.0572000,1.0511000,1.0536000,222678,1710735899999,234789.9427000,1762,86319,1710739740000,1.0985
1710735900000,1.0538000,1.0610000,1.0468000,1.0592000,514192,1710735959999,541047.0515000,2783,276261,1710739740000,1.0985
1710735960000,1.0590000,1.0598000,1.0501000,1.0525000,357327,1710736019999,376922.7594000,2418,188462,1710739740000,1.0985
1710736020000,1.0523000,1.0555000,1.0472000,1.0473000,191417,1710736079999,201183.5064000,1451,78472,1710739740000,1.0985
1710736080000,1.0472000,1.0522000,1.0446000,1.0492000,440689,1710736139999,461712.1028000,2600,191625,1710739740000,1.0985
1710736140000,1.0490000,1.0571000,1.0481000,1.0551000,183714,1710736199999,193320.3343000,1345,118814,1710739740000,1.0985
1710736200000,1.0551000,1.0600000,1.0521000,1.0535000,330020,1710736259999,348538.2250000,1962,168626,1710739740000,1.0985
1710736260000,1.0535000,1.0540000,1.0468000,1.0492000,241466,1710736319999,253448.8328000,1524,143211,1710739740000,1.0985
1710736320000,1.0493000,1.0516000,1.0444000,1.0493000,186993,1710736379999,195992.2102000,1494,105624,1710739740000,1.0985
1710736380000,1.0493000,1.0510000,1.0453000,1.0492000,136515,1710736439999,143100.5461000,1126,69287,1710739740000,1.0985
1710736440000,1.0493000,1.0562000,1.0493000,1.0551000,160373,1710736499999,168947.4608000,1246,101803,1710739740000,1.0985
1710736500000,1.0552000,1.0686000,1.0517000,1.0663000,431614,1710736559999,458188.3899000,2865,249907,1710739740000,1.0985
1710736560000,1.0663000,1.0689000,1.0608000,1.0638000,374850,1710736619999,398869.5917000,2107,209514,1710739740000,1.0985
1710736620000,1.0639000,1.0753000,1.0615000,1.0725000,435872,1710736679999,465776.4394000,2458,288247,1710739740000,1.0985
1710736680000,1.0721000,1.0741000,1.0699000,1.0700000,269190,1710736739999,288589.9742000,1465,150246,1710739740000,1.0985
1710736740000,1.0700000,1.0723000,1.0508000,1.0510000,808201,1710736799999,857740.7389000,2914,304890,1710739740000,1.0985
1710736800000,1.0508000,1.0582000,1.0410000,1.0582000,859315,1710736859999,901856.6272000,5014,454572,1710739740000,1.0985
1710736860000,1.0582000,1.0584000,1.0521000,1.0576000,261515,1710736919999,275910.3927000,1883,138182,1710739740000,1.0985
1710736920000,1.0575000,1.0670000,1.0565000,1.0655000,256277,1710736979999,272000.1041000,1791,147501,1710739740000,1.0985
1710736980000,1.0656000,1.0657000,1.0512000,1.0552000,276702,1710737039999,292823.0541000,2206,94218,1710739740000,1.0985
1710737040000,1.0553000,1.0596000,1.0527000,1.0591000,157732,1710737099999,166512.4669000,1126,75007,1710739740000,1.0985
1710737100000,1.0592000,1.0686000,1.0576000,1.0645000,360595,1710737159999,383540.4817000,2420,233336,1710739740000,1.0985
1710737160000,1.0646000,1.0750000,1.0639000,1.0731000,337079,1710737219999,360691.8054000,2353,217159,1710739740000,1.0985
1710737220000,1.0731000,1.0771000,1.0707000,1.0743000,331996,1710737279999,356509.8244000,2229,179347,1710739740000,1.0985
1710737280000,1.0743000,1.0764000,1.0687000,1.0687000,239251,1710737339999,256826.4831000,1533,111540,1710739740000,1.0985
1710737340000,1.0687000,1.0764000,1.0672000,1.0713000,193686,1710737399999,207615.4659000,1312,98355,1710739740000,1.0985
1710737400000,1.0712000,1.0712000,1.0657000,1.0690000,149839,1710737459999,160025.1668000,1212,80302,1710739740000,1.0985
1710737460000,1.0690000,1.0695000,1.0636000,1.0695000,122867,1710737519999,130971.4281000,702,84079,1710739740000,1.0985
1710737520000,1.0696000,1.0697000,1.0643000,1.0653000,107338,1710737579999,114490.4277000,928,52756,1710739740000,1.0985
1710737580000,1.0655000,1.0725000,1.0629000,1.0725000,119805,1710737639999,127876.9709000,1104,69643,1710739740000,1.0985
1710737640000,1.0726000,1.0732000,1.0685000,1.0728000,99846,1710737699999,106939.4251000,764,54727,1710739740000,1.0985
1710737700000,1.0730000,1.0731000,1.0650000,1.0654000,202131,1710737759999,216038.3705000,1164,122175,1710739740000,1.0985
1710737760000,1.0654000,1.0680000,1.0609000,1.0638000,261146,1710737819999,277938.5421000,1650,122182,1710739740000,1.0985
1710737820000,1.0637000,1.0637000,1.0607000,1.0614000,78725,1710737879999,83628.2568000,649,34622,1710739740000,1.0985
1710737880000,1.0617000,1.0669000,1.0590000,1.0653000,144456,1710737939999,153578.4200000,938,87389,1710739740000,1.0985
1710737940000,1.0652000,1.0695000,1.0634000,1.0647000,129465,1710737999999,138097.5805000,1076,54777,1710739740000,1.0985
1710738000000,1.0646000,1.0726000,1.0623000,1.0693000,437498,1710738059999,466987.9685000,2315,270305,1710739740000,1.0985
1710738060000,1.0687000,1.0699000,1.0592000,1.0599000,222647,1710738119999,236620.8908000,1482,110272,1710739740000,1.0985
1710738120000,1.0598000,1.0625000,1.0591000,1.0614000,155022,1710738179999,164385.6191000,1019,70326,1710739740000,1.0985
1710738180000,1.0614000,1.0668000,1.0613000,1.0643000,105686,1710738239999,112441.2219000,1019,59852,1710739740000,1.0985
1710738240000,1.0643000,1.0703000,1.0639000,1.0680000,135614,1710738299999,144808.2685000,1286,68415,1710739740000,1.0985
1710738300000,1.0678000,1.0707000,1.0652000,1.0665000,145740,1710738359999,155493.1305000,934,82857,1710739740000,1.0985
1710738360000,1.0666000,1.0703000,1.0666000,1.0696000,95818,1710738419999,102343.6858000,786,40945,1710739740000,1.0985
1710738420000,1.0696000,1.0703000,1.0613000,1.0687000,137743,1710738479999,146651.8046000,1015,49398,1710739740000,1.0985
1710738480000,1.0688000,1.0695000,1.0637000,1.0651000,65788,1710738539999,70105.8919000,675,26423,1710739740000,1.0985
1710738540000,1.0649000,1.0764000,1.0645000,1.0725000,499904,1710738599999,535618.1875000,1856,325236,1710739740000,1.0985
1710738600000,1.0724000,1.0724000,1.0645000,1.0660000,189622,1710738659999,202439.9543000,1414,80712,1710739740000,1.0985
1710738660000,1.0660000,1.0664000,1.0536000,1.0550000,446001,1710738719999,472142.9290000,2722,186156,1710739740000,1.0985
1710738720000,1.0551000,1.0614000,1.0545000,1.0587000,224260,1710738779999,237168.0089000,1531,127004,1710739740000,1.0985
1710738780000,1.0588000,1.0596000,1.0481000,1.0551000,336758,1710738839999,354556.8687000,1971,134309,1710739740000,1.0985
1710738840000,1.0552000,1.0600000,1.0507000,1.0581000,184904,1710738899999,194963.1601000,1453,94740,1710739740000,1.0985
1710738900000,1.0581000,1.0608000,1.0510000,1.0555000,378504,1710738959999,399491.3172000,2027,147759,1710739740000,1.0985
1710738960000,1.0555000,1.0582000,1.0527000,1.0536000,99543,1710739019999,105072.2337000,899,35759,1710739740000,1.0985
1710739020000,1.0535000,1.0555000,1.0494000,1.0508000,138040,1710739079999,145245.0981000,1183,53989,1710739740000,1.0985
1710739080000,1.0509000,1.0545000,1.0500000,1.0527000,92492,1710739139999,97328.6049000,750,41428,1710739740000,1.0985
1710739140000,1.0527000,1.0567000,1.0484000,1.0556000,140423,1710739199999,147695.4146000,1133,48040,1710739740000,1.0985
1710739200000,1.0557000,1.0708000,1.0520000,1.0612000,886246,1710739259999,940214.6706000,3855,580981,1710739740000,1.0985
1710739260000,1.0610000,1.0694000,1.0604000,1.0676000,208162,1710739319999,221808.1596000,1416,115492,1710739740000,1.0985
1710739320000,1.0674000,1.0700000,1.0664000,1.0697000,82982,1710739379999,88604.5071000,730,33521,1710739740000,1.0985
1710739380000,1.0697000,1.0738000,1.0675000,1.0721000,218872,1710739439999,234428.0160000,1436,109590,1710739740000,1.0985
1710739440000,1.0724000,1.0752000,1.0703000,1.0710000,236552,1710739499999,253756.5203000,1845,120002,1710739740000,1.0985
1710739500000,1.0710000,1.0713000,1.0675000,1.0697000,109944,1710739559999,117612.5081000,867,35877,1710739740000,1.0985
1710739560000,1.0697000,1.0715000,1.0668000,1.0707000,71848,1710739619999,76830.0074000,787,42610,1710739740000,1.0985
1710739620000,1.0707000,1.0751000,1.0690000,1.0751000,109195,1710739679999,117008.7115000,654,84541,1710739740000,1.0985
1710739680000,1.0751000,1.0895000,1.0743000,1.0828000,705150,1710739739999,764626.5611000,3999,404068,1710739740000,1.0985
