Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711904880000,3.415300,3.426300,3.414600,3.420800,15852,1711904939999,54193.228600,445,11178,1711910280000,3.436
1711904940000,3.420100,3.428000,3.420100,3.423200,11619,1711904999999,39790.362300,343,4363,1711910280000,3.436
1711905000000,3.423100,3.423100,3.416600,3.421900,18585,1711905059999,63548.322400,514,7960,1711910280000,3.436
1711905060000,3.421700,3.429200,3.420900,3.426400,12842,1711905119999,43995.216200,332,6379,1711910280000,3.436
1711905120000,3.426500,3.430500,3.426500,3.430100,7055,1711905179999,24189.985900,214,4901,1711910280000,3.436
1711905180000,3.429800,3.429800,3.407900,3.412000,18921,1711905239999,64692.456200,586,6748,1711910280000,3.436
1711905240000,3.411400,3.413800,3.405200,3.413000,19424,1711905299999,66194.342300,548,7208,1711910280000,3.436
1711905300000,3.412800,3.419200,3.412100,3.417300,13036,1711905359999,44527.621200,466,4952,1711910280000,3.436
1711905360000,3.417100,3.423900,3.415200,3.420800,14176,1711905419999,48481.749900,395,8634,1711910280000,3.436
1711905420000,3.420600,3.422900,3.409900,3.413800,27801,1711905479999,94899.608100,548,9789,1711910280000,3.436
1711905480000,3.413700,3.425100,3.412500,3.418800,20803,1711905539999,71098.199800,647,13145,1711910280000,3.436
1711905540000,3.418600,3.420300,3.414500,3.418900,13795,1711905599999,47132.690300,400,8315,1711910280000,3.436
1711905600000,3.419500,3.424600,3.418700,3.424000,24522,1711905659999,83913.882500,574,13501,1711910280000,3.436
1711905660000,3.424000,3.434000,3.423300,3.432800,15692,1711905719999,53820.880100,465,7780,1711910280000,3.436
1711905720000,3.433000,3.441000,3.432300,3.438100,11221,1711905779999,38566.646900,454,6410,1711910280000,3.436
1711905780000,3.438100,3.439000,3.433200,3.438200,14679,1711905839999,50429.382400,459,5554,1711910280000,3.436
1711905840000,3.438400,3.443900,3.434500,3.436200,31353,1711905899999,107828.262300,612,7812,1711910280000,3.436
1711905900000,3.436500,3.446600,3.436500,3.442700,39736,1711905959999,136796.843800,1204,16034,1711910280000,3.436
1711905960000,3.442500,3.444200,3.430800,3.431900,16670,1711906019999,57260.153700,473,4559,1711910280000,3.436
1711906020000,3.432900,3.434400,3.430900,3.434400,9474,1711906079999,32516.947100,328,2044,1711910280000,3.436
1711906080000,3.434000,3.442000,3.433600,3.439400,5720,1711906139999,19668.250500,260,2858,1711910280000,3.436
1711906140000,3.439800,3.441400,3.437800,3.441400,2481,1711906199999,8533.441400,129,1677,1711910280000,3.436
1711906200000,3.441600,3.443100,3.433800,3.437000,8248,1711906259999,28359.725000,292,2792,1711910280000,3.436
