Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711323900000,1.2954000,1.2961000,1.2943000,1.2947000,95660,1711323959999,123901.0823000,619,45129,1711329240000,1.2751
1711323960000,1.2947000,1.2975000,1.2940000,1.2954000,72299,1711324019999,93717.3806000,392,30298,1711329240000,1.2751
1711324020000,1.2955000,1.2978000,1.2940000,1.2976000,76279,1711324079999,98853.6622000,448,34054,1711329240000,1.2751
1711324080000,1.2975000,1.2977000,1.2945000,1.2967000,169384,1711324139999,219474.2664000,796,45754,1711329240000,1.2751
1711324140000,1.2969000,1.2999000,1.2967000,1.2995000,114334,1711324199999,148470.3872000,551,53134,1711329240000,1.2751
1711324200000,1.2997000,1.3018000,1.2992000,1.2994000,199410,1711324259999,259382.2961000,753,122356,1711329240000,1.2751
1711324260000,1.2994000,1.2994000,1.2973000,1.2977000,70066,1711324319999,90965.2432000,441,36685,1711329240000,1.2751
1711324320000,1.2977000,1.2977000,1.2949000,1.2964000,87781,1711324379999,113753.5415000,517,26800,1711329240000,1.2751
1711324380000,1.2963000,1.2963000,1.2942000,1.2942000,53612,1711324439999,69432.5710000,360,19506,1711329240000,1.2751
1711324440000,1.2941000,1.2945000,1.2907000,1.2917000,161889,1711324499999,209235.6627000,759,32829,1711329240000,1.2751
1711324500000,1.2917000,1.2932000,1.2907000,1.2932000,90304,1711324559999,116644.4575000,557,40008,1711329240000,1.2751
1711324560000,1.2932000,1.2932000,1.2901000,1.2931000,156382,1711324619999,201981.2989000,756,58251,1711329240000,1.2751
1711324620000,1.2931000,1.2957000,1.2931000,1.2954000,81833,1711324679999,105924.0536000,482,45291,1711329240000,1.2751
1711324680000,1.2954000,1.2961000,1.2942000,1.2942000,47929,1711324739999,62069.4899000,311,23494,1711329240000,1.2751
1711324740000,1.2943000,1.2956000,1.2939000,1.2951000,43197,1711324799999,55921.1551000,293,30419,1711329240000,1.2751
1711324800000,1.2952000,1.2979000,1.2952000,1.2970000,152045,1711324859999,197108.6708000,648,80345,1711329240000,1.2751
1711324860000,1.2969000,1.2987000,1.2930000,1.2934000,169897,1711324919999,220187.8939000,810,88973,1711329240000,1.2751
1711324920000,1.2933000,1.2944000,1.2895000,1.2904000,217889,1711324979999,281551.5156000,1247,102015,1711329240000,1.2751
1711324980000,1.2905000,1.2909000,1.2870000,1.2880000,327089,1711325039999,421479.6179000,1414,106498,1711329240000,1.2751
1711325040000,1.2882000,1.2917000,1.2882000,1.2915000,147560,1711325099999,190356.1564000,779,96210,1711329240000,1.2751
1711325100000,1.2913000,1.2913000,1.2845000,1.2850000,330788,1711325159999,425425.0612000,1240,116857,1711329240000,1.2751
1711325160000,1.2850000,1.2855000,1.2844000,1.2845000,162192,1711325219999,208438.5635000,597,47884,1711329240000,1.2751
1711325220000,1.2846000,1.2848000,1.2800000,1.2811000,372171,1711325279999,477277.5214000,1409,96731,1711329240000,1.2751
1711325280000,1.2812000,1.2815000,1.2794000,1.2797000,318546,1711325339999,407762.0480000,787,135772,1711329240000,1.2751
1711325340000,1.2796000,1.2803000,1.2771000,1.2790000,338321,1711325399999,432589.7763000,1036,123540,1711329240000,1.2751
1711325400000,1.2791000,1.2805000,1.2779000,1.2785000,244279,1711325459999,312487.7344000,785,115772,1711329240000,1.2751
1711325460000,1.2785000,1.2793000,1.2741000,1.2785000,415429,1711325519999,530435.5752000,1598,201202,1711329240000,1.2751
1711325520000,1.2782000,1.2806000,1.2782000,1.2790000,140880,1711325579999,180278.5825000,650,86712,1711329240000,1.2751
1711325580000,1.2790000,1.2790000,1.2754000,1.2765000,124876,1711325639999,159401.2212000,590,50658,1711329240000,1.2751
1711325640000,1.2765000,1.2773000,1.2732000,1.2733000,133606,1711325699999,170449.3532000,664,31754,1711329240000,1.2751
1711325700000,1.2733000,1.2774000,1.2725000,1.2764000,179989,1711325759999,229585.3032000,932,94165,1711329240000,1.2751
1711325760000,1.2765000,1.2780000,1.2751000,1.2758000,160504,1711325819999,204912.5621000,779,79214,1711329240000,1.2751
1711325820000,1.2759000,1.2767000,1.2710000,1.2712000,195088,1711325879999,248438.3690000,1022,72751,1711329240000,1.2751
1711325880000,1.2712000,1.2712000,1.2673000,1.2674000,320655,1711325939999,407097.2159000,1351,141353,1711329240000,1.2751
1711325940000,1.2674000,1.2675000,1.2647000,1.2663000,320958,1711325999999,406335.3120000,1536,132328,1711329240000,1.2751
1711326000000,1.2664000,1.2694000,1.2627000,1.2693000,383405,1711326059999,485186.2683000,1527,198571,1711329240000,1.2751
1711326060000,1.2690000,1.2706000,1.2669000,1.2687000,262859,1711326119999,333499.1817000,988,147283,1711329240000,1.2751
1711326120000,1.2688000,1.2727000,1.2687000,1.2727000,136170,1711326179999,173104.5314000,630,97114,1711329240000,1.2751
1711326180000,1.2729000,1.2765000,1.2729000,1.2763000,226805,1711326239999,289120.5350000,1057,146360,1711329240000,1.2751
1711326240000,1.2760000,1.2796000,1.2756000,1.2789000,351199,1711326299999,448802.8769000,1078,277200,1711329240000,1.2751
1711326300000,1.2788000,1.2800000,1.2777000,1.2780000,214540,1711326359999,274368.5222000,742,117909,1711329240000,1.2751
1711326360000,1.2780000,1.2787000,1.2740000,1.2748000,152842,1711326419999,195130.8008000,791,54728,1711329240000,1.2751
