Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711202580000,0.1402400,0.1403600,0.1402200,0.1403100,30706,1711202639999,4307.1513500,86,11394,1711207920000,0.14222
1711202640000,0.1403200,0.1403900,0.1403000,0.1403000,30328,1711202699999,4256.5326300,64,9172,1711207920000,0.14222
1711202700000,0.1403100,0.1404100,0.1403100,0.1403400,24697,1711202759999,3466.0858500,63,9048,1711207920000,0.14222
1711202760000,0.1403300,0.1404200,0.1402900,0.1404200,57909,1711202819999,8127.3475700,106,49118,1711207920000,0.14222
1711202820000,0.1404000,0.1405500,0.1403800,0.1404400,73749,1711202879999,10359.7902800,145,42824,1711207920000,0.14222
1711202880000,0.1404500,0.1404800,0.1403600,0.1404400,47091,1711202939999,6612.7338600,128,28709,1711207920000,0.14222
1711202940000,0.1404300,0.1405100,0.1404000,0.1404900,77976,1711202999999,10952.4759800,134,48555,1711207920000,0.14222
1711203000000,0.1404600,0.1404700,0.1403700,0.1404100,43129,1711203059999,6056.1488300,104,19818,1711207920000,0.14222
1711203060000,0.1404300,0.1404700,0.1403200,0.1403600,100696,1711203119999,14137.5776800,153,72689,1711207920000,0.14222
1711203120000,0.1403500,0.1405000,0.1403000,0.1404500,122350,1711203179999,17178.7959000,180,98136,1711207920000,0.14222
1711203180000,0.1404400,0.1404700,0.1403600,0.1404300,55798,1711203239999,7835.3624000,90,13402,1711207920000,0.14222
1711203240000,0.1404400,0.1405600,0.1404200,0.1405200,83749,1711203299999,11766.0932500,170,53263,1711207920000,0.14222
1711203300000,0.1405200,0.1405300,0.1403100,0.1403800,72115,1711203359999,10124.5535100,206,34070,1711207920000,0.14222
1711203360000,0.1403700,0.1404600,0.1402900,0.1403000,90426,1711203419999,12690.7155800,231,43465,1711207920000,0.14222
1711203420000,0.1403000,0.1403400,0.1402500,0.1402900,90004,1711203479999,12626.8407100,152,31406,1711207920000,0.14222
1711203480000,0.1402800,0.1404100,0.1401100,0.1403700,33061,1711203539999,4637.2902700,106,22486,1711207920000,0.14222
1711203540000,0.1403800,0.1405100,0.1403700,0.1404400,47195,1711203599999,6628.4056200,129,19721,1711207920000,0.14222
1711203600000,0.1404400,0.1405000,0.1403900,0.1404200,77974,1711203659999,10950.9061700,110,49958,1711207920000,0.14222
1711203660000,0.1404000,0.1405900,0.1400900,0.1400900,250042,1711203719999,35110.9598000,259,153403,1711207920000,0.14222
1711203720000,0.1400900,0.1401900,0.1400700,0.1401500,72321,1711203779999,10133.3139700,155,48281,1711207920000,0.14222
