Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710732960000,0.9153,0.9159,0.9147,0.9149,5169.5,1710733019999,4732.96596,66,934.8,1710738300000,0.9542
1710733020000,0.9150,0.9156,0.9150,0.9152,4475.3,1710733079999,4096.32866,57,1927.8,1710738300000,0.9542
1710733080000,0.9152,0.9154,0.9146,0.9148,6368.6,1710733139999,5826.77782,63,4271.0,1710738300000,0.9542
1710733140000,0.9148,0.9150,0.9144,0.9144,3727.3,1710733199999,3409.85521,53,2151.5,1710738300000,0.9542
1710733200000,0.9145,0.9159,0.9145,0.9150,7640.8,1710733259999,6994.61639,85,6261.0,1710738300000,0.9542
1710733260000,0.9150,0.9157,0.9148,0.9156,5401.6,1710733319999,4943.96192,70,2695.2,1710738300000,0.9542
1710733320000,0.9157,0.9157,0.9148,0.9152,7697.2,1710733379999,7045.36045,96,2982.7,1710738300000,0.9542
1710733380000,0.9151,0.9151,0.9138,0.9144,8208.3,1710733439999,7504.07825,74,4470.8,1710738300000,0.9542
1710733440000,0.9141,0.9144,0.9135,0.9136,8874.8,1710733499999,8110.02234,71,2973.6,1710738300000,0.9542
1710733500000,0.9137,0.9150,0.9137,0.9150,10128.8,1710733559999,9262.42339,99,7141.4,1710738300000,0.9542
1710733560000,0.9150,0.9164,0.9144,0.9164,25576.3,1710733619999,23406.36845,121,13180.5,1710738300000,0.9542
1710733620000,0.9163,0.9175,0.9160,0.9174,8007.8,1710733679999,7340.37388,102,6575.8,1710738300000,0.9542
1710733680000,0.9173,0.9174,0.9169,0.9170,8575.2,1710733739999,7864.76140,43,4121.0,1710738300000,0.9542
1710733740000,0.9171,0.9173,0.9168,0.9169,2247.2,1710733799999,2060.89038,30,1239.9,1710738300000,0.9542
1710733800000,0.9170,0.9284,0.9170,0.9272,367518.3,1710733859999,339438.34427,1564,283378.7,1710738300000,0.9542
1710733860000,0.9271,0.9271,0.9196,0.9208,264602.3,1710733919999,244097.52223,1199,93165.3,1710738300000,0.9542
