Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711984920000,0.0095810,0.0095970,0.0095550,0.0095810,3532704,1711984979999,33823.7525990,307,1115706,1711990320000,0.009562
1711984980000,0.0095850,0.0096060,0.0095640,0.0096060,1230748,1711985039999,11795.0353080,238,611801,1711990320000,0.009562
1711985040000,0.0096040,0.0096320,0.0095980,0.0096310,1314288,1711985099999,12644.6417150,259,681733,1711990320000,0.009562
1711985100000,0.0096310,0.0096470,0.0096220,0.0096220,888206,1711985159999,8558.6829250,220,574602,1711990320000,0.009562
1711985160000,0.0096230,0.0096260,0.0095860,0.0095930,1089199,1711985219999,10462.3358090,185,555988,1711990320000,0.009562
1711985220000,0.0095920,0.0095990,0.0095830,0.0095920,991981,1711985279999,9514.4986150,171,501122,1711990320000,0.009562
1711985280000,0.0095960,0.0096430,0.0095960,0.0096390,1817475,1711985339999,17493.2585840,264,1017834,1711990320000,0.009562
1711985340000,0.0096370,0.0096650,0.0096320,0.0096600,2993216,1711985399999,28899.2734240,318,1688178,1711990320000,0.009562
1711985400000,0.0096560,0.0096640,0.0096330,0.0096330,1339191,1711985459999,12922.1203940,200,645300,1711990320000,0.009562
1711985460000,0.0096340,0.0096470,0.0096100,0.0096220,1439396,1711985519999,13861.8560630,184,645642,1711990320000,0.009562
1711985520000,0.0096240,0.0096260,0.0095600,0.0095690,4795430,1711985579999,45939.4169830,323,646437,1711990320000,0.009562
1711985580000,0.0095700,0.0095700,0.0095430,0.0095480,2305520,1711985639999,22039.7608730,280,778947,1711990320000,0.009562
1711985640000,0.0095440,0.0095490,0.0095280,0.0095490,1571764,1711985699999,14987.0447820,210,508045,1711990320000,0.009562
1711985700000,0.0095500,0.0095920,0.0095500,0.0095920,888791,1711985759999,8502.1754110,173,595088,1711990320000,0.009562
1711985760000,0.0095890,0.0096200,0.0095890,0.0095990,1632260,1711985819999,15680.5875440,254,1127063,1711990320000,0.009562
1711985820000,0.0096000,0.0096260,0.0095900,0.0096180,1259791,1711985879999,12109.0122440,202,957755,1711990320000,0.009562
1711985880000,0.0096150,0.0096210,0.0095930,0.0095930,218701,1711985939999,2101.3054920,56,146171,1711990320000,0.009562
1711985940000,0.0095910,0.0095960,0.0095820,0.0095830,699413,1711985999999,6705.7386550,124,420143,1711990320000,0.009562
1711986000000,0.0095840,0.0095940,0.0095680,0.0095870,961725,1711986059999,9215.9714110,164,522223,1711990320000,0.009562
1711986060000,0.0095860,0.0095860,0.0095510,0.0095660,444836,1711986119999,4255.7368340,104,240548,1711990320000,0.009562
1711986120000,0.0095670,0.0095900,0.0095670,0.0095780,1792612,1711986179999,17175.9383540,155,1398849,1711990320000,0.009562
1711986180000,0.0095770,0.0095890,0.0095630,0.0095880,434196,1711986239999,4154.8718800,69,110557,1711990320000,0.009562
1711986240000,0.0095810,0.0095820,0.0095490,0.0095520,695521,1711986299999,6651.3649800,91,175957,1711990320000,0.009562
1711986300000,0.0095490,0.0095490,0.0095080,0.0095090,2102292,1711986359999,20032.4703380,257,291499,1711990320000,0.009562
1711986360000,0.0095110,0.0095260,0.0095110,0.0095260,1285416,1711986419999,12236.4996610,160,747325,1711990320000,0.009562
1711986420000,0.0095260,0.0095620,0.0095230,0.0095470,1195762,1711986479999,11409.6646950,204,834354,1711990320000,0.009562
1711986480000,0.0095450,0.0095890,0.0095410,0.0095720,845521,1711986539999,8088.9870510,141,504370,1711990320000,0.009562
1711986540000,0.0095710,0.0095890,0.0095510,0.0095890,1708940,1711986599999,16345.7061080,185,704460,1711990320000,0.009562
1711986600000,0.0095900,0.0095910,0.0095680,0.0095750,501154,1711986659999,4799.8779960,91,140483,1711990320000,0.009562
1711986660000,0.0095770,0.0095770,0.0095210,0.0095210,1043285,1711986719999,9953.6671870,156,35660,1711990320000,0.009562
1711986720000,0.0095210,0.0095280,0.0095150,0.0095200,1859394,1711986779999,17700.7254000,183,733183,1711990320000,0.009562
1711986780000,0.0095220,0.0095360,0.0094800,0.0094830,2224979,1711986839999,21160.5496330,214,538235,1711990320000,0.009562
1711986840000,0.0094790,0.0094970,0.0094730,0.0094900,3417018,1711986899999,32425.8586530,250,2254496,1711990320000,0.009562
1711986900000,0.0094890,0.0095000,0.0094770,0.0094860,3274033,1711986959999,31069.1742490,208,2582972,1711990320000,0.009562
1711986960000,0.0094890,0.0095110,0.0094750,0.0095010,1705798,1711987019999,16187.3924090,192,717321,1711990320000,0.009562
1711987020000,0.0094990,0.0095100,0.0094650,0.0094670,3415780,1711987079999,32390.8889040,289,1267742,1711990320000,0.009562
1711987080000,0.0094680,0.0094860,0.0094580,0.0094770,1166484,1711987139999,11050.2243990,156,655403,1711990320000,0.009562
1711987140000,0.0094780,0.0094920,0.0094660,0.0094810,1356391,1711987199999,12855.3301430,174,870241,1711990320000,0.009562
1711987200000,0.0094780,0.0095020,0.0094480,0.0094910,4317824,1711987259999,40901.9060120,352,1163398,1711990320000,0.009562
1711987260000,0.0094930,0.0095080,0.0094710,0.0094770,3898165,1711987319999,36995.4669870,407,1744336,1711990320000,0.009562
1711987320000,0.0094730,0.0095080,0.0094640,0.0094960,2164189,1711987379999,20538.3187090,313,1440940,1711990320000,0.009562
1711987380000,0.0094950,0.0095140,0.0094750,0.0095110,1815905,1711987439999,17246.4451720,266,692790,1711990320000,0.009562
1711987440000,0.0095120,0.0095170,0.0094880,0.0094900,641024,1711987499999,6092.1962120,108,312277,1711990320000,0.009562
1711987500000,0.0094910,0.0094980,0.0094640,0.0094690,1689407,1711987559999,16014.1740980,220,788665,1711990320000,0.009562
1711987560000,0.0094680,0.0095050,0.0094580,0.0094790,1557046,1711987619999,14758.8331030,222,801191,1711990320000,0.009562
1711987620000,0.0094860,0.0095010,0.0094720,0.0094790,878357,1711987679999,8330.6972670,137,528634,1711990320000,0.009562
1711987680000,0.0094810,0.0094910,0.0094680,0.0094900,1973334,1711987739999,18712.1132210,184,567853,1711990320000,0.009562
1711987740000,0.0094920,0.0095090,0.0094910,0.0094930,766218,1711987799999,7280.6948700,152,329312,1711990320000,0.009562
1711987800000,0.0094930,0.0095200,0.0094910,0.0095060,709977,1711987859999,6750.8142550,120,486193,1711990320000,0.009562
1711987860000,0.0095070,0.0095140,0.0094980,0.0094980,1650192,1711987919999,15686.9645110,157,596757,1711990320000,0.009562
1711987920000,0.0094950,0.0095050,0.0094720,0.0094810,900858,1711987979999,8544.0941770,139,298255,1711990320000,0.009562
1711987980000,0.0094810,0.0095020,0.0094810,0.0094940,647230,1711988039999,6145.8262410,111,344820,1711990320000,0.009562
1711988040000,0.0094950,0.0095160,0.0094950,0.0095050,892639,1711988099999,8486.9475660,112,690251,1711990320000,0.009562
