Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710348000000,0.97300,0.97650,0.97270,0.97480,100920,1710348059999,98401.10830,587,45748,1710353400000,0.9801
1710348060000,0.97480,0.97540,0.97400,0.97470,40206,1710348119999,39193.07770,253,26619,1710353400000,0.9801
1710348120000,0.97460,0.97490,0.97160,0.97160,36124,1710348179999,35150.85400,300,10749,1710353400000,0.9801
1710348180000,0.97180,0.97660,0.97170,0.97600,49080,1710348239999,47833.53230,335,45688,1710353400000,0.9801
1710348240000,0.97590,0.97740,0.97500,0.97600,37162,1710348299999,36278.68890,321,21388,1710353400000,0.9801
1710348300000,0.97620,0.97690,0.97080,0.97090,99724,1710348359999,97041.63410,512,17488,1710353400000,0.9801
1710348360000,0.97100,0.97140,0.96910,0.97050,43347,1710348419999,42057.58010,338,21736,1710353400000,0.9801
1710348420000,0.97020,0.97430,0.97020,0.97410,65201,1710348479999,63398.50010,423,53377,1710353400000,0.9801
1710348480000,0.97390,0.97570,0.97380,0.97550,10051,1710348539999,9800.17430,111,5727,1710353400000,0.9801
1710348540000,0.97520,0.97580,0.97450,0.97560,11956,1710348599999,11660.37200,136,3597,1710353400000,0.9801
1710348600000,0.97590,0.97590,0.97450,0.97450,18975,1710348659999,18501.66020,155,11215,1710353400000,0.9801
1710348660000,0.97450,0.97460,0.97330,0.97420,10786,1710348719999,10505.42620,111,4140,1710353400000,0.9801
1710348720000,0.97430,0.97460,0.97360,0.97460,9032,1710348779999,8799.04200,102,4587,1710353400000,0.9801
1710348780000,0.97420,0.97470,0.97410,0.97410,4758,1710348839999,4636.34510,81,3513,1710353400000,0.9801
1710348840000,0.97420,0.97420,0.97270,0.97270,7677,1710348899999,7475.17900,82,2683,1710353400000,0.9801
1710348900000,0.97250,0.97270,0.97160,0.97200,43769,1710348959999,42543.02250,141,8825,1710353400000,0.9801
1710348960000,0.97220,0.97350,0.97160,0.97340,17260,1710349019999,16779.28770,138,13841,1710353400000,0.9801
1710349020000,0.97350,0.97610,0.97350,0.97540,21089,1710349079999,20555.54310,210,17518,1710353400000,0.9801
1710349080000,0.97530,0.97590,0.97330,0.97350,31469,1710349139999,30673.15360,226,6164,1710353400000,0.9801
1710349140000,0.97330,0.97370,0.97300,0.97330,10925,1710349199999,10634.50870,85,5807,1710353400000,0.9801
1710349200000,0.97330,0.97450,0.97200,0.97430,22749,1710349259999,22129.36120,182,8285,1710353400000,0.9801
1710349260000,0.97370,0.97440,0.97330,0.97410,13731,1710349319999,13374.16830,130,11728,1710353400000,0.9801
1710349320000,0.97390,0.97470,0.97380,0.97380,4607,1710349379999,4488.44770,61,2830,1710353400000,0.9801
1710349380000,0.97350,0.97370,0.97290,0.97370,10610,1710349439999,10325.79040,93,2381,1710353400000,0.9801
1710349440000,0.97380,0.97810,0.97380,0.97580,59522,1710349499999,58113.75270,416,43837,1710353400000,0.9801
1710349500000,0.97570,0.97700,0.97550,0.97590,13482,1710349559999,13161.91060,115,5300,1710353400000,0.9801
1710349560000,0.97580,0.97690,0.97570,0.97600,8906,1710349619999,8694.83440,119,3845,1710353400000,0.9801
1710349620000,0.97590,0.97790,0.97580,0.97730,12134,1710349679999,11854.60200,155,5433,1710353400000,0.9801
1710349680000,0.97740,0.97920,0.97700,0.97920,17314,1710349739999,16939.71730,161,14895,1710353400000,0.9801
1710349740000,0.97890,0.97920,0.97650,0.97650,13750,1710349799999,13447.85710,136,2738,1710353400000,0.9801
1710349800000,0.97680,0.97700,0.97530,0.97550,13917,1710349859999,13581.26850,120,2451,1710353400000,0.9801
1710349860000,0.97550,0.97730,0.97460,0.97570,22508,1710349919999,21961.38060,224,10307,1710353400000,0.9801
1710349920000,0.97570,0.97570,0.97200,0.97240,27359,1710349979999,26636.10540,180,3472,1710353400000,0.9801
1710349980000,0.97230,0.97260,0.97160,0.97160,17870,1710350039999,17373.51430,173,10903,1710353400000,0.9801
1710350040000,0.97190,0.97260,0.97190,0.97230,7890,1710350099999,7670.69490,85,6319,1710353400000,0.9801
1710350100000,0.97240,0.97250,0.97150,0.97210,12107,1710350159999,11767.87300,125,8389,1710353400000,0.9801
1710350160000,0.97200,0.97260,0.97110,0.97210,42628,1710350219999,41423.26050,252,13782,1710353400000,0.9801
1710350220000,0.97230,0.97270,0.97070,0.97140,9699,1710350279999,9424.37760,93,6377,1710353400000,0.9801
1710350280000,0.97100,0.97120,0.97010,0.97070,14645,1710350339999,14215.77520,111,6377,1710353400000,0.9801
