Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711475280000,49.720,49.740,49.650,49.660,171.1,1711475339999,8502.3510,66,63.8,1711480620000,49.93
1711475340000,49.670,49.740,49.650,49.730,103.7,1711475399999,5153.6900,42,95.8,1711480620000,49.93
1711475400000,49.730,49.830,49.730,49.780,334.8,1711475459999,16666.7620,103,195.5,1711480620000,49.93
1711475460000,49.770,49.800,49.710,49.800,129.4,1711475519999,6438.0910,56,58.7,1711480620000,49.93
1711475520000,49.780,49.780,49.680,49.720,113.6,1711475579999,5647.5470,58,44.6,1711480620000,49.93
1711475580000,49.720,49.810,49.720,49.770,196.0,1711475639999,9754.2630,77,106.2,1711480620000,49.93
1711475640000,49.760,49.820,49.740,49.790,133.7,1711475699999,6657.3190,64,40.8,1711480620000,49.93
1711475700000,49.790,49.830,49.790,49.800,287.1,1711475759999,14300.9150,91,134.8,1711480620000,49.93
1711475760000,49.800,49.800,49.710,49.710,68.9,1711475819999,3428.5610,49,8.1,1711480620000,49.93
1711475820000,49.700,49.760,49.680,49.740,336.0,1711475879999,16708.9430,94,136.9,1711480620000,49.93
1711475880000,49.740,49.740,49.680,49.700,218.5,1711475939999,10861.2560,100,31.2,1711480620000,49.93
1711475940000,49.700,49.770,49.680,49.770,269.7,1711475999999,13410.6820,88,214.5,1711480620000,49.93
1711476000000,49.780,49.790,49.720,49.780,439.0,1711476059999,21846.7160,159,144.2,1711480620000,49.93
1711476060000,49.780,49.820,49.720,49.720,227.9,1711476119999,11347.4220,109,112.9,1711480620000,49.93
1711476120000,49.710,49.760,49.700,49.750,159.6,1711476179999,7936.8780,95,76.1,1711480620000,49.93
1711476180000,49.750,49.790,49.710,49.720,386.3,1711476239999,19213.0730,101,90.9,1711480620000,49.93
1711476240000,49.720,49.820,49.720,49.810,334.0,1711476299999,16622.6450,83,292.4,1711480620000,49.93
1711476300000,49.820,49.930,49.820,49.900,251.2,1711476359999,12530.0060,117,157.6,1711480620000,49.93
1711476360000,49.910,49.960,49.860,49.890,520.0,1711476419999,25965.7200,143,346.2,1711480620000,49.93
1711476420000,49.890,49.980,49.890,49.910,346.7,1711476479999,17317.1220,93,221.3,1711480620000,49.93
1711476480000,49.900,50.020,49.900,49.970,330.1,1711476539999,16500.2830,105,262.1,1711480620000,49.93
1711476540000,49.970,50.020,49.970,50.000,221.7,1711476599999,11082.7840,72,120.8,1711480620000,49.93
1711476600000,50.000,50.020,49.940,49.940,236.7,1711476659999,11831.6970,95,68.7,1711480620000,49.93
1711476660000,49.930,49.930,49.860,49.880,230.5,1711476719999,11499.3340,92,69.3,1711480620000,49.93
1711476720000,49.870,49.910,49.850,49.880,96.0,1711476779999,4787.5860,48,17.4,1711480620000,49.93
1711476780000,49.890,49.920,49.880,49.890,122.1,1711476839999,6092.5030,44,22.5,1711480620000,49.93
1711476840000,49.890,49.940,49.880,49.910,278.4,1711476899999,13893.1940,114,244.5,1711480620000,49.93
1711476900000,49.900,49.910,49.850,49.910,303.1,1711476959999,15120.9960,104,94.1,1711480620000,49.93
1711476960000,49.920,49.930,49.810,49.820,253.1,1711477019999,12619.7020,95,90.2,1711480620000,49.93
1711477020000,49.820,49.880,49.820,49.840,165.2,1711477079999,8237.0600,72,114.9,1711480620000,49.93
1711477080000,49.850,49.960,49.850,49.900,196.4,1711477139999,9802.7370,94,140.6,1711480620000,49.93
1711477140000,49.910,49.910,49.870,49.870,55.3,1711477199999,2758.5990,30,34.9,1711480620000,49.93
1711477200000,49.860,49.890,49.830,49.870,62.8,1711477259999,3130.7350,45,32.8,1711480620000,49.93
1711477260000,49.860,49.870,49.830,49.870,69.7,1711477319999,3473.8440,45,44.3,1711480620000,49.93
1711477320000,49.870,49.900,49.840,49.860,78.7,1711477379999,3923.8640,46,30.0,1711480620000,49.93
1711477380000,49.840,49.940,49.840,49.940,117.8,1711477439999,5878.3850,52,81.1,1711480620000,49.93
1711477440000,49.950,49.990,49.950,49.980,212.3,1711477499999,10608.0810,65,159.3,1711480620000,49.93
1711477500000,49.980,50.000,49.950,49.950,122.0,1711477559999,6096.7780,50,66.1,1711480620000,49.93
1711477560000,49.940,49.970,49.930,49.940,96.5,1711477619999,4820.3400,52,26.1,1711480620000,49.93
1711477620000,49.940,50.000,49.940,49.980,183.0,1711477679999,9144.3840,67,143.4,1711480620000,49.93
1711477680000,49.970,49.970,49.950,49.970,46.8,1711477739999,2338.4330,19,31.8,1711480620000,49.93
1711477740000,49.960,50.030,49.940,50.030,397.6,1711477799999,19870.2010,100,341.5,1711480620000,49.93
1711477800000,50.030,50.040,49.930,50.010,288.2,1711477859999,14405.6970,109,62.3,1711480620000,49.93
1711477860000,50.010,50.040,49.950,50.040,138.1,1711477919999,6901.8040,68,40.3,1711480620000,49.93
1711477920000,50.020,50.060,49.970,50.060,101.4,1711477979999,5071.6260,67,61.1,1711480620000,49.93
1711477980000,50.070,50.150,50.070,50.120,221.9,1711478039999,11120.1130,92,175.9,1711480620000,49.93
1711478040000,50.110,50.130,50.080,50.130,156.2,1711478099999,7825.6290,76,44.5,1711480620000,49.93
1711478100000,50.130,50.210,50.120,50.190,156.2,1711478159999,7836.2590,71,128.9,1711480620000,49.93
1711478160000,50.190,50.260,50.180,50.230,495.4,1711478219999,24878.2240,160,103.7,1711480620000,49.93
1711478220000,50.240,50.320,50.230,50.250,850.1,1711478279999,42741.5680,173,721.2,1711480620000,49.93
1711478280000,50.240,50.260,50.180,50.260,415.5,1711478339999,20866.5370,149,212.5,1711480620000,49.93
1711478340000,50.260,50.310,50.260,50.260,85.4,1711478399999,4294.1040,50,41.8,1711480620000,49.93
1711478400000,50.270,50.340,50.270,50.310,592.9,1711478459999,29828.8650,141,487.8,1711480620000,49.93
1711478460000,50.320,50.360,50.300,50.310,544.1,1711478519999,27386.1660,141,333.3,1711480620000,49.93
1711478520000,50.310,50.360,50.310,50.350,184.6,1711478579999,9291.1930,63,120.5,1711480620000,49.93
1711478580000,50.350,50.380,50.350,50.360,83.3,1711478639999,4195.8610,43,52.4,1711480620000,49.93
1711478640000,50.350,50.360,50.340,50.340,89.9,1711478699999,4526.4740,38,75.1,1711480620000,49.93
1711478700000,50.340,50.350,50.310,50.350,288.0,1711478759999,14495.6310,90,79.6,1711480620000,49.93
1711478760000,50.360,50.390,50.360,50.380,190.0,1711478819999,9569.3230,47,171.1,1711480620000,49.93
1711478820000,50.390,50.390,50.310,50.320,193.7,1711478879999,9755.1750,83,69.3,1711480620000,49.93
1711478880000,50.310,50.320,50.260,50.280,175.2,1711478939999,8811.0130,50,33.3,1711480620000,49.93
1711478940000,50.290,50.330,50.280,50.310,159.3,1711478999999,8014.7720,68,116.6,1711480620000,49.93
1711479000000,50.320,50.330,50.220,50.270,489.1,1711479059999,24582.6590,137,57.0,1711480620000,49.93
1711479060000,50.270,50.290,50.250,50.260,61.2,1711479119999,3076.8040,43,45.8,1711480620000,49.93
1711479120000,50.260,50.260,50.210,50.220,124.3,1711479179999,6245.1280,57,64.1,1711480620000,49.93
1711479180000,50.210,50.210,50.110,50.150,161.8,1711479239999,8114.5280,78,43.3,1711480620000,49.93
1711479240000,50.150,50.220,50.150,50.190,264.2,1711479299999,13259.6380,92,191.4,1711480620000,49.93
1711479300000,50.180,50.180,50.060,50.080,1039.1,1711479359999,52058.4950,247,112.4,1711480620000,49.93
1711479360000,50.080,50.090,50.050,50.070,138.0,1711479419999,6910.8500,66,106.3,1711480620000,49.93
1711479420000,50.060,50.090,50.060,50.090,103.9,1711479479999,5202.8820,25,97.9,1711480620000,49.93
1711479480000,50.090,50.090,49.940,49.970,468.6,1711479539999,23417.4150,141,67.0,1711480620000,49.93
1711479540000,49.980,50.030,49.900,49.900,603.0,1711479599999,30113.1260,172,55.3,1711480620000,49.93
1711479600000,49.920,49.990,49.830,49.900,492.5,1711479659999,24578.3110,206,257.5,1711480620000,49.93
1711479660000,49.900,49.990,49.860,49.980,206.0,1711479719999,10282.3070,118,113.7,1711480620000,49.93
1711479720000,49.990,50.030,49.900,49.910,283.1,1711479779999,14142.9180,126,160.1,1711480620000,49.93
1711479780000,49.910,49.920,49.820,49.820,264.7,1711479839999,13201.7860,121,101.2,1711480620000,49.93
1711479840000,49.820,49.830,49.760,49.780,530.3,1711479899999,26410.2060,213,374.2,1711480620000,49.93
1711479900000,49.770,49.790,49.660,49.710,593.5,1711479959999,29503.0170,215,297.8,1711480620000,49.93
1711479960000,49.720,49.720,49.610,49.670,923.0,1711480019999,45841.7560,322,712.3,1711480620000,49.93
1711480020000,49.670,49.720,49.510,49.540,1995.3,1711480079999,98897.1690,358,247.5,1711480620000,49.93
1711480080000,49.540,49.620,49.510,49.560,1364.9,1711480139999,67642.0150,335,304.9,1711480620000,49.93
1711480140000,49.560,49.610,49.480,49.520,326.7,1711480199999,16187.7810,134,153.1,1711480620000,49.93
1711480200000,49.510,49.530,49.430,49.480,376.8,1711480259999,18644.2000,128,250.6,1711480620000,49.93
1711480260000,49.490,49.600,49.480,49.600,702.6,1711480319999,34798.3360,208,246.7,1711480620000,49.93
1711480320000,49.600,49.810,49.600,49.790,154.5,1711480379999,7682.5340,100,112.1,1711480620000,49.93
1711480380000,49.790,49.870,49.720,49.870,390.8,1711480439999,19453.0550,212,233.0,1711480620000,49.93
1711480440000,49.870,49.900,49.820,49.830,194.8,1711480499999,9712.8610,108,49.7,1711480620000,49.93
1711480500000,49.830,49.850,49.730,49.740,187.1,1711480559999,9320.1940,110,110.6,1711480620000,49.93
