Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711502340000,3.215600,3.215600,3.209200,3.211200,50072,1711502399999,160821.891500,739,31977,1711507680000,3.2421
1711502400000,3.211000,3.217000,3.208200,3.217000,18861,1711502459999,60580.969600,458,6444,1711507680000,3.2421
1711502460000,3.217100,3.228200,3.214500,3.220300,109501,1711502519999,352835.516100,1193,76356,1711507680000,3.2421
1711502520000,3.220300,3.220800,3.210500,3.214100,28473,1711502579999,91533.335700,510,16570,1711507680000,3.2421
1711502580000,3.213700,3.213700,3.195100,3.197600,99458,1711502639999,318408.070300,942,5610,1711507680000,3.2421
1711502640000,3.197500,3.202400,3.195800,3.197300,35674,1711502699999,114107.506500,610,12282,1711507680000,3.2421
1711502700000,3.197500,3.202100,3.194600,3.196000,18907,1711502759999,60459.267300,300,12742,1711507680000,3.2421
1711502760000,3.195900,3.197900,3.194300,3.196500,16563,1711502819999,52938.726100,210,7373,1711507680000,3.2421
1711502820000,3.196600,3.203000,3.195000,3.196000,54919,1711502879999,175715.310000,616,44943,1711507680000,3.2421
1711502880000,3.196000,3.198200,3.193600,3.198100,16882,1711502939999,53954.616200,211,11561,1711507680000,3.2421
1711502940000,3.197500,3.203200,3.194100,3.194100,16517,1711502999999,52829.809400,229,10519,1711507680000,3.2421
1711503000000,3.194000,3.197700,3.183400,3.189900,67562,1711503059999,215486.929600,835,19779,1711507680000,3.2421
1711503060000,3.189900,3.194600,3.188900,3.189900,24708,1711503119999,78877.242400,306,15350,1711507680000,3.2421
1711503120000,3.190100,3.192900,3.188300,3.190200,16096,1711503179999,51353.385900,306,8318,1711507680000,3.2421
1711503180000,3.190400,3.192400,3.188500,3.188500,80233,1711503239999,256072.089600,359,72599,1711507680000,3.2421
1711503240000,3.188500,3.193300,3.184900,3.193300,25385,1711503299999,80925.052100,358,12949,1711507680000,3.2421
1711503300000,3.193000,3.203000,3.192200,3.199800,26715,1711503359999,85421.386700,380,18188,1711507680000,3.2421
1711503360000,3.200200,3.216500,3.198500,3.214800,54767,1711503419999,175682.105000,769,43084,1711507680000,3.2421
1711503420000,3.215300,3.227900,3.214600,3.227100,53072,1711503479999,171091.073900,740,38017,1711507680000,3.2421
1711503480000,3.226800,3.229400,3.217600,3.219000,55005,1711503539999,177359.109300,559,9844,1711507680000,3.2421
1711503540000,3.219000,3.224800,3.218700,3.223000,16948,1711503599999,54601.052500,367,11967,1711507680000,3.2421
1711503600000,3.223200,3.230400,3.220300,3.229400,14938,1711503659999,48159.896300,362,9096,1711507680000,3.2421
1711503660000,3.229800,3.229800,3.221500,3.226600,48455,1711503719999,156367.344700,582,25772,1711507680000,3.2421
1711503720000,3.227000,3.231000,3.224000,3.229400,13971,1711503779999,45086.858900,357,6098,1711507680000,3.2421
1711503780000,3.228900,3.229500,3.224200,3.224200,15118,1711503839999,48784.332300,299,9952,1711507680000,3.2421
1711503840000,3.224500,3.232000,3.224000,3.231900,26459,1711503899999,85404.949000,405,17759,1711507680000,3.2421
1711503900000,3.232100,3.234100,3.226400,3.226500,25165,1711503959999,81313.565500,457,11334,1711507680000,3.2421
1711503960000,3.226100,3.229600,3.222500,3.225400,27612,1711504019999,89097.225500,547,11608,1711507680000,3.2421
1711504020000,3.225200,3.226400,3.222100,3.225200,13137,1711504079999,42360.558700,345,7377,1711507680000,3.2421
1711504080000,3.225100,3.225500,3.211500,3.214900,16495,1711504139999,53050.924900,396,7088,1711507680000,3.2421
1711504140000,3.214700,3.217200,3.212600,3.217200,12298,1711504199999,39529.552900,278,7138,1711507680000,3.2421
1711504200000,3.217200,3.218500,3.209900,3.214000,66387,1711504259999,213231.081700,666,31901,1711507680000,3.2421
1711504260000,3.213600,3.215700,3.205000,3.214500,85077,1711504319999,273075.344900,805,13673,1711507680000,3.2421
1711504320000,3.214900,3.215100,3.209800,3.209800,9461,1711504379999,30398.197600,229,4206,1711507680000,3.2421
1711504380000,3.208900,3.212000,3.206200,3.210700,16185,1711504439999,51926.522200,275,10903,1711507680000,3.2421
1711504440000,3.211600,3.212100,3.209000,3.209400,7799,1711504499999,25038.734700,170,5241,1711507680000,3.2421
1711504500000,3.209100,3.211500,3.207800,3.211200,21331,1711504559999,68447.253500,231,12428,1711507680000,3.2421
1711504560000,3.210700,3.224900,3.210700,3.217800,44990,1711504619999,144814.314800,575,22480,1711507680000,3.2421
1711504620000,3.217300,3.222000,3.216300,3.220700,12065,1711504679999,38826.632000,275,9469,1711507680000,3.2421
1711504680000,3.220500,3.222800,3.212200,3.212200,16041,1711504739999,51596.051800,293,8150,1711507680000,3.2421
1711504740000,3.212100,3.213200,3.208400,3.208500,10516,1711504799999,33765.655400,181,3735,1711507680000,3.2421
1711504800000,3.208500,3.214500,3.207700,3.213400,23083,1711504859999,74141.828600,370,14451,1711507680000,3.2421
1711504860000,3.213300,3.220700,3.212700,3.216900,20314,1711504919999,65355.087500,315,7779,1711507680000,3.2421
1711504920000,3.216900,3.219400,3.215100,3.215200,7820,1711504979999,25161.494300,214,3937,1711507680000,3.2421
1711504980000,3.215300,3.215600,3.206800,3.209000,12613,1711505039999,40516.115500,318,6160,1711507680000,3.2421
1711505040000,3.208900,3.209000,3.205200,3.205900,16042,1711505099999,51437.842200,326,7161,1711507680000,3.2421
1711505100000,3.205900,3.208300,3.205300,3.206200,9856,1711505159999,31601.290000,265,6326,1711507680000,3.2421
1711505160000,3.206200,3.208500,3.196800,3.207400,106683,1711505219999,341616.328600,720,16598,1711507680000,3.2421
1711505220000,3.207500,3.207900,3.204100,3.206700,14154,1711505279999,45373.172500,257,9097,1711507680000,3.2421
