Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712078220000,0.0025154,0.0025170,0.0025100,0.0025100,3683169,1712078279999,9263.0068772,140,2119159,1712083560000,0.002558
1712078280000,0.0025112,0.0025170,0.0025112,0.0025170,1530936,1712078339999,3851.7765662,62,1161514,1712083560000,0.002558
1712078340000,0.0025175,0.0025193,0.0025144,0.0025184,1483269,1712078399999,3734.3162477,49,951798,1712083560000,0.002558
1712078400000,0.0025194,0.0025209,0.0025142,0.0025153,3414563,1712078459999,8597.6050190,121,1131083,1712083560000,0.002558
1712078460000,0.0025148,0.0025163,0.0025091,0.0025108,2641804,1712078519999,6639.6952321,101,1666779,1712083560000,0.002558
1712078520000,0.0025102,0.0025138,0.0025054,0.0025089,7989110,1712078579999,20030.8770972,161,973610,1712083560000,0.002558
1712078580000,0.0025095,0.0025116,0.0025042,0.0025066,4560217,1712078639999,11432.7721389,142,882806,1712083560000,0.002558
1712078640000,0.0025070,0.0025086,0.0024996,0.0025064,9294886,1712078699999,23254.7811418,134,933069,1712083560000,0.002558
1712078700000,0.0025066,0.0025066,0.0024994,0.0025055,6329001,1712078759999,15843.2473706,200,1639601,1712083560000,0.002558
1712078760000,0.0025042,0.0025066,0.0025000,0.0025035,4301363,1712078819999,10763.3231561,111,2728081,1712083560000,0.002558
1712078820000,0.0025032,0.0025080,0.0025032,0.0025080,751075,1712078879999,1881.5505006,66,281513,1712083560000,0.002558
1712078880000,0.0025077,0.0025123,0.0025077,0.0025102,2008021,1712078939999,5040.6174226,77,428771,1712083560000,0.002558
1712078940000,0.0025104,0.0025104,0.0025084,0.0025087,554104,1712078999999,1390.2619065,22,282496,1712083560000,0.002558
1712079000000,0.0025086,0.0025086,0.0025024,0.0025044,3627587,1712079059999,9087.4056320,134,1754379,1712083560000,0.002558
1712079060000,0.0025038,0.0025140,0.0025007,0.0025130,4389607,1712079119999,10998.7682226,132,3284872,1712083560000,0.002558
1712079120000,0.0025126,0.0025126,0.0025089,0.0025092,1257907,1712079179999,3158.7905941,56,162951,1712083560000,0.002558
1712079180000,0.0025091,0.0025140,0.0025048,0.0025140,1639474,1712079239999,4111.9341689,100,621765,1712083560000,0.002558
