Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711865400000,0.01377,0.01377,0.01375,0.01377,552000,1711865459999,7596.13262,63,193269,1711870800000,0.01385
1711865460000,0.01376,0.01376,0.01373,0.01373,1277182,1711865519999,17556.88485,98,325139,1711870800000,0.01385
1711865520000,0.01373,0.01375,0.01372,0.01374,1325403,1711865579999,18205.47256,94,931443,1711870800000,0.01385
1711865580000,0.01374,0.01375,0.01373,0.01375,143193,1711865639999,1967.25578,18,64206,1711870800000,0.01385
1711865640000,0.01374,0.01375,0.01372,0.01372,261597,1711865699999,3594.13218,37,88481,1711870800000,0.01385
1711865700000,0.01373,0.01373,0.01372,0.01373,1088932,1711865759999,14948.73578,78,829604,1711870800000,0.01385
1711865760000,0.01373,0.01373,0.01370,0.01370,972766,1711865819999,13347.58323,59,36212,1711870800000,0.01385
1711865820000,0.01371,0.01372,0.01370,0.01371,661787,1711865879999,9072.80330,64,562040,1711870800000,0.01385
1711865880000,0.01370,0.01371,0.01369,0.01371,409347,1711865939999,5606.54662,61,147491,1711870800000,0.01385
1711865940000,0.01370,0.01372,0.01370,0.01371,306494,1711865999999,4201.62761,39,157836,1711870800000,0.01385
1711866000000,0.01371,0.01374,0.01371,0.01372,804763,1711866059999,11044.49659,85,378453,1711870800000,0.01385
1711866060000,0.01372,0.01374,0.01372,0.01372,670574,1711866119999,9204.33650,61,92950,1711870800000,0.01385
1711866120000,0.01372,0.01372,0.01371,0.01372,952508,1711866179999,13062.39964,75,533751,1711870800000,0.01385
1711866180000,0.01372,0.01373,0.01371,0.01373,963262,1711866239999,13218.69981,75,569140,1711870800000,0.01385
1711866240000,0.01373,0.01374,0.01372,0.01374,682042,1711866299999,9366.06832,53,432707,1711870800000,0.01385
1711866300000,0.01373,0.01373,0.01372,0.01373,723315,1711866359999,9927.91808,72,312229,1711870800000,0.01385
1711866360000,0.01373,0.01373,0.01372,0.01372,382128,1711866419999,5243.23958,51,58776,1711870800000,0.01385
1711866420000,0.01372,0.01373,0.01372,0.01373,90176,1711866479999,1237.32873,16,11401,1711870800000,0.01385
1711866480000,0.01372,0.01372,0.01370,0.01370,420411,1711866539999,5764.33251,41,8092,1711870800000,0.01385
1711866540000,0.01371,0.01372,0.01368,0.01369,7442756,1711866599999,101924.96355,245,973038,1711870800000,0.01385
1711866600000,0.01369,0.01370,0.01369,0.01369,233868,1711866659999,3202.34004,35,142393,1711870800000,0.01385
1711866660000,0.01369,0.01370,0.01368,0.01370,1340347,1711866719999,18349.31107,84,205705,1711870800000,0.01385
1711866720000,0.01369,0.01370,0.01368,0.01369,796063,1711866779999,10897.95276,81,391258,1711870800000,0.01385
1711866780000,0.01369,0.01369,0.01368,0.01369,416549,1711866839999,5698.97373,34,58341,1711870800000,0.01385
1711866840000,0.01368,0.01369,0.01368,0.01368,16659,1711866899999,227.91793,14,2281,1711870800000,0.01385
1711866900000,0.01369,0.01370,0.01369,0.01369,669445,1711866959999,9164.80108,60,559943,1711870800000,0.01385
1711866960000,0.01368,0.01368,0.01366,0.01366,1794329,1711867019999,24516.96537,72,8767,1711870800000,0.01385
1711867020000,0.01367,0.01369,0.01367,0.01368,733279,1711867079999,10027.97361,88,554967,1711870800000,0.01385
1711867080000,0.01367,0.01368,0.01367,0.01368,163179,1711867139999,2232.09302,36,114490,1711870800000,0.01385
1711867140000,0.01368,0.01369,0.01367,0.01367,319726,1711867199999,4373.83052,36,2923,1711870800000,0.01385
1711867200000,0.01367,0.01368,0.01367,0.01368,295418,1711867259999,4041.24114,48,83000,1711870800000,0.01385
1711867260000,0.01368,0.01368,0.01367,0.01368,368589,1711867319999,5042.28948,48,112115,1711870800000,0.01385
1711867320000,0.01368,0.01368,0.01367,0.01368,354600,1711867379999,4848.27921,20,89721,1711870800000,0.01385
1711867380000,0.01367,0.01368,0.01366,0.01368,1066013,1711867439999,14573.11363,68,425222,1711870800000,0.01385
1711867440000,0.01368,0.01368,0.01367,0.01367,266284,1711867499999,3642.46281,23,183721,1711870800000,0.01385
1711867500000,0.01367,0.01367,0.01365,0.01366,847802,1711867559999,11580.62394,40,394315,1711870800000,0.01385
1711867560000,0.01365,0.01365,0.01363,0.01364,1450227,1711867619999,19784.12084,95,319380,1711870800000,0.01385
1711867620000,0.01364,0.01364,0.01363,0.01363,157877,1711867679999,2153.13039,15,27698,1711870800000,0.01385
1711867680000,0.01363,0.01363,0.01363,0.01363,258905,1711867739999,3528.87515,24,0,1711870800000,0.01385
1711867740000,0.01363,0.01365,0.01363,0.01365,503959,1711867799999,6870.08991,58,449067,1711870800000,0.01385
1711867800000,0.01365,0.01366,0.01365,0.01366,668374,1711867859999,9127.85059,50,431900,1711870800000,0.01385
1711867860000,0.01365,0.01367,0.01365,0.01366,600260,1711867919999,8199.59331,52,291824,1711870800000,0.01385
1711867920000,0.01366,0.01366,0.01366,0.01366,417887,1711867979999,5708.33642,23,0,1711870800000,0.01385
