Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711805880000,1.628,1.630,1.627,1.629,916.7,1711805939999,1492.7828,31,742.9,1711811280000,1.643
1711805940000,1.629,1.630,1.629,1.630,3691.4,1711805999999,6015.7167,28,3428.7,1711811280000,1.643
1711806000000,1.631,1.632,1.631,1.632,2545.6,1711806059999,4153.8560,48,1743.7,1711811280000,1.643
1711806060000,1.632,1.633,1.632,1.633,153.6,1711806119999,250.7673,4,92.1,1711811280000,1.643
1711806120000,1.633,1.633,1.630,1.630,2942.2,1711806179999,4801.3067,37,495.1,1711811280000,1.643
1711806180000,1.630,1.631,1.629,1.631,2180.8,1711806239999,3554.6777,27,1184.2,1711811280000,1.643
1711806240000,1.632,1.632,1.629,1.629,6033.9,1711806299999,9839.0051,44,1185.5,1711811280000,1.643
1711806300000,1.629,1.630,1.627,1.627,1912.6,1711806359999,3114.3345,37,625.2,1711811280000,1.643
1711806360000,1.627,1.628,1.627,1.628,1446.5,1711806419999,2353.5128,30,833.2,1711811280000,1.643
1711806420000,1.628,1.628,1.625,1.626,8789.4,1711806479999,14293.5958,65,2364.0,1711811280000,1.643
1711806480000,1.627,1.627,1.626,1.627,633.1,1711806539999,1030.0041,13,62.0,1711811280000,1.643
1711806540000,1.627,1.627,1.626,1.626,987.1,1711806599999,1605.2257,13,201.1,1711811280000,1.643
1711806600000,1.625,1.625,1.624,1.624,3793.9,1711806659999,6163.8027,47,663.5,1711811280000,1.643
1711806660000,1.624,1.625,1.623,1.625,1638.3,1711806719999,2660.8865,39,1341.6,1711811280000,1.643
1711806720000,1.625,1.626,1.625,1.626,913.9,1711806779999,1485.8375,30,913.9,1711811280000,1.643
1711806780000,1.627,1.628,1.626,1.628,2404.7,1711806839999,3912.4565,27,2340.7,1711811280000,1.643
1711806840000,1.627,1.628,1.627,1.627,897.1,1711806899999,1459.7141,25,458.6,1711811280000,1.643
1711806900000,1.627,1.627,1.626,1.626,381.5,1711806959999,620.6100,13,230.4,1711811280000,1.643
1711806960000,1.626,1.627,1.626,1.627,1135.5,1711807019999,1846.6033,33,616.1,1711811280000,1.643
1711807020000,1.628,1.629,1.628,1.628,1000.7,1711807079999,1629.8396,16,955.5,1711811280000,1.643
1711807080000,1.627,1.627,1.626,1.627,534.4,1711807139999,869.4301,18,454.9,1711811280000,1.643
1711807140000,1.627,1.627,1.626,1.626,741.4,1711807199999,1206.1688,10,652.4,1711811280000,1.643
1711807200000,1.627,1.627,1.626,1.627,3067.7,1711807259999,4988.8681,37,1511.5,1711811280000,1.643
1711807260000,1.627,1.627,1.625,1.625,360.8,1711807319999,586.4104,16,204.1,1711811280000,1.643
1711807320000,1.626,1.629,1.626,1.628,3798.1,1711807379999,6178.6585,39,3022.1,1711811280000,1.643
1711807380000,1.628,1.628,1.628,1.628,173.2,1711807439999,281.9696,10,59.6,1711811280000,1.643
1711807440000,1.629,1.629,1.628,1.628,659.4,1711807499999,1073.6280,16,549.1,1711811280000,1.643
1711807500000,1.627,1.627,1.626,1.626,483.4,1711807559999,786.2433,17,163.3,1711811280000,1.643
1711807560000,1.625,1.625,1.624,1.625,4392.5,1711807619999,7137.7237,36,1434.6,1711811280000,1.643
1711807620000,1.626,1.627,1.626,1.627,896.5,1711807679999,1458.0748,19,815.8,1711811280000,1.643
1711807680000,1.626,1.626,1.626,1.626,890.8,1711807739999,1448.4408,14,71.6,1711811280000,1.643
1711807740000,1.625,1.627,1.625,1.627,2331.7,1711807799999,3792.4052,25,2153.7,1711811280000,1.643
1711807800000,1.626,1.627,1.624,1.626,2770.9,1711807859999,4505.1223,48,2372.9,1711811280000,1.643
1711807860000,1.625,1.627,1.625,1.626,1915.3,1711807919999,3114.0286,39,1646.9,1711811280000,1.643
1711807920000,1.625,1.627,1.625,1.627,306.0,1711807979999,497.6412,14,224.5,1711811280000,1.643
1711807980000,1.626,1.628,1.626,1.627,2606.3,1711808039999,4240.5754,30,468.6,1711811280000,1.643
1711808040000,1.626,1.627,1.625,1.627,795.8,1711808099999,1293.8606,35,316.0,1711811280000,1.643
1711808100000,1.627,1.628,1.626,1.626,1672.5,1711808159999,2720.6507,28,1506.4,1711811280000,1.643
1711808160000,1.625,1.627,1.625,1.627,2341.7,1711808219999,3805.5507,33,279.2,1711811280000,1.643
1711808220000,1.627,1.632,1.627,1.630,30132.0,1711808279999,49111.3171,118,21521.0,1711811280000,1.643
1711808280000,1.631,1.632,1.630,1.631,3850.5,1711808339999,6280.0199,31,1265.0,1711811280000,1.643
1711808340000,1.630,1.632,1.630,1.632,874.5,1711808399999,1426.5462,15,768.7,1711811280000,1.643
1711808400000,1.632,1.633,1.631,1.631,2795.9,1711808459999,4561.4300,33,230.8,1711811280000,1.643
1711808460000,1.631,1.631,1.630,1.631,2555.1,1711808519999,4166.3893,44,1247.6,1711811280000,1.643
1711808520000,1.631,1.632,1.631,1.632,775.3,1711808579999,1264.8995,14,476.8,1711811280000,1.643
1711808580000,1.632,1.633,1.632,1.633,367.3,1711808639999,599.5132,19,79.6,1711811280000,1.643
1711808640000,1.633,1.633,1.631,1.631,1366.6,1711808699999,2230.4702,15,633.6,1711811280000,1.643
1711808700000,1.631,1.632,1.631,1.632,4985.8,1711808759999,8133.9127,61,3914.3,1711811280000,1.643
1711808760000,1.632,1.632,1.630,1.632,5783.2,1711808819999,9434.2695,55,5506.3,1711811280000,1.643
1711808820000,1.632,1.633,1.632,1.632,530.2,1711808879999,865.3292,23,273.6,1711811280000,1.643
1711808880000,1.632,1.632,1.631,1.632,1848.2,1711808939999,3016.1463,15,743.4,1711811280000,1.643
1711808940000,1.632,1.633,1.632,1.633,43.1,1711808999999,70.3670,6,27.8,1711811280000,1.643
1711809000000,1.632,1.632,1.630,1.631,2011.3,1711809059999,3280.4854,24,1842.0,1711811280000,1.643
1711809060000,1.631,1.631,1.629,1.629,1230.7,1711809119999,2004.9459,21,9.7,1711811280000,1.643
1711809120000,1.630,1.631,1.629,1.630,2950.2,1711809179999,4809.2380,36,2747.1,1711811280000,1.643
1711809180000,1.629,1.630,1.628,1.630,2295.6,1711809239999,3740.1712,28,1199.9,1711811280000,1.643
1711809240000,1.629,1.630,1.629,1.630,511.8,1711809299999,834.2095,19,204.4,1711811280000,1.643
1711809300000,1.629,1.630,1.629,1.630,453.5,1711809359999,738.9150,14,254.1,1711811280000,1.643
1711809360000,1.629,1.632,1.629,1.632,4667.4,1711809419999,7607.2286,38,2463.4,1711811280000,1.643
1711809420000,1.632,1.632,1.630,1.630,2822.4,1711809479999,4604.4399,27,32.4,1711811280000,1.643
1711809480000,1.630,1.631,1.630,1.630,5581.1,1711809539999,9100.4308,75,4815.7,1711811280000,1.643
1711809540000,1.629,1.629,1.627,1.627,3220.9,1711809599999,5242.4653,37,269.9,1711811280000,1.643
1711809600000,1.626,1.626,1.622,1.623,18485.3,1711809659999,30001.2795,160,2824.8,1711811280000,1.643
1711809660000,1.622,1.623,1.619,1.621,11225.0,1711809719999,18189.2008,111,2888.2,1711811280000,1.643
