Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711495380000,0.1247700,0.1250000,0.1247700,0.1247800,234220,1711495439999,29255.7318300,211,175802,1711500720000,0.12679
1711495440000,0.1247900,0.1248100,0.1247200,0.1247700,13621,1711495499999,1699.6792500,30,11773,1711500720000,0.12679
1711495500000,0.1247900,0.1249000,0.1247900,0.1249000,12414,1711495559999,1549.7652000,19,7132,1711500720000,0.12679
1711495560000,0.1248900,0.1248900,0.1248100,0.1248100,33741,1711495619999,4212.9432000,34,7970,1711500720000,0.12679
1711495620000,0.1248300,0.1248600,0.1247700,0.1248000,44224,1711495679999,5519.4769500,65,13269,1711500720000,0.12679
1711495680000,0.1248200,0.1248600,0.1247600,0.1248600,14482,1711495739999,1807.1717100,24,11847,1711500720000,0.12679
1711495740000,0.1248800,0.1248800,0.1248200,0.1248300,26617,1711495799999,3323.0584900,36,9344,1711500720000,0.12679
1711495800000,0.1248500,0.1250000,0.1247800,0.1250000,62000,1711495859999,7743.0918800,125,45932,1711500720000,0.12679
1711495860000,0.1249600,0.1249600,0.1248100,0.1249000,42338,1711495919999,5287.0168900,59,25265,1711500720000,0.12679
1711495920000,0.1248500,0.1248500,0.1248000,0.1248200,24932,1711495979999,3112.3911800,55,8422,1711500720000,0.12679
1711495980000,0.1248100,0.1249800,0.1248000,0.1249800,108412,1711496039999,13539.0148000,99,96983,1711500720000,0.12679
1711496040000,0.1249800,0.1251200,0.1249700,0.1250500,169871,1711496099999,21244.4328600,218,143349,1711500720000,0.12679
1711496100000,0.1250700,0.1251700,0.1250500,0.1250500,123425,1711496159999,15443.9740400,157,96402,1711500720000,0.12679
1711496160000,0.1250400,0.1250800,0.1249400,0.1250800,80730,1711496219999,10092.0082300,104,64425,1711500720000,0.12679
1711496220000,0.1250800,0.1251600,0.1250800,0.1251000,54497,1711496279999,6818.4138600,59,27130,1711500720000,0.12679
1711496280000,0.1251000,0.1251100,0.1249700,0.1249800,56095,1711496339999,7014.4362000,66,3623,1711500720000,0.12679
1711496340000,0.1249800,0.1249800,0.1248800,0.1249300,64530,1711496399999,8060.9208500,75,21457,1711500720000,0.12679
1711496400000,0.1249100,0.1249400,0.1248500,0.1248500,31565,1711496459999,3942.6831100,65,14347,1711500720000,0.12679
1711496460000,0.1248400,0.1248500,0.1247900,0.1248400,32282,1711496519999,4029.4169500,72,29401,1711500720000,0.12679
1711496520000,0.1248500,0.1248600,0.1247900,0.1248100,38780,1711496579999,4840.9232200,60,20809,1711500720000,0.12679
1711496580000,0.1248300,0.1248600,0.1247700,0.1247800,37375,1711496639999,4665.5265800,59,22690,1711500720000,0.12679
1711496640000,0.1247800,0.1247900,0.1245600,0.1246600,243556,1711496699999,30356.6300500,316,98280,1711500720000,0.12679
1711496700000,0.1246700,0.1247000,0.1246600,0.1246800,17454,1711496759999,2176.1979000,28,8067,1711500720000,0.12679
1711496760000,0.1246900,0.1247300,0.1246800,0.1247300,46670,1711496819999,5819.7466400,44,30531,1711500720000,0.12679
1711496820000,0.1247400,0.1251700,0.1247100,0.1251700,380903,1711496879999,47563.7517600,319,302415,1711500720000,0.12679
1711496880000,0.1251600,0.1252200,0.1250300,0.1250300,164341,1711496939999,20567.5297100,210,83547,1711500720000,0.12679
1711496940000,0.1250800,0.1253000,0.1250800,0.1252300,260940,1711496999999,32675.9505100,237,157902,1711500720000,0.12679
1711497000000,0.1252400,0.1253300,0.1252000,0.1252300,106318,1711497059999,13315.7340400,102,38924,1711500720000,0.12679
1711497060000,0.1252300,0.1254200,0.1252300,0.1254100,114662,1711497119999,14370.2656200,98,100866,1711500720000,0.12679
1711497120000,0.1254300,0.1254800,0.1253300,0.1254000,239336,1711497179999,30013.2660100,151,44144,1711500720000,0.12679
1711497180000,0.1254000,0.1254000,0.1253100,0.1253100,63775,1711497239999,7994.1987500,96,18635,1711500720000,0.12679
1711497240000,0.1253200,0.1253200,0.1252700,0.1253200,37854,1711497299999,4742.7399700,44,15429,1711500720000,0.12679
1711497300000,0.1253200,0.1253800,0.1252900,0.1253800,32454,1711497359999,4067.9552000,59,24684,1711500720000,0.12679
1711497360000,0.1253700,0.1254300,0.1252900,0.1254200,223453,1711497419999,28014.5448700,95,44312,1711500720000,0.12679
1711497420000,0.1254000,0.1254000,0.1252900,0.1253100,57199,1711497479999,7170.3673800,56,7289,1711500720000,0.12679
1711497480000,0.1253100,0.1253700,0.1252000,0.1252500,115652,1711497539999,14492.8926200,166,45655,1711500720000,0.12679
1711497540000,0.1252400,0.1252600,0.1252000,0.1252100,31421,1711497599999,3934.2905700,42,9752,1711500720000,0.12679
1711497600000,0.1252100,0.1252800,0.1252000,0.1252500,123664,1711497659999,15488.1864500,175,76733,1711500720000,0.12679
1711497660000,0.1252400,0.1252700,0.1244900,0.1245600,522411,1711497719999,65205.1016100,412,228627,1711500720000,0.12679
1711497720000,0.1245500,0.1245800,0.1242000,0.1244000,180161,1711497779999,22414.7407500,279,86810,1711500720000,0.12679
1711497780000,0.1244000,0.1246500,0.1243000,0.1245400,249507,1711497839999,31049.8048700,271,113167,1711500720000,0.12679
1711497840000,0.1245300,0.1245300,0.1240500,0.1242100,346693,1711497899999,43049.2081200,423,91593,1711500720000,0.12679
1711497900000,0.1241600,0.1242200,0.1239900,0.1242100,324717,1711497959999,40296.2195400,285,75667,1711500720000,0.12679
1711497960000,0.1241800,0.1243300,0.1240800,0.1243300,240482,1711498019999,29873.2930300,195,159430,1711500720000,0.12679
1711498020000,0.1243400,0.1243500,0.1241200,0.1241600,345978,1711498079999,42977.3565300,208,104638,1711500720000,0.12679
1711498080000,0.1241600,0.1241900,0.1236600,0.1238800,544546,1711498139999,67466.9423600,450,135991,1711500720000,0.12679
1711498140000,0.1238500,0.1238800,0.1233100,0.1233100,182155,1711498199999,22506.9359800,236,35950,1711500720000,0.12679
1711498200000,0.1233100,0.1234100,0.1231700,0.1232200,317199,1711498259999,39106.6527200,308,147652,1711500720000,0.12679
1711498260000,0.1232400,0.1236000,0.1232400,0.1233700,486390,1711498319999,60026.9280500,426,397293,1711500720000,0.12679
1711498320000,0.1233800,0.1234300,0.1232800,0.1233100,104838,1711498379999,12935.1170400,150,21218,1711500720000,0.12679
1711498380000,0.1232900,0.1237100,0.1232800,0.1237100,183037,1711498439999,22600.8591100,424,88444,1711500720000,0.12679
1711498440000,0.1236800,0.1238000,0.1236300,0.1237100,297880,1711498499999,36857.4657500,352,134340,1711500720000,0.12679
1711498500000,0.1237300,0.1240400,0.1236600,0.1240100,249770,1711498559999,30932.3566700,208,203465,1711500720000,0.12679
1711498560000,0.1240300,0.1242500,0.1239700,0.1242000,142235,1711498619999,17649.1722000,148,88542,1711500720000,0.12679
1711498620000,0.1242300,0.1242300,0.1239000,0.1239700,95165,1711498679999,11803.5944300,100,34408,1711500720000,0.12679
1711498680000,0.1239600,0.1244500,0.1239500,0.1243500,140218,1711498739999,17425.6085300,181,103975,1711500720000,0.12679
1711498740000,0.1243300,0.1243300,0.1241300,0.1242100,55634,1711498799999,6909.2248700,89,33073,1711500720000,0.12679
1711498800000,0.1242000,0.1244900,0.1241500,0.1244800,105072,1711498859999,13067.5412200,101,70867,1711500720000,0.12679
1711498860000,0.1244700,0.1245100,0.1243600,0.1243700,98228,1711498919999,12222.9080500,130,44695,1711500720000,0.12679
1711498920000,0.1243600,0.1244200,0.1239900,0.1240600,246834,1711498979999,30661.9276900,187,67681,1711500720000,0.12679
1711498980000,0.1240800,0.1241700,0.1239400,0.1240400,79867,1711499039999,9907.9076300,86,55652,1711500720000,0.12679
1711499040000,0.1240400,0.1242800,0.1240100,0.1242800,127359,1711499099999,15810.6810200,134,81154,1711500720000,0.12679
1711499100000,0.1242900,0.1244700,0.1241900,0.1244700,71465,1711499159999,8882.5093700,85,40230,1711500720000,0.12679
1711499160000,0.1244600,0.1244800,0.1243600,0.1244500,36322,1711499219999,4519.1128800,64,12999,1711500720000,0.12679
1711499220000,0.1244200,0.1244200,0.1242700,0.1243400,52051,1711499279999,6470.8495300,65,34948,1711500720000,0.12679
