Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711010880000,18.782,18.807,18.761,18.787,930.4,1711010939999,17472.9224,220,379.3,1711016220000,19.135
1711010940000,18.782,18.791,18.758,18.769,463.8,1711010999999,8704.7524,104,174.1,1711016220000,19.135
1711011000000,18.769,18.840,18.755,18.827,933.4,1711011059999,17531.9589,201,496.0,1711016220000,19.135
1711011060000,18.822,18.839,18.805,18.810,1518.9,1711011119999,28588.4830,185,740.6,1711016220000,19.135
1711011120000,18.810,18.813,18.774,18.789,2294.4,1711011179999,43109.8390,285,490.5,1711016220000,19.135
1711011180000,18.791,18.832,18.791,18.818,655.8,1711011239999,12343.7426,109,214.5,1711016220000,19.135
1711011240000,18.817,18.817,18.791,18.802,602.8,1711011299999,11334.0179,129,211.5,1711016220000,19.135
1711011300000,18.804,18.823,18.782,18.787,1091.1,1711011359999,20522.9722,226,649.8,1711016220000,19.135
1711011360000,18.789,18.789,18.742,18.756,1415.9,1711011419999,26558.8198,279,596.2,1711016220000,19.135
1711011420000,18.757,18.757,18.694,18.699,5005.6,1711011479999,93644.6664,399,723.2,1711016220000,19.135
1711011480000,18.698,18.709,18.678,18.692,794.5,1711011539999,14853.2418,165,424.0,1711016220000,19.135
1711011540000,18.689,18.689,18.668,18.674,788.2,1711011599999,14721.4256,160,373.5,1711016220000,19.135
1711011600000,18.668,18.675,18.643,18.651,1390.5,1711011659999,25945.0303,257,506.8,1711016220000,19.135
1711011660000,18.651,18.736,18.651,18.730,2129.1,1711011719999,39811.4026,350,1376.8,1711016220000,19.135
1711011720000,18.731,18.733,18.698,18.713,1055.4,1711011779999,19748.2112,255,393.9,1711016220000,19.135
1711011780000,18.708,18.756,18.708,18.756,1282.9,1711011839999,24036.0414,269,827.9,1711016220000,19.135
1711011840000,18.755,18.810,18.750,18.791,3299.7,1711011899999,61974.7247,475,1953.9,1711016220000,19.135
1711011900000,18.793,18.825,18.781,18.803,1715.1,1711011959999,32250.5897,282,1003.8,1711016220000,19.135
1711011960000,18.804,18.807,18.764,18.794,1935.2,1711012019999,36356.5665,258,855.0,1711016220000,19.135
1711012020000,18.793,18.809,18.732,18.732,1069.9,1711012079999,20082.6669,268,532.7,1711016220000,19.135
1711012080000,18.738,18.802,18.738,18.780,1016.1,1711012139999,19077.9242,248,380.5,1711016220000,19.135
1711012140000,18.780,18.807,18.773,18.802,884.0,1711012199999,16609.4175,185,583.9,1711016220000,19.135
1711012200000,18.802,18.813,18.777,18.781,464.7,1711012259999,8733.6804,131,321.3,1711016220000,19.135
1711012260000,18.783,18.805,18.739,18.743,1111.4,1711012319999,20851.9501,215,644.9,1711016220000,19.135
1711012320000,18.740,18.755,18.727,18.740,623.0,1711012379999,11674.9446,190,351.4,1711016220000,19.135
1711012380000,18.739,18.765,18.714,18.765,590.9,1711012439999,11069.6175,148,278.9,1711016220000,19.135
1711012440000,18.760,18.760,18.732,18.744,786.3,1711012499999,14738.8310,125,136.6,1711016220000,19.135
1711012500000,18.743,18.743,18.674,18.681,375.7,1711012559999,7024.4016,118,171.8,1711016220000,19.135
1711012560000,18.681,18.692,18.660,18.681,875.0,1711012619999,16342.6191,177,536.9,1711016220000,19.135
1711012620000,18.680,18.720,18.677,18.712,711.2,1711012679999,13301.7689,152,489.7,1711016220000,19.135
1711012680000,18.713,18.745,18.703,18.711,661.9,1711012739999,12396.0402,178,363.8,1711016220000,19.135
1711012740000,18.715,18.758,18.703,18.734,1040.5,1711012799999,19488.3687,197,777.2,1711016220000,19.135
1711012800000,18.734,18.769,18.728,18.759,542.6,1711012859999,10171.9437,130,273.2,1711016220000,19.135
1711012860000,18.760,18.779,18.733,18.744,1042.8,1711012919999,19556.6934,158,410.4,1711016220000,19.135
1711012920000,18.744,18.787,18.744,18.777,834.4,1711012979999,15660.5205,155,358.6,1711016220000,19.135
1711012980000,18.777,18.787,18.773,18.773,857.6,1711013039999,16106.3610,102,454.7,1711016220000,19.135
1711013040000,18.767,18.796,18.767,18.796,657.3,1711013099999,12345.2719,109,528.4,1711016220000,19.135
1711013100000,18.791,18.817,18.785,18.817,950.1,1711013159999,17859.7159,131,667.0,1711016220000,19.135
1711013160000,18.819,18.828,18.799,18.799,1072.4,1711013219999,20177.7795,127,377.8,1711016220000,19.135
1711013220000,18.792,18.792,18.718,18.720,1902.8,1711013279999,35664.0987,286,774.2,1711016220000,19.135
1711013280000,18.718,18.734,18.706,18.711,2617.9,1711013339999,49015.6072,232,1876.6,1711016220000,19.135
1711013340000,18.710,18.745,18.706,18.735,2724.5,1711013399999,50996.9445,182,2377.8,1711016220000,19.135
1711013400000,18.736,18.746,18.702,18.702,3720.1,1711013459999,69610.4875,246,395.4,1711016220000,19.135
1711013460000,18.702,18.714,18.682,18.692,1424.4,1711013519999,26633.3114,212,470.7,1711016220000,19.135
1711013520000,18.691,18.727,18.690,18.725,859.1,1711013579999,16077.0226,221,366.1,1711016220000,19.135
1711013580000,18.721,18.730,18.710,18.711,733.5,1711013639999,13732.2471,173,361.2,1711016220000,19.135
1711013640000,18.709,18.750,18.706,18.739,1385.2,1711013699999,25942.7614,234,1065.9,1711016220000,19.135
1711013700000,18.739,18.765,18.722,18.740,1193.8,1711013759999,22381.4222,195,892.8,1711016220000,19.135
1711013760000,18.738,18.758,18.729,18.733,337.9,1711013819999,6333.5472,111,205.6,1711016220000,19.135
1711013820000,18.730,18.746,18.721,18.741,656.9,1711013879999,12302.5199,112,421.1,1711016220000,19.135
1711013880000,18.740,18.740,18.658,18.663,1201.2,1711013939999,22447.3978,215,261.6,1711016220000,19.135
1711013940000,18.663,18.673,18.645,18.673,824.1,1711013999999,15376.0507,174,559.8,1711016220000,19.135
1711014000000,18.673,18.683,18.631,18.635,1387.1,1711014059999,25879.4757,239,664.2,1711016220000,19.135
1711014060000,18.631,18.653,18.603,18.621,1705.2,1711014119999,31760.3913,325,765.4,1711016220000,19.135
1711014120000,18.621,18.640,18.601,18.608,782.7,1711014179999,14571.8910,199,338.5,1711016220000,19.135
1711014180000,18.608,18.609,18.570,18.577,2018.3,1711014239999,37516.0920,233,769.5,1711016220000,19.135
1711014240000,18.574,18.602,18.568,18.595,1725.2,1711014299999,32051.6738,274,557.8,1711016220000,19.135
1711014300000,18.601,18.603,18.568,18.591,1516.6,1711014359999,28184.3583,215,758.1,1711016220000,19.135
1711014360000,18.592,18.602,18.570,18.588,1931.6,1711014419999,35896.8949,372,812.3,1711016220000,19.135
1711014420000,18.587,18.672,18.584,18.654,1381.7,1711014479999,25742.4738,242,799.0,1711016220000,19.135
1711014480000,18.658,18.685,18.651,18.684,513.5,1711014539999,9587.5422,149,252.9,1711016220000,19.135
1711014540000,18.685,18.711,18.685,18.710,830.4,1711014599999,15529.2617,150,563.0,1711016220000,19.135
1711014600000,18.712,18.712,18.686,18.695,474.7,1711014659999,8878.0902,136,91.3,1711016220000,19.135
1711014660000,18.694,18.695,18.645,18.647,1245.8,1711014719999,23264.7416,155,538.7,1711016220000,19.135
1711014720000,18.650,18.661,18.642,18.653,1122.9,1711014779999,20945.9250,144,219.8,1711016220000,19.135
1711014780000,18.643,18.665,18.636,18.662,657.5,1711014839999,12261.1007,160,448.6,1711016220000,19.135
1711014840000,18.663,18.670,18.640,18.649,483.5,1711014899999,9019.2041,119,106.4,1711016220000,19.135
1711014900000,18.648,18.669,18.643,18.658,754.1,1711014959999,14067.1228,176,483.4,1711016220000,19.135
1711014960000,18.655,18.707,18.652,18.703,1440.1,1711015019999,26897.8813,235,1111.0,1711016220000,19.135
1711015020000,18.701,18.746,18.700,18.739,696.4,1711015079999,13041.4010,124,241.2,1711016220000,19.135
1711015080000,18.739,18.755,18.734,18.739,497.3,1711015139999,9321.9561,104,213.2,1711016220000,19.135
1711015140000,18.738,18.738,18.706,18.722,856.8,1711015199999,16041.4023,156,322.2,1711016220000,19.135
1711015200000,18.724,18.761,18.716,18.761,1490.5,1711015259999,27925.0989,218,1001.1,1711016220000,19.135
1711015260000,18.762,18.801,18.736,18.749,2424.7,1711015319999,45541.6193,335,1478.0,1711016220000,19.135
1711015320000,18.745,18.745,18.693,18.693,1168.2,1711015379999,21859.7308,213,472.4,1711016220000,19.135
1711015380000,18.693,18.700,18.662,18.680,2241.3,1711015439999,41869.8634,335,465.8,1711016220000,19.135
1711015440000,18.679,18.710,18.675,18.697,1318.8,1711015499999,24653.9635,207,509.6,1711016220000,19.135
1711015500000,18.697,18.736,18.677,18.724,1829.4,1711015559999,34225.9320,251,1216.1,1711016220000,19.135
1711015560000,18.725,18.813,18.725,18.813,1868.0,1711015619999,35061.1035,255,1528.3,1711016220000,19.135
1711015620000,18.814,18.913,18.814,18.901,18743.9,1711015679999,353607.1194,1443,15032.0,1711016220000,19.135
1711015680000,18.902,18.919,18.881,18.912,2149.4,1711015739999,40613.0591,264,1708.1,1711016220000,19.135
1711015740000,18.911,18.971,18.910,18.926,3638.2,1711015799999,68907.3735,540,2548.1,1711016220000,19.135
1711015800000,18.928,18.933,18.873,18.880,2308.1,1711015859999,43641.6301,294,1015.4,1711016220000,19.135
1711015860000,18.873,18.910,18.845,18.880,4273.9,1711015919999,80674.8898,523,2330.8,1711016220000,19.135
1711015920000,18.881,18.940,18.881,18.933,1155.2,1711015979999,21852.8241,299,720.9,1711016220000,19.135
1711015980000,18.934,18.967,18.934,18.957,871.3,1711016039999,16512.2349,223,505.4,1711016220000,19.135
1711016040000,18.956,18.974,18.940,18.972,1657.9,1711016099999,31426.0016,243,1387.0,1711016220000,19.135
1711016100000,18.975,18.997,18.949,18.960,2673.1,1711016159999,50714.6399,427,1509.9,1711016220000,19.135
1711016160000,18.955,19.043,18.952,19.029,3689.2,1711016219999,70070.0040,599,3122.6,1711016220000,19.135
1711016220000,19.028,19.177,19.028,19.168,10480.4,1711016279999,200238.0251,1526,7553.5,1711016220000,19.135
1711016280000,19.163,19.171,19.089,19.132,5694.8,1711016339999,108901.4472,721,3407.2,1711016220000,19.135
1711016340000,19.132,19.141,19.083,19.114,6032.9,1711016399999,115297.7163,671,3390.0,1711016220000,19.135
1711016400000,19.114,19.120,19.036,19.036,3894.1,1711016459999,74323.1676,520,1123.7,1711016220000,19.135
1711016460000,19.035,19.035,18.973,18.974,2002.2,1711016519999,38057.7407,302,859.7,1711016220000,19.135
1711016520000,18.973,19.113,18.969,19.109,5043.7,1711016579999,96010.6096,486,3657.9,1711016220000,19.135
1711016580000,19.113,19.113,19.026,19.038,4693.2,1711016639999,89506.1328,367,2069.4,1711016220000,19.135
1711016640000,19.038,19.059,19.024,19.059,1716.1,1711016699999,32664.7758,188,585.5,1711016220000,19.135
1711016700000,19.058,19.068,19.022,19.028,2297.9,1711016759999,43737.4633,180,1103.8,1711016220000,19.135
1711016760000,19.031,19.060,19.015,19.054,3461.0,1711016819999,65874.4699,292,2506.9,1711016220000,19.135
1711016820000,19.060,19.115,19.060,19.100,1540.2,1711016879999,29408.5820,219,905.4,1711016220000,19.135
1711016880000,19.101,19.110,19.073,19.073,1846.9,1711016939999,35274.1242,251,621.6,1711016220000,19.135
1711016940000,19.077,19.080,19.049,19.063,1528.4,1711016999999,29133.4634,221,401.0,1711016220000,19.135
1711017000000,19.064,19.083,19.030,19.057,1249.3,1711017059999,23802.6493,223,536.2,1711016220000,19.135
1711017060000,19.058,19.066,18.984,18.992,5592.4,1711017119999,106348.5384,511,1814.5,1711016220000,19.135
1711017120000,18.996,19.010,18.952,18.990,3227.2,1711017179999,61261.2851,428,1387.7,1711016220000,19.135
1711017180000,18.989,19.015,18.978,18.980,1504.9,1711017239999,28583.4268,255,855.6,1711016220000,19.135
1711017240000,18.983,18.986,18.914,18.929,1493.6,1711017299999,28316.2962,274,511.5,1711016220000,19.135
1711017300000,18.929,18.929,18.882,18.897,2946.8,1711017359999,55691.4299,342,849.6,1711016220000,19.135
1711017360000,18.897,18.897,18.838,18.845,1932.5,1711017419999,36452.5739,280,582.4,1711016220000,19.135
1711017420000,18.845,18.858,18.807,18.818,2172.2,1711017479999,40899.4117,253,1241.2,1711016220000,19.135
1711017480000,18.818,18.866,18.818,18.861,2138.2,1711017539999,40295.1734,262,1565.3,1711016220000,19.135
1711017540000,18.860,18.872,18.845,18.857,1901.5,1711017599999,35856.1704,231,765.3,1711016220000,19.135
1711017600000,18.853,18.864,18.814,18.818,1499.5,1711017659999,28242.0159,190,652.8,1711016220000,19.135
1711017660000,18.819,18.820,18.777,18.800,2691.8,1711017719999,50586.6236,286,1146.5,1711016220000,19.135
1711017720000,18.804,18.838,18.804,18.812,1078.8,1711017779999,20309.7007,176,252.8,1711016220000,19.135
1711017780000,18.815,18.834,18.811,18.824,362.6,1711017839999,6825.8459,101,186.3,1711016220000,19.135
1711017840000,18.828,18.860,18.828,18.857,706.6,1711017899999,13316.1978,134,543.9,1711016220000,19.135
1711017900000,18.858,18.911,18.858,18.899,1252.0,1711017959999,23656.7145,274,644.4,1711016220000,19.135
1711017960000,18.902,18.902,18.864,18.872,797.8,1711018019999,15064.2673,200,181.3,1711016220000,19.135
1711018020000,18.872,18.932,18.872,18.909,1793.8,1711018079999,33932.9433,269,847.5,1711016220000,19.135
1711018080000,18.910,18.925,18.839,18.878,1158.6,1711018139999,21886.1071,226,486.3,1711016220000,19.135
1711018140000,18.880,18.925,18.871,18.925,582.3,1711018199999,11005.6347,146,450.5,1711016220000,19.135
1711018200000,18.922,18.953,18.919,18.944,485.3,1711018259999,9193.4209,147,207.4,1711016220000,19.135
1711018260000,18.943,18.943,18.905,18.920,571.3,1711018319999,10811.4788,135,317.8,1711016220000,19.135
1711018320000,18.921,18.994,18.921,18.994,690.7,1711018379999,13102.4443,135,373.1,1711016220000,19.135
