Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711681500000,1.441000,1.442100,1.439900,1.442000,9182.2,1711681559999,13228.1006900,126,3702.5,1711686900000,1.4647
1711681560000,1.441900,1.441900,1.438500,1.440400,10823.9,1711681619999,15586.9088300,212,1785.8,1711686900000,1.4647
1711681620000,1.440200,1.440200,1.438000,1.438900,1520.4,1711681679999,2187.5815500,86,914.3,1711686900000,1.4647
1711681680000,1.439100,1.442100,1.439100,1.442100,10265.0,1711681739999,14784.5169800,180,7241.6,1711686900000,1.4647
1711681740000,1.442100,1.442200,1.440700,1.440700,712.7,1711681799999,1027.2875000,38,219.6,1711686900000,1.4647
1711681800000,1.440600,1.446100,1.440300,1.446100,5539.2,1711681859999,7985.7655000,162,4456.7,1711686900000,1.4647
1711681860000,1.446300,1.447200,1.444200,1.444200,8281.6,1711681919999,11971.0329900,174,1464.3,1711686900000,1.4647
1711681920000,1.445300,1.445400,1.442400,1.442900,9523.8,1711681979999,13752.2129500,135,4755.6,1711686900000,1.4647
1711681980000,1.443200,1.444700,1.443200,1.444400,1659.2,1711682039999,2395.9610000,66,1448.3,1711686900000,1.4647
1711682040000,1.444500,1.447600,1.444500,1.447600,1291.5,1711682099999,1868.2343000,30,1113.0,1711686900000,1.4647
1711682100000,1.447600,1.447700,1.445500,1.445500,1548.0,1711682159999,2240.3769200,52,667.7,1711686900000,1.4647
1711682160000,1.445500,1.449100,1.445300,1.447300,6127.6,1711682219999,8871.7184900,142,4220.7,1711686900000,1.4647
1711682220000,1.447300,1.447300,1.445200,1.445200,2746.8,1711682279999,3971.6545700,91,1207.8,1711686900000,1.4647
1711682280000,1.444900,1.444900,1.441200,1.442200,10882.7,1711682339999,15692.8010500,204,4321.5,1711686900000,1.4647
1711682340000,1.442300,1.442300,1.440500,1.440800,2100.8,1711682399999,3027.1872800,72,336.9,1711686900000,1.4647
1711682400000,1.441000,1.441000,1.437800,1.437800,3496.8,1711682459999,5031.4184900,121,1044.3,1711686900000,1.4647
1711682460000,1.437600,1.437600,1.436400,1.437400,7181.2,1711682519999,10317.5661400,138,902.7,1711686900000,1.4647
1711682520000,1.437400,1.440200,1.437000,1.437100,3884.2,1711682579999,5587.9220100,110,3499.5,1711686900000,1.4647
1711682580000,1.436800,1.436900,1.434000,1.434700,2078.7,1711682639999,2984.4964800,69,210.5,1711686900000,1.4647
1711682640000,1.434700,1.438000,1.434700,1.435900,1896.5,1711682699999,2723.3196400,99,958.1,1711686900000,1.4647
1711682700000,1.435600,1.436600,1.433800,1.433800,2667.0,1711682759999,3828.2577300,79,331.0,1711686900000,1.4647
1711682760000,1.433800,1.435000,1.432000,1.433200,5364.4,1711682819999,7688.9123100,164,1490.3,1711686900000,1.4647
1711682820000,1.433200,1.435200,1.430100,1.435200,9900.0,1711682879999,14178.8493000,215,3597.4,1711686900000,1.4647
1711682880000,1.434900,1.436500,1.434200,1.436100,1795.0,1711682939999,2576.9681300,68,830.5,1711686900000,1.4647
1711682940000,1.436300,1.436300,1.434600,1.435700,3926.3,1711682999999,5635.7650500,73,1902.9,1711686900000,1.4647
1711683000000,1.435300,1.439800,1.435200,1.439600,4465.7,1711683059999,6418.8999500,117,2538.9,1711686900000,1.4647
1711683060000,1.439700,1.442000,1.439700,1.440500,11704.4,1711683119999,16868.2270400,216,4262.9,1711686900000,1.4647
1711683120000,1.440600,1.440900,1.439800,1.440500,2805.9,1711683179999,4041.1260100,95,1844.0,1711686900000,1.4647
1711683180000,1.440300,1.441500,1.439600,1.440400,3126.1,1711683239999,4503.0345900,90,1191.1,1711686900000,1.4647
1711683240000,1.440300,1.442200,1.439100,1.441200,15410.7,1711683299999,22200.6803000,264,7446.9,1711686900000,1.4647
1711683300000,1.441000,1.441000,1.437400,1.438400,10478.0,1711683359999,15075.2818900,175,2321.3,1711686900000,1.4647
1711683360000,1.438300,1.441800,1.438200,1.441800,3853.3,1711683419999,5546.7843100,123,3180.3,1711686900000,1.4647
1711683420000,1.441700,1.446800,1.441700,1.445400,27175.1,1711683479999,39245.8972000,348,21439.3,1711686900000,1.4647
1711683480000,1.445700,1.447100,1.444200,1.444200,3523.5,1711683539999,5094.1778400,115,1312.0,1711686900000,1.4647
1711683540000,1.443900,1.443900,1.438500,1.439800,9694.8,1711683599999,13959.9017200,253,3770.7,1711686900000,1.4647
1711683600000,1.440200,1.441100,1.438800,1.438800,4650.9,1711683659999,6697.5350900,114,2435.0,1711686900000,1.4647
1711683660000,1.439000,1.439800,1.435400,1.436400,13474.6,1711683719999,19360.3654900,185,9377.5,1711686900000,1.4647
1711683720000,1.436500,1.436500,1.433900,1.434900,9365.8,1711683779999,13440.3133200,197,1894.1,1711686900000,1.4647
1711683780000,1.434600,1.438500,1.433200,1.438500,6161.4,1711683839999,8844.7934800,174,3771.2,1711686900000,1.4647
1711683840000,1.438600,1.439600,1.434300,1.437800,58631.7,1711683899999,84230.1027600,407,8866.3,1711686900000,1.4647
1711683900000,1.438100,1.440600,1.437000,1.440100,5320.0,1711683959999,7655.4115300,138,4306.0,1711686900000,1.4647
1711683960000,1.440100,1.445100,1.440100,1.442700,14822.0,1711684019999,21392.5020400,234,10248.3,1711686900000,1.4647
1711684020000,1.443100,1.443600,1.441600,1.441800,3976.3,1711684079999,5736.2754300,104,1973.7,1711686900000,1.4647
1711684080000,1.441400,1.442600,1.440800,1.440900,4034.7,1711684139999,5815.6562400,108,1980.4,1711686900000,1.4647
1711684140000,1.441000,1.442800,1.441000,1.441500,3316.0,1711684199999,4780.6571700,111,1862.8,1711686900000,1.4647
1711684200000,1.441900,1.443800,1.441200,1.441200,7056.9,1711684259999,10182.7649600,99,3505.0,1711686900000,1.4647
1711684260000,1.440900,1.441900,1.439400,1.439400,3540.5,1711684319999,5102.1927800,103,1686.7,1711686900000,1.4647
1711684320000,1.439600,1.440500,1.438000,1.440200,14710.1,1711684379999,21172.9616400,247,10033.2,1711686900000,1.4647
1711684380000,1.440300,1.443000,1.440300,1.442700,8079.1,1711684439999,11650.9986200,147,5268.1,1711686900000,1.4647
1711684440000,1.442500,1.445400,1.442000,1.444700,4969.5,1711684499999,7175.3088400,93,3387.8,1711686900000,1.4647
