Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710980160000,0.39860,0.39930,0.39860,0.39920,55126,1710980219999,21996.48100,141,23924,1710985560000,0.4039
1710980220000,0.39920,0.40030,0.39920,0.39940,92295,1710980279999,36905.63280,219,65074,1710985560000,0.4039
1710980280000,0.39940,0.40150,0.39940,0.40140,89274,1710980339999,35761.18340,192,74044,1710985560000,0.4039
1710980340000,0.40130,0.40130,0.40040,0.40070,72017,1710980399999,28858.85820,159,37981,1710985560000,0.4039
1710980400000,0.40060,0.40160,0.40020,0.40130,148341,1710980459999,59467.97990,221,100238,1710985560000,0.4039
1710980460000,0.40130,0.40130,0.39960,0.39970,85202,1710980519999,34110.54560,169,31099,1710985560000,0.4039
1710980520000,0.39980,0.39980,0.39870,0.39960,161292,1710980579999,64408.10610,305,104474,1710985560000,0.4039
1710980580000,0.39960,0.39970,0.39910,0.39940,40516,1710980639999,16180.12530,107,14826,1710985560000,0.4039
1710980640000,0.39940,0.39970,0.39890,0.39890,35274,1710980699999,14086.62300,102,17446,1710985560000,0.4039
1710980700000,0.39880,0.39890,0.39760,0.39810,58004,1710980759999,23100.66210,138,36437,1710985560000,0.4039
1710980760000,0.39790,0.39790,0.39730,0.39770,123441,1710980819999,49089.36100,204,43372,1710985560000,0.4039
1710980820000,0.39770,0.39780,0.39700,0.39720,67158,1710980879999,26681.34500,128,47276,1710985560000,0.4039
1710980880000,0.39720,0.39820,0.39710,0.39820,57781,1710980939999,22980.23540,124,30537,1710985560000,0.4039
1710980940000,0.39820,0.39940,0.39820,0.39940,95193,1710980999999,37978.09030,167,66125,1710985560000,0.4039
1710981000000,0.39950,0.39980,0.39930,0.39960,68047,1710981059999,27189.11060,140,21124,1710985560000,0.4039
1710981060000,0.39960,0.40090,0.39960,0.40090,71243,1710981119999,28517.50410,222,56850,1710985560000,0.4039
1710981120000,0.40090,0.40270,0.40080,0.40200,84503,1710981179999,33978.08020,249,43964,1710985560000,0.4039
1710981180000,0.40190,0.40210,0.40060,0.40100,148491,1710981239999,59588.20380,319,76862,1710985560000,0.4039
1710981240000,0.40100,0.40140,0.40030,0.40120,150635,1710981299999,60368.30100,302,105592,1710985560000,0.4039
1710981300000,0.40110,0.40250,0.40040,0.40240,141752,1710981359999,56927.29770,334,86959,1710985560000,0.4039
1710981360000,0.40240,0.40340,0.40220,0.40250,181990,1710981419999,73286.10470,325,109309,1710985560000,0.4039
1710981420000,0.40250,0.40440,0.40240,0.40430,203171,1710981479999,81983.65520,306,145796,1710985560000,0.4039
1710981480000,0.40430,0.40450,0.40400,0.40440,150186,1710981539999,60699.98860,295,64754,1710985560000,0.4039
1710981540000,0.40430,0.40460,0.40400,0.40420,104463,1710981599999,42242.56760,199,74789,1710985560000,0.4039
1710981600000,0.40420,0.40520,0.40390,0.40450,190545,1710981659999,77066.50360,286,83673,1710985560000,0.4039
1710981660000,0.40460,0.40500,0.40440,0.40460,116652,1710981719999,47201.40880,220,61678,1710985560000,0.4039
1710981720000,0.40460,0.40520,0.40400,0.40500,107312,1710981779999,43395.88370,204,48085,1710985560000,0.4039
1710981780000,0.40500,0.40500,0.40450,0.40500,64138,1710981839999,25966.49710,156,33818,1710985560000,0.4039
1710981840000,0.40500,0.40500,0.40390,0.40390,104541,1710981899999,42292.62900,167,27213,1710985560000,0.4039
1710981900000,0.40380,0.40380,0.40190,0.40210,190960,1710981959999,76924.32020,313,93887,1710985560000,0.4039
1710981960000,0.40220,0.40230,0.40140,0.40190,139068,1710982019999,55887.17800,252,53764,1710985560000,0.4039
1710982020000,0.40190,0.40210,0.40130,0.40210,90399,1710982079999,36317.40330,139,54882,1710985560000,0.4039
1710982080000,0.40230,0.40380,0.40230,0.40380,62404,1710982139999,25155.95090,210,38857,1710985560000,0.4039
1710982140000,0.40390,0.40390,0.40300,0.40310,56920,1710982199999,22971.86790,130,17587,1710985560000,0.4039
1710982200000,0.40320,0.40320,0.40240,0.40300,46320,1710982259999,18659.77310,112,14100,1710985560000,0.4039
1710982260000,0.40280,0.40290,0.40170,0.40210,124816,1710982319999,50213.80470,234,62124,1710985560000,0.4039
1710982320000,0.40200,0.40200,0.40130,0.40180,86048,1710982379999,34560.55960,145,19975,1710985560000,0.4039
1710982380000,0.40170,0.40200,0.40120,0.40180,86419,1710982439999,34703.73370,172,23802,1710985560000,0.4039
1710982440000,0.40190,0.40210,0.40140,0.40180,92957,1710982499999,37346.61070,172,49365,1710985560000,0.4039
1710982500000,0.40180,0.40220,0.40140,0.40170,74290,1710982559999,29843.91890,153,45089,1710985560000,0.4039
1710982560000,0.40180,0.40240,0.40150,0.40170,61308,1710982619999,24646.53780,121,39617,1710985560000,0.4039
1710982620000,0.40190,0.40230,0.40180,0.40210,38757,1710982679999,15582.62600,113,26194,1710985560000,0.4039
1710982680000,0.40210,0.40210,0.40160,0.40190,20465,1710982739999,8223.33060,57,11574,1710985560000,0.4039
1710982740000,0.40200,0.40210,0.40150,0.40170,23842,1710982799999,9579.75960,65,6712,1710985560000,0.4039
1710982800000,0.40170,0.40200,0.40100,0.40130,122912,1710982859999,49349.88960,251,39817,1710985560000,0.4039
1710982860000,0.40130,0.40140,0.40040,0.40080,73348,1710982919999,29404.84180,173,19650,1710985560000,0.4039
1710982920000,0.40070,0.40120,0.40020,0.40080,58730,1710982979999,23536.01800,180,29150,1710985560000,0.4039
1710982980000,0.40080,0.40200,0.40070,0.40190,61565,1710983039999,24714.12350,183,25744,1710985560000,0.4039
1710983040000,0.40180,0.40240,0.40180,0.40180,48136,1710983099999,19351.38860,105,14201,1710985560000,0.4039
1710983100000,0.40170,0.40170,0.40030,0.40030,70799,1710983159999,28378.99480,157,44394,1710985560000,0.4039
1710983160000,0.40030,0.40190,0.40030,0.40170,66350,1710983219999,26618.38410,150,34281,1710985560000,0.4039
1710983220000,0.40170,0.40200,0.40080,0.40090,44316,1710983279999,17799.71780,92,11337,1710985560000,0.4039
1710983280000,0.40090,0.40170,0.40050,0.40160,67703,1710983339999,27138.73830,113,40453,1710985560000,0.4039
1710983340000,0.40150,0.40250,0.40110,0.40210,45991,1710983399999,18492.10400,129,32857,1710985560000,0.4039
1710983400000,0.40200,0.40270,0.40180,0.40230,57522,1710983459999,23133.66460,121,29805,1710985560000,0.4039
1710983460000,0.40220,0.40260,0.40180,0.40190,63506,1710983519999,25541.86490,97,44042,1710985560000,0.4039
