Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711267080000,1.882600,1.886200,1.881100,1.881600,18032,1711267139999,33964.437600,289,7028,1711272480000,1.9193
1711267140000,1.881400,1.883800,1.880700,1.881300,5697,1711267199999,10720.655000,117,1752,1711272480000,1.9193
1711267200000,1.881200,1.881200,1.875100,1.875100,11872,1711267259999,22301.831000,196,952,1711272480000,1.9193
1711267260000,1.875000,1.875900,1.873500,1.875900,11535,1711267319999,21619.409800,186,6065,1711272480000,1.9193
1711267320000,1.875500,1.880300,1.875400,1.878400,14355,1711267379999,26963.045800,253,6391,1711272480000,1.9193
1711267380000,1.878700,1.885000,1.878700,1.883700,21310,1711267439999,40117.061800,266,10751,1711272480000,1.9193
1711267440000,1.883700,1.884800,1.879600,1.879600,10583,1711267499999,19924.910600,211,2050,1711272480000,1.9193
1711267500000,1.879500,1.881100,1.876900,1.879200,7161,1711267559999,13456.084600,169,2866,1711272480000,1.9193
1711267560000,1.879100,1.880800,1.877600,1.878900,5032,1711267619999,9456.783600,163,1664,1711272480000,1.9193
1711267620000,1.878800,1.883000,1.878800,1.882100,5674,1711267679999,10675.079500,125,2938,1711272480000,1.9193
1711267680000,1.882200,1.884100,1.882200,1.883300,5745,1711267739999,10819.131300,110,2246,1711272480000,1.9193
1711267740000,1.883000,1.885800,1.882600,1.884500,9249,1711267799999,17428.862700,156,3693,1711272480000,1.9193
1711267800000,1.884200,1.887600,1.883500,1.885300,13034,1711267859999,24584.037600,254,5141,1711272480000,1.9193
1711267860000,1.885300,1.893800,1.885300,1.891400,18310,1711267919999,34609.379500,377,10571,1711272480000,1.9193
1711267920000,1.891600,1.894000,1.890000,1.893600,20188,1711267979999,38198.679200,330,8688,1711272480000,1.9193
1711267980000,1.893600,1.898100,1.891800,1.892200,29416,1711268039999,55736.628200,420,12004,1711272480000,1.9193
1711268040000,1.892700,1.902900,1.891500,1.899700,35080,1711268099999,66600.698600,506,22725,1711272480000,1.9193
1711268100000,1.900200,1.903500,1.898900,1.900500,34171,1711268159999,64974.449900,543,14617,1711272480000,1.9193
1711268160000,1.900200,1.902500,1.893600,1.897900,41710,1711268219999,79166.909300,550,7485,1711272480000,1.9193
1711268220000,1.898500,1.914600,1.898300,1.911000,84084,1711268279999,160289.444500,1278,58166,1711272480000,1.9193
1711268280000,1.910900,1.913100,1.906900,1.909600,47694,1711268339999,91100.467600,817,29686,1711272480000,1.9193
1711268340000,1.909300,1.909300,1.903000,1.903100,42999,1711268399999,81990.852200,517,10207,1711272480000,1.9193
1711268400000,1.903400,1.905000,1.900700,1.903700,21413,1711268459999,40754.056400,336,10172,1711272480000,1.9193
1711268460000,1.904100,1.907900,1.903200,1.903400,12310,1711268519999,23456.790200,279,6474,1711272480000,1.9193
1711268520000,1.903400,1.908000,1.902700,1.906500,21770,1711268579999,41494.221300,348,12783,1711272480000,1.9193
